LARC       LATITUDE    -62.2     LONGITUDE     301.04    ALTITUDE    40 M
LARC       INSTRUMENT   6-NM-64  NEUTRON MONITOR
LARC       STANDARD PRESSURE    980     mb     COEFFICIENT   -0.74     % / mb
LARC       PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
LARC       PRE-INCREASE AVERAGE COUNTING RATE     75.82      COUNTS PER SECOND
LARC       TIME INTERVALS    300         3600     
LARC       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
LARC       061213 300  073500-074000   00      88.02  963.1     77.67     2.40    -9999
LARC       061213 300  074000-074500   00      84.75  963.1     74.82    -1.30    -9999
LARC       061213 300  074500-075000   00      85.65  963.2     75.64    -0.20    -9999
LARC       061213 300  075000-075500   00      85.77  963.3     75.78     0.00    -9999
LARC       061213 300  075500-080000   00      85.42  963.3     75.52    -0.40    -9999
LARC       061213 300  080000-080500   00      85.54  963.3     75.60    -0.30    -9999
LARC       061213 300  080500-081000   00      84.86  963.4     75.03    -1.00    -9999
LARC       061213 300  081000-081500   00      86.55  963.4     76.54     1.00    -9999
LARC       061213 300  081500-082000   00      84.50  963.5     74.76    -1.40    -9999
LARC       061213 300  082000-082500   00      86.07  963.5     76.17     0.50    -9999
LARC       061213 300  082500-083000   00      85.48  963.5     75.63    -0.20    -9999
LARC       061213 300  083000-083500   00      85.32  963.5     75.53    -0.40    -9999
LARC       061213 300  083500-084000   00      84.91  963.7     75.25    -0.70    -9999
LARC       061213 300  084000-084500   00      85.40  963.7     75.70    -0.10    -9999
LARC       061213 300  084500-085000   00      84.26  963.6     74.66    -1.50    -9999
LARC       061213 300  085000-085500   00      86.83  963.7     76.98     1.50    -9999
LARC       061213 300  085500-090000   00      85.82  963.8     76.14     0.40    -9999
LARC       061213 300  090000-090500   00      84.77  963.9     75.28    -0.70    -9999
LARC       061213 300  090500-091000   00      85.51  964.0     75.95     0.20    -9999
LARC       061213 300  091000-091500   00      87.02  964.0     77.31     2.00    -9999
LARC       061213 300  091500-092000   00      86.33  964.1     76.72     1.20    -9999
LARC       061213 300  092000-092500   00      85.25  964.1     75.80     0.00    -9999
LARC       061213 300  092500-093000   00      86.85  964.2     77.24     1.90    -9999
LARC       061213 300  093000-093500   00      84.99  964.1     75.57    -0.30    -9999
LARC       061213 300  093500-094000   00      84.29  964.2     74.98    -1.10    -9999
LARC       061213 300  094000-094500   00      85.48  964.2     76.06     0.30    -9999
LARC       061213 300  094500-095000   00      83.96  964.2     74.70    -1.50    -9999
LARC       061213 300  095000-095500   00      84.18  964.2     74.87    -1.20    -9999
LARC       061213 300  095500-100000   00      85.30  964.3     75.93     0.20    -9999
LARC       061213 300  100000-100500   00      85.01  964.3     75.68    -0.20    -9999
LARC       061213 300  100500-101000   00      85.30  964.3     75.95     0.20    -9999
LARC       061213 300  101000-101500   00      86.71  964.3     77.19     1.80    -9999
LARC       061213 300  101500-102000   00      85.60  964.4     76.28     0.60    -9999
LARC       061213 300  102000-102500   00      84.15  964.5     75.03    -1.00    -9999
LARC       061213 300  102500-103000   00      84.30  964.5     75.16    -0.90    -9999
LARC       061213 300  103000-103500   00      84.52  964.6     75.39    -0.50    -9999
LARC       061213 300  103500-104000   00      84.99  964.6     75.83     0.00    -9999
LARC       061213 300  104000-104500   00      83.96  964.7     74.95    -1.10    -9999
LARC       061213 300  104500-105000   00      84.37  964.6     75.29    -0.70    -9999
LARC       061213 300  105000-105500   00      84.41  964.7     75.35    -0.60    -9999
LARC       061213 300  105500-110000   00      84.93  964.6     75.77    -0.10    -9999
LARC       061213 300  110000-110500   00      84.91  964.7     75.82     0.00    -9999
LARC       061213 300  110500-111000   00      84.91  964.7     75.84     0.00    -9999
LARC       061213 300  111000-111500   00      83.89  964.7     74.93    -1.20    -9999
LARC       061213 300  111500-112000   00      84.41  964.7     75.40    -0.50    -9999
LARC       061213 300  112000-112500   00      84.87  964.8     75.85     0.10    -9999
LARC       061213 300  112500-113000   00      84.34  964.9     75.39    -0.50    -9999
LARC       061213 300  113000-113500   00      84.41  964.9     75.50    -0.40    -9999
LARC       061213 300  113500-114000   00      85.70  965.0     76.68     1.10    -9999
LARC       061213 300  114000-114500   00      84.92  965.0     76.02     0.30    -9999
LARC       061213 300  114500-115000   00      86.39  965.1     77.39     2.10    -9999
LARC       061213 300  115000-115500   00      84.22  965.1     75.42    -0.50    -9999
LARC       061213 300  115500-120000   00      84.99  965.1     76.15     0.40    -9999
LARC       061213 300  120000-120500   00      85.57  965.2     76.68     1.20    -9999
LARC       061213 300  120500-121000   00      85.42  965.2     76.54     1.00    -9999
LARC       061213 300  121000-121500   00      86.12  965.3     77.21     1.90    -9999
LARC       061213 300  121500-122000   00      83.36  965.4     74.82    -1.30    -9999
LARC       061213 300  122000-122500   00      84.84  965.5     76.18     0.50    -9999
LARC       061213 300  122500-123000   00      85.38  965.5     76.69     1.20    -9999
LARC       061213 300  123000-123500   00      83.96  965.6     75.46    -0.50    -9999
LARC       061213 300  123500-124000   00      84.15  965.6     75.67    -0.20    -9999
LARC       061213 300  124000-124500   00      83.80  965.7     75.37    -0.60    -9999
LARC       061213 300  124500-125000   00      84.52  965.7     76.04     0.30    -9999
LARC       061213 300  125000-125500   00      84.09  965.7     75.67    -0.20    -9999
LARC       061213 300  125500-130000   00      83.32  965.8     75.00    -1.10    -9999
LARC       061213 300  130000-130500   00      83.91  965.8     75.52    -0.40    -9999
LARC       061213 300  130500-131000   00      85.15  965.8     76.68     1.10    -9999
LARC       061213 300  131000-131500   00      83.76  965.9     75.43    -0.50    -9999
LARC       061213 300  131500-132000   00      84.47  965.9     76.11     0.40    -9999
LARC       061213 300  132000-132500   00      85.44  966.0     77.02     1.60    -9999
LARC       061213 300  132500-133000   00      85.87  966.0     77.40     2.10    -9999
