NEWARK     LATITUDE    39.7      LONGITUDE     -75.7     ALTITUDE    50 M
NEWARK     INSTRUMENT   9NM64    NEUTRON MONITOR     	
NEWARK     STANDARD PRESSURE    1007.3  MB     COEFFICIENT   -0.74     % / MB
NEWARK     PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
NEWARK     PRE-INCREASE AVERAGE COUNTING RATE     88.49      COUNTS PER SECOND
NEWARK     TIME INTERVALS    300         3600     
NEWARK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NEWARK     010415 300  173000-173500   00      95.57 1004.0     93.23     5.40     5.40
NEWARK     010415 300  173500-174000   00      94.61 1003.9     92.23     4.20     4.20
NEWARK     010415 300  174000-174500   00      93.33 1003.8     90.93     2.80     2.80
NEWARK     010415 300  174500-175000   00      94.93 1003.7     92.43     4.40     4.40
NEWARK     010415 300  175000-175500   00      96.84 1003.7     94.23     6.50     6.50
NEWARK     010415 300  175500-180000   00      94.93 1003.6     92.30     4.30     4.30
NEWARK     010415 300  180000-180500   00      92.69 1003.5     90.09     1.80     1.80
NEWARK     010415 300  180500-181000   00      95.24 1003.4     92.51     4.50     4.50
NEWARK     010415 300  181000-181500   00      93.97 1003.3     91.21     3.10     3.10
NEWARK     010415 300  181500-182000   00      95.25 1003.2     92.39     4.40     4.40
NEWARK     010415 300  182000-182500   00      94.29 1003.1     91.39     3.30     3.30
NEWARK     010415 300  182500-183000   00      94.93 1003.0     91.94     3.90     3.90
NEWARK     010415 300  183000-183500   00      93.97 1002.9     90.94     2.80     2.80
NEWARK     010415 300  183500-184000   00      95.25 1002.8     92.11     4.10     4.10
NEWARK     010415 300  184000-184500   00      95.89 1002.7     92.65     4.70     4.70
NEWARK     010415 300  184500-185000   00      93.33 1002.6     90.10     1.80     1.80
NEWARK     010415 300  185000-185500   00      94.29 1002.5     90.95     2.80     2.80
NEWARK     010415 300  185500-190000   00      94.61 1002.4     91.18     3.00     3.00
NEWARK     010415 300  190000-190500   00      93.33 1002.1     89.78     1.50     1.50
NEWARK     010415 300  190500-191000   00      93.01 1002.0     89.39     1.00     1.00
NEWARK     010415 300  191000-191500   00      93.33 1001.9     89.62     1.30     1.30
NEWARK     010415 300  191500-192000   00      93.65 1001.8     89.85     1.60     1.60
NEWARK     010415 300  192000-192500   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  192500-193000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  193000-193500   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  193500-194000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  194000-194500   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  194500-195000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  195000-195500   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  195500-200000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  200000-200500   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  200500-201000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  201000-201500   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  201500-202000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  202000-202500   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  202500-203000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  203000-203500   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  203500-204000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  204000-204500   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  204500-205000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  205000-205500   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  205500-210000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  210000-210500   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  210500-211000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  211000-211500   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  211500-212000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  212000-212500   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  212500-213000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  213000-213500   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  213500-214000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  214000-214500   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  214500-215000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  215000-215500   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  215500-220000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  220000-220500   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  220500-221000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  221000-221500   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  221500-222000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  222000-222500   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  222500-223000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  223000-223500   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  223500-224000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  224000-224500   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  224500-225000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  225000-225500   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  225500-230000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  230000-230500   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  230500-231000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  231000-231500   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  231500-232000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  232000-232500   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  232500-233000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  233000-233500   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  233500-234000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  234000-234500   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  234500-235000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  235000-235500   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010415 300  235500-240000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010416 3600 000000-010000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010416 3600 010000-020000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010416 3600 020000-030000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010416 3600 030000-040000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010416 3600 040000-050000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010416 3600 050000-060000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010416 3600 060000-070000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010416 3600 070000-080000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010416 3600 080000-090000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010416 3600 090000-100000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010416 3600 100000-110000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010416 3600 110000-120000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010416 3600 120000-130000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010416 3600 130000-140000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010416 3600 140000-150000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010416 3600 150000-160000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010416 3600 160000-170000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010416 3600 170000-180000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010416 3600 180000-190000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010416 3600 190000-200000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010416 3600 200000-210000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010416 3600 210000-220000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010416 3600 220000-230000   00    -999.00 -999.0   -999.00    -9999    -9999
NEWARK     010416 3600 230000-240000   00    -999.00 -999.0   -999.00    -9999    -9999
*
*	
COMMENT    DATA INCONSISTENT WITH WDCCR	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-05 10:02:56 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE60/C060NWRK_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
