TIXIE BAY  LATITUDE    71.6      LONGITUDE     128.9     ALTITUDE    0 M
TIXIE BAY  INSTRUMENT   18NM64    NEUTRON MONITOR     	
TIXIE BAY  STANDARD PRESSURE    1000.3  MB     COEFFICIENT   -0.72     % / MB
TIXIE BAY  PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
TIXIE BAY  PRE-INCREASE AVERAGE COUNTING RATE     98.84      COUNTS PER SECOND
TIXIE BAY  TIME INTERVALS    300         3600     
TIXIE BAY  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
TIXIE BAY  010415 300  212000-212500   00     101.76 1001.6    102.69     3.90     2.50
TIXIE BAY  010415 300  212500-213000   00     103.15 1001.6    104.11     5.30     3.89
TIXIE BAY  010415 300  213000-213500   00     101.39 1001.6    102.35     3.60     2.18
TIXIE BAY  010415 300  213500-214000   00     100.91 1001.6    101.89     3.10     1.67
TIXIE BAY  010415 300  214000-214500   00     101.65 1001.7    102.67     3.90     2.46
TIXIE BAY  010415 300  214500-215000   00     100.85 1001.7    101.89     3.10     1.65
TIXIE BAY  010415 300  215000-215500   00     100.64 1001.8    101.70     2.90     1.44
TIXIE BAY  010415 300  215500-220000   00     102.61 1001.8    103.73     4.90     3.43
TIXIE BAY  010415 300  220000-220500   00     103.39 1001.9    104.59     5.80     4.32
TIXIE BAY  010415 300  220500-221000   00     101.52 1001.9    102.74     3.90     2.41
TIXIE BAY  010415 300  221000-221500   00     101.39 1002.0    102.63     3.80     2.30
TIXIE BAY  010415 300  221500-222000   00     103.41 1002.0    104.71     5.90     4.39
TIXIE BAY  010415 300  222000-222500   00     100.83 1002.1    102.11     3.30     1.78
TIXIE BAY  010415 300  222500-223000   00     100.16 1002.1    101.46     2.70     1.17
TIXIE BAY  010415 300  223000-223500   00     101.20 1002.1    102.54     3.70     2.16
TIXIE BAY  010415 300  223500-224000   00     102.29 1002.1    103.66     4.90     3.35
TIXIE BAY  010415 300  224000-224500   00     102.72 1002.2    104.11     5.30     3.74
TIXIE BAY  010415 300  224500-225000   00     101.71 1002.2    103.10     4.30     2.73
TIXIE BAY  010415 300  225000-225500   00     101.12 1002.2    102.53     3.70     2.12
TIXIE BAY  010415 300  225500-230000   00     101.09 1002.2    102.51     3.70     2.11
TIXIE BAY  010415 300  230000-230500   00     101.97 1002.2    103.40     4.60     3.00
TIXIE BAY  010415 300  230500-231000   00     101.07 1002.2    102.49     3.70     2.09
TIXIE BAY  010415 300  231000-231500   00     100.53 1002.3    101.96     3.20     1.58
TIXIE BAY  010415 300  231500-232000   00     100.91 1002.3    102.35     3.60     1.97
TIXIE BAY  010415 300  232000-232500   00     100.99 1002.3    102.44     3.60     1.96
TIXIE BAY  010415 300  232500-233000   00     101.68 1002.3    103.16     4.40     2.75
TIXIE BAY  010415 300  233000-233500   00     100.51 1002.3    101.97     3.20     1.54
TIXIE BAY  010415 300  233500-234000   00     100.35 1002.3    101.82     3.00     1.33
TIXIE BAY  010415 300  234000-234500   00     100.72 1002.3    102.21     3.40     1.72
TIXIE BAY  010415 300  234500-235000   00     101.65 1002.3    103.16     4.40     2.71
TIXIE BAY  010415 300  235000-235500   00     100.85 1002.3    102.36     3.60     1.90
TIXIE BAY  010415 300  235500-240000   00     101.81 1002.4    103.34     4.60     2.89
TIXIE BAY  010416 3600 000000-010000   00     100.98 1002.4    102.52     3.70     1.93
TIXIE BAY  010416 3600 010000-020000   00     101.03 1002.2    102.43     3.60     1.71
TIXIE BAY  010416 3600 020000-030000   00     100.83 1002.6    102.52     3.70     1.70
TIXIE BAY  010416 3600 030000-040000   00     100.93 1002.9    102.85     4.10     1.99
TIXIE BAY  010416 3600 040000-050000   00     100.13 1003.4    102.40     3.60     1.38
TIXIE BAY  010416 3600 050000-060000   00      98.97 1003.8    101.51     2.70     0.38
TIXIE BAY  010416 3600 060000-070000   00      98.42 1004.3    101.30     2.50     0.08
TIXIE BAY  010416 3600 070000-080000   00      98.26 1004.7    101.43     2.60    -9999
TIXIE BAY  010416 3600 080000-090000   00      97.82 1005.2    101.35     2.50    -9999
TIXIE BAY  010416 3600 090000-100000   00      97.58 1005.8    101.54     2.70    -9999
TIXIE BAY  010416 3600 100000-110000   00      97.00 1006.4    101.37     2.60    -9999
TIXIE BAY  010416 3600 110000-120000   00      95.99 1006.9    100.68     1.90    -9999
TIXIE BAY  010416 3600 120000-130000   00      96.38 1007.1    101.23     2.40    -9999
TIXIE BAY  010416 3600 130000-140000   00      95.92 1007.3    100.90     2.10    -9999
TIXIE BAY  010416 3600 140000-150000   00      95.83 1007.6    101.02     2.20    -9999
TIXIE BAY  010416 3600 150000-160000   00      95.50 1007.9    100.90     2.10    -9999
TIXIE BAY  010416 3600 160000-170000   00      95.32 1008.2    100.92     2.10    -9999
TIXIE BAY  010416 3600 170000-180000   00      95.26 1008.3    100.93     2.10    -9999
TIXIE BAY  010416 3600 180000-190000   00      95.40 1008.5    101.22     2.40    -9999
TIXIE BAY  010416 3600 190000-200000   00      95.29 1008.8    101.32     2.50    -9999
TIXIE BAY  010416 3600 200000-210000   00      95.11 1009.1    101.35     2.50    -9999
TIXIE BAY  010416 3600 210000-220000   00      94.70 1009.5    101.21     2.40    -9999
TIXIE BAY  010416 3600 220000-230000   00      94.39 1009.9    101.17     2.40    -9999
TIXIE BAY  010416 3600 230000-240000   00      94.39 1010.0    101.24     2.40    -9999
*
*	
*COMMENT    DATA VERIFIED0BY E.A.EROSHENKO	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-05 10:02:56 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE60/C060TXBY_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
