KIEL       LATITUDE    54.3      LONGITUDE     10.1      ALTITUDE    54 M
KIEL       INSTRUMENT   18NM64    NEUTRON MONITOR	
KIEL       STANDARD PRESSURE    1006.6  mb     COEFFICIENT   -0.721    % / mb
KIEL       PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
KIEL       PRE-INCREASE AVERAGE COUNTING RATE    170.29      COUNTS PER SECOND
KIEL       TIME INTERVALS    300         3600     
KIEL       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
KIEL       120517 300  063500-064000   00     166.70 1010.9    171.95     1.00    -9999
KIEL       120517 300  064000-064500   00     165.62 1011.0    170.90     0.40    -9999
KIEL       120517 300  064500-065000   00     163.91 1011.0    169.19    -0.60    -9999
KIEL       120517 300  065000-065500   00     165.91 1010.9    171.12     0.50    -9999
KIEL       120517 300  065500-070000   00     168.87 1010.9    174.21     2.30    -9999
KIEL       120517 300  070000-070500   00     163.74 1011.0    169.01    -0.80    -9999
KIEL       120517 300  070500-071000   00     164.89 1011.0    170.24     0.00    -9999
KIEL       120517 300  071000-071500   00     165.76 1010.9    170.99     0.40    -9999
KIEL       120517 300  071500-072000   00     167.61 1010.9    172.86     1.50    -9999
KIEL       120517 300  072000-072500   00     164.78 1010.9    169.94    -0.20    -9999
KIEL       120517 300  072500-073000   00     163.82 1010.9    169.00    -0.80    -9999
KIEL       120517 300  073000-073500   00     164.78 1011.0    170.03    -0.20    -9999
KIEL       120517 300  073500-074000   00     166.57 1010.9    171.81     0.90    -9999
KIEL       120517 300  074000-074500   00     166.11 1010.9    171.34     0.60    -9999
KIEL       120517 300  074500-075000   00     166.13 1011.0    171.53     0.70    -9999
KIEL       120517 300  075000-075500   00     166.53 1011.0    171.87     0.90    -9999
KIEL       120517 300  075500-080000   00     164.48 1011.0    169.75    -0.30    -9999
KIEL       120517 300  080000-080500   00     163.43 1011.0    168.69    -0.90    -9999
KIEL       120517 300  080500-081000   00     165.06 1011.1    170.45     0.10    -9999
KIEL       120517 300  081000-081500   00     166.93 1011.1    172.40     1.20    -9999
KIEL       120517 300  081500-082000   00     167.21 1011.0    172.57     1.30    -9999
KIEL       120517 300  082000-082500   00     168.04 1011.0    173.40     1.80    -9999
KIEL       120517 300  082500-083000   00     166.32 1011.0    171.73     0.80    -9999
KIEL       120517 300  083000-083500   00     166.22 1011.0    171.62     0.80    -9999
KIEL       120517 300  083500-084000   00     165.13 1011.2    170.64     0.20    -9999
KIEL       120517 300  084000-084500   00     168.09 1011.1    173.68     2.00    -9999
KIEL       120517 300  084500-085000   00     164.25 1011.1    169.69    -0.40    -9999
KIEL       120517 300  085000-085500   00     165.37 1011.1    170.82     0.30    -9999
KIEL       120517 300  085500-090000   00     166.38 1011.1    171.86     0.90    -9999
KIEL       120517 300  090000-090500   00     166.59 1011.1    172.06     1.00    -9999
KIEL       120517 300  090500-091000   00     167.34 1011.1    172.85     1.50    -9999
KIEL       120517 300  091000-091500   00     171.93 1011.1    177.54     4.30    -9999
KIEL       120517 300  091500-092000   00     166.36 1011.1    171.84     0.90    -9999
KIEL       120517 300  092000-092500   00     164.37 1011.1    169.81    -0.30    -9999
KIEL       120517 300  092500-093000   00     168.06 1011.1    173.57     1.90    -9999
KIEL       120517 300  093000-093500   00     166.60 1011.2    172.16     1.10    -9999
KIEL       120517 300  093500-094000   00     166.50 1011.1    172.01     1.00    -9999
KIEL       120517 300  094000-094500   00     166.00 1011.1    171.49     0.70    -9999
KIEL       120517 300  094500-095000   00     165.43 1011.1    170.93     0.40    -9999
KIEL       120517 300  095000-095500   00     167.67 1011.2    173.37     1.80    -9999
KIEL       120517 300  095500-100000   00     168.42 1011.2    174.09     2.20    -9999
KIEL       120517 300  100000-100500   00     164.39 1011.2    169.87    -0.20    -9999
KIEL       120517 300  100500-101000   00     165.85 1011.2    171.39     0.60    -9999
KIEL       120517 300  101000-101500   00     165.60 1011.3    171.28     0.60    -9999
KIEL       120517 300  101500-102000   00     168.11 1011.2    173.77     2.00    -9999
KIEL       120517 300  102000-102500   00     164.74 1011.2    170.33     0.00    -9999
KIEL       120517 300  102500-103000   00     167.14 1011.3    172.87     1.50    -9999
KIEL       120517 300  103000-103500   00     166.89 1011.3    172.68     1.40    -9999
KIEL       120517 300  103500-104000   00     166.06 1011.3    171.82     0.90    -9999
KIEL       120517 300  104000-104500   00     166.63 1011.4    172.50     1.30    -9999
KIEL       120517 300  104500-105000   00     165.34 1011.3    171.03     0.40    -9999
KIEL       120517 300  105000-105500   00     167.44 1011.2    173.13     1.70    -9999
KIEL       120517 300  105500-110000   00     165.17 1011.3    170.88     0.30    -9999
KIEL       120517 300  110000-110500   00     166.31 1011.3    172.06     1.00    -9999
