LOMNICKY   LATITUDE    49.2      LONGITUDE     20.22     ALTITUDE    2634 M
LOMNICKY   INSTRUMENT   8-NM-64  NEUTRON MONITOR	
LOMNICKY   STANDARD PRESSURE    747     mb     COEFFICIENT   -0.72     % / mb
LOMNICKY   PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
LOMNICKY   PRE-INCREASE AVERAGE COUNTING RATE    470.15      COUNTS PER SECOND
LOMNICKY   TIME INTERVALS    300         3600     
LOMNICKY   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
LOMNICKY   120517 300  043500-044000   00     484.75  728.2    467.68    -0.50    -9999
LOMNICKY   120517 300  044000-044500   00     484.54  728.3    467.72    -0.50    -9999
LOMNICKY   120517 300  044500-045000   00     490.03  728.4    473.17     0.60    -9999
LOMNICKY   120517 300  045000-045500   00     484.26  728.6    468.24    -0.40    -9999
LOMNICKY   120517 300  045500-050000   00     480.49  728.6    464.84    -1.10    -9999
LOMNICKY   120517 300  050000-050500   00     483.97  728.6    468.00    -0.50    -9999
LOMNICKY   120517 300  050500-051000   00     481.57  728.7    466.04    -0.90    -9999
LOMNICKY   120517 300  051000-051500   00     481.93  728.8    466.64    -0.70    -9999
LOMNICKY   120517 300  051500-052000   00     484.51  728.6    468.62    -0.30    -9999
LOMNICKY   120517 300  052000-052500   00     486.89  728.4    470.37     0.00    -9999
LOMNICKY   120517 300  052500-053000   00     481.66  728.9    466.98    -0.70    -9999
LOMNICKY   120517 300  053000-053500   00     483.71  728.7    468.08    -0.40    -9999
LOMNICKY   120517 300  053500-054000   00     483.14  728.8    467.99    -0.50    -9999
LOMNICKY   120517 300  054000-054500   00     484.21  728.9    469.33    -0.20    -9999
LOMNICKY   120517 300  054500-055000   00     486.93  728.7    471.16     0.20    -9999
LOMNICKY   120517 300  055000-055500   00     483.24  728.9    468.28    -0.40    -9999
LOMNICKY   120517 300  055500-060000   00     483.80  728.8    468.77    -0.30    -9999
LOMNICKY   120517 300  060000-060500   00     484.09  728.8    468.91    -0.30    -9999
LOMNICKY   120517 300  060500-061000   00     481.66  728.7    466.29    -0.80    -9999
LOMNICKY   120517 300  061000-061500   00     484.84  728.7    469.38    -0.20    -9999
LOMNICKY   120517 300  061500-062000   00     480.77  728.7    465.43    -1.00    -9999
LOMNICKY   120517 300  062000-062500   00     487.13  729.0    472.33     0.50    -9999
LOMNICKY   120517 300  062500-063000   00     488.20  728.7    472.44     0.50    -9999
LOMNICKY   120517 300  063000-063500   00     481.75  729.0    467.37    -0.60    -9999
LOMNICKY   120517 300  063500-064000   00     484.89  729.0    470.43     0.10    -9999
LOMNICKY   120517 300  064000-064500   00     483.16  729.1    468.88    -0.30    -9999
LOMNICKY   120517 300  064500-065000   00     480.65  729.1    466.43    -0.80    -9999
LOMNICKY   120517 300  065000-065500   00     486.22  729.1    471.83     0.40    -9999
LOMNICKY   120517 300  065500-070000   00     484.58  729.2    470.69     0.10    -9999
LOMNICKY   120517 300  070000-070500   00     481.34  729.3    467.82    -0.50    -9999
LOMNICKY   120517 300  070500-071000   00     484.96  729.0    470.52     0.10    -9999
LOMNICKY   120517 300  071000-071500   00     481.52  729.1    467.23    -0.60    -9999
LOMNICKY   120517 300  071500-072000   00     484.70  729.4    471.66     0.30    -9999
LOMNICKY   120517 300  072000-072500   00     483.99  729.4    470.75     0.10    -9999
LOMNICKY   120517 300  072500-073000   00     485.14  729.4    472.02     0.40    -9999
LOMNICKY   120517 300  073000-073500   00     484.87  729.5    472.04     0.40    -9999
LOMNICKY   120517 300  073500-074000   00     487.57  729.4    474.25     0.90    -9999
LOMNICKY   120517 300  074000-074500   00     484.59  729.4    471.39     0.30    -9999
LOMNICKY   120517 300  074500-075000   00     483.35  729.5    470.51     0.10    -9999
LOMNICKY   120517 300  075000-075500   00     482.92  729.6    470.55     0.10    -9999
LOMNICKY   120517 300  075500-080000   00     481.77  729.6    469.29    -0.20    -9999
LOMNICKY   120517 300  080000-080500   00     483.40  729.7    471.22     0.20    -9999
LOMNICKY   120517 300  080500-081000   00     483.24  729.9    471.77     0.30    -9999
LOMNICKY   120517 300  081000-081500   00     484.78  730.0    473.54     0.70    -9999
LOMNICKY   120517 300  081500-082000   00     484.81  730.2    474.13     0.80    -9999
LOMNICKY   120517 300  082000-082500   00     485.96  730.3    475.62     1.20    -9999
LOMNICKY   120517 300  082500-083000   00     483.13  730.4    473.27     0.70    -9999
LOMNICKY   120517 300  083000-083500   00     485.75  730.4    475.89     1.20    -9999
LOMNICKY   120517 300  083500-084000   00     482.38  730.4    472.70     0.50    -9999
LOMNICKY   120517 300  084000-084500   00     488.25  730.5    478.59     1.80    -9999
LOMNICKY   120517 300  084500-085000   00     486.95  730.5    477.39     1.50    -9999
LOMNICKY   120517 300  085000-085500   00     483.05  730.6    473.81     0.80    -9999
LOMNICKY   120517 300  085500-090000   00     482.81  730.7    474.06     0.80    -9999
LOMNICKY   120517 300  090000-090500   00     482.37  730.8    474.06     0.80    -9999
LOMNICKY   120517 300  090500-091000   00     481.34  731.0    473.63     0.70    -9999
LOMNICKY   120517 300  091000-091500   00     485.99  731.1    478.46     1.80    -9999
LOMNICKY   120517 300  091500-092000   00     486.78  731.1    479.24     1.90    -9999
LOMNICKY   120517 300  092000-092500   00     481.52  731.1    474.07     0.80    -9999
LOMNICKY   120517 300  092500-093000   00     485.99  731.2    478.89     1.90    -9999
LOMNICKY   120517 300  093000-093500   00     483.77  731.1    476.22     1.30    -9999
LOMNICKY   120517 300  093500-094000   00     483.25  731.1    475.76     1.20    -9999
LOMNICKY   120517 300  094000-094500   00     481.98  731.1    474.52     0.90    -9999
LOMNICKY   120517 300  094500-095000   00     483.87  731.3    477.00     1.50    -9999
LOMNICKY   120517 300  095000-095500   00     480.49  731.4    474.27     0.90    -9999
LOMNICKY   120517 300  095500-100000   00     483.95  731.8    478.79     1.80    -9999
LOMNICKY   120517 300  100000-100500   00     481.39  731.7    475.98     1.20    -9999
LOMNICKY   120517 300  100500-101000   00     482.82  731.6    476.96     1.40    -9999
LOMNICKY   120517 300  101000-101500   00     486.74  731.4    480.38     2.20    -9999
LOMNICKY   120517 300  101500-102000   00     481.56  731.7    476.10     1.30    -9999
LOMNICKY   120517 300  102000-102500   00     479.21  731.6    473.46     0.70    -9999
LOMNICKY   120517 300  102500-103000   00     480.72  731.5    474.77     1.00    -9999
LOMNICKY   120517 300  103000-103500   00     480.30  731.8    475.34     1.10    -9999
