MCMURDO    LATITUDE    -77.95    LONGITUDE     166.6     ALTITUDE    48 M
MCMURDO    INSTRUMENT   18NM64    NEUTRON MONITOR     	
MCMURDO    STANDARD PRESSURE    1007    mb     COEFFICIENT   -0.71     % / mb
MCMURDO    PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
MCMURDO    PRE-INCREASE AVERAGE COUNTING RATE    269.63      COUNTS PER SECOND
MCMURDO    TIME INTERVALS    300         3600     
MCMURDO    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MCMURDO    120517 300  032000-032500   00     246.38  989.4    277.76     3.00     2.48
MCMURDO    120517 300  032500-033000   00     244.91  989.4    276.05     2.40     1.87
MCMURDO    120517 300  033000-033500   00     243.94  989.4    274.94     2.00     1.45
MCMURDO    120517 300  033500-034000   00     247.65  989.4    279.16     3.50     2.94
MCMURDO    120517 300  034000-034500   00     244.25  989.4    275.44     2.20     1.63
MCMURDO    120517 300  034500-035000   00     247.86  989.6    279.84     3.80     3.22
MCMURDO    120517 300  035000-035500   00     246.56  989.6    278.46     3.30     2.70
MCMURDO    120517 300  035500-040000   00     244.01  989.7    275.66     2.20     1.59
MCMURDO    120517 300  040000-040500   00     246.09  989.7    278.15     3.20     2.58
MCMURDO    120517 300  040500-041000   00     246.83  989.8    279.03     3.50     2.86
MCMURDO    120517 300  041000-041500   00     244.29  989.8    276.19     2.40     1.75
MCMURDO    120517 300  041500-042000   00     247.05  989.8    279.33     3.60     2.94
MCMURDO    120517 300  042000-042500   00     241.27  989.9    273.03     1.30     0.63
MCMURDO    120517 300  042500-043000   00     245.54  989.8    277.74     3.00     2.31
MCMURDO    120517 300  043000-043500   00     243.17  989.7    274.81     1.90     1.20
MCMURDO    120517 300  043500-044000   00     242.37  989.9    274.31     1.70     0.99
MCMURDO    120517 300  044000-044500   00     243.89  989.7    275.64     2.20     1.48
MCMURDO    120517 300  044500-045000   00     242.98  989.8    274.67     1.90     1.16
MCMURDO    120517 300  045000-045500   00     243.25  990.0    275.44     2.20     1.45
MCMURDO    120517 300  045500-050000   00     243.26  990.2    275.95     2.30     1.54
MCMURDO    120517 300  050000-050500   00     244.23  990.1    276.69     2.60     1.83
MCMURDO    120517 300  050500-051000   00     243.72  990.2    276.42     2.50     1.71
MCMURDO    120517 300  051000-051500   00     240.45  990.5    273.36     1.40     0.60
MCMURDO    120517 300  051500-052000   00     240.38  990.5    273.18     1.30     0.49
MCMURDO    120517 300  052000-052500   00     242.24  990.6    275.52     2.20     1.37
MCMURDO    120517 300  052500-053000   00     241.35  990.6    274.61     1.80     0.96
MCMURDO    120517 300  053000-053500   00     240.17  990.6    273.25     1.30     0.45
MCMURDO    120517 300  053500-054000   00     241.53  990.6    274.79     1.90     1.04
MCMURDO    120517 300  054000-054500   00     243.02  990.7    276.55     2.60     1.72
MCMURDO    120517 300  054500-055000   00     240.60  990.8    274.01     1.60     0.71
MCMURDO    120517 300  055000-055500   00     241.66  990.7    275.13     2.00     1.10
MCMURDO    120517 300  055500-060000   00     240.92  990.7    274.21     1.70     0.79
MCMURDO    120517 300  060000-060500   00     241.48  990.8    275.00     2.00     1.07
MCMURDO    120517 300  060500-061000   00     240.26  990.6    273.33     1.40     0.46
MCMURDO    120517 300  061000-061500   00     240.60  990.5    273.56     1.50     0.55
MCMURDO    120517 300  061500-062000   00     239.98  990.5    272.78     1.20     0.24
MCMURDO    120517 300  062000-062500   00     237.46  990.5    270.00     0.10    -0.88
MCMURDO    120517 300  062500-063000   00     240.62  990.5    273.51     1.40     0.41
MCMURDO    120517 300  063000-063500   00     238.77  990.5    271.46     0.70    -0.30
MCMURDO    120517 300  063500-064000   00     239.55  990.5    272.26     1.00    -0.02
MCMURDO    120517 300  064000-064500   00     239.79  990.4    272.41     1.00    -0.03
MCMURDO    120517 300  064500-065000   00     237.99  990.5    270.52     0.30    -0.74
MCMURDO    120517 300  065000-065500   00     239.30  990.5    272.01     0.90    -0.15
MCMURDO    120517 300  065500-070000   00     241.05  990.5    273.98     1.60     0.53
MCMURDO    120517 300  070000-070500   00     239.33  990.5    272.06     0.90    -0.18
MCMURDO    120517 300  070500-071000   00     242.39  990.8    276.04     2.40     1.31
MCMURDO    120517 300  071000-071500   00     234.79  990.5    266.90    -1.00    -2.10
MCMURDO    120517 300  071500-072000   00     240.86  990.6    273.97     1.60     0.48
MCMURDO    120517 300  072000-072500   00     240.31  990.8    273.70     1.50     0.37
MCMURDO    120517 300  072500-073000   00     240.76  990.8    274.19     1.70     0.56
MCMURDO    120517 300  073000-073500   00     240.27  990.8    273.63     1.50     0.35
MCMURDO    120517 300  073500-074000   00     238.19  990.8    271.29     0.60    -0.57
MCMURDO    120517 300  074000-074500   00     239.67  990.8    273.03     1.30     0.12
MCMURDO    120517 300  074500-075000   00     240.79  990.9    274.40     1.80     0.61
MCMURDO    120517 300  075000-075500   00     238.45  990.9    271.83     0.80    -0.41
MCMURDO    120517 300  075500-080000   00     242.12  990.8    275.89     2.30     1.08
MCMURDO    120517 300  080000-080500   00     240.20  990.9    273.87     1.60     0.37
MCMURDO    120517 300  080500-081000   00     240.95  991.0    274.80     1.90    -9999
MCMURDO    120517 300  081000-081500   00     238.99  991.0    272.67     1.10    -9999
MCMURDO    120517 300  081500-082000   00     241.32  990.9    275.12     2.00    -9999
MCMURDO    120517 300  082000-082500   00     239.18  990.9    272.60     1.10    -9999
MCMURDO    120517 300  082500-083000   00     237.28  990.9    270.44     0.30    -9999
MCMURDO    120517 300  083000-083500   00     236.33  990.9    269.49    -0.10    -9999
MCMURDO    120517 300  083500-084000   00     240.33  990.9    274.00     1.60    -9999
MCMURDO    120517 300  084000-084500   00     241.29  990.9    275.02     2.00    -9999
MCMURDO    120517 300  084500-085000   00     238.50  990.9    271.84     0.80    -9999
MCMURDO    120517 300  085000-085500   00     236.83  990.8    269.87     0.10    -9999
MCMURDO    120517 300  085500-090000   00     238.13  990.8    271.34     0.60    -9999
MCMURDO    120517 300  090000-090500   00     239.37  990.7    272.47     1.10    -9999
MCMURDO    120517 300  090500-091000   00     237.97  990.6    270.71     0.40    -9999
MCMURDO    120517 300  091000-091500   00     239.18  990.6    272.00     0.90    -9999
MCMURDO    120517 300  091500-092000   00     237.35  990.6    269.91     0.10    -9999
MCMURDO    120517 300  092000-092500   00     235.28  990.6    267.70    -0.70    -9999
MCMURDO    120517 300  092500-093000   00     237.65  990.6    270.41     0.30    -9999
MCMURDO    120517 300  093000-093500   00     237.48  990.6    270.07     0.20    -9999
MCMURDO    120517 300  093500-094000   00     239.22  990.6    272.03     0.90    -9999
MCMURDO    120517 300  094000-094500   00     237.39  990.7    270.30     0.20    -9999
MCMURDO    120517 300  094500-095000   00     237.12  990.6    269.67     0.00    -9999
MCMURDO    120517 300  095000-095500   00     239.03  990.7    272.15     0.90    -9999
MCMURDO    120517 300  095500-100000   00     238.47  990.7    271.45     0.70    -9999
MCMURDO    120517 300  100000-100500   00     236.89  990.6    269.50     0.00    -9999
MCMURDO    120517 300  100500-101000   00     237.07  990.7    269.93     0.10    -9999
MCMURDO    120517 300  101000-101500   00     238.46  990.8    271.62     0.70    -9999
MCMURDO    120517 300  101500-102000   00     237.69  990.9    270.98     0.50    -9999
MCMURDO    120517 300  102000-102500   00     237.72  990.9    271.03     0.50    -9999
MCMURDO    120517 300  102500-103000   00     237.25  991.0    270.69     0.40    -9999
MCMURDO    120517 300  103000-103500   00     236.29  991.1    269.85     0.10    -9999
MCMURDO    120517 300  103500-104000   00     238.45  991.2    272.45     1.00    -9999
MCMURDO    120517 300  104000-104500   00     234.32  991.1    267.53    -0.80    -9999
MCMURDO    120517 300  104500-105000   00     237.30  991.1    270.95     0.50    -9999
MCMURDO    120517 300  105000-105500   00     236.25  991.1    269.73     0.00    -9999
MCMURDO    120517 300  105500-110000   00     238.46  991.1    272.26     1.00    -9999
MCMURDO    120517 300  110000-110500   00     235.65  991.2    269.30    -0.10    -9999
MCMURDO    120517 300  110500-111000   00     239.09  991.2    273.13     1.30    -9999
MCMURDO    120517 300  111000-111500   00     238.66  991.4    273.02     1.30    -9999
MCMURDO    120517 300  111500-112000   00     233.96  991.3    267.61    -0.70    -9999
MCMURDO    120517 300  112000-112500   00     235.74  991.4    269.69     0.00    -9999
MCMURDO    120517 300  112500-113000   00     238.46  991.5    273.12     1.30    -9999
MCMURDO    120517 300  113000-113500   00     238.06  991.5    272.59     1.10    -9999
MCMURDO    120517 300  113500-114000   00     238.03  991.4    272.44     1.00    -9999
MCMURDO    120517 300  114000-114500   00     238.13  991.4    272.43     1.00    -9999
MCMURDO    120517 300  114500-115000   00     236.59  991.3    270.58     0.40    -9999
MCMURDO    120517 300  115000-115500   00     234.96  991.3    268.58    -0.40    -9999
MCMURDO    120517 300  115500-120000   00     237.58  991.5    272.04     0.90    -9999
MCMURDO    120517 300  120000-120500   00     238.45  991.4    272.90     1.20    -9999
MCMURDO    120517 300  120500-121000   00     237.47  991.4    271.68     0.80    -9999
MCMURDO    120517 300  121000-121500   00     236.24  991.5    270.46     0.30    -9999
MCMURDO    120517 300  121500-122000   00     237.54  991.6    272.17     0.90    -9999
MCMURDO    120517 300  122000-122500   00     238.26  991.6    273.04     1.30    -9999
MCMURDO    120517 300  122500-123000   00     238.31  991.5    272.95     1.20    -9999
MCMURDO    120517 300  123000-123500   00     237.42  991.7    272.28     1.00    -9999
MCMURDO    120517 300  123500-124000   00     237.74  991.5    272.25     1.00    -9999
MCMURDO    120517 300  124000-124500   00     234.67  991.7    269.03    -0.20    -9999
MCMURDO    120517 300  124500-125000   00     239.94  991.5    274.80     1.90    -9999
MCMURDO    120517 300  125000-125500   00     239.30  991.6    274.21     1.70    -9999
MCMURDO    120517 300  125500-130000   00     237.93  991.6    272.60     1.10    -9999
MCMURDO    120517 300  130000-130500   00     237.73  991.3    271.88     0.80    -9999
MCMURDO    120517 300  130500-131000   00     238.58  991.3    272.70     1.10    -9999
MCMURDO    120517 300  131000-131500   00     238.06  991.4    272.38     1.00    -9999
MCMURDO    120517 300  131500-132000   00     242.14  991.3    276.83     2.70    -9999
MCMURDO    120517 300  132000-132500   00     237.72  991.0    271.23     0.60    -9999
MCMURDO    120517 300  132500-133000   00     239.20  991.0    272.84     1.20    -9999
MCMURDO    120517 300  133000-133500   00     240.02  991.1    274.10     1.70    -9999
MCMURDO    120517 300  133500-134000   00     240.80  990.9    274.57     1.80    -9999
MCMURDO    120517 300  134000-134500   00     237.89  990.9    271.11     0.50    -9999
MCMURDO    120517 300  134500-135000   00     240.46  990.9    274.13     1.70    -9999
MCMURDO    120517 300  135000-135500   00     241.40  990.9    275.19     2.10    -9999
MCMURDO    120517 300  135500-140000   00     241.99  990.8    275.59     2.20    -9999
MCMURDO    120517 300  140000-140500   00     243.21  990.7    276.79     2.70    -9999
MCMURDO    120517 300  140500-141000   00     240.57  990.6    273.67     1.50    -9999
MCMURDO    120517 300  141000-141500   00     238.59  990.6    271.43     0.70    -9999
MCMURDO    120517 300  141500-142000   00     239.75  990.5    272.55     1.10    -9999
MCMURDO    120517 300  142000-142500   00     241.64  990.4    274.44     1.80    -9999
MCMURDO    120517 300  142500-143000   00     242.61  990.6    275.88     2.30    -9999
MCMURDO    120517 300  143000-143500   00     242.26  990.3    274.94     2.00    -9999
MCMURDO    120517 300  143500-144000   00     240.86  990.5    273.70     1.50    -9999
MCMURDO    120517 300  144000-144500   00     241.10  990.5    274.01     1.60    -9999
MCMURDO    120517 300  144500-145000   00     242.73  990.2    275.35     2.10    -9999
MCMURDO    120517 300  145000-145500   00     240.67  990.1    272.82     1.20    -9999
MCMURDO    120517 300  145500-150000   00     238.84  990.3    271.16     0.60    -9999
MCMURDO    120517 300  150000-150500   00     240.92  990.4    273.70     1.50    -9999
MCMURDO    120517 300  150500-151000   00     242.91  990.1    275.20     2.10    -9999
MCMURDO    120517 300  151000-151500   00     240.15  990.0    272.05     0.90    -9999
MCMURDO    120517 300  151500-152000   00     244.39  990.0    276.81     2.70    -9999
MCMURDO    120517 300  152000-152500   00     244.19  989.9    276.31     2.50    -9999
MCMURDO    120517 300  152500-153000   00     241.41  989.8    273.02     1.30    -9999
MCMURDO    120517 300  153000-153500   00     240.42  990.0    272.15     0.90    -9999
MCMURDO    120517 300  153500-154000   00     242.66  990.0    274.77     1.90    -9999
MCMURDO    120517 300  154000-154500   00     241.87  989.8    273.46     1.40    -9999
MCMURDO    120517 300  154500-155000   00     243.29  989.7    274.88     1.90    -9999
MCMURDO    120517 300  155000-155500   00     239.63  989.7    270.69     0.40    -9999
MCMURDO    120517 300  155500-160000   00     241.75  989.7    273.08     1.30    -9999
MCMURDO    120517 300  160000-160500   00     243.94  989.9    275.93     2.30    -9999
MCMURDO    120517 300  160500-161000   00     244.78  989.7    276.64     2.60    -9999
MCMURDO    120517 300  161000-161500   00     240.61  989.5    271.43     0.70    -9999
MCMURDO    120517 300  161500-162000   00     243.11  989.5    274.22     1.70    -9999
MCMURDO    120517 300  162000-162500   00     241.91  989.5    272.98     1.20    -9999
MCMURDO    120517 300  162500-163000   00     242.78  989.8    274.53     1.80    -9999
MCMURDO    120517 300  163000-163500   00     241.67  989.4    272.36     1.00    -9999
MCMURDO    120517 300  163500-164000   00     240.23  989.3    270.64     0.40    -9999
MCMURDO    120517 300  164000-164500   00     243.17  989.7    274.67     1.90    -9999
MCMURDO    120517 300  164500-165000   00     241.86  989.7    273.35     1.40    -9999
MCMURDO    120517 300  165000-165500   00     241.63  989.7    273.04     1.30    -9999
MCMURDO    120517 300  165500-170000   00     242.63  989.9    274.46     1.80    -9999
MCMURDO    120517 300  170000-170500   00     242.12  989.9    273.98     1.60    -9999
MCMURDO    120517 300  170500-171000   00     242.16  989.7    273.59     1.50    -9999
MCMURDO    120517 300  171000-171500   00     243.45  989.7    275.09     2.00    -9999
MCMURDO    120517 300  171500-172000   00     242.80  989.6    274.13     1.70    -9999
MCMURDO    120517 300  172000-172500   00     242.18  989.5    273.33     1.40    -9999
MCMURDO    120517 300  172500-173000   00     241.71  989.6    272.80     1.20    -9999
MCMURDO    120517 300  173000-173500   00     241.43  989.7    272.86     1.20    -9999
MCMURDO    120517 300  173500-174000   00     241.77  989.8    273.39     1.40    -9999
MCMURDO    120517 300  174000-174500   00     241.88  989.8    273.46     1.40    -9999
MCMURDO    120517 300  174500-175000   00     239.35  989.8    270.70     0.40    -9999
MCMURDO    120517 300  175000-175500   00     241.81  989.7    273.26     1.30    -9999
MCMURDO    120517 300  175500-180000   00     239.43  989.5    270.07     0.20    -9999
MCMURDO    120517 300  180000-180500   00     241.85  989.7    273.22     1.30    -9999
MCMURDO    120517 300  180500-181000   00     239.53  989.6    270.35     0.30    -9999
MCMURDO    120517 300  181000-181500   00     240.21  989.7    271.49     0.70    -9999
MCMURDO    120517 300  181500-182000   00     241.37  989.4    272.13     0.90    -9999
MCMURDO    120517 300  182000-182500   00     242.77  989.5    273.97     1.60    -9999
MCMURDO    120517 300  182500-183000   00     245.69  989.6    277.44     2.90    -9999
