NAIN       LATITUDE    56.6      LONGITUDE     -61.7     ALTITUDE    0 M
NAIN       INSTRUMENT   18NM64    NEUTRON MONITOR     	
NAIN       STANDARD PRESSURE    1005.7  mb     COEFFICIENT   -0.75     % / mb
NAIN       PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
NAIN       PRE-INCREASE AVERAGE COUNTING RATE    191.13      COUNTS PER SECOND
NAIN       TIME INTERVALS    300         3600     
NAIN       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
NAIN       031028 300  150000-150500   00     231.36  990.3    206.11     7.80     7.37
NAIN       031028 300  150500-151000   00     229.70  990.0    204.23     6.90     6.47
NAIN       031028 300  151000-151500   00     230.24  989.8    204.30     6.90     6.47
NAIN       031028 300  151500-152000   00     228.88  989.5    202.68     6.00     5.56
NAIN       031028 300  152000-152500   00     230.06  989.2    203.32     6.40     5.96
NAIN       031028 300  152500-153000   00     230.68  989.0    203.46     6.50     6.06
NAIN       031028 300  153000-153500   00     232.18  988.7    204.38     6.90     6.45
NAIN       031028 300  153500-154000   00     230.46  988.4    202.46     5.90     5.45
NAIN       031028 300  154000-154500   00     233.42  988.2    204.65     7.10     6.64
NAIN       031028 300  154500-155000   00     230.74  987.9    201.90     5.60     5.14
NAIN       031028 300  155000-155500   00     233.14  987.6    203.59     6.50     6.04
NAIN       031028 300  155500-160000   00     236.76  987.4    206.33     8.00     7.53
NAIN       031028 300  160000-160500   00     236.56  987.2    205.84     7.70     7.23
NAIN       031028 300  160500-161000   00     236.26  987.0    205.42     7.50     7.03
NAIN       031028 300  161000-161500   00     236.26  986.9    205.25     7.40     6.92
NAIN       031028 300  161500-162000   00     235.36  986.8    204.30     6.90     6.42
NAIN       031028 300  162000-162500   00     239.98  986.7    208.14     8.90     8.42
NAIN       031028 300  162500-163000   00     238.18  986.6    206.42     8.00     7.51
NAIN       031028 300  163000-163500   00     240.64  986.5    208.38     9.00     8.51
