SOPO-6NM64 LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOPO-6NM64 INSTRUMENT   6NM64b    NEUTRON MONITOR	
SOPO-6NM64 STANDARD PRESSURE    687.7   MB     COEFFICIENT   -0.75     % / MB
SOPO-6NM64 PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
SOPO-6NM64 PRE-INCREASE AVERAGE COUNTING RATE    160.16      COUNTS PER SECOND
SOPO-6NM64 TIME INTERVALS    300         3600     
SOPO-6NM64 SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOPO-6NM64 211028 300  191500-192000   00     162.71  682.2    165.42     3.28     3.53
SOPO-6NM64 211028 300  192000-192500   00     161.93  682.2    164.65     2.80     3.05
SOPO-6NM64 211028 300  192500-193000   00     163.58  682.2    166.36     3.87     4.13
SOPO-6NM64 211028 300  193000-193500   00     161.82  682.3    164.62     2.79     3.05
SOPO-6NM64 211028 300  193500-194000   00     162.82  682.4    165.75     3.49     3.76
SOPO-6NM64 211028 300  194000-194500   00     161.33  682.4    164.29     2.58     2.85
SOPO-6NM64 211028 300  194500-195000   00     161.32  682.4    164.27     2.57     2.84
SOPO-6NM64 211028 300  195000-195500   00     159.89  682.4    162.79     1.64     1.92
SOPO-6NM64 211028 300  195500-200000   00     161.26  682.4    164.21     2.53     2.81
SOPO-6NM64 211028 300  200000-200500   00     160.13  682.5    163.13     1.85     2.14
SOPO-6NM64 211028 300  200500-201000   00     161.36  682.5    164.43     2.67     2.96
SOPO-6NM64 211028 300  201000-201500   00     160.29  682.5    163.38     2.01     2.30
SOPO-6NM64 211028 300  201500-202000   00     161.45  682.6    164.61     2.78     3.08
SOPO-6NM64 211028 300  202000-202500   00     160.15  682.6    163.32     1.97     2.27
SOPO-6NM64 211028 300  202500-203000   00     161.84  682.6    165.06     3.06     3.37
SOPO-6NM64 211028 300  203000-203500   00     159.14  682.6    162.33     1.35     1.66
SOPO-6NM64 211028 300  203500-204000   00     160.46  682.7    163.74     2.23     2.54
SOPO-6NM64 211028 300  204000-204500   00     160.38  682.7    163.69     2.20     2.52
SOPO-6NM64 211028 300  204500-205000   00     161.12  682.7    164.47     2.69     3.01
SOPO-6NM64 211028 300  205000-205500   00     159.58  682.8    162.95     1.74     2.07
SOPO-6NM64 211028 300  205500-210000   00     160.31  682.8    163.70     2.21     2.54
SOPO-6NM64 211028 300  210000-210500   00     160.08  682.7    163.40     2.02     2.35
SOPO-6NM64 211028 300  210500-211000   00     159.32  682.8    162.67     1.57     1.91
SOPO-6NM64 211028 300  211000-211500   00     159.44  682.8    162.89     1.71     2.05
SOPO-6NM64 211028 300  211500-212000   00     160.22  682.9    163.71     2.22     2.57
SOPO-6NM64 211028 300  212000-212500   00     160.08  682.9    163.57     2.13     2.48
SOPO-6NM64 211028 300  212500-213000   00     160.29  682.9    163.78     2.26     2.61
SOPO-6NM64 211028 300  213000-213500   00     158.89  682.9    162.36     1.37     1.73
SOPO-6NM64 211028 300  213500-214000   00     159.12  682.9    162.64     1.55     1.91
