KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.25     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
KERGUELEN  STANDARD PRESSURE    750     MMHG   COEFFICIENT   -1.01     % / MMHG
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    187.63      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300         3600     
KERGUELEN  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
KERGUELEN  031027 300  144000-144500   10     194.40  749.1    192.40     2.50    -9999
KERGUELEN  031027 300  144500-145000   10     194.93  749.0    192.93     2.80    -9999
KERGUELEN  031027 300  145000-145500   10     195.60  748.7    192.80     2.80    -9999
KERGUELEN  031027 300  145500-150000   10     196.67  748.5    193.47     3.10    -9999
KERGUELEN  031027 300  150000-150500   10     196.67  748.4    193.33     3.00    -9999
KERGUELEN  031027 300  150500-151000   10     194.67  748.5    191.47     2.00    -9999
KERGUELEN  031027 300  151000-151500   10     194.27  748.3    190.67     1.60    -9999
KERGUELEN  031027 300  151500-152000   10     195.73  748.4    192.53     2.60    -9999
KERGUELEN  031027 300  152000-152500   10     194.67  748.2    191.07     1.80    -9999
KERGUELEN  031027 300  152500-153000   10     195.60  748.2    192.00     2.30    -9999
KERGUELEN  031027 300  153000-153500   10     196.27  748.0    192.27     2.50    -9999
KERGUELEN  031027 300  153500-154000   10     198.80  747.7    194.00     3.40    -9999
KERGUELEN  031027 300  154000-154500   10     197.20  747.6    192.40     2.50    -9999
KERGUELEN  031027 300  154500-155000   10     196.93  747.7    192.13     2.40    -9999
KERGUELEN  031027 300  155000-155500   10     196.93  747.7    192.13     2.40    -9999
KERGUELEN  031027 300  155500-160000   10     196.67  747.5    191.47     2.00    -9999
KERGUELEN  031027 300  160000-160500   10     198.27  747.5    193.07     2.90    -9999
KERGUELEN  031027 300  160500-161000   10     198.27  747.3    192.67     2.70    -9999
KERGUELEN  031027 300  161000-161500   10     196.27  747.1    190.40     1.50    -9999
KERGUELEN  031027 300  161500-162000   10     198.53  746.9    192.13     2.40    -9999
KERGUELEN  031027 300  162000-162500   10     197.07  747.0    191.07     1.80    -9999
KERGUELEN  031027 300  162500-163000   10     197.60  746.9    191.20     1.90    -9999
KERGUELEN  031027 300  163000-163500   10     198.80  747.0    192.80     2.80    -9999
KERGUELEN  031027 300  163500-164000   10     196.93  746.8    190.53     1.50    -9999
KERGUELEN  031027 300  164000-164500   10     196.80  746.9    190.53     1.50    -9999
KERGUELEN  031027 300  164500-165000   10     194.40  746.8    188.00     0.20    -9999
KERGUELEN  031027 300  165000-165500   10     198.27  746.6    191.47     2.00    -9999
KERGUELEN  031027 300  165500-170000   10     197.60  746.5    190.53     1.50    -9999
KERGUELEN  031027 300  170000-170500   10     199.20  746.4    191.87     2.30    -9999
KERGUELEN  031027 300  170500-171000   10     200.80  746.2    193.20     3.00    -9999
KERGUELEN  031027 300  171000-171500   10     198.40  746.1    190.53     1.50    -9999
KERGUELEN  031027 300  171500-172000   10     197.87  745.8    189.47     1.00    -9999
KERGUELEN  031027 300  172000-172500   10     200.13  745.4    190.80     1.70    -9999
KERGUELEN  031027 300  172500-173000   10     201.47  745.2    191.87     2.30    -9999
KERGUELEN  031027 300  173000-173500   10     203.07  745.5    193.87     3.30    -9999
KERGUELEN  031027 300  173500-174000   10     201.07  745.3    191.47     2.00    -9999
KERGUELEN  031027 300  174000-174500   10     202.67  744.9    192.27     2.50    -9999
KERGUELEN  031027 300  174500-175000   10     204.13  744.9    193.73     3.30    -9999
KERGUELEN  031027 300  175000-175500   10     204.13  744.6    193.20     3.00    -9999
KERGUELEN  031027 300  175500-180000   10     203.47  745.0    193.07     2.90    -9999
KERGUELEN  031027 300  180000-180500   10     203.33  744.9    192.93     2.80    -9999
KERGUELEN  031027 300  180500-181000   10     202.40  744.7    191.60     2.10    -9999
KERGUELEN  031027 300  181000-181500   10     204.27  744.6    193.20     3.00    -9999
KERGUELEN  031027 300  181500-182000   10     199.47  744.4    188.27     0.30    -9999
KERGUELEN  031027 300  182000-182500   10     199.20  744.2    187.60     0.00    -9999
KERGUELEN  031027 300  182500-183000   10     203.87  744.2    192.00     2.30    -9999
KERGUELEN  031027 300  183000-183500   10     203.87  744.1    191.87     2.30    -9999
KERGUELEN  031027 300  183500-184000   10     204.27  744.0    192.00     2.30    -9999
KERGUELEN  031027 300  184000-184500   10     204.93  744.1    192.93     2.80    -9999
KERGUELEN  031027 300  184500-185000   10     204.67  743.8    191.87     2.30    -9999
KERGUELEN  031027 300  185000-185500   10     204.13  744.0    191.87     2.30    -9999
KERGUELEN  031027 300  185500-190000   10     206.13  744.0    193.73     3.30    -9999
KERGUELEN  031027 300  190000-190500   10     204.93  743.9    192.53     2.60    -9999
KERGUELEN  031027 300  190500-191000   10     203.20  743.4    189.73     1.10    -9999
KERGUELEN  031027 300  191000-191500   10     205.20  743.2    191.47     2.00    -9999
KERGUELEN  031027 300  191500-192000   10     204.40  743.1    190.40     1.50    -9999
KERGUELEN  031027 300  192000-192500   10     205.47  743.0    191.33     2.00    -9999
KERGUELEN  031027 300  192500-193000   10     209.20  742.9    194.40     3.60    -9999
KERGUELEN  031027 300  193000-193500   10     207.33  742.8    192.53     2.60    -9999
KERGUELEN  031027 300  193500-194000   10     207.60  742.7    192.53     2.60    -9999
KERGUELEN  031027 300  194000-194500   10     209.20  742.8    194.40     3.60    -9999
KERGUELEN  031027 300  194500-195000   10     207.47  742.5    192.13     2.40    -9999
KERGUELEN  031027 300  195000-195500   10     206.93  742.2    191.07     1.80    -9999
KERGUELEN  031027 300  195500-200000   10     208.53  742.1    192.27     2.50    -9999
