DOMC       LATITUDE    75.1      LONGITUDE     -123.38   ALTITUDE    3233 M
DOMC       INSTRUMENT   MINI NEUTRON MONITOR	
DOMC       STANDARD PRESSURE    650     MB     COEFFICIENT   -0.754    % / MB
DOMC       PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
DOMC       PRE-INCREASE AVERAGE COUNTING RATE     18.61      COUNTS PER SECOND
DOMC       TIME INTERVALS    300         3600     
DOMC       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOMC       211028 300  174000-174500   00      27.38  626.4     19.91     6.98     6.85
DOMC       211028 300  174500-175000   00      27.03  626.5     19.66     5.64     5.51
DOMC       211028 300  175000-175500   00      26.68  626.5     19.41     4.31     4.18
DOMC       211028 300  175500-180000   00      27.39  626.5     19.93     7.08     6.94
DOMC       211028 300  180000-180500   00      27.39  626.5     19.93     7.08     6.94
DOMC       211028 300  180500-181000   00      26.52  626.6     19.30     3.70     3.56
DOMC       211028 300  181000-181500   00      27.48  626.6     20.00     7.49     7.34
DOMC       211028 300  181500-182000   00      27.36  626.6     19.92     7.06     6.91
DOMC       211028 300  182000-182500   00      26.20  626.7     19.07     2.52     2.37
DOMC       211028 300  182500-183000   00      27.39  626.7     19.95     7.22     7.06
DOMC       211028 300  183000-183500   00      26.67  626.7     19.42     4.39     4.23
DOMC       211028 300  183500-184000   00      26.57  626.7     19.35     4.02     3.86
DOMC       211028 300  184000-184500   00      26.45  626.7     19.27     3.59     3.43
DOMC       211028 300  184500-185000   00      26.36  626.8     19.21     3.26     3.09
DOMC       211028 300  185000-185500   00      27.16  626.8     19.81     6.44     6.27
DOMC       211028 300  185500-190000   00      26.72  626.8     19.48     4.71     4.54
DOMC       211028 300  190000-190500   00      26.76  626.8     19.51     4.87     4.69
DOMC       211028 300  190500-191000   00      26.16  626.9     19.08     2.53     2.35
DOMC       211028 300  191000-191500   00      26.91  626.9     19.63     5.48     5.30
DOMC       211028 300  191500-192000   00      26.35  626.9     19.23     3.35     3.17
DOMC       211028 300  192000-192500   00      26.24  627.0     19.16     2.95     2.76
DOMC       211028 300  192500-193000   00      26.56  627.0     19.39     4.22     4.03
DOMC       211028 300  193000-193500   00      26.23  627.1     19.16     2.98     2.79
DOMC       211028 300  193500-194000   00      26.50  627.1     19.36     4.03     3.83
DOMC       211028 300  194000-194500   00      26.33  627.1     19.24     3.38     3.18
DOMC       211028 300  194500-195000   00      26.70  627.1     19.51     4.88     4.68
DOMC       211028 300  195000-195500   00      26.47  627.2     19.36     4.02     3.82
DOMC       211028 300  195500-200000   00      26.75  627.2     19.56     5.14     4.93
DOMC       211028 300  200000-200500   00      26.63  627.3     19.49     4.75     4.54
DOMC       211028 300  200500-201000   00      25.77  627.4     18.87     1.40     1.19
DOMC       211028 300  201000-201500   00      25.82  627.4     18.91     1.62     1.40
DOMC       211028 300  201500-202000   00      25.50  627.4     18.68     0.39     0.17
DOMC       211028 300  202000-202500   00      26.41  627.5     19.35     4.01     3.79
DOMC       211028 300  202500-203000   00      26.07  627.5     19.11     2.69     2.46
DOMC       211028 300  203000-203500   00      25.98  627.6     19.05     2.39     2.16
DOMC       211028 300  203500-204000   00      26.12  627.6     19.16     2.96     2.73
DOMC       211028 300  204000-204500   00      25.90  627.6     19.00     2.12     1.89
DOMC       211028 300  204500-205000   00      25.81  627.7     18.94     1.79     1.55
DOMC       211028 300  205000-205500   00      26.27  627.7     19.29     3.65     3.41
DOMC       211028 300  205500-210000   00      25.98  627.8     19.08     2.55     2.31
DOMC       211028 300  210000-210500   00      26.19  627.8     19.24     3.40     3.15
DOMC       211028 300  210500-211000   00      25.90  627.8     19.03     2.28     2.03
DOMC       211028 300  211000-211500   00      25.46  627.9     18.71     0.55     0.30
DOMC       211028 300  211500-212000   00      26.17  627.9     19.23     3.38     3.13
DOMC       211028 300  212000-212500   00      25.50  627.9     18.75     0.75     0.49
DOMC       211028 300  212500-213000   00      26.13  628.0     19.22     3.29     3.03
DOMC       211028 300  213000-213500   00      25.60  628.0     18.83     1.20     0.94
DOMC       211028 300  213500-214000   00      25.11  628.0     18.47    -0.73    -1.00
DOMC       211028 300  214000-214500   00      25.69  628.0     18.91     1.61     1.34
DOMC       211028 300  214500-215000   00      25.81  628.1     19.00     2.11     1.84
DOMC       211028 300  215000-215500   00      25.17  628.1     18.53    -0.40    -0.67
DOMC       211028 300  215500-220000   00      25.50  628.1     18.78     0.92     0.64
DOMC       211028 300  220000-220500   00      25.52  628.1     18.79     0.98     0.70
DOMC       211028 300  220500-221000   00      26.01  628.1     19.15     2.94     2.66
DOMC       211028 300  221000-221500   00      25.45  628.2     18.74     0.74     0.45
DOMC       211028 300  221500-222000   00      25.36  628.2     18.68     0.41     0.12
DOMC       211028 300  222000-222500   00      26.02  628.2     19.18     3.06     2.77
DOMC       211028 300  222500-223000   00      25.02  628.2     18.44    -0.91    -1.21
DOMC       211028 300  223000-223500   00      25.61  628.3     18.88     1.45     1.15
