OULU       LATITUDE    65.01     LONGITUDE     25.51     ALTITUDE    15 M
OULU       INSTRUMENT   9-NM-64  NEUTRON MONITOR	
OULU       STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.74     % / MB
OULU       PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
OULU       PRE-INCREASE AVERAGE COUNTING RATE     88.65      COUNTS PER SECOND
OULU       TIME INTERVALS    300         3600     
OULU       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
OULU       000714 300  152000-152500   00      92.72 1002.6     94.52     6.60     6.34
OULU       000714 300  152500-153000   00      92.10 1002.5     93.85     5.90     5.64
OULU       000714 300  153000-153500   00      92.21 1002.6     93.97     6.00     5.73
OULU       000714 300  153500-154000   00      91.05 1002.6     92.85     4.70     4.43
OULU       000714 300  154000-154500   00      92.43 1002.7     94.30     6.40     6.13
OULU       000714 300  154500-155000   00      92.43 1002.8     94.33     6.40     6.13
OULU       000714 300  155000-155500   00      91.31 1002.8     93.23     5.20     4.92
OULU       000714 300  155500-160000   00      90.18 1002.8     92.06     3.90     3.62
OULU       000714 300  160000-160500   00      90.59 1002.8     92.50     4.30     4.02
OULU       000714 300  160500-161000   00      90.92 1002.9     92.91     4.80     4.51
OULU       000714 300  161000-161500   00      91.40 1003.1     93.52     5.50     5.21
OULU       000714 300  161500-162000   00      91.11 1003.2     93.28     5.20     4.91
OULU       000714 300  162000-162500   00      90.49 1003.2     92.66     4.50     4.21
OULU       000714 300  162500-163000   00      90.17 1003.1     92.25     4.10     3.80
OULU       000714 300  163000-163500   00      92.19 1003.0     94.23     6.30     6.00
OULU       000714 300  163500-164000   00      91.20 1002.9     93.20     5.10     4.80
OULU       000714 300  164000-164500   00      89.56 1003.0     91.56     3.30     2.99
OULU       000714 300  164500-165000   00      89.11 1003.0     91.11     2.80     2.49
OULU       000714 300  165000-165500   00      90.12 1003.0     92.13     3.90     3.59
OULU       000714 300  165500-170000   00      89.97 1003.0     91.95     3.70     3.39
OULU       000714 3600 170000-180000   00      88.43 1003.1     90.49     2.10     1.77
OULU       000714 3600 180000-190000   00      87.84 1003.9     90.38     2.00     1.63
OULU       000714 3600 190000-200000   00      88.12 1004.0     90.74     2.40     1.99
OULU       000714 3600 200000-210000   00      87.86 1003.7     90.29     1.90     1.45
OULU       000714 3600 210000-220000   00      87.29 1004.3     90.08     1.60     1.11
OULU       000714 3600 220000-230000   00      86.24 1004.4     89.08     0.50    -0.03
OULU       000714 3600 230000-240000   00      86.55 1004.4     89.42     0.90     0.33
OULU       000715 3600 000000-010000   00      86.41 1004.3     89.22     0.60    -9999
OULU       000715 3600 010000-020000   00      85.63 1004.7     88.63     0.00    -9999
OULU       000715 3600 020000-030000   00      86.08 1005.0     89.35     0.80    -9999
OULU       000715 3600 030000-040000   00      85.86 1005.2     89.25     0.70    -9999
OULU       000715 3600 040000-050000   00      85.79 1005.4     89.28     0.70    -9999
OULU       000715 3600 050000-060000   00      85.79 1005.6     89.43     0.90    -9999
OULU       000715 3600 060000-070000   00      86.89 1004.8     90.04     1.60    -9999
OULU       000715 3600 070000-080000   00      85.76 1006.0     89.64     1.10    -9999
OULU       000715 3600 080000-090000   00      85.35 1006.4     89.49     0.90    -9999
OULU       000715 3600 090000-100000   00      85.07 1006.7     89.42     0.90    -9999
OULU       000715 3600 100000-110000   00      85.15 1006.6     89.44     0.90    -9999
OULU       000715 3600 110000-120000   00      85.38 1006.4     89.50     1.00    -9999
OULU       000715 3600 120000-130000   00      85.16 1005.8     88.88     0.30    -9999
OULU       000715 3600 130000-140000   00      85.01 1005.2     88.37    -0.30    -9999
OULU       000715 3600 140000-150000   00      84.84 1004.8     87.87    -0.90    -9999
OULU       000715 3600 150000-160000   00      83.56 1004.5     86.38    -2.60    -9999
OULU       000715 3600 160000-170000   00      83.97 1003.5     86.19    -2.80    -9999
OULU       000715 3600 170000-180000   00      84.29 1003.4     86.41    -2.50    -9999
OULU       000715 3600 180000-190000   00      83.67 1003.0     85.54    -3.50    -9999
OULU       000715 3600 190000-200000   00      82.68 1003.3     84.75    -4.40    -9999
OULU       000715 3600 200000-210000   00      80.15 1003.9     82.51    -6.90    -9999
OULU       000715 3600 210000-220000   00      80.19 1002.9     81.91    -7.60    -9999
OULU       000715 3600 220000-230000   00      79.21 1002.4     80.60    -9.10    -9999
OULU       000715 3600 230000-240000   00      79.57 1002.3     80.96    -8.70    -9999
*
*	
*COMMENT    DATA VERIFIED BY ILYA USOSKIN OF THE UNIVERSITY OF OULU	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2022-05-13 14:50:50 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE59/C059OULU_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
