IRKUTSK2   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    2000 M
IRKUTSK2   INSTRUMENT   12NM64    NEUTRON MONITOR     
IRKUTSK2   STANDARD PRESSURE    802.3   mb     COEFFICIENT   -0.713    % / mb
IRKUTSK2   PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
IRKUTSK2   PRE-INCREASE AVERAGE COUNTING RATE    177.36      COUNTS PER SECOND
IRKUTSK2   TIME INTERVALS    300         3600     
IRKUTSK2   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK2   031028 300  162500-163000   00     178.05  803.8    179.92     1.20     0.43
IRKUTSK2   031028 300  163000-163500   00     177.73  803.7    179.57     1.00     0.22
IRKUTSK2   031028 300  163500-164000   00     176.83  803.7    178.63     0.40    -0.39
IRKUTSK2   031028 300  164000-164500   00     177.59  803.7    179.37     0.90     0.10
IRKUTSK2   031028 300  164500-165000   00     178.54  803.7    180.28     1.40     0.59
IRKUTSK2   031028 300  165000-165500   00     178.08  803.6    179.79     1.10     0.28
IRKUTSK2   031028 300  165500-170000   00     178.63  803.6    180.31     1.40     0.57
IRKUTSK2   031028 300  170000-170500   00     178.16  803.6    179.81     1.10     0.26
IRKUTSK2   031028 300  170500-171000   00     178.59  803.6    180.21     1.30     0.45
IRKUTSK2   031028 300  171000-171500   00     179.01  803.5    180.60     1.50     0.64
IRKUTSK2   031028 300  171500-172000   00     178.51  803.5    180.06     1.20     0.33
IRKUTSK2   031028 300  172000-172500   00     178.37  803.5    179.89     1.10     0.22
IRKUTSK2   031028 300  172500-173000   00     178.64  803.5    180.13     1.30     0.41
IRKUTSK2   031028 300  173000-173500   00     179.20  803.4    180.66     1.60     0.70
IRKUTSK2   031028 300  173500-174000   00     178.17  803.4    179.59     1.00     0.10
IRKUTSK2   031028 300  174000-174500   00     179.45  803.4    180.85     1.70     0.79
IRKUTSK2   031028 300  174500-175000   00     180.12  803.4    181.49     2.00     1.08
IRKUTSK2   031028 300  175000-175500   00     177.82  803.3    179.14     0.70    -0.23
IRKUTSK2   031028 300  175500-180000   00     177.56  803.3    178.85     0.60    -0.34
IRKUTSK2   031028 300  180000-180500   00     179.72  803.3    180.98     1.80     0.85
IRKUTSK2   031028 300  180500-181000   00     177.78  803.2    178.94     0.60    -9999
IRKUTSK2   031028 300  181000-181500   00     179.11  803.2    180.21     1.30    -9999
IRKUTSK2   031028 300  181500-182000   00     179.63  803.1    180.66     1.60    -9999
IRKUTSK2   031028 300  182000-182500   00     178.81  803.0    179.76     1.10    -9999
IRKUTSK2   031028 300  182500-183000   00     178.64  803.0    179.52     0.90    -9999
IRKUTSK2   031028 300  183000-183500   00     179.11  802.9    179.91     1.20    -9999
IRKUTSK2   031028 300  183500-184000   00     179.57  802.9    180.29     1.40    -9999
IRKUTSK2   031028 300  184000-184500   00     179.18  802.8    179.83     1.10    -9999
IRKUTSK2   031028 300  184500-185000   00     182.21  802.8    182.80     2.80    -9999
IRKUTSK2   031028 300  185000-185500   00     179.98  802.7    180.48     1.50    -9999
IRKUTSK2   031028 300  185500-190000   00     179.06  802.6    179.49     0.90    -9999
IRKUTSK2   031028 300  190000-190500   00     178.86  802.6    179.21     0.80    -9999
IRKUTSK2   031028 300  190500-191000   00     180.26  802.5    180.53     1.50    -9999
IRKUTSK2   031028 300  191000-191500   00     178.46  802.4    178.64     0.40    -9999
