TIXIE BAY  LATITUDE    71.6      LONGITUDE     128.9     ALTITUDE    0 M
TIXIE BAY  INSTRUMENT   18NM64    NEUTRON MONITOR     	
TIXIE BAY  STANDARD PRESSURE    1000.8  mb     COEFFICIENT   -0.72     % / mb
TIXIE BAY  031028 300  144000-144500   00      12.20  999.7     12.10     4.20     4.59
TIXIE BAY  031028 300  144500-145000   00      12.17  999.6     12.07     3.90     4.29
TIXIE BAY  031028 300  145000-145500   00      12.02  999.6     11.92     2.60     3.00
TIXIE BAY  031028 300  145500-150000   00      12.05  999.6     11.95     2.90     3.31
TIXIE BAY  031028 300  150000-150500   00      12.20  999.6     12.09     4.20     4.62
TIXIE BAY  031028 300  150500-151000   00      12.20  999.6     12.09     4.20     4.62
TIXIE BAY  031028 300  151000-151500   00      12.27  999.6     12.16     4.70     5.13
TIXIE BAY  031028 300  151500-152000   00      12.32  999.6     12.21     5.20     5.64
TIXIE BAY  031028 300  152000-152500   00      12.22  999.6     12.11     4.30     4.74
TIXIE BAY  031028 300  152500-153000   00      12.07  999.6     11.96     3.00     3.45
TIXIE BAY  031028 300  153000-153500   00      12.18  999.5     12.07     4.00     4.46
TIXIE BAY  031028 300  153500-154000   00      12.37  999.5     12.25     5.60     6.06
TIXIE BAY  031028 300  154000-154500   00      12.22  999.5     12.11     4.30     4.77
TIXIE BAY  031028 300  154500-155000   00      12.38  999.5     12.27     5.70     6.18
TIXIE BAY  031028 300  155000-155500   00      12.27  999.5     12.15     4.70     5.18
TIXIE BAY  031028 300  155500-160000   00      12.22  999.5     12.10     4.30     4.79
TIXIE BAY  031028 300  160000-160500   00      12.08  999.5     11.97     3.10     3.60
TIXIE BAY  031028 300  160500-161000   00      12.48  999.5     12.36     6.50     7.00
TIXIE BAY  031028 300  161000-161500   00      12.20  999.5     12.08     4.10     4.61
TIXIE BAY  031028 300  161500-162000   00      12.28  999.4     12.16     4.80     5.32
TIXIE BAY  031028 300  162000-162500   00      12.45  999.4     12.33     6.20     6.72
TIXIE BAY  031028 300  162500-163000   00      12.33  999.4     12.21     5.20     5.73
TIXIE BAY  031028 300  163000-163500   00      12.12  999.4     11.99     3.30     3.84
TIXIE BAY  031028 300  163500-164000   00      12.32  999.4     12.19     5.00     5.54
TIXIE BAY  031028 300  164000-164500   00      12.17  999.4     12.04     3.70     4.25
TIXIE BAY  031028 300  164500-165000   00      12.25  999.3     12.12     4.40     4.96
TIXIE BAY  031028 300  165000-165500   00      12.13  999.3     12.01     3.40     3.96
TIXIE BAY  031028 300  165500-170000   00      12.28  999.3     12.15     4.70     5.27
TIXIE BAY  031028 300  170000-170500   00      12.10  999.3     11.97     3.10     3.68
TIXIE BAY  031028 300  170500-171000   00      12.32  999.3     12.18     4.90     5.48
TIXIE BAY  031028 300  171000-171500   00      12.28  999.3     12.15     4.60     5.19
TIXIE BAY  031028 300  171500-172000   00      12.07  999.2     11.93     2.80     3.40
TIXIE BAY  031028 300  172000-172500   00      12.23  999.2     12.10     4.20     4.80
TIXIE BAY  031028 300  172500-173000   00      12.40  999.2     12.26     5.60     6.21
TIXIE BAY  031028 300  173000-173500   00      12.32  999.2     12.18     4.90     5.52
TIXIE BAY  031028 300  173500-174000   00      12.22  999.2     12.07     4.00     4.62
TIXIE BAY  031028 300  174000-174500   00      12.37  999.2     12.22     5.30     5.93
TIXIE BAY  031028 300  174500-175000   00      12.12  999.1     11.97     3.10     3.74
TIXIE BAY  031028 300  175000-175500   00      12.28  999.1     12.14     4.50     5.14
TIXIE BAY  031028 300  175500-180000   00      12.23  999.1     12.09     4.10     4.75
TIXIE BAY  031028 300  180000-180500   00      12.35  999.1     12.20     5.10     5.76
TIXIE BAY  031028 300  180500-181000   00      12.10  999.1     11.95     3.00     3.66
TIXIE BAY  031028 300  181000-181500   00      12.22  999.1     12.07     3.90     4.57
TIXIE BAY  031028 300  181500-182000   00      12.17  999.1     12.02     3.50     4.18
TIXIE BAY  031028 300  182000-182500   00      12.12  999.1     11.97     3.10     3.78
TIXIE BAY  031028 300  182500-183000   00      12.42  999.1     12.26     5.60     6.29
TIXIE BAY  031028 300  183000-183500   00      12.25  999.0     12.10     4.20     4.90
TIXIE BAY  031028 300  183500-184000   00      12.10  999.0     11.95     2.90     3.60
TIXIE BAY  031028 300  184000-184500   00      12.25  999.0     12.09     4.20     4.91
TIXIE BAY  031028 300  184500-185000   00      12.08  999.0     11.93     2.80     3.52
TIXIE BAY  031028 300  185000-185500   00      12.28  999.0     12.13     4.50     5.22
TIXIE BAY  031028 300  185500-190000   00      12.30  999.0     12.14     4.60     5.33
TIXIE BAY  031028 300  190000-190500   00      12.18  999.0     12.03     3.60     4.34
TIXIE BAY  031028 300  190500-191000   00      11.97  999.0     11.81     1.80     2.54
TIXIE BAY  031028 300  191000-191500   00      12.22  999.0     12.06     3.90     4.65
TIXIE BAY  031028 300  191500-192000   00      11.97  999.0     11.81     1.70     2.46
TIXIE BAY  031028 300  192000-192500   00      12.22  999.0     12.06     3.90     4.66
TIXIE BAY  031028 300  192500-193000   00      12.30  999.0     12.14     4.60     5.37
TIXIE BAY  031028 300  193000-193500   00      12.32  998.9     12.15     4.70     5.48
TIXIE BAY  031028 300  193500-194000   00      12.30  998.9     12.14     4.50     5.28
TIXIE BAY  031028 300  194000-194500   00      12.17  998.9     12.00     3.40     4.19
TIXIE BAY  031028 300  194500-195000   00      12.20  998.9     12.04     3.70     4.50
TIXIE BAY  031028 300  195000-195500   00      12.23  998.9     12.07     4.00     4.80
TIXIE BAY  031028 300  195500-200000   00      12.27  998.9     12.10     4.20     5.01
TIXIE BAY  031028 300  200000-200500   00      12.28  998.9     12.12     4.40     5.22
TIXIE BAY  031028 300  200500-201000   00      12.10  998.9     11.93     2.80     3.63
TIXIE BAY  031028 300  201000-201500   00      12.13  998.8     11.96     3.10     3.93
TIXIE BAY  031028 300  201500-202000   00      12.08  998.8     11.91     2.60     3.44
TIXIE BAY  031028 300  202000-202500   00      12.27  998.8     12.09     4.20     5.05
TIXIE BAY  031028 300  202500-203000   00      12.22  998.8     12.04     3.70     4.55
TIXIE BAY  031028 300  203000-203500   00      12.32  998.7     12.14     4.50     5.36
TIXIE BAY  031028 300  203500-204000   00      12.28  998.7     12.10     4.20     5.07
TIXIE BAY  031028 300  204000-204500   00      12.20  998.7     12.02     3.50     4.37
TIXIE BAY  031028 300  204500-205000   00      12.13  998.7     11.95     2.90     3.78
TIXIE BAY  031028 300  205000-205500   00      12.33  998.6     12.14     4.60     5.49
TIXIE BAY  031028 300  205500-210000   00      12.32  998.6     12.12     4.40     5.29
TIXIE BAY  031028 300  210000-210500   00      12.45  998.6     12.25     5.60     6.50
TIXIE BAY  031028 300  210500-211000   00      12.38  998.6     12.19     5.00     5.91
TIXIE BAY  031028 300  211000-211500   00      12.40  998.6     12.21     5.10     6.01
TIXIE BAY  031028 300  211500-212000   00      12.18  998.6     11.99     3.30     4.22
TIXIE BAY  031028 300  212000-212500   00      12.43  998.6     12.24     5.40     6.33
TIXIE BAY  031028 300  212500-213000   00      12.13  998.6     11.94     2.90     3.83
TIXIE BAY  031028 300  213000-213500   00      12.45  998.6     12.25     5.60     6.54
TIXIE BAY  031028 300  213500-214000   00      12.37  998.6     12.17     4.90     5.85
TIXIE BAY  031028 300  214000-214500   00      12.35  998.6     12.16     4.70     5.65
TIXIE BAY  031028 300  214500-215000   00      12.35  998.6     12.16     4.70     5.66
TIXIE BAY  031028 300  215000-215500   00      12.23  998.6     12.04     3.70     4.67
TIXIE BAY  031028 300  215500-220000   00      12.30  998.6     12.11     4.30     5.27
TIXIE BAY  031028 300  220000-220500   00      12.17  998.6     11.98     3.20     4.18
TIXIE BAY  031028 300  220500-221000   00      12.20  998.6     12.01     3.40     4.39
TIXIE BAY  031028 300  221000-221500   00      12.15  998.6     11.96     3.00     3.99
TIXIE BAY  031028 300  221500-222000   00      12.35  998.6     12.15     4.70     5.70
TIXIE BAY  031028 300  222000-222500   00      12.45  998.6     12.25     5.50     6.51
TIXIE BAY  031028 300  222500-223000   00      12.08  998.6     11.89     2.40     3.41
TIXIE BAY  031028 300  223000-223500   00      12.30  998.5     12.10     4.30     5.32
TIXIE BAY  031028 300  223500-224000   00      12.28  998.5     12.08     4.10     5.13
TIXIE BAY  031028 300  224000-224500   00      12.28  998.5     12.08     4.10     5.13
TIXIE BAY  031028 300  224500-225000   00      12.28  998.5     12.08     4.10     5.14
TIXIE BAY  031028 300  225000-225500   00      12.17  998.5     11.97     3.10     4.15
TIXIE BAY  031028 300  225500-230000   00      12.40  998.5     12.20     5.10     6.15
TIXIE BAY  031028 300  230000-230500   00      12.25  998.5     12.05     3.80     4.86
TIXIE BAY  031028 300  230500-231000   00      12.10  998.5     11.90     2.50     3.57
TIXIE BAY  031028 300  231000-231500   00      12.32  998.4     12.11     4.30     5.37
TIXIE BAY  031028 300  231500-232000   00      12.58  998.4     12.37     6.60     7.68
TIXIE BAY  031028 300  232000-232500   00      12.32  998.4     12.10     4.30     5.39
TIXIE BAY  031028 300  232500-233000   00      12.40  998.4     12.18     5.00     6.09
TIXIE BAY  031028 300  233000-233500   00      12.25  998.3     12.03     3.70     4.80
TIXIE BAY  031028 300  233500-234000   00      12.17  998.3     11.95     3.00     4.11
TIXIE BAY  031028 300  234000-234500   00      12.27  998.3     12.05     3.80     4.91
TIXIE BAY  031028 300  234500-235000   00    -999.00  998.3   -999.00    -9999     4.82
TIXIE BAY  031028 300  235000-235500   00    -999.00  998.2   -999.00    -9999     4.73
TIXIE BAY  031028 300  235500-240000   00    -999.00  998.2   -999.00    -9999     4.63
TIXIE BAY  031029 300  000000-000500   00    -999.00  998.2   -999.00    -9999     4.54
TIXIE BAY  031029 300  000500-001000   00      12.22  998.2     11.99     3.30     4.45
TIXIE BAY  031029 300  001000-001500   00      12.52  998.2     12.28     5.80     6.95
TIXIE BAY  031029 300  001500-002000   00      12.23  998.2     12.00     3.40     4.56
TIXIE BAY  031029 300  002000-002500   00      12.27  998.2     12.04     3.70     4.87
TIXIE BAY  031029 300  002500-003000   00      12.32  998.2     12.08     4.10     5.27
TIXIE BAY  031029 300  003000-003500   00      12.27  998.1     12.03     3.70     4.88
TIXIE BAY  031029 300  003500-004000   00      12.25  998.1     12.02     3.50     4.69
TIXIE BAY  031029 300  004000-004500   00      12.30  998.1     12.07     3.90     5.09
TIXIE BAY  031029 300  004500-005000   00      12.17  998.1     11.93     2.80     4.00
TIXIE BAY  031029 300  005000-005500   00      12.43  998.1     12.20     5.10     6.31
TIXIE BAY  031029 300  005500-010000   00      12.40  998.1     12.16     4.80     6.02
TIXIE BAY  031029 300  010000-010500   00      12.42  998.1     12.18     4.90     6.12
TIXIE BAY  031029 300  010500-011000   00      12.42  998.1     12.18     4.90     6.13
TIXIE BAY  031029 300  011000-011500   00      12.35  998.1     12.11     4.30     5.54
TIXIE BAY  031029 300  011500-012000   00      12.23  998.1     12.00     3.30     4.54
TIXIE BAY  031029 300  012000-012500   00      12.37  998.1     12.13     4.50     5.75
TIXIE BAY  031029 300  012500-013000   00      12.12  998.1     11.88     2.30     3.56
TIXIE BAY  031029 300  013000-013500   00      12.33  998.0     12.09     4.20     5.46
TIXIE BAY  031029 300  013500-014000   00      12.38  998.0     12.14     4.60     5.87
TIXIE BAY  031029 300  014000-014500   00      12.37  998.0     12.12     4.40     5.68
TIXIE BAY  031029 300  014500-015000   00      12.38  998.0     12.14     4.60     5.88
TIXIE BAY  031029 300  015000-015500   00      12.10  998.0     11.86     2.20     3.49
TIXIE BAY  031029 300  015500-020000   00      12.32  998.0     12.07     4.00     5.30
TIXIE BAY  031029 300  020000-020500   00      12.35  998.0     12.10     4.30     5.60
TIXIE BAY  031029 300  020500-021000   00      12.40  998.0     12.15     4.70     6.01
TIXIE BAY  031029 300  021000-021500   00      12.40  998.0     12.15     4.70     6.02
TIXIE BAY  031029 300  021500-022000   00      12.20  998.0     11.96     3.00     4.32
TIXIE BAY  031029 300  022000-022500   00      12.22  998.0     11.97     3.10     4.43
TIXIE BAY  031029 300  022500-023000   00      12.23  998.0     11.99     3.30     4.64
TIXIE BAY  031029 300  023000-023500   00      12.28  998.0     12.04     3.70     5.04
TIXIE BAY  031029 300  023500-024000   00      12.28  998.0     12.04     3.70     5.05
TIXIE BAY  031029 300  024000-024500   00      12.57  998.0     12.32     6.10     7.46
TIXIE BAY  031029 300  024500-025000   00      12.08  998.0     11.84     2.00     3.36
TIXIE BAY  031029 300  025000-025500   00      12.48  998.0     12.23     5.40     6.77
TIXIE BAY  031029 300  025500-030000   00      12.30  998.0     12.05     3.80     5.18
TIXIE BAY  031029 300  030000-030500   00      12.15  998.0     11.91     2.60     3.98
TIXIE BAY  031029 300  030500-031000   00      12.10  998.0     11.86     2.20     3.59
TIXIE BAY  031029 300  031000-031500   00      12.32  998.0     12.07     4.00     5.40
TIXIE BAY  031029 300  031500-032000   00      12.22  998.0     11.98     3.20     4.60
TIXIE BAY  031029 300  032000-032500   00      12.48  998.0     12.24     5.40     6.81
TIXIE BAY  031029 300  032500-033000   00      12.13  998.0     11.90     2.50     3.92
TIXIE BAY  031029 300  033000-033500   00      12.32  998.1     12.08     4.00     5.42
TIXIE BAY  031029 300  033500-034000   00      12.37  998.1     12.13     4.50     5.93
TIXIE BAY  031029 300  034000-034500   00      12.12  998.1     11.88     2.30     3.74
TIXIE BAY  031029 300  034500-035000   00      12.23  998.1     12.00     3.30     4.74
TIXIE BAY  031029 300  035000-035500   00      12.38  998.1     12.14     4.60     6.05
TIXIE BAY  031029 300  035500-040000   00      12.38  998.1     12.14     4.60     6.06
TIXIE BAY  031029 300  040000-040500   00      12.37  998.1     12.13     4.50     5.96
TIXIE BAY  031029 300  040500-041000   00      12.28  998.1     12.05     3.80     5.27
TIXIE BAY  031029 300  041000-041500   00      12.27  998.2     12.04     3.70     5.18
TIXIE BAY  031029 300  041500-042000   00      12.20  998.2     11.97     3.10     4.58
TIXIE BAY  031029 300  042000-042500   00      12.32  998.2     12.09     4.10     5.59
TIXIE BAY  031029 300  042500-043000   00      12.35  998.2     12.12     4.40     5.90
TIXIE BAY  031029 300  043000-043500   00      12.40  998.3     12.18     4.90     6.40
TIXIE BAY  031029 300  043500-044000   00      12.13  998.3     11.92     2.60     4.11
TIXIE BAY  031029 300  044000-044500   00      12.38  998.3     12.16     4.80     6.32
TIXIE BAY  031029 300  044500-045000   00      12.33  998.3     12.12     4.40     5.92
TIXIE BAY  031029 300  045000-045500   00      12.32  998.4     12.10     4.30     5.83
TIXIE BAY  031029 300  045500-050000   00      12.28  998.4     12.07     4.00     5.54
TIXIE BAY  031029 300  050000-050500   00      12.15  998.4     11.94     2.90     4.44
TIXIE BAY  031029 300  050500-051000   00      12.35  998.4     12.14     4.60     6.15
TIXIE BAY  031029 300  051000-051500   00      12.35  998.4     12.14     4.60     6.16
TIXIE BAY  031029 300  051500-052000   00      12.35  998.4     12.14     4.60     6.16
TIXIE BAY  031029 300  052000-052500   00      12.42  998.4     12.21     5.20     6.77
TIXIE BAY  031029 300  052500-053000   00      12.12  998.4     11.91     2.60     4.18
TIXIE BAY  031029 300  053000-053500   00      12.12  998.5     11.91     2.60     4.18
TIXIE BAY  031029 300  053500-054000   00      12.18  998.5     11.98     3.20     4.79
TIXIE BAY  031029 300  054000-054500   00      12.37  998.5     12.16     4.80     6.40
TIXIE BAY  031029 300  054500-055000   00      12.32  998.5     12.11     4.30     5.90
TIXIE BAY  031029 300  055000-055500   00      12.30  998.5     12.10     4.20     5.81
TIXIE BAY  031029 300  055500-060000   00      12.15  998.5     11.95     2.90     4.52
TIXIE BAY  031029 300  060000-060500   00      12.18  998.5     11.98     3.20     4.83
TIXIE BAY  031029 300  060500-061000   00      12.18  998.5     11.99     3.30     4.93
TIXIE BAY  031029 300  061000-061500   00      12.22  998.6     12.02     3.60     5.24
TIXIE BAY  031029 300  061500-062000   00      12.13  998.6     11.94     2.90     4.55
TIXIE BAY  031029 300  062000-062500   00      12.15  998.6     11.96     3.00     4.65
TIXIE BAY  031029 300  062500-063000   00      12.18  998.6     11.99     3.30     4.96
TIXIE BAY  031029 300  063000-063500   00      12.10  998.7     11.91     2.60     4.27
TIXIE BAY  031029 300  063500-064000   00      11.97  998.7     11.79     1.50     3.17
TIXIE BAY  031029 300  064000-064500   00      12.20  998.7     12.02     3.50     5.18
TIXIE BAY  031029 300  064500-065000   00      11.48  998.7     11.31    -2.50    -0.81
TIXIE BAY  031029 300  065000-065500   00      11.48  998.8     11.32    -2.50    -0.81
TIXIE BAY  031029 300  065500-070000   00      11.67  998.8     11.50    -0.90     0.80
TIXIE BAY  031029 300  070000-070500   00      11.47  998.8     11.30    -2.60    -0.89
TIXIE BAY  031029 300  070500-071000   00      11.45  998.8     11.29    -2.70    -0.99
TIXIE BAY  031029 300  071000-071500   00      11.57  998.9     11.41    -1.70    -9999
TIXIE BAY  031029 300  071500-072000   00      11.52  998.9     11.36    -2.10    -9999
TIXIE BAY  031029 300  072000-072500   00      11.45  998.9     11.30    -2.70    -9999
TIXIE BAY  031029 300  072500-073000   00      11.45  998.9     11.30    -2.70    -9999
TIXIE BAY  031029 300  073000-073500   00      11.48  999.0     11.33    -2.40    -9999
TIXIE BAY  031029 300  073500-074000   00      11.58  999.0     11.43    -1.50    -9999
TIXIE BAY  031029 300  074000-074500   00      11.50  999.0     11.35    -2.20    -9999
TIXIE BAY  031029 300  074500-075000   00      11.67  999.0     11.52    -0.80    -9999
TIXIE BAY  031029 300  075000-075500   00      11.45  999.1     11.31    -2.60    -9999
TIXIE BAY  031029 300  075500-080000   00      11.53  999.1     11.39    -1.90    -9999
TIXIE BAY  031029 300  080000-080500   00      11.63  999.1     11.49    -1.00    -9999
TIXIE BAY  031029 300  080500-081000   00      11.60  999.1     11.46    -1.30    -9999
TIXIE BAY  031029 300  081000-081500   00      11.57  999.1     11.43    -1.50    -9999
TIXIE BAY  031029 300  081500-082000   00      11.53  999.2     11.40    -1.80    -9999
TIXIE BAY  031029 300  082000-082500   00      11.52  999.2     11.38    -1.90    -9999
TIXIE BAY  031029 300  082500-083000   00      11.47  999.2     11.33    -2.40    -9999
TIXIE BAY  031029 300  083000-083500   00      11.67  999.2     11.53    -0.60    -9999
TIXIE BAY  031029 300  083500-084000   00      11.53  999.2     11.40    -1.80    -9999
