ROME       LATITUDE    41.86     LONGITUDE     12.47     ALTITUDE    0 M
ROME       INSTRUMENT   17-NM-64  NEUTRON MONITOR
ROME       STANDARD PRESSURE    1009.25 mb     COEFFICIENT   -0.698    % / mb
ROME       PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
ROME       PRE-INCREASE AVERAGE COUNTING RATE    119.20      COUNTS PER SECOND
ROME       TIME INTERVALS    300         3600     
ROME       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
ROME       031028 300  154000-154500   00     113.57 1015.9    118.97    -0.20    -9999
ROME       031028 300  154500-155000   00     114.50 1015.8    119.83     0.50    -9999
ROME       031028 300  155000-155500   00     112.60 1015.7    117.79    -1.20    -9999
ROME       031028 300  155500-160000   00     115.13 1015.7    120.41     1.00    -9999
ROME       031028 300  160000-160500   00     112.73 1015.6    117.85    -1.10    -9999
ROME       031028 300  160500-161000   00     114.37 1015.6    119.53     0.30    -9999
ROME       031028 300  161000-161500   00     112.83 1015.6    117.91    -1.10    -9999
ROME       031028 300  161500-162000   00     114.37 1015.6    119.52     0.30    -9999
ROME       031028 300  162000-162500   00     113.40 1015.6    118.54    -0.60    -9999
ROME       031028 300  162500-163000   00     113.97 1015.6    119.12    -0.10    -9999
ROME       031028 300  163000-163500   00     111.90 1015.5    116.90    -1.90    -9999
ROME       031028 300  163500-164000   00     115.33 1015.5    120.43     1.00    -9999
ROME       031028 300  164000-164500   00     114.10 1015.5    119.16     0.00    -9999
ROME       031028 300  164500-165000   00     114.90 1015.6    120.11     0.80    -9999
ROME       031028 300  165000-165500   00     112.67 1015.7    117.85    -1.10    -9999
ROME       031028 300  165500-170000   00     113.47 1015.7    118.71    -0.40    -9999
ROME       031028 300  170000-170500   00     113.93 1015.7    119.21     0.00    -9999
ROME       031028 300  170500-171000   00     113.37 1015.8    118.69    -0.40    -9999
ROME       031028 300  171000-171500   00     113.03 1015.9    118.37    -0.70    -9999
ROME       031028 300  171500-172000   00     113.63 1015.9    119.02    -0.10    -9999
ROME       031028 300  172000-172500   00     114.90 1016.0    120.43     1.00    -9999
ROME       031028 300  172500-173000   00     114.03 1016.0    119.56     0.30    -9999
ROME       031028 300  173000-173500   00     114.03 1016.1    119.60     0.30    -9999
ROME       031028 300  173500-174000   00     114.00 1016.2    119.62     0.30    -9999
ROME       031028 300  174000-174500   00     113.07 1016.1    118.63    -0.50    -9999
ROME       031028 300  174500-175000   00     114.77 1016.1    120.40     1.00    -9999
ROME       031028 300  175000-175500   00     113.93 1016.2    119.55     0.30    -9999
ROME       031028 300  175500-180000   00     113.77 1016.1    119.36     0.10    -9999
ROME       031028 300  180000-180500   00     114.30 1016.1    119.91     0.60    -9999
ROME       031028 300  180500-181000   00     114.23 1016.0    119.77     0.50    -9999
ROME       031028 300  181000-181500   00     114.10 1015.9    119.49     0.20    -9999
ROME       031028 300  181500-182000   00     113.47 1015.7    118.68    -0.40    -9999
ROME       031028 300  182000-182500   00     112.90 1015.6    118.03    -1.00    -9999
ROME       031028 300  182500-183000   00     113.83 1015.6    119.00    -0.20    -9999
ROME       031028 300  183000-183500   00     115.70 1015.6    120.92     1.40    -9999
ROME       031028 300  183500-184000   00     114.07 1015.6    119.20     0.00    -9999
ROME       031028 300  184000-184500   00     115.63 1015.6    120.86     1.40    -9999
ROME       031028 300  184500-185000   00     113.63 1015.6    118.76    -0.40    -9999
ROME       031028 300  185000-185500   00     114.63 1015.6    119.80     0.50    -9999
ROME       031028 300  185500-190000   00     113.13 1015.6    118.26    -0.80    -9999
ROME       031028 300  190000-190500   00     114.90 1015.6    120.07     0.70    -9999
ROME       031028 300  190500-191000   00     114.57 1015.4    119.62     0.40    -9999
ROME       031028 300  191000-191500   00     115.10 1015.3    120.04     0.70    -9999
ROME       031028 300  191500-192000   00     115.23 1015.2    120.10     0.80    -9999
ROME       031028 300  192000-192500   00     113.93 1015.1    118.69    -0.40    -9999
ROME       031028 300  192500-193000   00     115.77 1015.1    120.59     1.20    -9999
ROME       031028 300  193000-193500   00     114.47 1015.3    119.37     0.10    -9999
ROME       031028 300  193500-194000   00     114.70 1015.4    119.73     0.40    -9999
ROME       031028 300  194000-194500   00     114.07 1015.4    119.08    -0.10    -9999
ROME       031028 300  194500-195000   00     113.93 1015.4    118.95    -0.20    -9999
ROME       031028 300  195000-195500   00     114.43 1015.5    119.53     0.30    -9999
ROME       031028 300  195500-200000   00     114.13 1015.6    119.27     0.10    -9999
ROME       031028 300  200000-200500   00     116.00 1015.5    121.20     1.70    -9999
ROME       031028 300  200500-201000   00     114.37 1015.5    119.44     0.20    -9999
ROME       031028 300  201000-201500   00     114.57 1015.4    119.62     0.30    -9999
ROME       031028 300  201500-202000   00     114.37 1015.5    119.42     0.20    -9999
ROME       031028 300  202000-202500   00     115.03 1015.4    120.10     0.80    -9999
ROME       031028 300  202500-203000   00     115.17 1015.4    120.24     0.90    -9999
ROME       031028 300  203000-203500   00     113.20 1015.5    118.22    -0.80    -9999
ROME       031028 300  203500-204000   00     114.07 1015.5    119.18     0.00    -9999
ROME       031028 300  204000-204500   00     115.80 1015.6    121.01     1.50    -9999
ROME       031028 300  204500-205000   00     115.47 1015.5    120.62     1.20    -9999
ROME       031028 300  205000-205500   00     114.03 1015.5    119.08    -0.10    -9999
ROME       031028 300  205500-210000   00     112.63 1015.5    117.62    -1.30    -9999
ROME       031028 300  210000-210500   00     114.20 1015.4    119.23     0.00    -9999
ROME       031028 300  210500-211000   00     113.30 1015.4    118.25    -0.80    -9999
ROME       031028 300  211000-212100   00     113.77 1015.3    118.68    -0.40    -9999
ROME       031028 300  212000-212500   00     115.37 1015.1    120.16     0.80    -9999
ROME       031028 300  212100-212000   00     114.30 1015.2    119.15     0.00    -9999
ROME       031028 300  212500-213000   00     113.30 1015.0    117.93    -1.10    -9999
ROME       031028 300  213000-213500   00     115.03 1014.9    119.69     0.40    -9999
ROME       031028 300  213500-214000   00     116.70 1014.9    121.39     1.80    -9999
ROME       031028 300  214000-214500   00     114.97 1014.9    119.55     0.30    -9999
ROME       031028 300  214500-215000   00     114.27 1014.8    118.79    -0.30    -9999
ROME       031028 300  215000-215500   00     115.60 1014.8    120.13     0.80    -9999
ROME       031028 300  215500-220000   00     115.20 1014.7    119.68     0.40    -9999
ROME       031028 300  220000-220500   00     115.80 1014.7    120.28     0.90    -9999
ROME       031028 300  220500-221000   00     115.07 1014.6    119.47     0.20    -9999
ROME       031028 300  221000-221500   00     115.57 1014.6    119.94     0.60    -9999
ROME       031028 300  221500-222000   00     114.83 1014.5    119.11    -0.10    -9999
ROME       031028 300  222000-222500   00     115.93 1014.4    120.20     0.80    -9999
ROME       031028 300  222500-223000   00     112.57 1014.4    116.71    -2.10    -9999
ROME       031028 300  223000-223500   00     115.10 1014.4    119.29     0.10    -9999
ROME       031028 300  223500-224000   00     113.67 1014.3    117.77    -1.20    -9999
ROME       031028 300  224000-224500   00     115.80 1014.3    119.98     0.70    -9999
ROME       031028 300  224500-225000   00     115.93 1014.3    120.05     0.70    -9999
ROME       031028 300  225000-225500   00     113.63 1014.3    117.67    -1.30    -9999
ROME       031028 300  225500-230000   00     117.13 1014.3    121.33     1.80    -9999
ROME       031028 300  230000-230500   00     115.63 1014.3    119.81     0.50    -9999
ROME       031028 300  230500-231000   00     114.57 1014.4    118.72    -0.40    -9999
ROME       031028 300  231000-231500   00     115.57 1014.3    119.74     0.50    -9999
ROME       031028 300  231500-232000   00     115.37 1014.3    119.54     0.30    -9999
ROME       031028 300  232000-232500   00     115.43 1014.3    119.58     0.30    -9999
ROME       031028 300  232500-233000   00     115.43 1014.3    119.57     0.30    -9999
ROME       031028 300  233000-233500   00     114.47 1014.3    118.59    -0.50    -9999
ROME       031028 300  233500-234000   00     114.07 1014.3    118.16    -0.90    -9999
ROME       031028 300  234000-234500   00     116.80 1014.3    120.95     1.50    -9999
ROME       031028 300  234500-235000   00     116.17 1014.3    120.31     0.90    -9999
ROME       031028 300  235000-235500   00     116.10 1014.3    120.24     0.90    -9999
ROME       031028 300  235500-240000   00     115.47 1014.2    119.51     0.30    -9999
ROME       031029 3600 000000-010000   00     116.49 1013.8    120.23     0.90    -9999
ROME       031029 3600 010000-020000   00     117.60 1013.1    120.79     1.30    -9999
ROME       031029 3600 020000-030000   00     117.51 1012.6    120.26     0.90    -9999
ROME       031029 3600 030000-040000   00     117.54 1012.2    119.96     0.60    -9999
ROME       031029 3600 040000-050000   00     119.19 1011.5    121.09     1.60    -9999
ROME       031029 3600 050000-060000   00     120.24 1011.2    121.92     2.30    -9999
ROME       031029 3600 060000-070000   00     119.85 1011.2    121.49     1.90    -9999
ROME       031029 3600 070000-080000   00     119.07 1011.1    120.59     1.20    -9999
ROME       031029 3600 080000-090000   00     119.06 1010.8    120.37     1.00    -9999
ROME       031029 3600 090000-100000   00     117.50 1010.5    118.50    -0.60    -9999
ROME       031029 3600 100000-110000   00     116.90 1009.8    117.31    -1.60    -9999
ROME       031029 3600 110000-120000   00     114.66 1008.5    114.05    -4.30    -9999
