IRKUTSK3   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    3000 M
IRKUTSK3   INSTRUMENT   6NM64    NEUTRON MONITOR     
IRKUTSK3   STANDARD PRESSURE    723.2   mb     COEFFICIENT   -0.72     % / mb
IRKUTSK3   PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
IRKUTSK3   PRE-INCREASE AVERAGE COUNTING RATE    335.36      COUNTS PER SECOND
IRKUTSK3   TIME INTERVALS    300         3600     
IRKUTSK3   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK3   031028 300  185000-185500   00     341.96  722.6    340.40     1.50     0.17
IRKUTSK3   031028 300  185500-190000   00     339.70  722.5    338.05     0.80    -0.55
IRKUTSK3   031028 300  190000-190500   00     342.98  722.5    341.22     1.70     0.34
IRKUTSK3   031028 300  190500-191000   00     339.32  722.4    337.47     0.60    -0.78
IRKUTSK3   031028 300  191000-191500   00     342.09  722.4    340.12     1.40     0.01
IRKUTSK3   031028 300  191500-192000   00     339.79  722.4    337.74     0.70    -0.70
IRKUTSK3   031028 300  192000-192500   00     339.64  722.3    337.48     0.60    -0.82
IRKUTSK3   031028 300  192500-193000   00     340.45  722.3    338.19     0.80    -0.63
IRKUTSK3   031028 300  193000-193500   00     343.98  722.2    341.59     1.90     0.45
IRKUTSK3   031028 300  193500-194000   00     342.69  722.2    340.22     1.40    -0.06
IRKUTSK3   031028 300  194000-194500   00     344.59  722.2    341.99     2.00     0.53
IRKUTSK3   031028 300  194500-195000   00     343.21  722.1    340.52     1.50     0.01
IRKUTSK3   031028 300  195000-195500   00     345.42  722.1    342.62     2.20     0.70
IRKUTSK3   031028 300  195500-200000   00     345.81  722.0    342.89     2.20     0.68
IRKUTSK3   031028 300  200000-200500   00     343.81  722.0    340.83     1.60     0.07
IRKUTSK3   031028 300  200500-201000   00     343.16  722.0    340.15     1.40    -9999
IRKUTSK3   031028 300  201000-201500   00     339.24  722.0    336.23     0.30    -9999
IRKUTSK3   031028 300  201500-202000   00     346.89  721.9    343.77     2.50    -9999
IRKUTSK3   031028 300  202000-202500   00     342.07  721.9    338.95     1.10    -9999
IRKUTSK3   031028 300  202500-203000   00     343.64  721.9    340.46     1.50    -9999
IRKUTSK3   031028 300  203000-203500   00     343.31  721.9    340.10     1.40    -9999
IRKUTSK3   031028 300  203500-204000   00     343.76  721.9    340.50     1.50    -9999
IRKUTSK3   031028 300  204000-204500   00     345.00  721.9    341.69     1.90    -9999
IRKUTSK3   031028 300  204500-205000   00     341.05  721.8    337.73     0.70    -9999
IRKUTSK3   031028 300  205000-205500   00     343.72  721.8    340.33     1.50    -9999
IRKUTSK3   031028 300  205500-210000   00     343.99  721.8    340.57     1.60    -9999
IRKUTSK3   031028 300  210000-210500   00     347.10  721.8    343.59     2.50    -9999
IRKUTSK3   031028 300  210500-211000   00     344.02  721.8    340.48     1.50    -9999
IRKUTSK3   031028 300  211000-211500   00     344.23  721.7    340.63     1.60    -9999
IRKUTSK3   031028 300  211500-212000   00     341.84  721.7    338.21     0.80    -9999
IRKUTSK3   031028 300  212000-212500   00     345.44  721.7    341.71     1.90    -9999
IRKUTSK3   031028 300  212500-213000   00     346.66  721.7    342.84     2.20    -9999
IRKUTSK3   031028 300  213000-213500   00     344.77  721.6    340.92     1.70    -9999
IRKUTSK3   031028 300  213500-214000   00     343.16  721.6    339.27     1.20    -9999
IRKUTSK3   031028 300  214000-214500   00     343.58  721.6    339.62     1.30    -9999
IRKUTSK3   031028 300  214500-215000   00     345.44  721.6    341.39     1.80    -9999
IRKUTSK3   031028 300  215000-215500   00     346.77  721.5    342.65     2.20    -9999
IRKUTSK3   031028 300  215500-220000   00     345.46  721.5    341.30     1.80    -9999
IRKUTSK3   031028 300  220000-220500   00     347.87  721.5    343.65     2.50    -9999
IRKUTSK3   031028 300  220500-221000   00     342.56  721.5    338.45     0.90    -9999
IRKUTSK3   031028 300  221000-221500   00     345.33  721.5    341.22     1.70    -9999
IRKUTSK3   031028 300  221500-222000   00     346.02  721.6    341.95     2.00    -9999
IRKUTSK3   031028 300  222000-222500   00     345.41  721.6    341.39     1.80    -9999
IRKUTSK3   031028 300  222500-223000   00     344.74  721.6    340.77     1.60    -9999
IRKUTSK3   031028 300  223000-223500   00     343.77  721.6    339.85     1.30    -9999
IRKUTSK3   031028 300  223500-224000   00     346.95  721.6    343.03     2.30    -9999
IRKUTSK3   031028 300  224000-224500   00     348.54  721.6    344.65     2.80    -9999
IRKUTSK3   031028 300  224500-225000   00     346.41  721.7    342.59     2.20    -9999
IRKUTSK3   031028 300  225000-225500   00     348.08  721.7    344.27     2.70    -9999
IRKUTSK3   031028 300  225500-230000   00     344.97  721.7    341.24     1.80    -9999
IRKUTSK3   031028 300  230000-230500   00     346.22  721.7    342.50     2.10    -9999
IRKUTSK3   031028 300  230500-231000   00     343.76  721.7    340.04     1.40    -9999
IRKUTSK3   031028 300  231000-231500   00     343.67  721.7    339.93     1.40    -9999
IRKUTSK3   031028 300  231500-232000   00     346.82  721.7    343.03     2.30    -9999
IRKUTSK3   031028 300  232000-232500   00     341.82  721.7    338.06     0.80    -9999
IRKUTSK3   031028 300  232500-233000   00     341.34  721.7    337.56     0.70    -9999
IRKUTSK3   031028 300  233000-233500   00     349.78  721.6    345.89     3.10    -9999
IRKUTSK3   031028 300  233500-234000   00     344.93  721.6    341.08     1.70    -9999
IRKUTSK3   031028 300  234000-234500   00     346.62  721.6    342.72     2.20    -9999
IRKUTSK3   031028 300  234500-235000   00     349.73  721.6    345.78     3.10    -9999
IRKUTSK3   031028 300  235000-235500   00     344.23  721.6    340.32     1.50    -9999
IRKUTSK3   031028 300  235500-240000   00     349.26  721.6    345.27     3.00    -9999
IRKUTSK3   031029 300  000000-000500   00     347.12  721.6    343.16     2.30    -9999
IRKUTSK3   031029 300  000500-001000   00     346.53  721.6    342.59     2.20    -9999
IRKUTSK3   031029 300  001000-001500   00     348.15  721.6    344.21     2.60    -9999
IRKUTSK3   031029 300  001500-002000   00     346.46  721.6    342.56     2.10    -9999
IRKUTSK3   031029 300  002000-002500   00     346.63  721.6    342.75     2.20    -9999
IRKUTSK3   031029 300  002500-003000   00     350.63  721.6    346.73     3.40    -9999
IRKUTSK3   031029 300  003000-003500   00     346.79  721.7    342.95     2.30    -9999
IRKUTSK3   031029 300  003500-004000   00     346.06  721.7    342.25     2.10    -9999
IRKUTSK3   031029 300  004000-004500   00     346.45  721.7    342.66     2.20    -9999
IRKUTSK3   031029 300  004500-005000   00     349.76  721.7    345.95     3.20    -9999
IRKUTSK3   031029 300  005000-005500   00     350.72  721.7    346.92     3.40    -9999
IRKUTSK3   031029 300  005500-010000   00     350.75  721.7    346.97     3.50    -9999
IRKUTSK3   031029 300  010000-010500   00     349.88  721.7    346.14     3.20    -9999
IRKUTSK3   031029 300  010500-011000   00     346.18  721.7    342.52     2.10    -9999
IRKUTSK3   031029 300  011000-011500   00     347.34  721.7    343.71     2.50    -9999
IRKUTSK3   031029 300  011500-012000   00     346.13  721.8    342.55     2.10    -9999
IRKUTSK3   031029 300  012000-012500   00     347.68  721.8    344.13     2.60    -9999
IRKUTSK3   031029 300  012500-013000   00     349.12  721.8    345.59     3.10    -9999
IRKUTSK3   031029 300  013000-013500   00     347.48  721.8    344.01     2.60    -9999
IRKUTSK3   031029 300  013500-014000   00     346.66  721.8    343.24     2.30    -9999
IRKUTSK3   031029 300  014000-014500   00     346.43  721.8    343.05     2.30    -9999
IRKUTSK3   031029 300  014500-015000   00     346.72  721.9    343.38     2.40    -9999
IRKUTSK3   031029 300  015000-015500   00     348.26  721.9    344.95     2.90    -9999
IRKUTSK3   031029 300  015500-020000   00     348.58  721.9    345.30     3.00    -9999
IRKUTSK3   031029 300  020000-020500   00     347.18  721.9    343.95     2.60    -9999
IRKUTSK3   031029 300  020500-021000   00     344.97  721.9    341.79     1.90    -9999
IRKUTSK3   031029 300  021000-021500   00     346.79  721.9    343.61     2.50    -9999
IRKUTSK3   031029 300  021500-022000   00     346.81  721.9    343.65     2.50    -9999
IRKUTSK3   031029 300  022000-022500   00     346.04  721.9    342.91     2.30    -9999
IRKUTSK3   031029 300  022500-023000   00     348.36  721.9    345.22     2.90    -9999
IRKUTSK3   031029 300  023000-023500   00     348.04  722.0    344.93     2.90    -9999
IRKUTSK3   031029 300  023500-024000   00     349.14  722.0    346.04     3.20    -9999
IRKUTSK3   031029 300  024000-024500   00     346.93  722.0    343.87     2.50    -9999
IRKUTSK3   031029 300  024500-025000   00     346.61  722.0    343.58     2.50    -9999
IRKUTSK3   031029 300  025000-025500   00     349.18  722.0    346.14     3.20    -9999
IRKUTSK3   031029 300  025500-030000   00     349.56  722.0    346.54     3.30    -9999
IRKUTSK3   031029 300  030000-030500   00     346.45  722.0    343.46     2.40    -9999
IRKUTSK3   031029 300  030500-031000   00     346.05  722.0    343.05     2.30    -9999
IRKUTSK3   031029 300  031000-031500   00     345.58  722.0    342.56     2.10    -9999
IRKUTSK3   031029 300  031500-032000   00     345.67  722.0    342.63     2.20    -9999
IRKUTSK3   031029 300  032000-032500   00     347.28  722.0    344.20     2.60    -9999
IRKUTSK3   031029 300  032500-033000   00     349.55  722.0    346.42     3.30    -9999
IRKUTSK3   031029 300  033000-033500   00     344.09  721.9    341.00     1.70    -9999
IRKUTSK3   031029 300  033500-034000   00     350.01  721.9    346.85     3.40    -9999
IRKUTSK3   031029 300  034000-034500   00     348.51  721.9    345.33     3.00    -9999
IRKUTSK3   031029 300  034500-035000   00     347.34  721.9    344.16     2.60    -9999
IRKUTSK3   031029 300  035000-035500   00     348.39  721.9    345.17     2.90    -9999
IRKUTSK3   031029 300  035500-040000   00     346.98  721.9    343.76     2.50    -9999
IRKUTSK3   031029 300  040000-040500   00     348.30  721.9    345.06     2.90    -9999
IRKUTSK3   031029 300  040500-041000   00     346.76  721.9    343.56     2.40    -9999
IRKUTSK3   031029 300  041000-041500   00     348.39  721.9    345.20     2.90    -9999
IRKUTSK3   031029 300  041500-042000   00     345.94  721.9    342.79     2.20    -9999
IRKUTSK3   031029 300  042000-042500   00     344.71  721.9    341.59     1.90    -9999
IRKUTSK3   031029 300  042500-043000   00     348.34  721.9    345.21     2.90    -9999
IRKUTSK3   031029 300  043000-043500   00     346.36  722.0    343.27     2.40    -9999
IRKUTSK3   031029 300  043500-044000   00     349.64  722.0    346.54     3.30    -9999
IRKUTSK3   031029 300  044000-044500   00     350.50  722.0    347.40     3.60    -9999
IRKUTSK3   031029 300  044500-045000   00     346.84  722.0    343.81     2.50    -9999
IRKUTSK3   031029 300  045000-045500   00     348.34  722.0    345.31     3.00    -9999
IRKUTSK3   031029 300  045500-050000   00     351.08  722.0    348.05     3.80    -9999
IRKUTSK3   031029 300  050000-050500   00     348.85  722.0    345.84     3.10    -9999
IRKUTSK3   031029 300  050500-051000   00     345.41  722.0    342.41     2.10    -9999
IRKUTSK3   031029 300  051000-051500   00     351.33  722.0    348.26     3.80    -9999
IRKUTSK3   031029 300  051500-052000   00     348.04  722.0    344.98     2.90    -9999
IRKUTSK3   031029 300  052000-052500   00     351.32  722.0    348.21     3.80    -9999
IRKUTSK3   031029 300  052500-053000   00     349.29  722.0    346.17     3.20    -9999
IRKUTSK3   031029 300  053000-053500   00     350.51  721.9    347.36     3.60    -9999
IRKUTSK3   031029 300  053500-054000   00     348.79  721.9    345.63     3.10    -9999
IRKUTSK3   031029 300  054000-054500   00     347.91  721.9    344.74     2.80    -9999
IRKUTSK3   031029 300  054500-055000   00     347.71  721.9    344.52     2.70    -9999
IRKUTSK3   031029 300  055000-055500   00     349.79  721.9    346.56     3.30    -9999
IRKUTSK3   031029 300  055500-060000   00     351.32  721.9    348.06     3.80    -9999
IRKUTSK3   031029 300  060000-060500   00     347.48  721.9    344.26     2.70    -9999
IRKUTSK3   031029 300  060500-061000   00     348.66  721.9    345.46     3.00    -9999
IRKUTSK3   031029 300  061000-061500   00     345.40  721.9    342.28     2.10    -9999
IRKUTSK3   031029 300  061500-062000   00     348.55  722.0    345.44     3.00    -9999
IRKUTSK3   031029 300  062000-062500   00     344.54  722.0    341.51     1.80    -9999
IRKUTSK3   031029 300  062500-063000   00     344.81  722.0    341.82     1.90    -9999
IRKUTSK3   031029 300  063000-063500   00     346.24  722.0    343.28     2.40    -9999
IRKUTSK3   031029 300  063500-064000   00     339.88  722.0    337.02     0.50    -9999
IRKUTSK3   031029 300  064000-064500   00     335.34  722.0    332.55    -0.80    -9999
IRKUTSK3   031029 300  064500-065000   00     336.56  722.1    333.80    -0.50    -9999
IRKUTSK3   031029 300  065000-065500   00     338.15  722.1    335.42     0.00    -9999
IRKUTSK3   031029 300  065500-070000   00     340.39  722.1    337.68     0.70    -9999
IRKUTSK3   031029 300  070000-070500   00     340.46  722.1    337.79     0.70    -9999
IRKUTSK3   031029 300  070500-071000   00     341.24  722.1    338.61     1.00    -9999
IRKUTSK3   031029 300  071000-071500   00     336.31  722.1    333.75    -0.50    -9999
IRKUTSK3   031029 300  071500-072000   00     336.25  722.2    333.73    -0.50    -9999
IRKUTSK3   031029 300  072000-072500   00     335.02  722.2    332.56    -0.80    -9999
IRKUTSK3   031029 300  072500-073000   00     336.28  722.2    333.84    -0.50    -9999
IRKUTSK3   031029 300  073000-073500   00     339.80  722.2    337.38     0.60    -9999
IRKUTSK3   031029 300  073500-074000   00     337.97  722.2    335.60     0.10    -9999
