TIXIE BAY  LATITUDE    71.6      LONGITUDE     128.9     ALTITUDE    0 M
TIXIE BAY  INSTRUMENT   18NM64    NEUTRON MONITOR     	
TIXIE BAY  STANDARD PRESSURE    1015.8  mb     COEFFICIENT   -0.72     % / mb
TIXIE BAY  PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
TIXIE BAY  PRE-INCREASE AVERAGE COUNTING RATE    771.37      COUNTS PER SECOND
TIXIE BAY  TIME INTERVALS    300         3600     
TIXIE BAY  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
TIXIE BAY  061213 300  054500-055000   00     812.16 1015.5    810.28     5.00     5.00
TIXIE BAY  061213 300  055000-055500   00     806.40 1015.5    804.58     4.30     4.30
TIXIE BAY  061213 300  055500-060000   00     804.05 1015.5    802.29     4.00     4.00
TIXIE BAY  061213 300  060000-060500   00     811.52 1015.5    809.79     5.00     5.00
TIXIE BAY  061213 300  060500-061000   00     800.00 1015.5    798.34     3.50     3.50
TIXIE BAY  061213 300  061000-061500   00     814.51 1015.5    812.87     5.40     5.40
TIXIE BAY  061213 300  061500-062000   00     806.40 1015.5    804.83     4.30     4.30
TIXIE BAY  061213 300  062000-062500   00     801.07 1015.5    799.55     3.70     3.70
TIXIE BAY  061213 300  062500-063000   00     798.29 1015.5    796.83     3.30     3.30
TIXIE BAY  061213 300  063000-063500   00     797.23 1015.6    795.81     3.20     3.20
TIXIE BAY  061213 300  063500-064000   00     808.96 1015.6    807.57     4.70     4.70
TIXIE BAY  061213 300  064000-064500   00     784.21 1015.6    782.92     1.50     1.50
TIXIE BAY  061213 300  064500-065000   00     805.33 1015.6    804.05     4.20     4.20
TIXIE BAY  061213 300  065000-065500   00     805.76 1015.6    804.52     4.30     4.30
TIXIE BAY  061213 300  065500-070000   00     801.92 1015.6    800.74     3.80     3.80
TIXIE BAY  061213 300  070000-070500   00     788.26 1015.6    787.13     2.00     2.00
TIXIE BAY  061213 300  070500-071000   00     796.59 1015.6    795.44     3.10     3.10
TIXIE BAY  061213 300  071000-071500   00     790.83 1015.6    789.69     2.40     2.40
TIXIE BAY  061213 300  071500-072000   00     789.12 1015.6    787.99     2.20     2.20
TIXIE BAY  061213 300  072000-072500   00     788.27 1015.6    787.13     2.00     2.00
TIXIE BAY  061213 300  072500-073000   00     793.18 1015.6    792.03     2.70     2.70
TIXIE BAY  061213 300  073000-073500   00     802.13 1015.6    800.98     3.80     3.80
