DOMB       LATITUDE    75.1      LONGITUDE     -123.38   ALTITUDE    3233 M
DOMB       INSTRUMENT   BARE  NEUTRON MONITOR
DOMB       STANDARD PRESSURE    650     MB     COEFFICIENT   -0.754    % / MB
DOMB       PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
DOMB       PRE-INCREASE AVERAGE COUNTING RATE      4.16      COUNTS PER SECOND
DOMB       TIME INTERVALS    300         3600     
DOMB       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOMB       211028 300  184000-184500   00       6.28  625.3      4.49     8.04     7.81
DOMB       211028 300  184500-185000   00       6.18  625.4      4.42     6.38     6.15
DOMB       211028 300  185000-185500   00       5.91  625.4      4.23     1.72     1.48
DOMB       211028 300  185500-190000   00       6.12  625.4      4.38     5.32     5.08
DOMB       211028 300  190000-190500   00       6.05  625.4      4.33     4.10     3.85
DOMB       211028 300  190500-191000   00       6.11  625.4      4.37     5.11     4.86
DOMB       211028 300  191000-191500   00       6.17  625.5      4.42     6.21     5.96
DOMB       211028 300  191500-192000   00       5.98  625.5      4.29     3.06     2.80
DOMB       211028 300  192000-192500   00       5.92  625.6      4.24     2.00     1.74
DOMB       211028 300  192500-193000   00       5.92  625.6      4.24     2.03     1.76
DOMB       211028 300  193000-193500   00       6.08  625.7      4.36     4.77     4.50
DOMB       211028 300  193500-194000   00       6.02  625.7      4.31     3.74     3.47
DOMB       211028 300  194000-194500   00       6.19  625.7      4.44     6.74     6.46
DOMB       211028 300  194500-195000   00       5.92  625.7      4.25     2.13     1.85
DOMB       211028 300  195000-195500   00       6.10  625.8      4.38     5.32     5.03
DOMB       211028 300  195500-200000   00       5.81  625.8      4.17     0.37     0.08
DOMB       211028 300  200000-200500   00       6.11  625.9      4.39     5.56     5.26
DOMB       211028 300  200500-201000   00       6.11  626.0      4.39     5.54     5.24
