OULU       LATITUDE    65.02     LONGITUDE     25.5      ALTITUDE    0 M
OULU       INSTRUMENT   9NM64    NEUTRON MONITOR     	
OULU       STANDARD PRESSURE    996.5   mb     COEFFICIENT   -0.74     % / mb
OULU       PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
OULU       PRE-INCREASE AVERAGE COUNTING RATE     94.63      COUNTS PER SECOND
OULU       TIME INTERVALS    300         3600     
OULU       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
OULU       010415 300  142500-143000   00     147.70  994.7    145.70    54.00    53.81
OULU       010415 300  143000-143500   00     148.86  994.6    146.77    55.10    54.91
OULU       010415 300  143500-144000   00     149.23  994.5    147.06    55.40    55.20
OULU       010415 300  144000-144500   00     143.42  994.4    141.26    49.30    49.09
OULU       010415 300  144500-145000   00     141.55  994.4    139.35    47.20    46.98
OULU       010415 300  145000-145500   00     138.20  994.3    135.97    43.70    43.47
OULU       010415 300  145500-150000   00     139.29  994.2    136.97    44.70    44.47
OULU       010415 300  150000-150500   00     134.80  994.1    132.46    40.00    39.76
OULU       010415 300  150500-151000   00     134.48  994.1    132.08    39.60    39.35
OULU       010415 300  151000-151500   00     131.33  994.0    128.91    36.20    35.94
OULU       010415 300  151500-152000   00     130.13  993.9    127.66    34.90    34.63
OULU       010415 300  152000-152500   00     130.87  993.8    128.33    35.60    35.33
OULU       010415 300  152500-153000   00     127.13  993.8    124.59    31.70    31.42
OULU       010415 300  153000-153500   00     125.52  993.7    122.94    29.90    29.61
OULU       010415 300  153500-154000   00     125.31  993.6    122.67    29.60    29.30
OULU       010415 300  154000-154500   00     122.87  993.5    120.22    27.00    26.70
OULU       010415 300  154500-155000   00     123.58  993.5    120.84    27.70    27.39
OULU       010415 300  155000-155500   00     119.11  993.4    116.40    23.00    22.68
OULU       010415 300  155500-160000   00     120.54  993.3    117.74    24.40    24.07
OULU       010415 300  160000-160500   00     117.80  993.2    114.98    21.50    21.16
OULU       010415 300  160500-161000   00     118.37  993.1    115.47    22.00    21.66
OULU       010415 300  161000-161500   00     117.80  993.1    114.84    21.40    21.05
OULU       010415 300  161500-162000   00     116.29  993.0    113.31    19.70    19.34
OULU       010415 300  162000-162500   00     115.68  992.9    112.67    19.10    18.73
OULU       010415 300  162500-163000   00     116.11  992.9    113.02    19.40    19.03
OULU       010415 300  163000-163500   00     114.02  992.8    110.94    17.20    16.82
OULU       010415 300  163500-164000   00     114.50  992.7    111.35    17.70    17.31
OULU       010415 300  164000-164500   00     113.82  992.7    110.63    16.90    16.50
OULU       010415 300  164500-165000   00     113.37  992.6    110.15    16.40    16.00
OULU       010415 300  165000-165500   00     112.50  992.5    109.25    15.50    15.09
OULU       010415 300  165500-170000   00     113.43  992.5    110.10    16.30    15.88
OULU       010415 300  170000-170500   00     111.12  992.4    107.79    13.90    13.47
OULU       010415 300  170500-171000   00     111.40  992.3    108.02    14.10    13.67
OULU       010415 300  171000-171500   00     112.54  992.3    109.08    15.30    14.86
OULU       010415 300  171500-172000   00     110.52  992.2    107.08    13.20    12.75
OULU       010415 300  172000-172500   00     109.59  992.2    106.14    12.20    11.74
OULU       010415 300  172500-173000   00     108.15  992.1    104.71    10.60    10.14
OULU       010415 300  173000-173500   00     111.41  992.1    107.84    13.90    13.43
OULU       010415 300  173500-174000   00     108.53  992.1    105.01    11.00    10.52
OULU       010415 300  174000-174500   00     109.02  992.0    105.46    11.50    11.02
OULU       010415 300  174500-175000   00     109.58  992.0    105.98    12.00    11.51
OULU       010415 300  175000-175500   00     107.23  992.0    103.68     9.50     9.00
OULU       010415 300  175500-180000   00     108.54  991.9    104.93    10.90    10.39
OULU       010415 300  180000-180500   00     106.35  991.9    102.83     8.60     8.09
OULU       010415 300  180500-181000   00     106.63  991.9    103.08     8.90     8.38
OULU       010415 300  181000-181500   00     105.76  991.9    102.22     8.00     7.47
OULU       010415 300  181500-182000   00     106.29  991.9    102.71     8.50     7.96
OULU       010415 300  182000-182500   00     105.50  991.8    101.93     7.70     7.16
OULU       010415 300  182500-183000   00     106.87  991.8    103.23     9.10     8.55
OULU       010415 300  183000-183500   00     105.75  991.8    102.13     7.90     7.34
OULU       010415 300  183500-184000   00     106.44  991.8    102.78     8.60     8.04
OULU       010415 300  184000-184500   00     104.00  991.7    100.41     6.10     5.53
OULU       010415 300  184500-185000   00     104.81  991.7    101.17     6.90     6.32
OULU       010415 300  185000-185500   00     106.15  991.7    102.45     8.30     7.72
OULU       010415 300  185500-190000   00     105.58  991.7    101.88     7.70     7.11
OULU       010415 300  190000-190500   00     106.26  991.7    102.52     8.30     7.70
OULU       010415 300  190500-191000   00     104.59  991.6    100.89     6.60     6.00
OULU       010415 300  191000-191500   00     104.60  991.6    100.88     6.60     5.99
OULU       010415 300  191500-192000   00     104.05  991.6    100.33     6.00     5.38
OULU       010415 300  192000-192500   00     103.26  991.6     99.55     5.20     4.58
OULU       010415 300  192500-193000   00     103.95  991.5    100.19     5.90     5.27
OULU       010415 300  193000-193500   00     103.52  991.5     99.76     5.40     4.76
OULU       010415 300  193500-194000   00     103.75  991.5     99.96     5.60     4.95
OULU       010415 300  194000-194500   00     103.66  991.4     99.85     5.50     4.85
OULU       010415 300  194500-195000   00     102.41  991.4     98.62     4.20     3.54
OULU       010415 300  195000-195500   00     103.05  991.4     99.21     4.80     4.13
OULU       010415 300  195500-200000   00     104.11  991.3    100.21     5.90     5.23
OULU       010415 300  200000-200500   00     103.41  991.3     99.47     5.10     4.42
OULU       010415 300  200500-201000   00     102.76  991.2     98.83     4.40     3.72
OULU       010415 300  201000-201500   00     101.43  991.2     97.52     3.00     2.31
OULU       010415 300  201500-202000   00     103.12  991.2     99.13     4.80     4.10
OULU       010415 300  202000-202500   00     103.74  991.1     99.71     5.40     4.70
OULU       010415 300  202500-203000   00     103.45  991.1     99.41     5.10     4.39
OULU       010415 300  203000-203500   00     101.88  991.1     97.89     3.40     2.68
OULU       010415 300  203500-204000   00     103.47  991.1     99.40     5.00     4.28
OULU       010415 300  204000-204500   00     102.68  991.1     98.63     4.20     3.47
OULU       010415 300  204500-205000   00     101.68  991.0     97.66     3.20     2.46
OULU       010415 300  205000-205500   00     101.55  991.0     97.52     3.10     2.36
OULU       010415 300  205500-210000   00     101.61  991.0     97.57     3.10     2.35
OULU       010415 300  210000-210500   00     101.47  991.1     97.48     3.00     2.24
OULU       010415 300  210500-211000   00     101.77  991.1     97.75     3.30     2.54
OULU       010415 300  211000-211500   00      99.67  991.1     95.73     1.10     0.33
OULU       010415 300  211500-212000   00     101.93  991.0     97.89     3.50     2.73
OULU       010415 300  212000-212500   00     101.21  991.0     97.19     2.70     1.92
OULU       010415 300  212500-213000   00     100.43  991.0     96.44     1.90     1.11
OULU       010415 300  213000-213500   00     101.19  991.0     97.15     2.70     1.91
OULU       010415 300  213500-214000   00     101.14  991.0     97.09     2.60     1.80
OULU       010415 300  214000-214500   00     101.31  991.0     97.24     2.80     1.99
OULU       010415 300  214500-215000   00     100.24  990.9     96.20     1.60     0.79
OULU       010415 300  215000-215500   00     101.46  990.9     97.35     2.90     2.08
OULU       010415 300  215500-220000   00     101.44  990.9     97.32     2.80     1.98
OULU       010415 300  220000-220500   00     101.95  990.8     97.75     3.30     2.47
OULU       010415 300  220500-221000   00     101.62  990.8     97.41     2.90     2.06
OULU       010415 300  221000-221500   00     100.29  990.8     96.12     1.60     0.76
OULU       010415 300  221500-222000   00     101.42  990.7     97.19     2.70     1.85
OULU       010415 300  222000-222500   00     101.08  990.7     96.86     2.40     1.55
OULU       010415 300  222500-223000   00     100.77  990.7     96.54     2.00     1.14
OULU       010415 300  223000-223500   00     100.82  990.7     96.58     2.10     1.23
OULU       010415 300  223500-224000   00      99.69  990.7     95.50     0.90     0.03
OULU       010415 300  224000-224500   00     100.43  990.7     96.20     1.60     0.72
OULU       010415 300  224500-225000   00      99.43  990.7     95.24     0.60    -0.28
OULU       010415 300  225000-225500   00     101.53  990.7     97.24     2.80     1.91
OULU       010415 300  225500-230000   00     102.28  990.7     97.95     3.50     2.61
OULU       010415 300  230000-230500   00     100.45  990.7     96.21     1.60     0.70
OULU       010415 300  230500-231000   00     100.30  990.7     96.07     1.50     0.59
OULU       010415 300  231000-231500   00     100.96  990.7     96.70     2.20     1.29
OULU       010415 300  231500-232000   00     100.20  990.7     95.98     1.40     0.48
OULU       010415 300  232000-232500   00      98.96  990.7     94.80     0.20    -0.72
OULU       010415 300  232500-233000   00     101.43  990.7     97.16     2.70     1.77
OULU       010415 300  233000-233500   00     100.03  990.7     95.83     1.20     0.27
OULU       010415 300  233500-234000   00     101.58  990.7     97.32     2.80     1.86
OULU       010415 300  234000-234500   00     100.50  990.7     96.30     1.80     0.85
OULU       010415 300  234500-235000   00     101.51  990.7     97.27     2.80     1.85
OULU       010415 300  235000-235500   00     100.68  990.7     96.48     1.90     0.94
OULU       010415 300  235500-240000   00     100.22  990.8     96.05     1.50     0.54
OULU       010416 3600 000000-010000   00      99.86  990.9     95.81     1.20     0.20
OULU       010416 3600 010000-020000   00     100.23  991.2     96.37     1.80     0.74
OULU       010416 3600 020000-030000   00      99.11  991.8     95.72     1.10    -0.02
OULU       010416 3600 030000-040000   00      98.70  992.4     95.75     1.20    -9999
OULU       010416 3600 040000-050000   00      98.28  993.0     95.77     1.20    -9999
OULU       010416 3600 050000-060000   00      97.88  993.7     95.87     1.30    -9999
OULU       010416 3600 060000-070000   00      97.23  994.4     95.73     1.20    -9999
OULU       010416 3600 070000-080000   00      96.52  995.4     95.74     1.20    -9999
