BAKSAN     LATITUDE    43.28     LONGITUDE     42.69     ALTITUDE    1700 M
BAKSAN     INSTRUMENT   6NM64    NEUTRON MONITOR     
BAKSAN     STANDARD PRESSURE    820     mb     COEFFICIENT   -0.73     % / mb
BAKSAN     PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
BAKSAN     PRE-INCREASE AVERAGE COUNTING RATE    108.62      COUNTS PER SECOND
BAKSAN     TIME INTERVALS    300         3600     
BAKSAN     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
BAKSAN     120517 300  040000-040500   00     108.38  829.6    109.61     0.90    -9999
BAKSAN     120517 300  040500-041000   00     107.12  829.6    108.34    -0.30    -9999
BAKSAN     120517 300  041000-041500   00     107.88  829.6    109.10     0.40    -9999
BAKSAN     120517 300  041500-042000   00     106.77  829.5    107.96    -0.60    -9999
BAKSAN     120517 300  042000-042500   00     107.77  829.5    108.94     0.30    -9999
BAKSAN     120517 300  042500-043000   00     108.25  829.5    109.40     0.70    -9999
BAKSAN     120517 300  043000-043500   00     108.38  829.4    109.50     0.80    -9999
BAKSAN     120517 300  043500-044000   00     108.90  829.4    109.99     1.30    -9999
BAKSAN     120517 300  044000-044500   00     108.58  829.4    109.64     0.90    -9999
BAKSAN     120517 300  044500-045000   00     107.31  829.4    108.36    -0.20    -9999
BAKSAN     120517 300  045000-045500   00     107.48  829.3    108.51    -0.10    -9999
BAKSAN     120517 300  045500-050000   00     108.87  829.3    109.89     1.20    -9999
BAKSAN     120517 300  050000-050500   00     106.92  829.3    107.89    -0.70    -9999
BAKSAN     120517 300  050500-051000   00     108.29  829.2    109.27     0.60    -9999
BAKSAN     120517 300  051000-051500   00     107.84  829.2    108.81     0.20    -9999
BAKSAN     120517 300  051500-052000   00     106.48  829.2    107.40    -1.10    -9999
BAKSAN     120517 300  052000-052500   00     107.68  829.2    108.60     0.00    -9999
BAKSAN     120517 300  052500-053000   00     108.78  829.2    109.70     1.00    -9999
BAKSAN     120517 300  053000-053500   00     106.38  829.2    107.28    -1.20    -9999
BAKSAN     120517 300  053500-054000   00     107.88  829.2    108.82     0.20    -9999
BAKSAN     120517 300  054000-054500   00     108.28  829.2    109.24     0.60    -9999
BAKSAN     120517 300  054500-055000   00     109.19  829.2    110.15     1.40    -9999
BAKSAN     120517 300  055000-055500   00     109.92  829.2    110.88     2.10    -9999
BAKSAN     120517 300  055500-060000   00     108.88  829.2    109.82     1.10    -9999
BAKSAN     120517 300  060000-060500   00     108.31  829.2    109.24     0.60    -9999
BAKSAN     120517 300  060500-061000   00     108.15  829.2    109.07     0.40    -9999
BAKSAN     120517 300  061000-061500   00     108.38  829.1    109.28     0.60    -9999
BAKSAN     120517 300  061500-062000   00     107.29  829.1    108.14    -0.40    -9999
BAKSAN     120517 300  062000-062500   00     108.70  829.1    109.54     0.80    -9999
BAKSAN     120517 300  062500-063000   00     109.59  829.1    110.44     1.70    -9999
BAKSAN     120517 300  063000-063500   00     109.34  829.1    110.18     1.40    -9999
BAKSAN     120517 300  063500-064000   00     109.05  829.1    109.90     1.20    -9999
BAKSAN     120517 300  064000-064500   00     109.13  829.0    109.94     1.20    -9999
BAKSAN     120517 300  064500-065000   00     109.56  829.0    110.36     1.60    -9999
BAKSAN     120517 300  065000-065500   00     108.47  829.0    109.25     0.60    -9999
BAKSAN     120517 300  065500-070000   00     110.20  829.0    110.99     2.20    -9999
BAKSAN     120517 300  070000-070500   00     108.53  829.0    109.30     0.60    -9999
BAKSAN     120517 300  070500-071000   00     107.93  829.0    108.71     0.10    -9999
BAKSAN     120517 300  071000-071500   00     107.61  829.0    108.40    -0.20    -9999
BAKSAN     120517 300  071500-072000   00     109.64  829.1    110.47     1.70    -9999
BAKSAN     120517 300  072000-072500   00     108.26  829.1    109.14     0.50    -9999
BAKSAN     120517 300  072500-073000   00     110.36  829.1    111.27     2.40    -9999
BAKSAN     120517 300  073000-073500   00     107.36  829.1    108.24    -0.30    -9999
BAKSAN     120517 300  073500-074000   00     108.27  829.1    109.15     0.50    -9999
BAKSAN     120517 300  074000-074500   00     110.46  829.1    111.36     2.50    -9999
BAKSAN     120517 300  074500-075000   00     110.18  829.2    111.10     2.30    -9999
BAKSAN     120517 300  075000-075500   00     108.58  829.2    109.49     0.80    -9999
BAKSAN     120517 300  075500-080000   00     109.39  829.2    110.32     1.60    -9999
BAKSAN     120517 300  080000-080500   00     108.47  829.2    109.41     0.70    -9999
BAKSAN     120517 300  080500-081000   00     107.55  829.2    108.47    -0.10    -9999
BAKSAN     120517 300  081000-081500   00     107.82  829.2    108.75     0.10    -9999
BAKSAN     120517 300  081500-082000   00     109.18  829.2    110.11     1.40    -9999
BAKSAN     120517 300  082000-082500   00     109.62  829.2    110.53     1.80    -9999
BAKSAN     120517 300  082500-083000   00    -999.00 -999.0   -999.00    -9999    -9999
BAKSAN     120517 300  083000-083500   00     108.60  829.2    109.52     0.80    -9999
BAKSAN     120517 300  083500-084000   00     108.24  829.2    109.14     0.50    -9999
BAKSAN     120517 300  084000-084500   00     108.16  829.1    109.06     0.40    -9999
BAKSAN     120517 300  084500-085000   00     108.88  829.1    109.77     1.10    -9999
BAKSAN     120517 300  085000-085500   00     107.11  829.1    107.97    -0.60    -9999
BAKSAN     120517 300  085500-090000   00     109.56  829.1    110.40     1.60    -9999
BAKSAN     120517 300  090000-090500   00     110.84  829.0    111.67     2.80    -9999
BAKSAN     120517 300  090500-091000   00     108.49  829.0    109.28     0.60    -9999
BAKSAN     120517 300  091000-091500   00     107.98  829.0    108.73     0.10    -9999
BAKSAN     120517 300  091500-092000   00     107.63  828.9    108.36    -0.20    -9999
BAKSAN     120517 300  092000-092500   00     108.74  828.9    109.42     0.70    -9999
BAKSAN     120517 300  092500-093000   00     108.04  828.8    108.67     0.00    -9999
BAKSAN     120517 300  093000-093500   00     108.31  828.7    108.88     0.20    -9999
BAKSAN     120517 300  093500-094000   00     109.06  828.7    109.58     0.90    -9999
BAKSAN     120517 300  094000-094500   00     108.09  828.6    108.55    -0.10    -9999
BAKSAN     120517 300  094500-095000   00     107.90  828.5    108.25    -0.30    -9999
BAKSAN     120517 300  095000-095500   00     109.13  828.4    109.45     0.80    -9999
BAKSAN     120517 300  095500-100000   00     108.00  828.4    108.30    -0.30    -9999
BAKSAN     120517 300  100000-100500   00     109.93  828.4    110.24     1.50    -9999
BAKSAN     120517 300  100500-101000   00     110.68  828.4    111.00     2.20    -9999
BAKSAN     120517 300  101000-101500   00     110.98  828.5    111.37     2.50    -9999
