OLC        LATITUDE    -33.49    LONGITUDE     289.28    ALTITUDE    570 M
OLC        INSTRUMENT   6-NM-64  NEUTRON MONITOR
OLC        STANDARD PRESSURE    954.04  mb     COEFFICIENT   -0.74     % / mb
OLC        PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
OLC        PRE-INCREASE AVERAGE COUNTING RATE     65.00      COUNTS PER SECOND
OLC        TIME INTERVALS    300         3600     
OLC        SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
OLC        061213 300  104000-104500   00      63.81  958.1     65.75     1.10    -9999
OLC        061213 300  104500-105000   00      62.47  958.1     64.37    -1.00    -9999
OLC        061213 300  105000-105500   00      62.95  958.0     64.84    -0.30    -9999
OLC        061213 300  105500-110000   00      63.31  958.1     65.22     0.30    -9999
OLC        061213 300  110000-110500   00      64.36  958.1     66.30     2.00    -9999
OLC        061213 300  110500-111000   00      62.94  958.1     64.88    -0.20    -9999
OLC        061213 300  111000-111500   00      62.37  958.1     64.29    -1.10    -9999
OLC        061213 300  111500-112000   00      63.26  958.2     65.24     0.30    -9999
OLC        061213 300  112000-112500   00      62.35  958.2     64.28    -1.10    -9999
OLC        061213 300  112500-113000   00      62.93  958.2     64.89    -0.20    -9999
OLC        061213 300  113000-113500   00      62.38  958.1     64.31    -1.10    -9999
OLC        061213 300  113500-114000   00      63.87  958.2     65.87     1.30    -9999
OLC        061213 300  114000-114500   00      63.58  958.2     65.59     0.90    -9999
OLC        061213 300  114500-115000   00      63.79  958.2     65.80     1.20    -9999
OLC        061213 300  115000-115500   00      62.43  958.3     64.41    -0.90    -9999
OLC        061213 300  115500-120000   00      63.33  958.3     65.35     0.50    -9999
OLC        061213 300  120000-120500   00      62.57  958.4     64.61    -0.60    -9999
OLC        061213 300  120500-121000   00      62.42  958.3     64.44    -0.90    -9999
OLC        061213 300  121000-121500   00      64.71  958.4     66.81     2.80    -9999
OLC        061213 300  121500-122000   00      63.23  958.4     65.31     0.50    -9999
OLC        061213 300  122000-122500   00      62.97  958.5     65.06     0.10    -9999
OLC        061213 300  122500-123000   00      63.12  958.5     65.26     0.40    -9999
OLC        061213 300  123000-123500   00      62.48  958.6     64.60    -0.60    -9999
OLC        061213 300  123500-124000   00      64.34  958.6     66.52     2.30    -9999
OLC        061213 300  124000-124500   00      63.37  958.6     65.55     0.80    -9999
OLC        061213 300  124500-125000   00      63.62  958.7     65.83     1.30    -9999
OLC        061213 300  125000-125500   00      62.10  958.7     64.28    -1.10    -9999
OLC        061213 300  125500-130000   00      63.06  958.7     65.26     0.40    -9999
OLC        061213 300  130000-130500   00      63.39  958.7     65.60     0.90    -9999
OLC        061213 300  130500-131000   00      62.45  958.7     64.63    -0.60    -9999
OLC        061213 300  131000-131500   00      63.76  958.6     65.96     1.50    -9999
OLC        061213 300  131500-132000   00      63.74  958.6     65.93     1.40    -9999
OLC        061213 300  132000-132500   00      64.59  958.5     66.78     2.70    -9999
OLC        061213 300  132500-133000   00      64.00  958.5     66.16     1.80    -9999
OLC        061213 300  133000-133500   00      63.85  958.5     65.97     1.50    -9999
OLC        061213 300  133500-134000   00      63.36  958.4     65.44     0.70    -9999
OLC        061213 300  134000-134500   00      63.06  958.5     65.16     0.20    -9999
OLC        061213 300  134500-135000   00      64.54  958.4     66.65     2.50    -9999
OLC        061213 300  135000-135500   00      63.29  958.4     65.35     0.50    -9999
OLC        061213 300  135500-140000   00      64.25  958.4     66.33     2.00    -9999
OLC        061213 300  140000-140500   00      63.98  958.3     66.02     1.60    -9999
OLC        061213 300  140500-141000   00      63.78  958.3     65.82     1.20    -9999
OLC        061213 300  141000-141500   00      63.14  958.3     65.15     0.20    -9999
OLC        061213 300  141500-142000   00      63.03  958.3     65.03     0.00    -9999
OLC        061213 300  142000-142500   00      64.06  958.2     66.07     1.60    -9999
OLC        061213 300  142500-143000   00      62.72  958.2     64.69    -0.50    -9999
OLC        061213 300  143000-143500   00      64.09  958.2     66.07     1.60    -9999
OLC        061213 300  143500-144000   00      63.37  958.2     65.34     0.50    -9999
OLC        061213 300  144000-144500   00      63.31  958.1     65.24     0.40    -9999
OLC        061213 300  144500-145000   00      63.00  958.1     64.91    -0.20    -9999
OLC        061213 300  145000-145500   00      63.01  958.1     64.93    -0.10    -9999
OLC        061213 300  145500-150000   00      63.63  958.0     65.54     0.80    -9999
OLC        061213 300  150000-150500   00      64.27  958.0     66.16     1.80    -9999
OLC        061213 300  150500-151000   00      64.70  957.9     66.56     2.40    -9999
OLC        061213 300  151000-151500   00      63.91  957.8     65.70     1.10    -9999
OLC        061213 300  151500-152000   00      63.58  957.8     65.35     0.50    -9999
OLC        061213 300  152000-152500   00      63.95  957.7     65.71     1.10    -9999
OLC        061213 300  152500-153000   00      62.98  957.7     64.72    -0.40    -9999
OLC        061213 300  153000-153500   00      63.83  957.7     65.58     0.90    -9999
OLC        061213 300  153500-154000   00      62.87  957.6     64.55    -0.70    -9999
OLC        061213 300  154000-154500   00      63.61  957.5     65.28     0.40    -9999
OLC        061213 300  154500-155000   00      64.24  957.5     65.91     1.40    -9999
OLC        061213 300  155000-155500   00      64.29  957.5     65.94     1.40    -9999
OLC        061213 300  155500-160000   00      64.60  957.4     66.21     1.80    -9999
OLC        061213 300  160000-160500   00      62.87  957.4     64.45    -0.90    -9999
OLC        061213 300  160500-161000   00      64.56  957.3     66.13     1.70    -9999
OLC        061213 300  161000-161500   00      65.13  957.3     66.71     2.60    -9999
OLC        061213 300  161500-162000   00      64.35  957.3     65.91     1.40    -9999
OLC        061213 300  162000-162500   00      64.91  957.3     66.48     2.30    -9999
OLC        061213 300  162500-163000   00      64.13  957.2     65.67     1.00    -9999
OLC        061213 300  163000-163500   00      63.69  957.2     65.17     0.20    -9999
OLC        061213 300  163500-164000   00      65.19  957.2     66.71     2.60    -9999
OLC        061213 300  164000-164500   00      64.46  957.2     65.98     1.50    -9999
OLC        061213 300  164500-165000   00      63.41  957.1     64.87    -0.20    -9999
OLC        061213 300  165000-165500   00      64.55  957.1     66.00     1.50    -9999
OLC        061213 300  165500-170000   00      64.67  957.0     66.09     1.70    -9999
OLC        061213 300  170000-170500   00      63.92  956.9     65.31     0.50    -9999
OLC        061213 300  170500-171000   00      65.15  956.9     66.53     2.30    -9999
OLC        061213 300  171000-171500   00      63.46  956.8     64.77    -0.40    -9999
OLC        061213 300  171500-172000   00      62.98  956.8     64.26    -1.20    -9999
OLC        061213 300  172000-172500   00      65.94  956.7     67.25     3.40    -9999
OLC        061213 300  172500-173000   00      63.68  956.7     64.96    -0.10    -9999
OLC        061213 300  173000-173500   00      64.25  956.7     65.53     0.80    -9999
OLC        061213 300  173500-174000   00      63.22  956.6     64.45    -0.90    -9999
OLC        061213 300  174000-174500   00      63.25  956.5     64.43    -0.90    -9999
OLC        061213 300  174500-175000   00      64.08  956.5     65.23     0.30    -9999
OLC        061213 300  175000-175500   00      64.27  956.5     65.43     0.60    -9999
OLC        061213 300  175500-180000   00      63.83  956.5     64.98    -0.10    -9999
OLC        061213 300  180000-180500   00      64.02  956.4     65.16     0.20    -9999
OLC        061213 300  180500-181000   00      64.99  956.4     66.15     1.80    -9999
OLC        061213 300  181000-181500   00      64.94  956.5     66.12     1.70    -9999
OLC        061213 300  181500-182000   00      64.94  956.6     66.16     1.80    -9999
OLC        061213 300  182000-182500   00      64.25  956.5     65.44     0.70    -9999
OLC        061213 300  182500-183000   00      64.24  956.5     65.42     0.60    -9999
OLC        061213 300  183000-183500   00      64.62  956.5     65.80     1.20    -9999
OLC        061213 300  183500-184000   00      63.85  956.4     64.98    -0.10    -9999
OLC        061213 300  184000-184500   00      64.48  956.4     65.61     0.90    -9999
OLC        061213 300  184500-185000   00      64.32  956.3     65.41     0.60    -9999
OLC        061213 300  185000-185500   00      63.50  956.3     64.56    -0.70    -9999
OLC        061213 300  185500-190000   00      65.65  956.2     66.73     2.60    -9999
OLC        061213 300  190000-190500   00      64.09  956.2     65.12     0.20    -9999
OLC        061213 300  190500-191000   00      63.10  956.2     64.10    -1.40    -9999
OLC        061213 300  191000-191500   00      64.81  956.2     65.83     1.30    -9999
OLC        061213 300  191500-192000   00      64.81  956.1     65.81     1.20    -9999
OLC        061213 300  192000-192500   00      64.37  956.0     65.33     0.50    -9999
OLC        061213 300  192500-193000   00      64.78  956.0     65.73     1.10    -9999
OLC        061213 300  193000-193500   00      64.36  955.9     65.26     0.40    -9999
OLC        061213 300  193500-194000   00      65.08  955.9     65.97     1.50    -9999
OLC        061213 300  194000-194500   00      63.74  955.8     64.59    -0.70    -9999
OLC        061213 300  194500-195000   00      64.53  955.8     65.39     0.60    -9999
OLC        061213 300  195000-195500   00      66.19  955.8     67.07     3.20    -9999
OLC        061213 300  195500-200000   00      66.06  955.8     66.92     2.90    -9999
OLC        061213 300  200000-200500   00      64.17  955.8     65.00     0.00    -9999
OLC        061213 300  200500-201000   00      65.41  955.8     66.25     1.90    -9999
OLC        061213 300  201000-201500   00      65.01  955.7     65.82     1.20    -9999
OLC        061213 300  201500-202000   00      65.71  955.7     66.51     2.30    -9999
OLC        061213 300  202000-202500   00      65.68  955.7     66.49     2.30    -9999
OLC        061213 300  202500-203000   00      64.32  955.7     65.09     0.10    -9999
OLC        061213 300  203000-203500   00      64.15  955.6     64.91    -0.10    -9999
OLC        061213 300  203500-204000   00      63.74  955.6     64.50    -0.80    -9999
OLC        061213 300  204000-204500   00      64.48  955.6     65.22     0.30    -9999
OLC        061213 300  204500-205000   00      63.17  955.6     63.89    -1.70    -9999
OLC        061213 300  205000-205500   00      66.11  955.5     66.84     2.80    -9999
OLC        061213 300  205500-210000   00      65.08  955.5     65.80     1.20    -9999
OLC        061213 300  210000-210500   00      65.65  955.5     66.37     2.10    -9999
OLC        061213 300  210500-211000   00      65.39  955.5     66.09     1.70    -9999
OLC        061213 300  211000-212100   00      64.83  955.5     65.54     0.80    -9999
OLC        061213 300  212000-212500   00      64.78  955.6     65.52     0.80    -9999
OLC        061213 300  212100-212000   00      65.23  955.6     65.97     1.50    -9999
OLC        061213 300  212500-213000   00      64.43  955.5     65.15     0.20    -9999
OLC        061213 300  213000-213500   00      65.51  955.6     66.26     1.90    -9999
OLC        061213 300  213500-214000   00      65.27  955.6     66.03     1.60    -9999
OLC        061213 300  214000-214500   00      64.57  955.6     65.33     0.50    -9999
OLC        061213 300  214500-215000   00      64.95  955.6     65.72     1.10    -9999
OLC        061213 300  215000-215500   00      64.78  955.6     65.55     0.80    -9999
OLC        061213 300  215500-220000   00      63.38  955.6     64.14    -1.30    -9999
OLC        061213 300  220000-220500   00      63.16  955.7     63.94    -1.60    -9999
OLC        061213 300  220500-221000   00      64.37  955.7     65.17     0.20    -9999
OLC        061213 300  221000-221500   00      64.17  955.7     64.98    -0.10    -9999
OLC        061213 300  221500-222000   00      64.72  955.7     65.54     0.80    -9999
OLC        061213 300  222000-222500   00      65.21  955.8     66.06     1.60    -9999
OLC        061213 300  222500-223000   00      64.30  955.8     65.15     0.20    -9999
OLC        061213 300  223000-223500   00      64.49  955.9     65.36     0.50    -9999
OLC        061213 300  223500-224000   00      65.03  955.9     65.94     1.40    -9999
OLC        061213 300  224000-224500   00      64.32  955.9     65.23     0.30    -9999
OLC        061213 300  224500-225000   00      64.47  956.0     65.40     0.60    -9999
OLC        061213 300  225000-225500   00      63.74  956.0     64.68    -0.50    -9999
OLC        061213 300  225500-230000   00      63.93  956.1     64.91    -0.20    -9999
OLC        061213 300  230000-230500   00      64.34  956.0     65.29     0.40    -9999
OLC        061213 300  230500-231000   00      64.28  956.0     65.24     0.30    -9999
OLC        061213 300  231000-231500   00      64.57  956.1     65.55     0.80    -9999
OLC        061213 300  231500-232000   00      62.82  956.1     63.78    -1.90    -9999
OLC        061213 300  232000-232500   00      64.99  956.1     65.99     1.50    -9999
OLC        061213 300  232500-233000   00      64.37  956.2     65.38     0.60    -9999
OLC        061213 300  233000-233500   00      63.72  956.2     64.74    -0.40    -9999
OLC        061213 300  233500-234000   00      65.11  956.2     66.13     1.70    -9999
OLC        061213 300  234000-234500   00      64.48  956.2     65.53     0.80    -9999
OLC        061213 300  234500-235000   00      63.86  956.2     64.89    -0.20    -9999
OLC        061213 300  235000-235500   00      62.64  956.2     63.66    -2.10    -9999
OLC        061213 300  235500-240000   00      62.51  956.3     63.54    -2.30    -9999
*
*COMMENT   ALERT FROM M.STORINI - CONFIRMED BY E. OLIVARES CANOUET
*COMMENT   PROMPT DATA PREPARED BY E.OLIVARES CANOUET: 21-12-2006
*COMMENT   TO ACKNOWLEDGE: CHILE/ITALY COLLABORATION FOR OLC
*COMMENT   CITATION: E.O. Olivares, M. Storini, E.G. Cordaro, OLC Data for 
*COMMENT   GLE 70, Report INAF/IFSI-2007-3
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-02-24 11:29:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE70/C070STGO.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
