LOMNICKY   LATITUDE    49.2      LONGITUDE     20.22     ALTITUDE    2634 M
LOMNICKY   INSTRUMENT   8-NM-64  NEUTRON MONITOR	
LOMNICKY   STANDARD PRESSURE    550     MMHG   COEFFICIENT   -0.95     % / MMHG
LOMNICKY   PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
LOMNICKY   PRE-INCREASE AVERAGE COUNTING RATE    442.69      COUNTS PER SECOND
LOMNICKY   TIME INTERVALS    300         3600     
LOMNICKY   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
LOMNICKY   061213 300  131000-131500   00     431.14  554.0    447.88     1.20    -9999
LOMNICKY   061213 300  131500-132000   00     427.23  554.0    443.82     0.30    -9999
LOMNICKY   061213 300  132000-132500   00     427.93  554.0    444.54     0.40    -9999
LOMNICKY   061213 300  132500-133000   00     428.50  554.0    445.13     0.60    -9999
LOMNICKY   061213 300  133000-133500   00     429.83  554.0    446.51     0.90    -9999
LOMNICKY   061213 300  133500-134000   00     430.53  554.0    447.24     1.00    -9999
LOMNICKY   061213 300  134000-134500   00     423.36  554.0    439.79    -0.70    -9999
LOMNICKY   061213 300  134500-135000   00     425.69  554.0    442.21    -0.10    -9999
LOMNICKY   061213 300  135000-135500   00     431.21  554.0    447.95     1.20    -9999
LOMNICKY   061213 300  135500-140000   00     431.58  554.1    448.76     1.40    -9999
LOMNICKY   061213 300  140000-140500   00     425.31  554.1    442.24    -0.10    -9999
LOMNICKY   061213 300  140500-141000   00     429.90  554.0    446.59     0.90    -9999
LOMNICKY   061213 300  141000-141500   00     429.77  554.1    446.88     0.90    -9999
LOMNICKY   061213 300  141500-142000   00     430.66  554.2    448.22     1.20    -9999
LOMNICKY   061213 300  142000-142500   00     430.01  554.2    447.55     1.10    -9999
LOMNICKY   061213 300  142500-143000   00     429.61  554.2    447.13     1.00    -9999
LOMNICKY   061213 300  143000-143500   00     427.28  554.2    444.71     0.50    -9999
LOMNICKY   061213 300  143500-144000   00     424.39  554.2    441.70    -0.20    -9999
LOMNICKY   061213 300  144000-144500   00     426.67  554.3    444.50     0.40    -9999
LOMNICKY   061213 300  144500-145000   00     424.63  554.3    442.37    -0.10    -9999
LOMNICKY   061213 300  145000-145500   00     426.27  554.3    444.09     0.30    -9999
LOMNICKY   061213 300  145500-150000   00     422.73  554.4    440.82    -0.40    -9999
LOMNICKY   061213 300  150000-150500   00     422.33  554.4    440.40    -0.50    -9999
LOMNICKY   061213 300  150500-151000   00     424.36  554.5    442.93     0.10    -9999
LOMNICKY   061213 300  151000-151500   00     427.95  554.5    446.68     0.90    -9999
LOMNICKY   061213 300  151500-152000   00     423.12  554.5    441.64    -0.20    -9999
