INUVIK     LATITUDE    68.35     LONGITUDE     -133.72   ALTITUDE    21 M
INUVIK     INSTRUMENT   18NM64    NEUTRON MONITOR     	
INUVIK     STANDARD PRESSURE    996.4   mb     COEFFICIENT   -0.74     % / mb
INUVIK     PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
INUVIK     PRE-INCREASE AVERAGE COUNTING RATE    215.83      COUNTS PER SECOND
INUVIK     TIME INTERVALS    300         3600     
INUVIK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
INUVIK     061213 300  061000-061500   00     227.84  997.0    228.92     6.07     6.07
INUVIK     061213 300  061500-062000   00     223.78  997.1    224.87     4.19     4.19
INUVIK     061213 300  062000-062500   00     224.02  997.1    225.14     4.31     4.31
INUVIK     061213 300  062500-063000   00     223.06  997.1    224.20     3.88     3.88
INUVIK     061213 300  063000-063500   00     222.70  997.1    223.87     3.73     3.73
INUVIK     061213 300  063500-064000   00     220.96  997.1    222.15     2.93     2.93
INUVIK     061213 300  064000-064500   00     224.04  997.1    225.27     4.38     4.38
INUVIK     061213 300  064500-065000   00     220.70  997.2    221.94     2.83     2.83
INUVIK     061213 300  065000-065500   00     220.02  997.2    221.28     2.53     2.53
INUVIK     061213 300  065500-070000   00     220.90  997.2    222.20     2.95     2.95
INUVIK     061213 300  070000-070500   00     220.20  997.2    221.51     2.63     2.63
INUVIK     061213 300  070500-071000   00     221.58  997.2    222.89     3.28     3.28
INUVIK     061213 300  071000-071500   00     220.84  997.2    222.15     2.93     2.93
INUVIK     061213 300  071500-072000   00     221.26  997.2    222.58     3.12     3.12
INUVIK     061213 300  072000-072500   00     219.10  997.2    220.40     2.12     2.12
INUVIK     061213 300  072500-073000   00     219.28  997.2    220.58     2.20     2.20
INUVIK     061213 300  073000-073500   00     218.96  997.2    220.26     2.05     2.05
INUVIK     061213 300  073500-074000   00     218.68  997.2    219.98     1.92     1.92
INUVIK     061213 300  074000-074500   00     217.48  997.2    218.77     1.36     1.36
INUVIK     061213 300  074500-075000   00     218.86  997.2    220.16     2.01     2.01
INUVIK     061213 300  075000-075500   00     217.56  997.2    218.85     1.40     1.40
INUVIK     061213 300  075500-080000   00     221.54  997.2    222.86     3.26     3.26
INUVIK     061213 3600 080000-090000   00     217.99  997.1    219.12     1.52     1.52
INUVIK     061213 3600 090000-100000   00     217.00  997.0    217.97     0.99     0.99
INUVIK     061213 3600 100000-110000   00     215.90  997.0    216.86     0.48     0.48
INUVIK     061213 3600 110000-120000   00     216.47  996.8    217.11     0.60     0.60
INUVIK     061213 3600 120000-130000   00     215.91  996.7    216.39     0.26     0.26
INUVIK     061213 3600 130000-140000   00     216.16  996.7    216.64     0.37     0.37
INUVIK     061213 3600 140000-150000   00     215.99  996.7    216.47     0.30     0.30
INUVIK     061213 3600 150000-160000   00     215.32  996.6    215.64    -0.09    -9999
INUVIK     061213 3600 160000-170000   00     214.75  996.7    215.22    -0.28    -9999
INUVIK     061213 3600 170000-180000   00     215.21  996.8    215.84     0.01    -9999
INUVIK     061213 3600 180000-190000   00     214.21  996.8    214.85    -0.45    -9999
INUVIK     061213 3600 190000-200000   00     214.44  997.1    215.55    -0.13    -9999
INUVIK     061213 3600 200000-210000   00     214.57  997.3    216.01     0.08    -9999
INUVIK     061213 3600 210000-220000   00     214.78  997.4    216.37     0.25    -9999
INUVIK     061213 3600 220000-230000   00     215.31  997.5    217.07     0.58    -9999
INUVIK     061213 3600 230000-240000   00     211.47  997.5    213.20    -1.22    -9999
*
Comment: The Clock of Regisrator is fast on+sec (slow on-sec) is supporting by GPS or InternetClockServer;
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-02-24 11:29:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE70/C070INVK_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
