KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.25     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
KERGUELEN  STANDARD PRESSURE    750     MMHG   COEFFICIENT   -1.01     % / MMHG
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    188.09      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300      
KERGUELEN  SCALE FACTORS     1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
KERGUELEN  010414 300  082000-082500   10     178.27  754.8    187.07    -0.50    -9999
KERGUELEN  010414 300  082500-083000   10     177.07  754.8    185.60    -1.30    -9999
KERGUELEN  010414 300  083000-083500   10     175.33  754.9    184.13    -2.10    -9999
KERGUELEN  010414 300  083500-084000   10     175.33  754.9    184.13    -2.10    -9999
KERGUELEN  010414 300  084000-084500   10     175.20  754.9    184.00    -2.20    -9999
KERGUELEN  010414 300  084500-085000   10     177.33  754.9    186.13    -1.00    -9999
KERGUELEN  010414 300  085000-085500   10     176.27  755.0    185.07    -1.60    -9999
KERGUELEN  010414 300  085500-090000   10     175.20  755.0    184.13    -2.10    -9999
KERGUELEN  010414 300  090000-090500   10     177.07  755.0    186.00    -1.10    -9999
KERGUELEN  010414 300  090500-091000   10     177.33  755.1    186.53    -0.80    -9999
KERGUELEN  010414 300  091000-091500   10     176.80  755.0    185.73    -1.30    -9999
KERGUELEN  010414 300  091500-092000   10     177.60  755.0    186.53    -0.80    -9999
KERGUELEN  010414 300  092000-092500   10     178.00  755.0    187.07    -0.50    -9999
KERGUELEN  010414 300  092500-093000   10     178.67  755.0    187.87    -0.10    -9999
KERGUELEN  010414 300  093000-093500   10     178.00  755.1    187.20    -0.50    -9999
KERGUELEN  010414 300  093500-094000   10     178.80  755.2    188.27     0.10    -9999
KERGUELEN  010414 300  094000-094500   10     178.27  755.0    187.33    -0.40    -9999
KERGUELEN  010414 300  094500-095000   10     176.13  755.1    185.20    -1.50    -9999
KERGUELEN  010414 300  095000-095500   10     175.47  755.1    184.53    -1.90    -9999
KERGUELEN  010414 300  095500-100000   10     180.80  755.1    190.00     1.00    -9999
KERGUELEN  010414 300  100000-100500   10     176.93  755.2    186.27    -1.00    -9999
KERGUELEN  010414 300  100500-101000   10     178.27  755.2    187.73    -0.20    -9999
KERGUELEN  010414 300  101000-101500   10     176.53  755.2    185.73    -1.30    -9999
KERGUELEN  010414 300  101500-102000   10     177.60  755.3    187.20    -0.50    -9999
KERGUELEN  010414 300  102000-102500   10     176.67  755.4    186.27    -1.00    -9999
KERGUELEN  010414 300  102500-103000   10     175.73  755.4    185.33    -1.50    -9999
KERGUELEN  010414 300  103000-103500   10     179.20  755.4    189.07     0.50    -9999
KERGUELEN  010414 300  103500-104000   10     178.93  755.4    188.80     0.40    -9999
KERGUELEN  010414 300  104000-104500   10     176.13  755.4    185.87    -1.20    -9999
KERGUELEN  010414 300  104500-105000   10     177.47  755.5    187.47    -0.30    -9999
