CALGARY    LATITUDE    51.08     LONGITUDE     245.86    ALTITUDE    1128 M
CALGARY    INSTRUMENT   12-NM-64  NEUTRON MONITOR	
CALGARY    STANDARD PRESSURE    883     MB     COEFFICIENT   -0.7718   % / MB
CALGARY    PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
CALGARY    PRE-INCREASE AVERAGE COUNTING RATE    264.53      COUNTS PER SECOND
CALGARY    TIME INTERVALS    300         3600     
CALGARY    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CALGARY    000714 300  153000-153500   00     276.07  885.8    282.10     6.70     5.52
CALGARY    000714 300  153500-154000   00     275.47  885.9    281.71     6.50     5.31
CALGARY    000714 300  154000-154500   00     272.65  885.7    278.39     5.20     4.00
CALGARY    000714 300  154500-155000   00     277.90  885.7    283.75     7.30     6.10
CALGARY    000714 300  155000-155500   00     277.17  885.8    283.22     7.10     5.89
CALGARY    000714 300  155500-160000   00     278.20  885.7    284.06     7.40     6.18
CALGARY    000714 300  160000-160500   00     275.54  885.8    281.56     6.40     5.18
CALGARY    000714 300  160500-161000   00     272.95  885.8    278.91     5.40     4.17
CALGARY    000714 300  161000-161500   00     273.02  885.7    278.77     5.40     4.17
CALGARY    000714 300  161500-162000   00     277.27  885.7    283.11     7.00     5.76
CALGARY    000714 300  162000-162500   00     273.78  885.7    279.55     5.70     4.46
CALGARY    000714 300  162500-163000   00     273.62  885.7    279.38     5.60     4.35
CALGARY    000714 300  163000-163500   00     271.06  885.6    276.55     4.50     3.25
CALGARY    000714 300  163500-164000   00     275.11  885.5    280.47     6.00     4.75
CALGARY    000714 300  164000-164500   00     275.01  885.4    280.15     5.90     4.64
CALGARY    000714 300  164500-165000   00     268.93  885.5    274.17     3.60     2.34
CALGARY    000714 300  165000-165500   00     271.79  885.4    276.87     4.70     3.43
CALGARY    000714 300  165500-170000   00     271.39  885.3    276.25     4.40     3.13
CALGARY    000714 300  170000-170500   00     273.55  885.2    278.23     5.20     3.93
CALGARY    000714 300  170500-171000   00     272.72  885.2    277.39     4.90     3.63
CALGARY    000714 300  171000-171500   00     273.38  885.2    278.06     5.10     3.82
CALGARY    000714 300  171500-172000   00     275.51  885.0    279.79     5.80     4.52
CALGARY    000714 300  172000-172500   00     272.48  884.8    276.30     4.40     3.12
CALGARY    000714 300  172500-173000   00     273.51  884.7    277.13     4.80     3.52
CALGARY    000714 300  173000-173500   00     272.85  884.9    276.88     4.70     3.42
CALGARY    000714 300  173500-174000   00     272.22  884.7    275.81     4.30     3.01
CALGARY    000714 300  174000-174500   00     273.75  884.7    277.36     4.90     3.61
CALGARY    000714 300  174500-175000   00     271.36  884.6    274.73     3.90     2.61
CALGARY    000714 300  175000-175500   00     276.14  884.6    279.57     5.70     4.41
CALGARY    000714 300  175500-180000   00     274.01  884.5    277.20     4.80     3.51
CALGARY    000714 300  180000-180500   00     271.22  884.5    274.38     3.70     2.41
CALGARY    000714 300  180500-181000   00     270.26  884.4    273.20     3.30     2.01
CALGARY    000714 300  181000-181500   00     272.39  884.5    275.56     4.20     2.91
CALGARY    000714 300  181500-182000   00     272.35  884.3    275.10     4.00     2.71
CALGARY    000714 300  182000-182500   00     268.30  884.4    271.21     2.50     1.21
CALGARY    000714 300  182500-183000   00     273.48  884.3    276.24     4.40     3.11
CALGARY    000714 300  183000-183500   00     274.25  884.2    276.80     4.60     3.31
CALGARY    000714 300  183500-184000   00     272.05  884.2    274.58     3.80     2.52
CALGARY    000714 300  184000-184500   00     270.73  884.1    273.03     3.20     1.92
CALGARY    000714 300  184500-185000   00     271.22  884.1    273.54     3.40     2.12
CALGARY    000714 300  185000-185500   00     269.53  883.9    271.41     2.60     1.32
CALGARY    000714 300  185500-190000   00     272.42  884.1    274.74     3.90     2.62
CALGARY    000714 300  190000-190500   00     272.45  883.8    274.14     3.60     2.33
CALGARY    000714 300  190500-191000   00     269.99  883.9    271.87     2.80     1.53
CALGARY    000714 300  191000-191500   00     272.72  883.7    274.19     3.70     2.43
CALGARY    000714 300  191500-192000   00     272.65  883.9    274.55     3.80     2.53
CALGARY    000714 300  192000-192500   00     272.25  883.7    273.73     3.50     2.24
CALGARY    000714 300  192500-193000   00     271.32  883.8    273.00     3.20     1.94
CALGARY    000714 300  193000-193500   00     270.66  883.8    272.33     2.90     1.65
CALGARY    000714 300  193500-194000   00     269.50  883.7    270.96     2.40     1.15
CALGARY    000714 300  194000-194500   00     270.76  883.7    272.22     2.90     1.65
CALGARY    000714 300  194500-195000   00     268.70  883.6    269.95     2.00     0.76
CALGARY    000714 300  195000-195500   00     268.63  883.6    269.88     2.00     0.76
CALGARY    000714 300  195500-200000   00     268.10  883.6    269.34     1.80     0.57
CALGARY    000714 300  200000-200500   00     266.77  883.5    267.80     1.20    -0.03
CALGARY    000714 300  200500-201000   00     268.67  883.7    270.12     2.10     0.88
CALGARY    000714 300  201000-201500   00     270.76  883.5    271.80     2.70     1.48
CALGARY    000714 300  201500-202000   00     269.50  883.4    270.33     2.20     0.99
CALGARY    000714 300  202000-202500   00     269.16  883.4    270.00     2.10     0.90
CALGARY    000714 300  202500-203000   00     268.60  883.4    269.43     1.90     0.70
CALGARY    000714 300  203000-203500   00     270.56  883.3    271.19     2.50     1.31
CALGARY    000714 300  203500-204000   00     268.40  883.3    269.02     1.70     0.51
CALGARY    000714 300  204000-204500   00     268.67  883.4    269.50     1.90     0.72
CALGARY    000714 300  204500-205000   00     269.40  883.3    270.02     2.10     0.93
CALGARY    000714 300  205000-205500   00     266.08  883.4    266.90     0.90    -0.26
CALGARY    000714 300  205500-210000   00     268.43  883.4    269.26     1.80     0.64
CALGARY    000714 300  210000-210500   00     265.28  883.4    266.10     0.60    -0.55
CALGARY    000714 300  210500-211000   00     265.61  883.3    266.22     0.60    -0.54
CALGARY    000714 300  211000-211500   00     268.53  883.3    269.15     1.70     0.57
CALGARY    000714 300  211500-212000   00     268.70  883.4    269.53     1.90     0.78
CALGARY    000714 300  212000-212500   00     268.86  883.2    269.28     1.80     0.69
CALGARY    000714 300  212500-213000   00     267.87  883.2    268.28     1.40     0.29
CALGARY    000714 300  213000-213500   00     270.09  883.2    270.51     2.30     1.20
CALGARY    000714 300  213500-214000   00     267.80  883.1    268.01     1.30     0.21
CALGARY    000714 300  214000-214500   00     266.57  883.1    266.78     0.90    -0.18
CALGARY    000714 300  214500-215000   00     267.07  883.0    267.07     1.00    -0.07
CALGARY    000714 300  215000-215500   00     267.37  882.9    267.16     1.00    -0.06
CALGARY    000714 300  215500-220000   00     266.61  882.9    266.40     0.70    -0.35
CALGARY    000714 300  220000-220500   00     272.19  882.9    271.98     2.80    -9999
CALGARY    000714 300  220500-221000   00     269.83  882.9    269.62     1.90    -9999
CALGARY    000714 300  221000-221500   00     268.00  882.9    267.79     1.20    -9999
CALGARY    000714 300  221500-222000   00     268.37  882.8    267.95     1.30    -9999
CALGARY    000714 300  222000-222500   00     268.40  882.9    268.19     1.40    -9999
CALGARY    000714 300  222500-223000   00     267.74  882.8    267.32     1.10    -9999
CALGARY    000714 300  223000-223500   00     266.94  882.8    266.53     0.80    -9999
CALGARY    000714 300  223500-224000   00     267.27  882.7    266.65     0.80    -9999
CALGARY    000714 300  224000-224500   00     267.64  882.7    267.02     0.90    -9999
CALGARY    000714 300  224500-225000   00     267.40  882.8    266.99     0.90    -9999
CALGARY    000714 300  225000-225500   00     267.27  882.9    267.06     1.00    -9999
CALGARY    000714 300  225500-230000   00     267.20  882.6    266.38     0.70    -9999
CALGARY    000714 300  230000-230500   00     268.23  882.7    267.61     1.20    -9999
CALGARY    000714 300  230500-231000   00     266.47  882.8    266.06     0.60    -9999
CALGARY    000714 300  231000-231500   00     267.24  882.8    266.82     0.90    -9999
CALGARY    000714 300  231500-232000   00     270.29  882.8    269.88     2.00    -9999
CALGARY    000714 300  232000-232500   00     266.51  882.9    266.30     0.70    -9999
CALGARY    000714 300  232500-233000   00     267.14  882.7    266.52     0.80    -9999
CALGARY    000714 300  233000-233500   00     265.34  882.8    264.93     0.20    -9999
CALGARY    000714 300  233500-234000   00     268.70  882.8    268.28     1.40    -9999
CALGARY    000714 300  234000-234500   00     267.00  882.8    266.59     0.80    -9999
CALGARY    000714 300  234500-235000   00     265.91  882.8    265.50     0.40    -9999
CALGARY    000714 300  235000-235500   00     266.07  882.9    265.87     0.50    -9999
CALGARY    000714 300  235500-240000   00     266.57  882.8    266.16     0.60    -9999
CALGARY    000715 3600 000000-010000   00    -999.00 -999.0    266.39     0.70    -9999
CALGARY    000715 3600 010000-020000   00    -999.00 -999.0    265.83     0.50    -9999
CALGARY    000715 3600 020000-030000   00    -999.00 -999.0    263.89    -0.20    -9999
CALGARY    000715 3600 030000-040000   00    -999.00 -999.0    264.44     0.00    -9999
CALGARY    000715 3600 040000-050000   00    -999.00 -999.0    264.31    -0.10    -9999
CALGARY    000715 3600 050000-060000   00    -999.00 -999.0    264.17    -0.10    -9999
CALGARY    000715 3600 060000-070000   00    -999.00 -999.0    264.58     0.00    -9999
CALGARY    000715 3600 070000-080000   00    -999.00 -999.0    265.00     0.20    -9999
CALGARY    000715 3600 080000-090000   00    -999.00 -999.0    263.47    -0.40    -9999
CALGARY    000715 3600 090000-100000   00    -999.00 -999.0    263.47    -0.40    -9999
CALGARY    000715 3600 100000-110000   00    -999.00 -999.0    264.86     0.10    -9999
CALGARY    000715 3600 110000-120000   00    -999.00 -999.0    264.17    -0.10    -9999
CALGARY    000715 3600 120000-130000   00    -999.00 -999.0    262.36    -0.80    -9999
CALGARY    000715 3600 130000-140000   00    -999.00 -999.0    262.92    -0.60    -9999
CALGARY    000715 3600 140000-150000   00    -999.00 -999.0    260.97    -1.30    -9999
CALGARY    000715 3600 150000-160000   00    -999.00 -999.0    258.61    -2.20    -9999
CALGARY    000715 3600 160000-170000   00    -999.00 -999.0    257.78    -2.60    -9999
CALGARY    000715 3600 170000-180000   00    -999.00 -999.0    257.92    -2.50    -9999
CALGARY    000715 3600 180000-190000   00    -999.00 -999.0    258.47    -2.30    -9999
CALGARY    000715 3600 190000-200000   00    -999.00 -999.0    256.94    -2.90    -9999
CALGARY    000715 3600 200000-210000   00    -999.00 -999.0    249.72    -5.60    -9999
CALGARY    000715 3600 210000-220000   00    -999.00 -999.0    246.25    -6.90    -9999
CALGARY    000715 3600 220000-230000   00    -999.00 -999.0    244.86    -7.40    -9999
CALGARY    000715 3600 230000-240000   00    -999.00 -999.0   -999.00    -9999    -9999
*
*   	
COMMENT   ORIGINAL DATE WAS WRONG, SHIFTED BY ONE DAY. CORRECTED NOW	
COMMENT   DATA FOR 000715 WERE TAKEN FROM WDC CR	
COMMENT   THE PRE-INCREASE INTERVAL WAS ADJUSTED (IU)    	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2022-05-13 14:50:50 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE59/C059CALG_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
