LOMNICKY   LATITUDE    49.2      LONGITUDE     20.22     ALTITUDE    2634 M
LOMNICKY   INSTRUMENT   8-NM-64  NEUTRON MONITOR	
LOMNICKY   STANDARD PRESSURE    736     mb     COEFFICIENT   -0.72     % / mb
LOMNICKY   031028 300  191500-192000   00     381.18  736.4    382.32     1.20     0.48
LOMNICKY   031028 300  192000-192500   00     378.27  736.4    379.33     0.40    -0.32
LOMNICKY   031028 300  192500-193000   00     383.82  736.4    384.83     1.90     1.18
LOMNICKY   031028 300  193000-193500   00     382.78  736.3    383.72     1.60     0.88
LOMNICKY   031028 300  193500-194000   00     382.87  736.3    383.74     1.60     0.88
LOMNICKY   031028 300  194000-194500   00     382.02  736.3    382.82     1.40     0.69
LOMNICKY   031028 300  194500-195000   00     383.75  736.3    384.48     1.80     1.09
LOMNICKY   031028 300  195000-195500   00     386.03  736.2    386.70     2.40     1.69
LOMNICKY   031028 300  195500-200000   00     387.30  736.2    387.90     2.70     1.99
LOMNICKY   031028 300  200000-200500   00     386.17  736.2    386.68     2.40     1.69
LOMNICKY   031028 300  200500-201000   00     381.20  736.1    381.59     1.00     0.29
LOMNICKY   031028 300  201000-201500   00     383.73  736.1    384.01     1.70     0.99
LOMNICKY   031028 300  201500-202000   00     383.15  736.1    383.31     1.50     0.79
LOMNICKY   031028 300  202000-202500   00     384.27  736.0    384.31     1.80     1.10
LOMNICKY   031028 300  202500-203000   00     380.43  736.0    380.36     0.70     0.00
LOMNICKY   031028 300  203000-203500   00     385.02  735.9    384.83     1.90     1.20
LOMNICKY   031028 300  203500-204000   00     384.60  735.9    384.30     1.70     1.00
LOMNICKY   031028 300  204000-204500   00     386.82  735.8    386.40     2.30     1.60
LOMNICKY   031028 300  204500-205000   00     385.58  735.8    385.05     1.90     1.20
LOMNICKY   031028 300  205000-205500   00     383.28  735.8    382.64     1.30     0.60
LOMNICKY   031028 300  205500-210000   00     382.55  735.7    381.79     1.10     0.40
LOMNICKY   031028 300  210000-210500   00     385.87  735.7    385.00     1.90     1.21
LOMNICKY   031028 300  210500-211000   00     384.22  735.7    383.26     1.50     0.81
LOMNICKY   031028 300  211000-211500   00     385.67  735.6    384.61     1.80     1.11
LOMNICKY   031028 300  211500-212000   00     383.78  735.6    382.64     1.30     0.61
LOMNICKY   031028 300  212000-212500   00     382.52  735.6    381.29     1.00     0.31
LOMNICKY   031028 300  212500-213000   00     381.75  735.5    380.43     0.70     0.01
LOMNICKY   031028 300  213000-213500   00     382.68  735.5    381.27     0.90     0.21
LOMNICKY   031028 300  213500-214000   00     383.80  735.5    382.29     1.20     0.52
LOMNICKY   031028 300  214000-214500   00     385.90  735.4    384.29     1.70     1.02
LOMNICKY   031028 300  214500-215000   00     385.95  735.4    384.25     1.70     1.02
LOMNICKY   031028 300  215000-215500   00     386.68  735.4    384.89     1.90     1.22
LOMNICKY   031028 300  215500-220000   00     384.28  735.3    382.41     1.20     0.52
LOMNICKY   031028 300  220000-220500   00     386.78  735.3    384.79     1.90     1.22
LOMNICKY   031028 300  220500-221000   00     386.77  735.2    384.66     1.80     1.12
LOMNICKY   031028 300  221000-221500   00     384.70  735.2    382.49     1.30     0.62
LOMNICKY   031028 300  221500-222000   00     387.80  735.2    385.46     2.10     1.43
LOMNICKY   031028 300  222000-222500   00     386.72  735.1    384.26     1.70     1.03
LOMNICKY   031028 300  222500-223000   00     386.78  735.1    384.22     1.70     1.03
LOMNICKY   031028 300  223000-223500   00     391.15  735.0    388.44     2.80     2.13
LOMNICKY   031028 300  223500-224000   00     382.80  735.0    380.03     0.60    -0.07
LOMNICKY   031028 300  224000-224500   00     385.10  735.0    382.20     1.20     0.53
LOMNICKY   031028 300  224500-225000   00     388.13  734.9    385.09     2.00     1.33
LOMNICKY   031028 300  225000-225500   00     387.03  734.9    383.89     1.60     0.93
LOMNICKY   031028 300  225500-230000   00     384.80  734.8    381.56     1.00     0.34
LOMNICKY   031028 300  230000-230500   00     383.12  734.8    379.77     0.50    -0.16
LOMNICKY   031028 300  230500-231000   00     385.30  734.7    381.79     1.10     0.44
LOMNICKY   031028 300  231000-231500   00     384.83  734.7    381.19     0.90     0.24
LOMNICKY   031028 300  231500-232000   00     387.80  734.6    383.99     1.70     1.04
LOMNICKY   031028 300  232000-232500   00     386.70  734.6    382.77     1.30     0.64
LOMNICKY   031028 300  232500-233000   00     390.42  734.5    386.31     2.30     1.64
LOMNICKY   031028 300  233000-233500   00     388.03  734.5    383.81     1.60     0.94
LOMNICKY   031028 300  233500-234000   00     384.87  734.4    380.54     0.80     0.15
LOMNICKY   031028 300  234000-234500   00     387.47  734.4    382.97     1.40     0.75
LOMNICKY   031028 300  234500-235000   00     387.60  734.3    382.97     1.40     0.75
LOMNICKY   031028 300  235000-235500   00     386.22  734.3    381.46     1.00     0.35
LOMNICKY   031028 300  235500-240000   00     389.93  734.2    385.00     1.90     1.25
LOMNICKY   031029 300  000000-000500   00     388.37  734.2    383.30     1.50     0.85
LOMNICKY   031029 300  000500-001000   00     384.90  734.1    379.72     0.50    -0.15
LOMNICKY   031029 300  001000-001500   00     386.67  734.1    381.30     1.00     0.35
LOMNICKY   031029 300  001500-002000   00     386.70  734.0    381.18     0.90     0.26
LOMNICKY   031029 300  002000-002500   00     386.75  733.9    381.07     0.90     0.26
LOMNICKY   031029 300  002500-003000   00     387.35  733.9    381.50     1.00     0.36
LOMNICKY   031029 300  003000-003500   00     389.07  733.8    383.03     1.40     0.76
LOMNICKY   031029 300  003500-004000   00     389.17  733.8    382.96     1.40     0.76
LOMNICKY   031029 300  004000-004500   00     393.03  733.7    386.61     2.40     1.76
LOMNICKY   031029 300  004500-005000   00     388.65  733.7    382.13     1.20     0.56
LOMNICKY   031029 300  005000-005500   00     393.82  733.6    387.05     2.50     1.86
LOMNICKY   031029 300  005500-010000   00     392.80  733.5    385.89     2.20     1.57
LOMNICKY   031029 300  010000-010500   00     391.93  733.5    384.89     1.90     1.27
LOMNICKY   031029 300  010500-011000   00     391.47  733.4    384.29     1.70     1.07
LOMNICKY   031029 300  011000-011500   00     392.55  733.4    385.21     2.00     1.37
LOMNICKY   031029 300  011500-012000   00     395.97  733.3    388.43     2.80     2.17
LOMNICKY   031029 300  012000-012500   00     389.82  733.3    382.26     1.20     0.57
LOMNICKY   031029 300  012500-013000   00     389.68  733.2    381.99     1.10     0.47
LOMNICKY   031029 300  013000-013500   00     393.83  733.2    385.92     2.20     1.57
LOMNICKY   031029 300  013500-014000   00     393.82  733.1    385.76     2.10     1.48
LOMNICKY   031029 300  014000-014500   00     395.48  733.1    387.26     2.50     1.88
LOMNICKY   031029 300  014500-015000   00     396.30  733.0    387.92     2.70     2.08
LOMNICKY   031029 300  015000-015500   00     396.22  733.0    387.69     2.60     1.98
LOMNICKY   031029 300  015500-020000   00     395.77  732.9    387.11     2.50     1.88
LOMNICKY   031029 300  020000-020500   00     395.37  732.9    386.60     2.40     1.78
LOMNICKY   031029 300  020500-021000   00     396.13  732.9    387.26     2.50     1.88
LOMNICKY   031029 300  021000-021500   00     397.63  732.8    388.63     2.90     2.28
LOMNICKY   031029 300  021500-022000   00     394.90  732.8    385.87     2.20     1.59
LOMNICKY   031029 300  022000-022500   00     396.23  732.8    387.08     2.50     1.89
LOMNICKY   031029 300  022500-023000   00     393.95  732.7    384.76     1.90     1.29
LOMNICKY   031029 300  023000-023500   00     389.87  732.7    380.68     0.80     0.19
LOMNICKY   031029 300  023500-024000   00     394.27  732.7    384.88     1.90     1.29
LOMNICKY   031029 300  024000-024500   00     394.07  732.6    384.59     1.80     1.19
LOMNICKY   031029 300  024500-025000   00     396.65  732.6    387.02     2.50     1.89
LOMNICKY   031029 300  025000-025500   00     396.77  732.6    387.04     2.50     1.89
LOMNICKY   031029 300  025500-030000   00     393.02  732.5    383.29     1.50     0.90
LOMNICKY   031029 300  030000-030500   00     396.30  732.5    386.38     2.30     1.70
LOMNICKY   031029 300  030500-031000   00     394.97  732.4    384.94     1.90     1.30
LOMNICKY   031029 300  031000-031500   00     395.30  732.4    385.13     2.00     1.40
LOMNICKY   031029 300  031500-032000   00     394.83  732.3    384.54     1.80     1.20
LOMNICKY   031029 300  032000-032500   00     397.65  732.3    387.14     2.50     1.90
LOMNICKY   031029 300  032500-033000   00     398.80  732.2    388.12     2.80     2.20
LOMNICKY   031029 300  033000-033500   00     395.32  732.2    384.59     1.80     1.20
LOMNICKY   031029 300  033500-034000   00     396.18  732.1    385.30     2.00     1.41
LOMNICKY   031029 300  034000-034500   00     398.70  732.1    387.60     2.60     2.01
LOMNICKY   031029 300  034500-035000   00     396.60  732.0    385.42     2.00     1.41
LOMNICKY   031029 300  035000-035500   00     397.42  732.0    386.08     2.20     1.61
LOMNICKY   031029 300  035500-040000   00     398.10  731.9    386.60     2.40     1.81
LOMNICKY   031029 300  040000-040500   00     392.02  731.9    380.54     0.80     0.21
LOMNICKY   031029 300  040500-041000   00     399.05  731.8    387.18     2.50     1.91
LOMNICKY   031029 300  041000-041500   00     398.15  731.7    386.12     2.20     1.61
LOMNICKY   031029 300  041500-042000   00     396.38  731.7    384.23     1.70     1.12
LOMNICKY   031029 300  042000-042500   00     397.77  731.6    385.38     2.00     1.42
LOMNICKY   031029 300  042500-043000   00     397.67  731.5    385.10     2.00     1.42
LOMNICKY   031029 300  043000-043500   00     399.12  731.5    386.32     2.30     1.72
LOMNICKY   031029 300  043500-044000   00     400.68  731.4    387.65     2.60     2.02
LOMNICKY   031029 300  044000-044500   00     402.50  731.3    389.22     3.00     2.42
LOMNICKY   031029 300  044500-045000   00     397.28  731.3    383.99     1.70     1.12
LOMNICKY   031029 300  045000-045500   00     398.77  731.2    385.24     2.00     1.42
LOMNICKY   031029 300  045500-050000   00     400.03  731.1    386.28     2.30     1.73
LOMNICKY   031029 300  050000-050500   00     395.95  731.1    382.21     1.20     0.63
LOMNICKY   031029 300  050500-051000   00     400.73  731.1    386.78     2.40     1.83
LOMNICKY   031029 300  051000-051500   00     399.47  731.1    385.51     2.10     1.53
LOMNICKY   031029 300  051500-052000   00     400.70  731.0    386.65     2.40     1.83
LOMNICKY   031029 300  052000-052500   00     399.63  731.0    385.58     2.10     1.53
LOMNICKY   031029 300  052500-053000   00     398.37  731.0    384.31     1.70     1.13
LOMNICKY   031029 300  053000-053500   00     402.17  731.0    387.93     2.70     2.14
LOMNICKY   031029 300  053500-054000   00     403.08  731.0    388.77     2.90     2.34
LOMNICKY   031029 300  054000-054500   00     403.63  731.0    389.25     3.10     2.54
LOMNICKY   031029 300  054500-055000   00     408.87  730.9    394.25     4.40     3.84
LOMNICKY   031029 300  055000-055500   00     407.13  730.9    392.53     3.90     3.34
LOMNICKY   031029 300  055500-060000   00     406.08  730.9    391.47     3.60     3.04
LOMNICKY   031029 300  060000-060500   00     405.92  730.9    391.27     3.60     3.04
LOMNICKY   031029 300  060500-061000   00     409.63  730.9    394.83     4.50     3.94
LOMNICKY   031029 300  061000-061500   00     406.37  730.9    391.66     3.70     3.15
LOMNICKY   031029 300  061500-062000   00     402.80  730.9    388.20     2.80     2.25
LOMNICKY   031029 300  062000-062500   00     401.93  730.9    387.34     2.60     2.05
LOMNICKY   031029 300  062500-063000   00     398.68  730.9    384.18     1.70     1.15
LOMNICKY   031029 300  063000-063500   00     398.90  730.8    384.37     1.80     1.25
LOMNICKY   031029 300  063500-064000   00     390.15  730.8    375.92    -0.50    -1.05
LOMNICKY   031029 300  064000-064500   00     383.55  730.8    369.54    -2.20    -2.75
LOMNICKY   031029 300  064500-065000   00     391.45  730.8    377.12    -0.20    -0.75
LOMNICKY   031029 300  065000-065500   00     390.33  730.8    376.03    -0.40    -0.94
LOMNICKY   031029 300  065500-070000   00     396.67  730.8    382.10     1.20     0.66
LOMNICKY   031029 300  070000-070500   00     397.05  730.8    382.45     1.30     0.76
LOMNICKY   031029 300  070500-071000   00     396.45  730.8    381.85     1.10     0.56
LOMNICKY   031029 300  071000-071500   00     397.37  730.8    382.71     1.30     0.76
LOMNICKY   031029 300  071500-072000   00     393.97  730.8    379.41     0.50    -0.04
LOMNICKY   031029 300  072000-072500   00     394.40  730.8    379.81     0.60     0.06
LOMNICKY   031029 300  072500-073000   00     394.58  730.8    379.96     0.60     0.06
LOMNICKY   031029 300  073000-073500   00     395.62  730.7    380.93     0.90     0.37
LOMNICKY   031029 300  073500-074000   00     391.55  730.7    376.99    -0.20    -0.73
LOMNICKY   031029 300  074000-074500   00     392.33  730.7    377.73     0.00    -0.53
LOMNICKY   031029 300  074500-075000   00     390.10  730.7    375.55    -0.60    -1.13
LOMNICKY   031029 300  075000-075500   00     394.25  730.7    379.53     0.50    -0.03
LOMNICKY   031029 300  075500-080000   00     394.93  730.7    380.16     0.70     0.17
LOMNICKY   031029 300  080000-080500   00     393.97  730.7    379.18     0.40    -0.13
LOMNICKY   031029 300  080500-081000   00     395.68  730.7    380.74     0.80    -9999
LOMNICKY   031029 300  081000-081500   00     394.03  730.6    379.06     0.40    -9999
LOMNICKY   031029 300  081500-082000   00     392.20  730.6    377.21    -0.10    -9999
LOMNICKY   031029 300  082000-082500   00     387.93  730.6    373.01    -1.20    -9999
LOMNICKY   031029 300  082500-083000   00     389.98  730.5    374.90    -0.70    -9999
LOMNICKY   031029 300  083000-083500   00     391.23  730.5    376.01    -0.40    -9999
LOMNICKY   031029 300  083500-084000   00     397.67  730.5    382.10     1.20    -9999
LOMNICKY   031029 300  084000-084500   00     399.70  730.4    383.96     1.70    -9999
LOMNICKY   031029 300  084500-085000   00     399.15  730.4    383.34     1.50    -9999
LOMNICKY   031029 300  085000-085500   00     401.07  730.4    385.09     2.00    -9999
LOMNICKY   031029 300  085500-090000   00     396.73  730.3    380.84     0.80    -9999
LOMNICKY   031029 300  090000-090500   00     396.58  730.3    380.59     0.80    -9999
LOMNICKY   031029 300  090500-091000   00     391.97  730.2    376.05    -0.40    -9999
LOMNICKY   031029 300  091000-091500   00     391.65  730.2    375.63    -0.50    -9999
LOMNICKY   031029 300  091500-092000   00     390.83  730.2    374.74    -0.80    -9999
LOMNICKY   031029 300  092000-092500   00     389.60  730.1    373.44    -1.10    -9999
LOMNICKY   031029 300  092500-093000   00     388.63  730.1    372.40    -1.40    -9999
