KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.25     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
KERGUELEN  STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.76     % / mb
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    237.45      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300         3600     
KERGUELEN  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
KERGUELEN  211028 300  224000-224500   00     226.00 1004.7    234.32    -1.32    -9999
KERGUELEN  211028 300  224500-225000   00     225.87 1004.7    234.18    -1.37    -9999
KERGUELEN  211028 300  225000-225500   00     225.07 1004.7    233.45    -1.69    -9999
KERGUELEN  211028 300  225500-230000   00     228.27 1004.8    236.81    -0.27    -9999
KERGUELEN  211028 300  230000-230500   00     227.20 1004.9    235.85    -0.67    -9999
KERGUELEN  211028 300  230500-231000   00     226.00 1005.0    234.84    -1.10    -9999
KERGUELEN  211028 300  231000-231500   00     226.40 1005.1    235.40    -0.86    -9999
KERGUELEN  211028 300  231500-232000   00     225.73 1005.1    234.80    -1.11    -9999
KERGUELEN  211028 300  232000-232500   00     226.40 1005.3    235.73    -0.72    -9999
KERGUELEN  211028 300  232500-233000   00     228.93 1005.1    238.18     0.31    -9999
KERGUELEN  211028 300  233000-233500   00     230.13 1005.2    239.57     0.89    -9999
KERGUELEN  211028 300  233500-234000   00     229.47 1005.3    238.93     0.62    -9999
KERGUELEN  211028 300  234000-234500   00     226.27 1005.4    235.79    -0.70    -9999
KERGUELEN  211028 300  234500-235000   00     226.93 1005.3    236.39    -0.45    -9999
KERGUELEN  211028 300  235000-235500   00     226.13 1005.6    236.07    -0.58    -9999
KERGUELEN  211028 300  235500-000000   00     223.47 1005.8    233.67    -1.59    -9999
KERGUELEN  211029 3600 000000-010000   00     224.71 1006.3    235.83    -0.68    -9999
KERGUELEN  211029 3600 010000-020000   00     224.50 1006.9    236.67    -0.33    -9999
KERGUELEN  211029 3600 020000-030000   00     225.06 1007.0    237.42    -0.01    -9999
KERGUELEN  211029 3600 030000-040000   00     225.40 1007.3    238.30     0.36    -9999
KERGUELEN  211029 3600 040000-050000   00     226.13 1007.5    239.47     0.85    -9999
KERGUELEN  211029 3600 050000-060000   00     226.38 1007.2    239.24     0.75    -9999
KERGUELEN  211029 3600 060000-070000   00     226.77 1007.0    239.19     0.73    -9999
KERGUELEN  211029 3600 070000-080000   00     226.38 1006.7    238.28     0.35    -9999
KERGUELEN  211029 3600 080000-090000   00     227.61 1006.4    239.05     0.67    -9999
KERGUELEN  211029 3600 090000-100000   00     227.51 1005.8    237.91     0.20    -9999
KERGUELEN  211029 3600 100000-110000   00     226.70 1005.4    236.36    -0.46    -9999
KERGUELEN  211029 3600 110000-120000   00     229.00 1004.9    237.86     0.17    -9999
KERGUELEN  211029 3600 120000-130000   00     228.74 1004.8    237.35    -0.04    -9999
