YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    1000.3  MB     COEFFICIENT   -0.71     % / MB
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE     84.22      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
YAKUTSK    010415 300  140500-141000   00      86.51 1000.8     86.82     3.10     2.71
YAKUTSK    010415 300  141000-141500   00      97.97 1000.8     98.35    16.80    16.39
YAKUTSK    010415 300  141500-142000   00     107.57 1000.9    108.00    28.20    27.78
YAKUTSK    010415 300  142000-142500   00     118.72 1000.9    119.20    41.50    41.06
YAKUTSK    010415 300  142500-143000   00     117.23 1000.9    117.72    39.80    39.34
YAKUTSK    010415 300  143000-143500   00     118.93 1000.9    119.45    41.80    41.33
YAKUTSK    010415 300  143500-144000   00     121.12 1000.9    121.67    44.50    44.01
YAKUTSK    010415 300  144000-144500   00     123.09 1001.0    123.67    46.80    46.29
YAKUTSK    010415 300  144500-145000   00     122.13 1001.0    122.73    45.70    45.17
YAKUTSK    010415 300  145000-145500   00     121.65 1001.0    122.26    45.20    44.66
YAKUTSK    010415 300  145500-150000   00     122.19 1001.0    122.82    45.80    45.24
YAKUTSK    010415 300  150000-150500   00     118.24 1001.1    118.89    41.20    40.62
YAKUTSK    010415 300  150500-151000   00     117.28 1001.1    117.94    40.00    39.41
YAKUTSK    010415 300  151000-151500   00     115.52 1001.1    116.19    38.00    37.39
YAKUTSK    010415 300  151500-152000   00     114.29 1001.1    114.98    36.50    35.88
YAKUTSK    010415 300  152000-152500   00     114.13 1001.2    114.84    36.40    35.76
YAKUTSK    010415 300  152500-153000   00     111.31 1001.2    112.02    33.00    32.34
YAKUTSK    010415 300  153000-153500   00     109.55 1001.2    110.26    30.90    30.23
YAKUTSK    010415 300  153500-154000   00     110.13 1001.2    110.87    31.70    31.01
YAKUTSK    010415 300  154000-154500   00     109.23 1001.3    109.98    30.60    29.89
YAKUTSK    010415 300  154500-155000   00     107.89 1001.3    108.66    29.00    28.28
YAKUTSK    010415 300  155000-155500   00     105.39 1001.3    106.15    26.00    25.26
YAKUTSK    010415 300  155500-160000   00     103.41 1001.3    104.18    23.70    22.95
YAKUTSK    010415 300  160000-160500   00     102.72 1001.4    103.49    22.90    22.13
YAKUTSK    010415 300  160500-161000   00     100.43 1001.4    101.20    20.20    19.42
YAKUTSK    010415 300  161000-161500   00     101.49 1001.4    102.30    21.50    20.70
YAKUTSK    010415 300  161500-162000   00     100.64 1001.4    101.46    20.50    19.69
YAKUTSK    010415 300  162000-162500   00      99.36 1001.5    100.19    19.00    18.17
YAKUTSK    010415 300  162500-163000   00      96.37 1001.5     97.19    15.40    14.56
YAKUTSK    010415 300  163000-163500   00      95.20 1001.5     96.03    14.00    13.14
YAKUTSK    010415 300  163500-164000   00      96.69 1001.5     97.56    15.80    14.93
YAKUTSK    010415 300  164000-164500   00      94.51 1001.6     95.37    13.20    12.31
YAKUTSK    010415 300  164500-165000   00      93.81 1001.6     94.69    12.40    11.50
YAKUTSK    010415 300  165000-165500   00      94.45 1001.6     95.36    13.20    12.28
YAKUTSK    010415 300  165500-170000   00      94.35 1001.7     95.28    13.10    12.17
YAKUTSK    010415 300  170000-170500   00      92.96 1001.8     93.93    11.50    10.55
YAKUTSK    010415 300  170500-171000   00      92.80 1001.8     93.79    11.40    10.44
YAKUTSK    010415 300  171000-171500   00      92.91 1001.8     93.92    11.50    10.52
YAKUTSK    010415 300  171500-172000   00      92.27 1001.8     93.29    10.80     9.81
YAKUTSK    010415 300  172000-172500   00      90.56 1001.9     91.58     8.70     7.69
YAKUTSK    010415 300  172500-173000   00      91.79 1001.9     92.84    10.20     9.18
YAKUTSK    010415 300  173000-173500   00      90.13 1001.9     91.18     8.30     7.27
YAKUTSK    010415 300  173500-174000   00      89.55 1001.9     90.60     7.60     6.55
YAKUTSK    010415 300  174000-174500   00      90.08 1001.9     91.15     8.20     7.14
YAKUTSK    010415 300  174500-175000   00      90.19 1002.0     91.26     8.40     7.33
YAKUTSK    010415 300  175000-175500   00      90.93 1002.0     92.03     9.30     8.21
YAKUTSK    010415 300  175500-180000   00      88.37 1002.0     89.44     6.20     5.10
YAKUTSK    010415 300  180000-180500   00      89.87 1001.9     90.93     8.00     6.88
YAKUTSK    010415 300  180500-181000   00      88.75 1002.0     89.80     6.60     5.47
YAKUTSK    010415 300  181000-181500   00      86.45 1002.0     87.49     3.90     2.76
YAKUTSK    010415 300  181500-182000   00      89.28 1002.0     90.35     7.30     6.14
YAKUTSK    010415 300  182000-182500   00      88.21 1002.0     89.28     6.00     4.83
