KIEL       LATITUDE    54.3      LONGITUDE     10.1      ALTITUDE    54 M
KIEL       INSTRUMENT   18NM64    NEUTRON MONITOR	
KIEL       STANDARD PRESSURE    993.7   mb     COEFFICIENT   -0.72     % / mb
KIEL       PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
KIEL       PRE-INCREASE AVERAGE COUNTING RATE    172.09      COUNTS PER SECOND
KIEL       TIME INTERVALS    300         3600     
KIEL       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
KIEL       010415 300  144500-145000   00     209.94  993.6    209.75    21.90    21.69
KIEL       010415 300  145000-145500   00     203.99  993.6    203.79    18.40    18.19
KIEL       010415 300  145500-150000   00     204.64  993.6    204.43    18.80    18.59
KIEL       010415 300  150000-150500   00     203.30  993.5    203.05    18.00    17.79
KIEL       010415 300  150500-151000   00     202.52  993.5    202.25    17.50    17.28
KIEL       010415 300  151000-151500   00     200.45  993.5    200.18    16.30    16.08
KIEL       010415 300  151500-152000   00     197.14  993.5    196.86    14.40    14.18
KIEL       010415 300  152000-152500   00     195.32  993.5    195.04    13.30    13.08
KIEL       010415 300  152500-153000   00     195.42  993.5    195.14    13.40    13.18
KIEL       010415 300  153000-153500   00     194.21  993.5    193.94    12.70    12.48
KIEL       010415 300  153500-154000   00     191.79  993.5    191.51    11.30    11.08
KIEL       010415 300  154000-154500   00     190.02  993.5    189.74    10.30    10.08
KIEL       010415 300  154500-155000   00     191.46  993.5    191.19    11.10    10.87
KIEL       010415 300  155000-155500   00     188.54  993.5    188.28     9.40     9.17
KIEL       010415 300  155500-160000   00     187.60  993.5    187.35     8.90     8.67
KIEL       010415 300  160000-160500   00     186.40  993.5    186.19     8.20     7.97
KIEL       010415 300  160500-161000   00     186.12  993.5    185.91     8.00     7.77
KIEL       010415 300  161000-161500   00     185.21  993.6    185.01     7.50     7.27
KIEL       010415 300  161500-162000   00     186.31  993.6    186.13     8.20     7.96
KIEL       010415 300  162000-162500   00     188.34  993.6    188.17     9.30     9.06
KIEL       010415 300  162500-163000   00     186.05  993.6    185.90     8.00     7.76
KIEL       010415 300  163000-163500   00     181.38  993.6    181.25     5.30     5.06
KIEL       010415 300  163500-164000   00     183.21  993.6    183.10     6.40     6.16
KIEL       010415 300  164000-164500   00     181.37  993.6    181.28     5.30     5.05
KIEL       010415 300  164500-165000   00     181.06  993.6    180.99     5.20     4.95
KIEL       010415 300  165000-165500   00     180.69  993.7    180.63     5.00     4.75
KIEL       010415 300  165500-170000   00     178.07  993.7    178.03     3.50     3.25
KIEL       010415 300  170000-170500   00     182.20  993.7    182.17     5.90     5.64
KIEL       010415 300  170500-171000   00     180.09  993.7    180.09     4.60     4.34
KIEL       010415 300  171000-171500   00     179.45  993.7    179.47     4.30     4.04
KIEL       010415 300  171500-172000   00     179.33  993.7    179.38     4.20     3.94
KIEL       010415 300  172000-172500   00     179.94  993.8    180.01     4.60     4.33
KIEL       010415 300  172500-173000   00     179.31  993.8    179.41     4.30     4.03
KIEL       010415 300  173000-173500   00     179.31  993.8    179.44     4.30     4.03
KIEL       010415 300  173500-174000   00     176.88  993.8    177.04     2.90     2.63
KIEL       010415 300  174000-174500   00     177.94  993.9    178.14     3.50     3.22
KIEL       010415 300  174500-175000   00     177.06  993.9    177.29     3.00     2.72
KIEL       010415 300  175000-175500   00     176.91  993.9    177.18     3.00     2.72
