MCMURDO    LATITUDE    -77.95    LONGITUDE     166.6     ALTITUDE    48 M
MCMURDO    INSTRUMENT   18NM64    NEUTRON MONITOR     	
MCMURDO    STANDARD PRESSURE    963.3   mb     COEFFICIENT   -0.74     % / mb
MCMURDO    PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
MCMURDO    PRE-INCREASE AVERAGE COUNTING RATE    245.95      COUNTS PER SECOND
MCMURDO    TIME INTERVALS    300         3600     
MCMURDO    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MCMURDO    010415 300  142500-143000   00     457.35  963.9    459.12    86.70    86.19
MCMURDO    010415 300  143000-143500   00     495.50  963.9    497.47   102.30   101.77
MCMURDO    010415 300  143500-144000   00     448.73  963.9    450.58    83.20    82.65
MCMURDO    010415 300  144000-144500   00     441.77  963.9    443.64    80.40    79.83
MCMURDO    010415 300  144500-145000   00     447.07  963.9    449.03    82.60    82.01
MCMURDO    010415 300  145000-145500   00     442.76  963.9    444.77    80.80    80.19
MCMURDO    010415 300  145500-150000   00     431.15  964.0    433.18    76.10    75.47
MCMURDO    010415 300  150000-150500   00     439.11  964.0    441.35    79.50    78.85
MCMURDO    010415 300  150500-151000   00     442.76  964.0    445.09    81.00    80.33
MCMURDO    010415 300  151000-151500   00     434.47  964.1    436.83    77.60    76.91
MCMURDO    010415 300  151500-152000   00     424.52  964.1    426.89    73.60    72.89
MCMURDO    010415 300  152000-152500   00     410.92  964.1    413.27    68.00    67.28
MCMURDO    010415 300  152500-153000   00     397.32  964.1    399.65    62.50    61.76
MCMURDO    010415 300  153000-153500   00     389.03  964.1    391.36    59.10    58.34
MCMURDO    010415 300  153500-154000   00     379.75  964.2    382.06    55.40    54.62
MCMURDO    010415 300  154000-154500   00     370.46  964.2    372.76    51.60    50.80
MCMURDO    010415 300  154500-155000   00     355.87  964.2    358.11    45.60    44.78
MCMURDO    010415 300  155000-155500   00     350.23  964.2    352.47    43.30    42.46
MCMURDO    010415 300  155500-160000   00     346.58  964.2    348.83    41.80    40.94
MCMURDO    010415 300  160000-160500   00     340.94  964.2    343.10    39.50    38.63
MCMURDO    010415 300  160500-161000   00     336.96  964.2    339.13    37.90    37.01
MCMURDO    010415 300  161000-161500   00     329.67  964.2    331.82    34.90    33.99
MCMURDO    010415 300  161500-162000   00     330.00  964.2    332.18    35.10    34.17
MCMURDO    010415 300  162000-162500   00     324.03  964.2    326.21    32.60    31.65
MCMURDO    010415 300  162500-163000   00     320.71  964.3    322.91    31.30    30.33
MCMURDO    010415 300  163000-163500   00     317.07  964.3    319.28    29.80    28.82
MCMURDO    010415 300  163500-164000   00     311.76  964.3    313.97    27.70    26.70
MCMURDO    010415 300  164000-164500   00     306.45  964.3    308.66    25.50    24.48
MCMURDO    010415 300  164500-165000   00     305.79  964.3    308.04    25.30    24.26
MCMURDO    010415 300  165000-165500   00     303.80  964.3    306.09    24.40    23.34
MCMURDO    010415 300  165500-170000   00     297.50  964.4    299.78    21.90    20.83
MCMURDO    010415 300  170000-170500   00     295.51  964.4    297.86    21.10    20.01
MCMURDO    010415 300  170500-171000   00     292.85  964.4    295.23    20.00    18.89
MCMURDO    010415 300  171000-171500   00     293.18  964.4    295.62    20.20    19.07
MCMURDO    010415 300  171500-172000   00     290.20  964.5    292.65    19.00    17.86
MCMURDO    010415 300  172000-172500   00     286.88  964.5    289.36    17.70    16.54
MCMURDO    010415 300  172500-173000   00     287.88  964.5    290.41    18.10    16.92
MCMURDO    010415 300  173000-173500   00     287.22  964.5    289.79    17.80    16.61
MCMURDO    010415 300  173500-174000   00     282.24  964.6    284.81    15.80    14.59
MCMURDO    010415 300  174000-174500   00     278.93  964.6    281.52    14.50    13.27
MCMURDO    010415 300  174500-175000   00     279.92  964.6    282.57    14.90    13.65
MCMURDO    010415 300  175000-175500   00     278.26  964.6    280.94    14.20    12.94
MCMURDO    010415 300  175500-180000   00     276.27  964.6    278.98    13.40    12.12
MCMURDO    010415 300  180000-180500   00     274.28  964.7    277.15    12.70    11.40
MCMURDO    010415 300  180500-181000   00     275.28  964.8    278.20    13.10    11.79
MCMURDO    010415 300  181000-181500   00     272.62  964.8    275.55    12.00    10.67
