ROME       LATITUDE    41.9      LONGITUDE     12.52     ALTITUDE    60 M
ROME       INSTRUMENT   IGY     NEUTRON MONITOR
ROME       STANDARD PRESSURE    1009    MB     COEFFICIENT   -0.705    % / MB
ROME       PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
ROME       PRE-INCREASE AVERAGE COUNTING RATE    117.24      COUNTS PER SECOND
ROME       TIME INTERVALS    300         3600     
ROME       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ROME       000714 300  171000-171500   00     119.53 1005.3    116.27    -0.80    -9999
ROME       000714 300  171500-172000   00     118.17 1005.2    114.91    -2.00    -9999
ROME       000714 300  172000-172500   00     120.23 1005.2    116.89    -0.30    -9999
ROME       000714 300  172500-173000   00     119.27 1005.2    115.94    -1.10    -9999
ROME       000714 300  173000-173500   00     119.83 1005.3    116.54    -0.60    -9999
ROME       000714 300  173500-174000   00     118.97 1005.3    115.73    -1.30    -9999
ROME       000714 300  174000-174500   00     119.80 1005.2    116.48    -0.60    -9999
ROME       000714 300  174500-175000   00     118.67 1005.1    115.30    -1.70    -9999
ROME       000714 300  175000-175500   00     117.77 1005.1    114.43    -2.40    -9999
ROME       000714 300  175500-180000   00     118.17 1005.2    114.85    -2.00    -9999
ROME       000714 300  180000-180500   00     119.97 1005.2    116.59    -0.60    -9999
ROME       000714 300  180500-181000   00     120.03 1005.1    116.62    -0.50    -9999
ROME       000714 300  181000-181500   00     119.00 1005.0    115.56    -1.40    -9999
ROME       000714 300  181500-182000   00     119.33 1005.0    115.81    -1.20    -9999
ROME       000714 300  182000-182500   00     119.10 1004.9    115.56    -1.40    -9999
ROME       000714 300  182500-183000   00     119.07 1005.0    115.59    -1.40    -9999
ROME       000714 300  183000-183500   00     120.03 1005.0    116.55    -0.60    -9999
ROME       000714 300  183500-184000   00     118.73 1005.0    115.25    -1.70    -9999
ROME       000714 300  184000-184500   00     122.40 1005.0    118.79     1.30    -9999
ROME       000714 300  184500-185000   00     119.97 1004.9    116.40    -0.70    -9999
ROME       000714 300  185000-185500   00     120.90 1004.8    117.19     0.00    -9999
ROME       000714 300  185500-190000   00     119.97 1004.7    116.19    -0.90    -9999
