YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.72     % / mb
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    229.20      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
YAKUTSK    211029 3600 100000-110000   00     216.78 1011.3    230.04     0.37    -9999
YAKUTSK    211029 3600 110000-120000   00     216.05 1011.5    229.67     0.20    -9999
YAKUTSK    211029 3600 120000-130000   00     215.58 1011.6    229.27     0.03    -9999
YAKUTSK    211029 3600 130000-140000   00     215.15 1011.8    229.27     0.03    -9999
YAKUTSK    211029 3600 140000-150000   00     214.95 1012.3    229.84     0.28    -9999
YAKUTSK    211029 3600 150000-160000   00     213.54 1012.6    228.86    -0.15    -9999
YAKUTSK    211029 3600 160000-170000   00     212.95 1013.2    229.11    -0.04    -9999
YAKUTSK    211029 3600 170000-180000   00     211.77 1013.8    228.88    -0.14    -9999
YAKUTSK    211029 3600 180000-190000   00     211.80 1014.5    230.05     0.37    -9999
YAKUTSK    211029 3600 190000-200000   00     210.87 1015.1    230.08     0.38    -9999
YAKUTSK    211029 3600 200000-210000   00     210.71 1015.6    230.77     0.69    -9999
YAKUTSK    211029 3600 210000-220000   00     210.12 1016.0    230.78     0.69    -9999
YAKUTSK    211029 3600 220000-230000   00     209.44 1016.4    230.72     0.66    -9999
YAKUTSK    211029 3600 230000-000000   00     208.55 1017.1    230.93     0.75    -9999
*
COMMENT  FILE COMPOSED BY ILYA USOSKIN OF THE UNIVERSITY OF OULU
COMMENT  DATA OBTAINED FROM NMDB (30.10.2021)
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-03-30 17:39:06 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE73/C073YKTK_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
