YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   IGY     NEUTRON MONITOR
YAKUTSK    STANDARD PRESSURE    1003    MB     COEFFICIENT   -0.715    % / MB
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE     77.62      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
YAKUTSK    000714 300  133000-133500   00      83.73  996.3     81.55     5.10     4.76
YAKUTSK    000714 300  133500-134000   00      82.99  996.3     80.85     4.20     3.85
YAKUTSK    000714 300  134000-134500   00      83.89  996.3     81.71     5.30     4.94
YAKUTSK    000714 300  134500-135000   00      85.39  996.3     83.15     7.10     6.74
YAKUTSK    000714 300  135000-135500   00      82.67  996.3     80.53     3.80     3.43
YAKUTSK    000714 300  135500-140000   00      83.41  996.3     81.23     4.60     4.22
YAKUTSK    000714 300  140000-140500   00      82.51  996.2     80.27     3.40     3.01
YAKUTSK    000714 300  140500-141000   00      82.99  996.2     80.75     4.00     3.61
YAKUTSK    000714 300  141000-141500   00      82.40  996.1     80.11     3.20     2.80
YAKUTSK    000714 300  141500-142000   00      84.21  996.1     81.87     5.50     5.09
YAKUTSK    000714 300  142000-142500   00      84.00  996.1     81.71     5.30     4.88
YAKUTSK    000714 300  142500-143000   00      84.32  996.1     82.03     5.70     5.28
YAKUTSK    000714 300  143000-143500   00      83.09  996.1     80.85     4.20     3.77
YAKUTSK    000714 300  143500-144000   00      83.15  996.1     80.85     4.20     3.76
YAKUTSK    000714 300  144000-144500   00      82.35  996.1     80.05     3.10     2.66
YAKUTSK    000714 300  144500-145000   00      82.77  996.2     80.53     3.80     3.35
YAKUTSK    000714 300  145000-145500   00      83.41  996.2     81.17     4.60     4.14
YAKUTSK    000714 300  145500-150000   00      82.61  996.2     80.37     3.50     3.03
YAKUTSK    000714 300  150000-150500   00      82.72  996.2     80.48     3.70     3.23
YAKUTSK    000714 300  150500-151000   00      82.51  996.2     80.27     3.40     2.92
YAKUTSK    000714 300  151000-151500   00      83.79  996.2     81.55     5.10     4.61
YAKUTSK    000714 300  151500-152000   00      82.24  996.3     80.11     3.20     2.70
YAKUTSK    000714 300  152000-152500   00      81.12  996.2     78.99     1.80     1.30
YAKUTSK    000714 300  152500-153000   00      82.19  996.2     80.00     3.10     2.59
YAKUTSK    000714 300  153000-153500   00      82.35  996.2     80.16     3.30     2.78
YAKUTSK    000714 300  153500-154000   00      82.03  996.2     79.84     2.90     2.38
YAKUTSK    000714 300  154000-154500   00      83.63  996.2     81.39     4.90     4.37
YAKUTSK    000714 300  154500-155000   00      82.35  996.2     80.11     3.20     2.66
YAKUTSK    000714 300  155000-155500   00      82.35  996.3     80.21     3.30     2.75
YAKUTSK    000714 300  155500-160000   00      82.93  996.3     80.80     4.10     3.55
YAKUTSK    000714 300  160000-160500   00      82.45  996.3     80.32     3.50     2.94
YAKUTSK    000714 300  160500-161000   00      82.77  996.4     80.69     4.00     3.43
YAKUTSK    000714 300  161000-161500   00      83.31  996.4     81.17     4.60     4.02
YAKUTSK    000714 300  161500-162000   00      82.93  996.4     80.80     4.10     3.52
YAKUTSK    000714 300  162000-162500   00      83.47  996.4     81.39     4.90     4.31
YAKUTSK    000714 300  162500-163000   00      83.84  996.4     81.71     5.30     4.70
YAKUTSK    000714 300  163000-163500   00      83.47  996.4     81.33     4.80     4.20
YAKUTSK    000714 300  163500-164000   00      83.25  996.4     81.17     4.60     3.99
YAKUTSK    000714 300  164000-164500   00      83.63  996.2     81.39     4.90     4.28
YAKUTSK    000714 300  164500-165000   00      82.24  996.2     80.00     3.10     2.47
YAKUTSK    000714 300  165000-165500   00      81.28  996.3     79.20     2.00     1.37
YAKUTSK    000714 300  165500-170000   00      80.91  996.3     78.83     1.60     0.96
YAKUTSK    000714 300  170000-170500   00      81.76  996.4     79.68     2.70     2.05
YAKUTSK    000714 300  170500-171000   00      81.49  996.5     79.52     2.40     1.74
YAKUTSK    000714 300  171000-171500   00      81.87  996.6     79.89     2.90     2.24
YAKUTSK    000714 300  171500-172000   00      82.83  996.7     80.91     4.20     3.53
YAKUTSK    000714 300  172000-172500   00      83.36  996.7     81.44     4.90     4.22
YAKUTSK    000714 300  172500-173000   00      80.21  996.7     78.35     0.90     0.21
YAKUTSK    000714 300  173000-173500   00      80.37  996.7     78.51     1.10     0.41
YAKUTSK    000714 300  173500-174000   00      79.89  996.8     78.08     0.60    -0.10
YAKUTSK    000714 300  174000-174500   00      82.40  996.8     80.53     3.80     3.09
YAKUTSK    000714 300  174500-175000   00      82.24  996.8     80.37     3.50     2.79
YAKUTSK    000714 300  175000-175500   00      79.95  996.7     78.13     0.70    -0.02
YAKUTSK    000714 300  175500-180000   00      81.12  996.7     79.20     2.00     1.27
YAKUTSK    000714 300  180000-180500   00      82.24  996.7     80.32     3.50     2.76
YAKUTSK    000714 300  180500-181000   00      80.48  996.7     78.61     1.30     0.56
YAKUTSK    000714 300  181000-181500   00      82.03  996.7     80.11     3.20     2.45
YAKUTSK    000714 300  181500-182000   00      81.71  996.6     79.73     2.70     1.94
YAKUTSK    000714 300  182000-182500   00      82.19  996.6     80.21     3.30     2.53
YAKUTSK    000714 300  182500-183000   00      80.96  996.7     79.04     1.80     1.03
YAKUTSK    000714 300  183000-183500   00      80.91  996.6     78.93     1.70     0.92
YAKUTSK    000714 300  183500-184000   00      80.96  996.6     78.99     1.80     1.01
YAKUTSK    000714 300  184000-184500   00      81.55  996.5     79.52     2.40     1.61
YAKUTSK    000714 300  184500-185000   00      81.17  996.5     79.15     2.00     1.20
YAKUTSK    000714 300  185000-185500   00      81.33  996.5     79.31     2.20     1.39
YAKUTSK    000714 300  185500-190000   00      82.51  996.5     80.48     3.70     2.88
YAKUTSK    000714 300  190000-190500   00      80.80  996.5     78.83     1.60     0.78
YAKUTSK    000714 300  190500-191000   00      80.64  996.5     78.67     1.30     0.47
YAKUTSK    000714 300  191000-191500   00      82.08  996.5     80.11     3.20     2.36
YAKUTSK    000714 300  191500-192000   00      82.24  996.4     80.16     3.30     2.45
YAKUTSK    000714 300  192000-192500   00      81.92  996.4     79.84     2.90     2.05
YAKUTSK    000714 300  192500-193000   00      82.19  996.4     80.11     3.20     2.34
YAKUTSK    000714 300  193000-193500   00      81.81  996.5     79.79     2.80     1.93
YAKUTSK    000714 300  193500-194000   00      82.40  996.5     80.32     3.50     2.62
YAKUTSK    000714 300  194000-194500   00      83.20  996.5     81.17     4.60     3.72
YAKUTSK    000714 300  194500-195000   00      80.80  996.4     78.72     1.40     0.51
YAKUTSK    000714 300  195000-195500   00      81.87  996.4     79.73     2.70     1.80
YAKUTSK    000714 300  195500-200000   00      82.13  996.4     80.05     3.10     2.20
YAKUTSK    000714 300  200000-200500   00      80.91  996.4     78.88     1.60     0.69
YAKUTSK    000714 300  200500-201000   00      82.13  996.4     80.05     3.10     2.18
YAKUTSK    000714 300  201000-201500   00      81.97  996.4     79.84     2.90     1.97
YAKUTSK    000714 300  201500-202000   00      82.08  996.4     80.00     3.10     2.17
YAKUTSK    000714 300  202000-202500   00      81.44  996.4     79.36     2.20     1.26
YAKUTSK    000714 300  202500-203000   00      82.19  996.4     80.11     3.20     2.25
YAKUTSK    000714 300  203000-203500   00      81.97  996.4     79.89     2.90     1.94
YAKUTSK    000714 300  203500-204000   00      81.01  996.4     78.99     1.80     0.84
YAKUTSK    000714 300  204000-204500   00      81.65  996.4     79.57     2.50     1.53
YAKUTSK    000714 300  204500-205000   00      80.80  996.3     78.72     1.40     0.42
YAKUTSK    000714 300  205000-205500   00      82.24  996.3     80.11     3.20     2.22
YAKUTSK    000714 300  205500-206000   00      80.43  996.3     78.29     0.90    -0.09
YAKUTSK    000714 300  210000-210500   00      81.76  996.4     79.68     2.70     1.70
YAKUTSK    000714 300  210500-211000   00      81.49  996.4     79.41     2.30     1.29
YAKUTSK    000714 300  211000-211500   00      81.12  996.4     79.04     1.80     0.79
YAKUTSK    000714 300  211500-212000   00      80.69  996.4     78.61     1.30     0.28
YAKUTSK    000714 300  212000-212500   00      80.69  996.4     78.61     1.30     0.27
YAKUTSK    000714 300  212500-213000   00      81.01  996.4     78.93     1.70     0.66
YAKUTSK    000714 300  213000-213500   00      81.92  996.3     79.79     2.80     1.76
YAKUTSK    000714 300  213500-214000   00      79.36  996.3     77.28    -0.40    -1.45
YAKUTSK    000714 300  214000-214500   00      80.43  996.3     78.35     0.90    -0.16
YAKUTSK    000714 300  214500-215000   00      80.59  996.2     78.45     1.10     0.03
YAKUTSK    000714 300  215000-215500   00      81.92  996.2     79.68     2.70     1.63
YAKUTSK    000714 300  215500-220000   00      80.91  996.2     78.77     1.50     0.42
YAKUTSK    000714 300  220000-220500   00      82.93  996.2     80.69     4.00     2.91
YAKUTSK    000714 300  220500-221000   00      80.21  996.2     78.08     0.60    -0.49
YAKUTSK    000714 300  221000-221500   00      80.80  996.2     78.61     1.30     0.20
YAKUTSK    000714 300  221500-222000   00      79.47  996.2     77.33    -0.40    -1.51
YAKUTSK    000714 300  222000-222500   00      81.81  996.3     79.63     2.60     1.48
YAKUTSK    000714 300  222500-223000   00      82.08  996.3     79.95     3.00     1.88
YAKUTSK    000714 300  223000-223500   00      80.75  996.3     78.67     1.30     0.17
YAKUTSK    000714 300  223500-224000   00      81.60  996.3     79.47     2.40     1.26
YAKUTSK    000714 300  224000-224500   00      82.24  996.2     80.00     3.10     1.95
YAKUTSK    000714 300  224500-225000   00      81.07  996.2     78.88     1.60     0.45
YAKUTSK    000714 300  225000-225500   00      80.75  996.2     78.56     1.20     0.04
YAKUTSK    000714 300  225500-230000   00      81.92  996.3     79.79     2.80     1.63
YAKUTSK    000714 300  230000-230500   00      82.03  996.3     79.89     2.90     1.73
YAKUTSK    000714 300  230500-231000   00      82.67  996.4     80.59     3.80     2.62
YAKUTSK    000714 300  231000-231500   00      81.87  996.4     79.79     2.80     1.61
YAKUTSK    000714 300  231500-232000   00      80.16  996.4     78.13     0.70    -0.50
YAKUTSK    000714 300  232000-232500   00      80.21  996.4     78.13     0.70    -0.50
YAKUTSK    000714 300  232500-233000   00      80.53  996.4     78.45     1.10    -0.11
YAKUTSK    000714 300  233000-233500   00      81.71  996.4     79.63     2.60     1.38
YAKUTSK    000714 300  233500-234000   00      81.33  996.4     79.31     2.20     0.97
YAKUTSK    000714 300  234000-234500   00      80.27  996.5     78.29     0.90    -0.33
YAKUTSK    000714 300  234500-235000   00      80.11  996.5     78.13     0.70    -0.54
YAKUTSK    000714 300  235000-235500   00      80.48  996.5     78.51     1.10    -0.15
YAKUTSK    000714 300  235500-240000   00      79.52  996.5     77.55    -0.10    -1.36
YAKUTSK    000715 3600 000000-010000   00    -999.00 -999.0     78.60     1.30    -9999
YAKUTSK    000715 3600 010000-020000   00    -999.00 -999.0     78.68     1.40    -9999
YAKUTSK    000715 3600 020000-030000   00    -999.00 -999.0     78.49     1.10    -9999
YAKUTSK    000715 3600 030000-040000   00    -999.00 -999.0     78.60     1.30    -9999
YAKUTSK    000715 3600 040000-050000   00    -999.00 -999.0     78.80     1.50    -9999
YAKUTSK    000715 3600 050000-060000   00    -999.00 -999.0     78.17     0.70    -9999
YAKUTSK    000715 3600 060000-070000   00    -999.00 -999.0     78.45     1.10    -9999
YAKUTSK    000715 3600 070000-080000   00    -999.00 -999.0     78.00     0.50    -9999
YAKUTSK    000715 3600 080000-090000   00    -999.00 -999.0     78.00     0.50    -9999
YAKUTSK    000715 3600 090000-100000   00    -999.00 -999.0     77.89     0.30    -9999
YAKUTSK    000715 3600 100000-110000   00    -999.00 -999.0     78.04     0.50    -9999
YAKUTSK    000715 3600 110000-120000   00    -999.00 -999.0     77.98     0.50    -9999
YAKUTSK    000715 3600 120000-130000   00    -999.00 -999.0     77.89     0.30    -9999
YAKUTSK    000715 3600 130000-140000   00    -999.00 -999.0     78.29     0.90    -9999
YAKUTSK    000715 3600 140000-150000   00    -999.00 -999.0     78.14     0.70    -9999
YAKUTSK    000715 3600 150000-160000   00    -999.00 -999.0     77.89     0.30    -9999
YAKUTSK    000715 3600 160000-170000   00    -999.00 -999.0     77.67     0.10    -9999
YAKUTSK    000715 3600 170000-180000   00    -999.00 -999.0     77.16    -0.60    -9999
YAKUTSK    000715 3600 180000-190000   00    -999.00 -999.0     76.91    -0.90    -9999
YAKUTSK    000715 3600 190000-200000   00    -999.00 -999.0     77.17    -0.60    -9999
YAKUTSK    000715 3600 200000-210000   00    -999.00 -999.0     76.09    -2.00    -9999
