NORILSK    LATITUDE    69.26     LONGITUDE     88.05     ALTITUDE    0 M
NORILSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
NORILSK    STANDARD PRESSURE    998.5   mb     COEFFICIENT   -0.71     % / mb
NORILSK    PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
NORILSK    PRE-INCREASE AVERAGE COUNTING RATE    111.40      COUNTS PER SECOND
NORILSK    TIME INTERVALS    300         3600     
NORILSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
NORILSK    031028 300  144000-144500   00     111.83 1001.2    114.01     2.30     2.30
NORILSK    031028 300  144500-145000   00     111.71 1001.3    113.93     2.30     2.30
NORILSK    031028 300  145000-145500   00     113.10 1001.3    115.39     3.60     3.60
NORILSK    031028 300  145500-150000   00     113.14 1001.4    115.47     3.70     3.70
NORILSK    031028 300  150000-150500   00     113.35 1001.4    115.72     3.90     3.90
NORILSK    031028 300  150500-151000   00     111.86 1001.5    114.24     2.50     2.50
NORILSK    031028 300  151000-151500   00     114.02 1001.5    116.47     4.60     4.60
NORILSK    031028 300  151500-152000   00     110.11 1001.5    112.51     1.00     1.00
NORILSK    031028 300  152000-152500   00     114.07 1001.6    116.59     4.70     4.70
NORILSK    031028 300  152500-153000   00     112.88 1001.6    115.41     3.60     3.60
NORILSK    031028 300  153000-153500   00     113.07 1001.7    115.64     3.80     3.80
NORILSK    031028 300  153500-154000   00     112.70 1001.7    115.30     3.50     3.50
NORILSK    031028 300  154000-154500   00     111.55 1001.8    114.16     2.50     2.50
NORILSK    031028 300  154500-155000   00     111.26 1001.8    113.90     2.20     2.20
NORILSK    031028 300  155000-155500   00     113.87 1001.8    116.60     4.70     4.70
NORILSK    031028 300  155500-160000   00     114.02 1001.9    116.79     4.80     4.80
NORILSK    031028 300  160000-160500   00     113.03 1001.9    115.80     3.90     3.90
NORILSK    031028 300  160500-161000   00     111.93 1002.0    114.71     3.00     3.00
NORILSK    031028 300  161000-161500   00     110.84 1002.0    113.62     2.00     2.00
NORILSK    031028 300  161500-162000   00     111.37 1002.0    114.20     2.50     2.50
NORILSK    031028 300  162000-162500   00     113.86 1002.1    116.79     4.80     4.80
NORILSK    031028 300  162500-163000   00     112.54 1002.1    115.48     3.70     3.70
NORILSK    031028 300  163000-163500   00     113.07 1002.2    116.06     4.20     4.20
NORILSK    031028 300  163500-164000   00     111.24 1002.2    114.20     2.50     2.50
NORILSK    031028 300  164000-164500   00     112.09 1002.3    115.11     3.30     3.30
NORILSK    031028 300  164500-165000   00     110.36 1002.3    113.37     1.80     1.80
NORILSK    031028 300  165000-165500   00     113.09 1002.3    116.22     4.30     4.30
NORILSK    031028 300  165500-170000   00     112.33 1002.4    115.47     3.70     3.70
NORILSK    031028 300  170000-170500   00     109.77 1002.4    112.87     1.30     1.30
NORILSK    031028 300  170500-171000   00     111.88 1002.4    115.05     3.30     3.30
NORILSK    031028 300  171000-171500   00     111.33 1002.5    114.52     2.80     2.80
NORILSK    031028 300  171500-172000   00     112.67 1002.5    115.92     4.10     4.10
NORILSK    031028 300  172000-172500   00     111.39 1002.5    114.64     2.90     2.90
NORILSK    031028 300  172500-173000   00     111.83 1002.6    115.12     3.30     3.30
