APATITY  L LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY  L INSTRUMENT   18NM64    NEUTRON MONITOR	
APATITY  L STANDARD PRESSURE    1000    mB     COEFFICIENT   -0.74     % / mB
APATITY  L PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
APATITY  L PRE-INCREASE AVERAGE COUNTING RATE    162.19      COUNTS PER SECOND
APATITY  L TIME INTERVALS    300         3600     
APATITY  L SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mB)      C/S
APATITY  L 061213 300  062500-063000   00     220.36  973.7    169.44     4.50     4.50
APATITY  L 061213 300  063000-063500   00     218.22  973.7    167.75     3.40     3.40
APATITY  L 061213 300  063500-064000   00     220.08  973.7    169.18     4.30     4.30
APATITY  L 061213 300  064000-064500   00     219.08  973.7    168.44     3.90     3.90
APATITY  L 061213 300  064500-065000   00     220.50  973.8    169.63     4.60     4.60
APATITY  L 061213 300  065000-065500   00     217.68  973.9    167.60     3.30     3.30
APATITY  L 061213 300  065500-070000   00     219.42  973.9    168.95     4.20     4.20
APATITY  L 061213 300  070000-070500   00     218.70  973.9    168.46     3.90     3.90
APATITY  L 061213 300  070500-071000   00     217.08  974.0    167.32     3.20     3.20
APATITY  L 061213 300  071000-071500   00     218.98  974.0    168.83     4.10     4.10
APATITY  L 061213 300  071500-072000   00     218.48  974.1    168.57     3.90     3.90
APATITY  L 061213 300  072000-072500   00     217.52  974.1    167.90     3.50     3.50
APATITY  L 061213 300  072500-073000   00     217.32  974.2    167.84     3.50     3.50
APATITY  L 061213 300  073000-073500   00     215.98  974.1    166.69     2.80     2.80
APATITY  L 061213 300  073500-074000   00     215.84  974.1    166.63     2.70     2.70
APATITY  L 061213 300  074000-074500   00     217.92  974.1    168.23     3.70     3.70
APATITY  L 061213 300  074500-075000   00     215.92  974.1    166.62     2.70     2.70
APATITY  L 061213 300  075000-075500   00     216.72  974.1    167.20     3.10     3.10
APATITY  L 061213 300  075500-080000   00     217.60  974.1    167.90     3.50     3.50
APATITY  L 061213 300  080000-080500   00     215.84  974.1    166.61     2.70     2.70
APATITY  L 061213 300  080500-081000   00     216.86  974.1    167.34     3.20     3.20
APATITY  L 061213 300  081000-081500   00     216.44  974.1    167.09     3.00     3.00
APATITY  L 061213 300  081500-082000   00     214.36  974.1    165.41     2.00     2.00
APATITY  L 061213 300  082000-082500   00     215.02  974.0    165.85     2.30     2.30
APATITY  L 061213 300  082500-083000   00     214.52  974.1    165.54     2.10     2.10
APATITY  L 061213 300  083000-083500   00     214.22  974.1    165.26     1.90     1.90
APATITY  L 061213 300  083500-084000   00     216.30  974.1    166.97     3.00     3.00
APATITY  L 061213 300  084000-084500   00     213.74  974.2    165.17     1.80     1.80
APATITY  L 061213 300  084500-085000   00     215.50  974.3    166.63     2.70     2.70
APATITY  L 061213 300  085000-085500   00     215.74  974.3    166.91     2.90     2.90
APATITY  L 061213 300  085500-090000   00     216.34  974.3    167.35     3.20     3.20
APATITY  L 061213 300  090000-090500   00     213.08  974.3    164.75     1.60     1.60
APATITY  L 061213 300  090500-091000   00     214.70  974.3    166.09     2.40     2.40
APATITY  L 061213 300  091000-091500   00     215.64  974.4    166.92     2.90     2.90
APATITY  L 061213 300  091500-092000   00     213.98  974.4    165.73     2.20     2.20
APATITY  L 061213 300  092000-092500   00     214.58  974.4    166.15     2.40     2.40
APATITY  L 061213 300  092500-093000   00     215.20  974.3    166.42     2.60     2.60
APATITY  L 061213 300  093000-093500   00     215.82  974.3    166.86     2.90     2.90
APATITY  L 061213 300  093500-094000   00     213.66  974.3    165.20     1.90     1.90
