APATITY  L LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY  L INSTRUMENT   18NM64    NEUTRON MONITOR	
APATITY  L STANDARD PRESSURE    951.7   mb     COEFFICIENT   -0.74     % / mb
APATITY  L PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
APATITY  L PRE-INCREASE AVERAGE COUNTING RATE    153.44      COUNTS PER SECOND
APATITY  L TIME INTERVALS    300         3600     
APATITY  L SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
APATITY  L 031028 300  143500-144000   00     161.78  953.0    163.40     6.50     5.94
APATITY  L 031028 300  144000-144500   00     162.26  953.1    163.93     6.80     6.23
APATITY  L 031028 300  144500-145000   00     162.14  953.1    163.85     6.80     6.23
APATITY  L 031028 300  145000-145500   00     162.24  953.1    163.99     6.90     6.33
APATITY  L 031028 300  145500-150000   00     162.14  953.2    163.93     6.80     6.23
APATITY  L 031028 300  150000-150500   00     160.30  953.2    162.10     5.60     5.03
APATITY  L 031028 300  150500-151000   00     161.78  953.2    163.61     6.60     6.02
APATITY  L 031028 300  151000-151500   00     161.38  953.2    163.23     6.40     5.82
APATITY  L 031028 300  151500-152000   00     161.88  953.3    163.76     6.70     6.12
APATITY  L 031028 300  152000-152500   00     160.72  953.3    162.60     6.00     5.42
APATITY  L 031028 300  152500-153000   00     161.22  953.3    163.13     6.30     5.71
APATITY  L 031028 300  153000-153500   00     161.56  953.3    163.49     6.50     5.91
APATITY  L 031028 300  153500-154000   00     161.04  953.3    162.99     6.20     5.61
APATITY  L 031028 300  154000-154500   00     161.24  953.3    163.21     6.40     5.81
APATITY  L 031028 300  154500-155000   00     160.62  953.4    162.60     6.00     5.40
APATITY  L 031028 300  155000-155500   00     160.94  953.4    162.95     6.20     5.60
APATITY  L 031028 300  155500-160000   00     162.00  953.4    164.04     6.90     6.30
APATITY  L 031028 300  160000-160500   00     161.76  953.4    163.82     6.80     6.20
APATITY  L 031028 300  160500-161000   00     161.40  953.4    163.48     6.60     6.00
APATITY  L 031028 300  161000-161500   00     162.62  953.5    164.75     7.40     6.79
APATITY  L 031028 300  161500-162000   00     160.92  953.5    163.06     6.30     5.69
APATITY  L 031028 300  162000-162500   00     160.92  953.5    163.09     6.30     5.69
APATITY  L 031028 300  162500-163000   00     162.58  953.5    164.80     7.40     6.79
APATITY  L 031028 300  163000-163500   00     161.72  953.6    163.96     6.80     6.18
APATITY  L 031028 300  163500-164000   00     161.22  953.6    163.48     6.60     5.98
APATITY  L 031028 300  164000-164500   00     161.20  953.6    163.49     6.50     5.88
APATITY  L 031028 300  164500-165000   00     160.66  953.6    162.98     6.20     5.58
APATITY  L 031028 300  165000-165500   00     161.58  953.7    163.94     6.90     6.28
APATITY  L 031028 300  165500-170000   00     161.58  953.7    163.97     6.90     6.27
APATITY  L 031028 300  170000-170500   00     162.96  953.7    165.41     7.80     7.17
APATITY  L 031028 300  170500-171000   00     162.28  953.7    164.76     7.40     6.77
APATITY  L 031028 300  171000-171500   00     160.76  953.8    163.25     6.40     5.77
APATITY  L 031028 300  171500-172000   00     161.74  953.8    164.29     7.10     6.46
APATITY  L 031028 300  172000-172500   00     160.96  953.8    163.54     6.60     5.96
APATITY  L 031028 300  172500-173000   00     161.38  953.9    164.00     6.90     6.26
APATITY  L 031028 300  173000-173500   00     163.18  953.9    165.87     8.10     7.46
APATITY  L 031028 300  173500-174000   00     160.58  953.9    163.27     6.40     5.75
APATITY  L 031028 300  174000-174500   00     162.56  954.0    165.33     7.70     7.05
APATITY  L 031028 300  174500-175000   00     160.78  954.0    163.56     6.60     5.95
APATITY  L 031028 300  175000-175500   00     159.98  954.0    162.78     6.10     5.45
APATITY  L 031028 300  175500-180000   00     160.34  954.1    163.19     6.30     5.65
APATITY  L 031028 300  180000-180500   00     161.62  954.1    164.53     7.20     6.54
APATITY  L 031028 300  180500-181000   00     160.18  954.2    163.12     6.30     5.64
APATITY  L 031028 300  181000-181500   00     161.22  954.2    164.23     7.00     6.34
APATITY  L 031028 300  181500-182000   00     159.20  954.2    162.22     5.70     5.04
APATITY  L 031028 300  182000-182500   00     158.30  954.3    161.36     5.20     4.53
APATITY  L 031028 300  182500-183000   00     160.32  954.3    163.46     6.50     5.83
APATITY  L 031028 300  183000-183500   00     160.04  954.4    163.23     6.40     5.73
APATITY  L 031028 300  183500-184000   00     161.20  954.4    164.46     7.20     6.53
APATITY  L 031028 300  184000-184500   00     159.64  954.5    162.92     6.20     5.52
APATITY  L 031028 300  184500-185000   00     159.94  954.5    163.28     6.40     5.72
APATITY  L 031028 300  185000-185500   00     158.90  954.5    162.27     5.70     5.02
APATITY  L 031028 300  185500-190000   00     159.68  954.6    163.11     6.30     5.62
APATITY  L 031028 300  190000-190500   00     159.04  954.6    162.51     5.90     5.22
APATITY  L 031028 300  190500-191000   00     159.86  954.6    163.38     6.50     5.81
APATITY  L 031028 300  191000-191500   00     158.78  954.7    162.32     5.80     5.11
APATITY  L 031028 300  191500-192000   00     159.58  954.7    163.18     6.40     5.71
APATITY  L 031028 300  192000-192500   00     160.44  954.7    164.10     7.00     6.31
APATITY  L 031028 300  192500-193000   00     157.08  954.8    160.70     4.70     4.00
APATITY  L 031028 300  193000-193500   00     159.28  954.8    162.99     6.20     5.50
APATITY  L 031028 300  193500-194000   00     158.80  954.8    162.54     5.90     5.20
APATITY  L 031028 300  194000-194500   00     158.62  954.9    162.40     5.80     5.10
APATITY  L 031028 300  194500-195000   00     158.28  954.9    162.09     5.60     4.89
APATITY  L 031028 300  195000-195500   00     158.18  954.9    162.03     5.60     4.89
APATITY  L 031028 300  195500-200000   00     158.62  955.0    162.52     5.90     5.19
APATITY  L 031028 300  200000-200500   00     159.50  955.0    163.45     6.50     5.79
APATITY  L 031028 300  200500-201000   00     158.00  955.0    161.94     5.50     4.79
APATITY  L 031028 300  201000-201500   00     158.80  955.0    162.77     6.10     5.38
APATITY  L 031028 300  201500-202000   00     158.00  955.1    161.97     5.60     4.88
APATITY  L 031028 300  202000-202500   00     157.46  955.1    161.44     5.20     4.48
APATITY  L 031028 300  202500-203000   00     158.40  955.1    162.42     5.90     5.18
APATITY  L 031028 300  203000-203500   00     156.66  955.1    160.66     4.70     3.97
APATITY  L 031028 300  203500-204000   00     157.84  955.1    161.89     5.50     4.77
APATITY  L 031028 300  204000-204500   00     158.82  955.1    162.92     6.20     5.47
APATITY  L 031028 300  204500-205000   00     156.44  955.2    160.49     4.60     3.87
APATITY  L 031028 300  205000-205500   00     154.88  955.2    158.91     3.60     2.87
APATITY  L 031028 300  205500-210000   00     155.74  955.2    159.82     4.20     3.46
APATITY  L 031028 300  210000-210500   00     155.42  955.2    159.51     4.00     3.26
APATITY  L 031028 300  210500-211000   00     157.36  955.2    161.53     5.30     4.56
APATITY  L 031028 300  211000-211500   00     155.88  955.3    160.04     4.30     3.56
APATITY  L 031028 300  211500-212000   00     155.66  955.3    159.84     4.20     3.45
APATITY  L 031028 300  212000-212500   00     155.90  955.3    160.12     4.40     3.65
APATITY  L 031028 300  212500-213000   00     156.02  955.3    160.27     4.50     3.75
APATITY  L 031028 300  213000-213500   00     156.46  955.4    160.76     4.80     4.05
APATITY  L 031028 300  213500-214000   00     156.42  955.4    160.74     4.80     4.04
APATITY  L 031028 300  214000-214500   00     155.94  955.4    160.28     4.50     3.74
APATITY  L 031028 300  214500-215000   00     155.18  955.4    159.53     4.00     3.24
APATITY  L 031028 300  215000-215500   00     155.12  955.5    159.50     3.90     3.14
APATITY  L 031028 300  215500-220000   00     156.26  955.5    160.70     4.70     3.94
APATITY  L 031028 300  220000-220500   00     155.58  955.5    160.04     4.30     3.53
APATITY  L 031028 300  220500-221000   00     156.40  955.6    160.93     4.90     4.13
APATITY  L 031028 300  221000-221500   00     157.06  955.6    161.66     5.30     4.53
APATITY  L 031028 300  221500-222000   00     157.22  955.6    161.87     5.50     4.73
APATITY  L 031028 300  222000-222500   00     155.28  955.7    159.92     4.20     3.42
APATITY  L 031028 300  222500-223000   00     154.98  955.7    159.67     4.10     3.32
APATITY  L 031028 300  223000-223500   00     156.62  955.8    161.41     5.20     4.42
APATITY  L 031028 300  223500-224000   00     157.88  955.8    162.75     6.10     5.32
APATITY  L 031028 300  224000-224500   00     156.80  955.8    161.69     5.40     4.61
APATITY  L 031028 300  224500-225000   00     156.28  955.9    161.20     5.10     4.31
APATITY  L 031028 300  225000-225500   00     155.90  955.9    160.86     4.80     4.01
APATITY  L 031028 300  225500-230000   00     155.90  956.0    160.91     4.90     4.11
APATITY  L 031028 300  230000-230500   00     155.70  956.0    160.75     4.80     4.01
APATITY  L 031028 300  230500-231000   00     155.62  956.1    160.72     4.80     4.00
APATITY  L 031028 300  231000-231500   00     155.50  956.1    160.65     4.70     3.90
APATITY  L 031028 300  231500-232000   00     155.14  956.1    160.32     4.50     3.70
APATITY  L 031028 300  232000-232500   00     155.90  956.2    161.16     5.00     4.20
APATITY  L 031028 300  232500-233000   00     156.38  956.2    161.71     5.40     4.59
APATITY  L 031028 300  233000-233500   00     154.76  956.3    160.08     4.30     3.49
APATITY  L 031028 300  233500-234000   00     155.92  956.3    161.33     5.20     4.39
APATITY  L 031028 300  234000-234500   00     155.36  956.3    160.80     4.80     3.99
APATITY  L 031028 300  234500-235000   00     154.88  956.4    160.35     4.50     3.68
APATITY  L 031028 300  235000-235500   00     155.02  956.4    160.55     4.60     3.78
APATITY  L 031028 300  235500-240000   00     155.36  956.5    160.95     4.90     4.08
APATITY  L 031029 300  000000-000500   00     155.12  956.5    160.75     4.80     3.98
APATITY  L 031029 300  000500-001000   00     154.70  956.5    160.35     4.50     3.68
APATITY  L 031029 300  001000-001500   00     156.22  956.6    161.97     5.50     4.67
APATITY  L 031029 300  001500-002000   00     154.20  956.6    159.91     4.20     3.37
APATITY  L 031029 300  002000-002500   00     155.46  956.6    161.26     5.10     4.27
APATITY  L 031029 300  002500-003000   00     155.16  956.7    160.98     4.90     4.07
APATITY  L 031029 300  003000-003500   00     154.78  956.7    160.63     4.70     3.86
APATITY  L 031029 300  003500-004000   00     155.10  956.7    161.00     4.90     4.06
APATITY  L 031029 300  004000-004500   00     154.72  956.8    160.65     4.70     3.86
APATITY  L 031029 300  004500-005000   00     153.96  956.8    159.90     4.20     3.36
APATITY  L 031029 300  005000-005500   00     155.12  956.8    161.14     5.00     4.15
APATITY  L 031029 300  005500-010000   00     154.82  956.9    160.87     4.90     4.05
APATITY  L 031029 300  010000-010500   00     154.94  956.9    161.04     5.00     4.15
APATITY  L 031029 300  010500-011000   00     156.06  957.0    162.26     5.70     4.85
APATITY  L 031029 300  011000-011500   00     155.90  957.0    162.16     5.70     4.85
APATITY  L 031029 300  011500-012000   00     154.50  957.1    160.76     4.80     3.94
APATITY  L 031029 300  012000-012500   00     155.18  957.1    161.53     5.30     4.44
APATITY  L 031029 300  012500-013000   00     154.98  957.2    161.38     5.20     4.34
APATITY  L 031029 300  013000-013500   00     154.06  957.2    160.48     4.60     3.74
APATITY  L 031029 300  013500-014000   00     153.76  957.3    160.23     4.40     3.53
APATITY  L 031029 300  014000-014500   00     155.60  957.3    162.21     5.70     4.83
APATITY  L 031029 300  014500-015000   00     154.62  957.4    161.25     5.10     4.23
APATITY  L 031029 300  015000-015500   00     154.68  957.4    161.37     5.20     4.33
APATITY  L 031029 300  015500-020000   00     153.76  957.5    160.47     4.60     3.73
APATITY  L 031029 300  020000-020500   00     155.26  957.5    162.09     5.70     4.82
APATITY  L 031029 300  020500-021000   00     154.46  957.6    161.32     5.10     4.22
APATITY  L 031029 300  021000-021500   00     155.66  957.6    162.63     6.00     5.12
APATITY  L 031029 300  021500-022000   00     156.08  957.7    163.13     6.30     5.42
APATITY  L 031029 300  022000-022500   00     154.52  957.7    161.56     5.30     4.41
APATITY  L 031029 300  022500-023000   00     154.56  957.8    161.66     5.30     4.41
APATITY  L 031029 300  023000-023500   00     153.64  957.8    160.76     4.70     3.81
APATITY  L 031029 300  023500-024000   00     152.62  957.9    159.75     4.10     3.21
APATITY  L 031029 300  024000-024500   00     153.80  957.9    161.05     4.90     4.00
APATITY  L 031029 300  024500-025000   00     154.52  958.0    161.86     5.50     4.60
APATITY  L 031029 300  025000-025500   00     154.36  958.0    161.75     5.40     4.50
APATITY  L 031029 300  025500-030000   00     154.20  958.1    161.64     5.30     4.40
APATITY  L 031029 300  030000-030500   00     153.64  958.1    161.11     5.00     4.10
APATITY  L 031029 300  030500-031000   00     152.88  958.1    160.35     4.50     3.59
APATITY  L 031029 300  031000-031500   00     153.30  958.2    160.83     4.80     3.89
APATITY  L 031029 300  031500-032000   00     154.18  958.2    161.79     5.40     4.49
APATITY  L 031029 300  032000-032500   00     153.94  958.2    161.58     5.30     4.39
APATITY  L 031029 300  032500-033000   00     154.64  958.3    162.36     5.80     4.88
APATITY  L 031029 300  033000-033500   00     153.30  958.3    160.99     4.90     3.98
APATITY  L 031029 300  033500-034000   00     152.44  958.3    160.13     4.40     3.48
APATITY  L 031029 300  034000-034500   00     153.48  958.4    161.26     5.10     4.18
APATITY  L 031029 300  034500-035000   00     152.26  958.4    160.01     4.30     3.37
APATITY  L 031029 300  035000-035500   00     152.62  958.4    160.43     4.60     3.67
APATITY  L 031029 300  035500-040000   00     152.38  958.5    160.22     4.40     3.47
APATITY  L 031029 300  040000-040500   00     152.90  958.5    160.81     4.80     3.87
APATITY  L 031029 300  040500-041000   00     152.94  958.5    160.89     4.90     3.97
