MOSC 23nmF LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSC 23nmF INSTRUMENT   2x23nmF    NEUTRON MONITOR (He3 counter,without Lead)
MOSC 23nmF STANDARD PRESSURE    999.3   mb     COEFFICIENT   -0.71     % / mb
MOSC 23nmF PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
MOSC 23nmF PRE-INCREASE AVERAGE COUNTING RATE     13.45      COUNTS PER SECOND
MOSC 23nmF TIME INTERVALS    300         3600     
MOSC 23nmF SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MOSC 23nmF 061213 300  063500-064000   00      14.11  998.3     14.01     4.19    -9999
MOSC 23nmF 061213 300  064000-064500   00      14.09  998.3     14.00     4.04    -9999
MOSC 23nmF 061213 300  064500-065000   00      13.57  998.3     13.47     0.17    -9999
MOSC 23nmF 061213 300  065000-065500   00      13.56  998.3     13.47     0.15    -9999
MOSC 23nmF 061213 300  065500-070000   00      13.23  998.3     13.14    -2.26    -9999
MOSC 23nmF 061213 300  070000-070500   00      13.91  998.3     13.81     2.68    -9999
MOSC 23nmF 061213 300  070500-071000   00      13.65  998.3     13.56     0.81    -9999
MOSC 23nmF 061213 300  071000-071500   00      14.07  998.3     13.98     3.91    -9999
MOSC 23nmF 061213 300  071500-072000   00      13.83  998.3     13.74     2.11    -9999
MOSC 23nmF 061213 300  072000-072500   00      14.29  998.3     14.19     5.49    -9999
MOSC 23nmF 061213 300  072500-073000   00      13.81  998.3     13.71     1.96    -9999
MOSC 23nmF 061213 300  073000-073500   00      13.67  998.3     13.58     0.96    -9999
MOSC 23nmF 061213 300  073500-074000   00      13.48  998.3     13.39    -0.50    -9999
MOSC 23nmF 061213 300  074000-074500   00      14.04  998.3     13.95     3.69    -9999
MOSC 23nmF 061213 300  074500-075000   00      13.81  998.3     13.72     1.99    -9999
MOSC 23nmF 061213 300  075000-075500   00      13.79  998.3     13.69     1.82    -9999
MOSC 23nmF 061213 300  075500-080000   00      13.51  998.3     13.42    -0.22    -9999
MOSC 23nmF 061213 3600 080000-090000   00      13.79  998.1     13.67     1.64    -9999
MOSC 23nmF 061213 3600 090000-100000   00      14.00  997.7     13.85     2.96    -9999
MOSC 23nmF 061213 3600 100000-110000   00      13.95  997.4     13.77     2.37    -9999
MOSC 23nmF 061213 3600 110000-120000   00      13.85  997.0     13.62     1.29    -9999
MOSC 23nmF 061213 3600 120000-130000   00      13.81  996.8     13.57     0.91    -9999
MOSC 23nmF 061213 3600 130000-140000   00      14.01  996.6     13.75     2.24    -9999
MOSC 23nmF 061213 3600 140000-150000   00      13.87  996.4     13.58     0.99    -9999
MOSC 23nmF 061213 3600 150000-160000   00      13.89  996.1     13.59     1.00    -9999
