ROME       LATITUDE    41.86     LONGITUDE     12.47     ALTITUDE    0 M
ROME       INSTRUMENT   17-NM-64  NEUTRON MONITOR
ROME       STANDARD PRESSURE    1009.25 MB     COEFFICIENT   -0.698    % / MB
ROME       PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
ROME       PRE-INCREASE AVERAGE COUNTING RATE    150.78      COUNTS PER SECOND
ROME       TIME INTERVALS    300         3600     
ROME       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ROME       061213 300  102000-102500   10     135.61 1026.4    152.87     1.40    -9999
ROME       061213 300  102500-103000   10     135.59 1026.3    152.72     1.30    -9999
ROME       061213 300  103000-103500   10     135.65 1026.2    152.71     1.30    -9999
ROME       061213 300  103500-104000   10     136.24 1026.2    153.31     1.70    -9999
ROME       061213 300  104000-104500   10     134.94 1026.2    151.84     0.70    -9999
ROME       061213 300  104500-105000   10     136.92 1026.1    154.02     2.20    -9999
ROME       061213 300  105000-105500   10     138.04 1026.0    155.20     2.90    -9999
ROME       061213 300  105500-110000   10     134.41 1026.0    151.09     0.20    -9999
ROME       061213 300  110000-110500   10     135.95 1025.9    152.73     1.30    -9999
ROME       061213 300  110500-111000   10     135.81 1025.9    152.48     1.10    -9999
ROME       061213 300  111000-111500   10     136.83 1025.8    153.59     1.90    -9999
ROME       061213 300  111500-112000   10     137.49 1025.8    154.33     2.40    -9999
ROME       061213 300  112000-112500   10     133.95 1025.7    150.25    -0.30    -9999
ROME       061213 300  112500-113000   10     134.63 1025.7    150.98     0.10    -9999
ROME       061213 300  113000-113500   10     136.11 1025.7    152.61     1.20    -9999
ROME       061213 300  113500-114000   10     135.63 1025.7    152.15     0.90    -9999
ROME       061213 300  114000-114500   10     136.71 1025.7    153.33     1.70    -9999
ROME       061213 300  114500-115000   10     136.19 1025.6    152.64     1.20    -9999
ROME       061213 300  115000-115500   10     135.80 1025.5    152.13     0.90    -9999
ROME       061213 300  115500-120000   10     136.28 1025.5    152.62     1.20    -9999
ROME       061213 300  120000-120500   10     137.41 1025.5    153.89     2.10    -9999
ROME       061213 300  120500-121000   10     136.05 1025.5    152.35     1.00    -9999
ROME       061213 300  121000-121500   10     135.25 1025.5    151.45     0.40    -9999
ROME       061213 300  121500-122000   10     135.50 1025.5    151.72     0.60    -9999
ROME       061213 300  122000-122500   10     136.60 1025.4    152.90     1.40    -9999
ROME       061213 300  122500-123000   10     136.10 1025.4    152.33     1.00    -9999
ROME       061213 300  123000-123500   10     134.84 1025.4    150.91     0.10    -9999
ROME       061213 300  123500-124000   10     136.82 1025.4    153.12     1.60    -9999
ROME       061213 300  124000-124500   10     137.81 1025.3    154.18     2.30    -9999
ROME       061213 300  124500-125000   10     135.29 1025.3    151.26     0.30    -9999
ROME       061213 300  125000-125500   10     135.76 1025.3    151.81     0.70    -9999
ROME       061213 300  125500-130000   10     134.46 1025.3    150.41    -0.20    -9999
ROME       061213 300  130000-130500   10     135.84 1025.3    151.94     0.80    -9999
ROME       061213 300  130500-131000   10     136.46 1025.3    152.61     1.20    -9999
ROME       061213 300  131000-131500   10     135.86 1025.2    151.89     0.70    -9999
ROME       061213 300  131500-132000   10     136.60 1025.2    152.65     1.20    -9999
ROME       061213 300  132000-132500   10     135.50 1025.2    151.41     0.40    -9999
ROME       061213 300  132500-133000   10     137.68 1025.1    153.73     2.00    -9999
ROME       061213 300  133000-133500   10     134.45 1025.1    150.16    -0.40    -9999
ROME       061213 300  133500-134000   10     133.93 1025.1    149.57    -0.80    -9999
ROME       061213 300  134000-134500   10     134.73 1025.1    150.48    -0.20    -9999
ROME       061213 300  134500-135000   10     135.67 1025.1    151.57     0.50    -9999
ROME       061213 300  135000-135500   10     136.04 1025.2    152.00     0.80    -9999
ROME       061213 300  135500-140000   10     135.99 1025.2    151.98     0.80    -9999
ROME       061213 300  140000-140500   10     135.13 1025.2    151.02     0.20    -9999
ROME       061213 300  140500-141000   10     136.44 1025.2    152.49     1.10    -9999
ROME       061213 300  141000-141500   10     136.17 1025.3    152.29     1.00    -9999
ROME       061213 300  141500-142000   10     135.58 1025.4    151.69     0.60    -9999
ROME       061213 300  142000-142500   10     136.81 1025.4    153.12     1.60    -9999
ROME       061213 300  142500-143000   10     136.34 1025.4    152.61     1.20    -9999
ROME       061213 300  143000-143500   10     135.99 1025.4    152.22     1.00    -9999
ROME       061213 300  143500-144000   10     136.54 1025.5    152.90     1.40    -9999
ROME       061213 300  144000-144500   10     136.18 1025.5    152.50     1.10    -9999
ROME       061213 300  144500-145000   10     136.11 1025.5    152.45     1.10    -9999
ROME       061213 300  145000-145500   10     133.73 1025.5    149.81    -0.60    -9999
