MEXICOCITY LATITUDE    19.33     LONGITUDE     260.82    ALTITUDE    2274 M
MEXICOCITY INSTRUMENT   6-NM-64  NEUTRON MONITOR
MEXICOCITY STANDARD PRESSURE    779     MB     COEFFICIENT   -0.7125   % / MB
MEXICOCITY PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
MEXICOCITY PRE-INCREASE AVERAGE COUNTING RATE    203.78      COUNTS PER SECOND
MEXICOCITY TIME INTERVALS    300         3600     
MEXICOCITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MEXICOCITY 010415 300  132000-132500   00     213.80  774.4    207.40     1.80    -9999
MEXICOCITY 010415 300  132500-133000   00     209.13  774.4    202.87    -0.40    -9999
MEXICOCITY 010415 300  133000-133500   00     210.17  774.3    203.73     0.00    -9999
MEXICOCITY 010415 300  133500-134000   00     211.83  774.3    205.33     0.80    -9999
MEXICOCITY 010415 300  134000-134500   00     210.60  774.4    204.30     0.30    -9999
MEXICOCITY 010415 300  134500-135000   00     210.50  774.5    204.33     0.30    -9999
MEXICOCITY 010415 300  135000-135500   00     210.23  774.5    204.10     0.20    -9999
MEXICOCITY 010415 300  135500-140000   00     211.57  774.6    205.53     0.90    -9999
MEXICOCITY 010415 300  140000-140500   00     214.13  774.7    208.17     2.20    -9999
MEXICOCITY 010415 300  140500-141000   00     208.77  774.7    202.93    -0.40    -9999
MEXICOCITY 010415 300  141000-141500   00     210.40  774.7    204.53     0.40    -9999
MEXICOCITY 010415 300  141500-142000   00     209.97  774.7    204.10     0.20    -9999
MEXICOCITY 010415 300  142000-142500   00     210.27  774.8    204.57     0.40    -9999
MEXICOCITY 010415 300  142500-143000   00     208.90  774.7    203.07    -0.30    -9999
MEXICOCITY 010415 300  143000-143500   00     211.60  774.8    205.83     1.00    -9999
MEXICOCITY 010415 300  143500-144000   00     209.20  774.8    203.50    -0.10    -9999
MEXICOCITY 010415 300  144000-144500   00     208.57  774.8    202.90    -0.40    -9999
MEXICOCITY 010415 300  144500-145000   00     211.47  774.7    205.57     0.90    -9999
