IRKUTSK    LATITUDE    52.47     LONGITUDE     104.03    ALTITUDE    433 M
IRKUTSK    INSTRUMENT   IGY     NEUTRON MONITOR
IRKUTSK    STANDARD PRESSURE    948.3   MB     COEFFICIENT   -0.71     % / MB
IRKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
IRKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    188.20      COUNTS PER SECOND
IRKUTSK    TIME INTERVALS    300         3600     
IRKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
IRKUTSK    000714 300  130000-130500   00     186.36  949.3    187.70    -0.30    -0.30
IRKUTSK    000714 300  130500-131000   00     186.14  949.3    187.48    -0.40    -0.40
IRKUTSK    000714 300  131000-131500   00     186.11  949.3    187.45    -0.40    -0.40
IRKUTSK    000714 300  131500-132000   00     186.18  949.3    187.53    -0.40    -0.40
IRKUTSK    000714 300  132000-132500   00     185.75  949.3    187.10    -0.60    -0.60
IRKUTSK    000714 300  132500-133000   00     187.78  949.3    189.13     0.50     0.50
IRKUTSK    000714 300  133000-133500   00     186.81  949.3    188.14     0.00     0.00
IRKUTSK    000714 300  133500-134000   00     187.18  949.3    188.50     0.20     0.20
IRKUTSK    000714 300  134000-134500   00     187.88  949.3    189.19     0.50     0.50
IRKUTSK    000714 300  134500-135000   00     186.70  949.3    187.97    -0.10    -0.10
IRKUTSK    000714 300  135000-135500   00     187.06  949.2    188.31     0.10     0.10
IRKUTSK    000714 300  135500-140000   00     189.10  949.2    190.34     1.10     1.10
IRKUTSK    000714 300  140000-140500   00     187.10  949.1    188.15     0.00     0.00
IRKUTSK    000714 300  140500-141000   00     187.27  949.1    188.30     0.10     0.10
IRKUTSK    000714 300  141000-141500   00     187.96  949.0    188.97     0.40     0.40
IRKUTSK    000714 300  141500-142000   00     188.40  949.0    189.39     0.60     0.60
IRKUTSK    000714 300  142000-142500   00     187.36  949.0    188.32     0.10     0.10
IRKUTSK    000714 300  142500-143000   00     187.83  949.0    188.78     0.30     0.30
IRKUTSK    000714 300  143000-143500   00     188.07  949.0    189.00     0.40     0.40
IRKUTSK    000714 300  143500-144000   00     186.72  949.0    187.64    -0.30    -0.30
IRKUTSK    000714 300  144000-144500   00     186.93  949.0    187.85    -0.20    -0.20
IRKUTSK    000714 300  144500-145000   00     188.18  949.0    189.10     0.50     0.50
IRKUTSK    000714 300  145000-145500   00     184.25  949.0    185.16    -1.60    -1.60
IRKUTSK    000714 300  145500-150000   00     186.47  949.0    187.40    -0.40    -0.40
IRKUTSK    000714 300  150000-150500   00     188.32  949.1    189.39     0.60    -9999
IRKUTSK    000714 300  150500-151000   00     186.93  949.1    188.00    -0.10    -9999
IRKUTSK    000714 300  151000-151500   00     188.00  949.1    189.07     0.50    -9999
IRKUTSK    000714 300  151500-152000   00     188.15  949.1    189.23     0.50    -9999
IRKUTSK    000714 300  152000-152500   00     189.20  949.1    190.29     1.10    -9999
IRKUTSK    000714 300  152500-153000   00     189.94  949.1    191.03     1.50    -9999
IRKUTSK    000714 300  153000-153500   00     188.74  949.1    189.82     0.90    -9999
IRKUTSK    000714 300  153500-154000   00     189.03  949.1    190.10     1.00    -9999
IRKUTSK    000714 300  154000-154500   00     186.96  949.1    188.01    -0.10    -9999
IRKUTSK    000714 300  154500-155000   00     187.59  949.1    188.63     0.20    -9999
IRKUTSK    000714 300  155000-155500   00     187.38  949.1    188.39     0.10    -9999
IRKUTSK    000714 300  155500-160000   00     188.57  949.0    189.58     0.70    -9999
IRKUTSK    000714 300  160000-160500   00     191.44  949.0    192.35     2.20    -9999
IRKUTSK    000714 300  160500-161000   00     190.91  949.0    191.80     1.90    -9999
IRKUTSK    000714 300  161000-161500   00     188.61  948.9    189.47     0.70    -9999
IRKUTSK    000714 300  161500-162000   00     188.99  948.9    189.83     0.90    -9999
IRKUTSK    000714 300  162000-162500   00     188.83  948.9    189.66     0.80    -9999
