TERREADELI LATITUDE    -66.65    LONGITUDE     140       ALTITUDE    32 M
TERREADELI INSTRUMENT   9-NM-64  NEUTRON MONITOR	
TERREADELI STANDARD PRESSURE    987     mb     COEFFICIENT   -0.7425   % / mb
TERREADELI PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
TERREADELI PRE-INCREASE AVERAGE COUNTING RATE    116.32      COUNTS PER SECOND
TERREADELI TIME INTERVALS    300         3600     
TERREADELI SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
TERREADELI 120517 300  061500-062000   00     117.13  987.2    117.67     1.20    -9999
TERREADELI 120517 300  062000-062500   00     117.73  987.2    118.27     1.70    -9999
TERREADELI 120517 300  062500-063000   00     119.20  987.2    119.77     3.00    -9999
TERREADELI 120517 300  063000-063500   00     116.73  987.3    117.33     0.90    -9999
TERREADELI 120517 300  063500-064000   00     118.40  987.2    118.94     2.30    -9999
TERREADELI 120517 300  064000-064500   00     118.33  987.1    118.80     2.10    -9999
TERREADELI 120517 300  064500-065000   00     117.47  987.0    117.86     1.30    -9999
TERREADELI 120517 300  065000-065500   00     117.27  987.2    117.78     1.30    -9999
TERREADELI 120517 300  065500-070000   00     116.67  987.0    117.04     0.60    -9999
TERREADELI 120517 300  070000-070500   00     116.07  986.8    116.30     0.00    -9999
TERREADELI 120517 300  070500-071000   00     116.27  987.0    116.66     0.30    -9999
TERREADELI 120517 300  071000-071500   00     117.80  987.2    118.31     1.70    -9999
TERREADELI 120517 300  071500-072000   00     116.07  987.3    116.67     0.30    -9999
TERREADELI 120517 300  072000-072500   00     117.47  987.4    118.17     1.60    -9999
TERREADELI 120517 300  072500-073000   00     116.60  987.2    117.13     0.70    -9999
TERREADELI 120517 300  073000-073500   00     118.13  987.0    118.53     1.90    -9999
TERREADELI 120517 300  073500-074000   00     115.53  987.2    116.08    -0.20    -9999
TERREADELI 120517 300  074000-074500   00     117.07  987.0    117.46     1.00    -9999
TERREADELI 120517 300  074500-075000   00     118.53  987.0    118.86     2.20    -9999
TERREADELI 120517 300  075000-075500   00     117.20  986.9    117.48     1.00    -9999
TERREADELI 120517 300  075500-080000   00     117.87  987.1    118.33     1.70    -9999
TERREADELI 120517 300  080000-080500   00     117.80  987.0    118.20     1.60    -9999
TERREADELI 120517 300  080500-081000   00     117.73  987.0    118.06     1.50    -9999
TERREADELI 120517 300  081000-081500   00     118.47  986.6    118.49     1.90    -9999
TERREADELI 120517 300  081500-082000   00     118.00  986.7    118.12     1.50    -9999
TERREADELI 120517 300  082000-082500   00     118.00  986.9    118.26     1.70    -9999
TERREADELI 120517 300  082500-083000   00     115.73  986.8    115.89    -0.40    -9999
TERREADELI 120517 300  083000-083500   00     118.53  986.7    118.67     2.00    -9999
TERREADELI 120517 300  083500-084000   00     116.40  986.6    116.45     0.10    -9999
TERREADELI 120517 300  084000-084500   00     115.53  986.6    115.56    -0.70    -9999
TERREADELI 120517 300  084500-085000   00     117.80  986.7    117.92     1.40    -9999
TERREADELI 120517 300  085000-085500   00     117.60  986.7    117.67     1.20    -9999
TERREADELI 120517 300  085500-090000   00     117.07  986.6    117.09     0.70    -9999
TERREADELI 120517 300  090000-090500   00     119.07  986.6    119.09     2.40    -9999
TERREADELI 120517 300  090500-091000   00     117.40  986.4    117.28     0.80    -9999
TERREADELI 120517 300  091000-091500   00     117.53  986.4    117.42     0.90    -9999
TERREADELI 120517 300  091500-092000   00     118.47  986.4    118.35     1.70    -9999
TERREADELI 120517 300  092000-092500   00     116.00  986.6    116.00    -0.30    -9999
TERREADELI 120517 300  092500-093000   00     118.33  986.5    118.24     1.70    -9999
TERREADELI 120517 300  093000-093500   00     119.13  986.4    118.94     2.30    -9999
TERREADELI 120517 300  093500-094000   00     117.33  986.4    117.17     0.70    -9999
TERREADELI 120517 300  094000-094500   00     117.00  986.2    116.70     0.30    -9999
TERREADELI 120517 300  094500-095000   00     118.80  986.1    118.38     1.80    -9999
TERREADELI 120517 300  095000-095500   00     118.33  986.2    117.96     1.40    -9999
TERREADELI 120517 300  095500-100000   00     118.13  986.0    117.64     1.10    -9999
TERREADELI 120517 300  100000-100500   00     117.87  985.9    117.31     0.90    -9999
TERREADELI 120517 300  100500-101000   00     118.53  985.6    117.71     1.20    -9999
TERREADELI 120517 300  101000-101500   00     118.53  985.6    117.71     1.20    -9999
TERREADELI 120517 300  101500-102000   00     117.60  985.7    116.81     0.40    -9999
TERREADELI 120517 300  102000-102500   00     118.00  985.5    117.09     0.70    -9999
TERREADELI 120517 300  102500-103000   00     117.47  985.6    116.66     0.30    -9999
TERREADELI 120517 300  103000-103500   00     120.60  985.5    119.67     2.90    -9999
TERREADELI 120517 300  103500-104000   00     117.13  985.5    116.19    -0.10    -9999
TERREADELI 120517 300  104000-104500   00     119.07  985.5    118.08     1.50    -9999
TERREADELI 120517 300  104500-105000   00     118.47  985.4    117.39     0.90    -9999
TERREADELI 120517 300  105000-105500   00     117.67  985.3    116.53     0.20    -9999
TERREADELI 120517 300  105500-110000   00     120.40  985.2    119.19     2.50    -9999
TERREADELI 120517 300  110000-110500   00     117.20  985.3    116.07    -0.20    -9999
TERREADELI 120517 300  110500-111000   00     119.93  985.2    118.75     2.10    -9999
TERREADELI 120517 300  111000-111500   00     116.27  985.3    115.19    -1.00    -9999
TERREADELI 120517 300  111500-112000   00     116.27  985.3    115.14    -1.00    -9999
TERREADELI 120517 300  112000-112500   00     116.27  985.4    115.23    -0.90    -9999
TERREADELI 120517 300  112500-113000   00     116.20  985.2    115.06    -1.10    -9999
TERREADELI 120517 300  113000-113500   00     115.93  985.3    114.81    -1.30    -9999
TERREADELI 120517 300  113500-114000   00     117.40  985.3    116.27     0.00    -9999
TERREADELI 120517 300  114000-114500   00     116.80  985.2    115.63    -0.60    -9999
TERREADELI 120517 300  114500-115000   00     117.73  985.2    116.55     0.20    -9999
TERREADELI 120517 300  115000-115500   00     116.87  985.2    115.67    -0.60    -9999
TERREADELI 120517 300  115500-120000   00     117.60  985.1    116.33     0.00    -9999
TERREADELI 120517 300  120000-120500   00     117.73  985.0    116.37     0.00    -9999
TERREADELI 120517 300  120500-121000   00     116.87  985.0    115.53    -0.70    -9999
TERREADELI 120517 300  121000-121500   00     115.93  985.0    114.54    -1.50    -9999
TERREADELI 120517 300  121500-122000   00     118.13  984.9    116.67     0.30    -9999
TERREADELI 120517 300  122000-122500   00     118.73  984.7    117.12     0.70    -9999
TERREADELI 120517 300  122500-123000   00     117.67  984.6    115.91    -0.40    -9999
TERREADELI 120517 300  123000-123500   00     116.80  984.3    114.83    -1.30    -9999
