MAWSON     LATITUDE    -67.6     LONGITUDE     62.88     ALTITUDE    15 M
MAWSON     INSTRUMENT   IGY     NEUTRON MONITOR                           
MAWSON     STANDARD PRESSURE    990     MB     COEFFICIENT   -0.739    % / MB
MAWSON     PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
MAWSON     PRE-INCREASE AVERAGE COUNTING RATE     71.98      COUNTS PER SECOND
MAWSON     TIME INTERVALS    60          3600     
MAWSON     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MAWSON     000714 60   033400-033500   00      73.07  983.8     69.79    -3.00    -9999
MAWSON     000714 60   033500-033600   00      73.33  983.8     70.05    -2.70    -9999
MAWSON     000714 60   033600-033700   00      72.27  983.8     69.03    -4.10    -9999
MAWSON     000714 60   033700-033800   00      74.67  983.8     71.32    -0.90    -9999
MAWSON     000714 60   033800-033900   00      74.40  983.9     71.12    -1.20    -9999
MAWSON     000714 60   033900-034000   00      74.40  983.9     71.12    -1.20    -9999
MAWSON     000714 60   034000-034100   00      75.73  983.9     72.40     0.60    -9999
MAWSON     000714 60   034100-034200   00      75.20  983.9     71.89    -0.10    -9999
MAWSON     000714 60   034200-034300   00      78.13  983.9     74.69     3.80    -9999
MAWSON     000714 60   034300-034400   00      75.20  984.0     71.94    -0.10    -9999
MAWSON     000714 60   034400-034500   00      76.80  984.0     73.47     2.10    -9999
MAWSON     000714 60   034500-034600   00      73.87  984.0     70.66    -1.80    -9999
MAWSON     000714 60   034600-034700   00      78.13  984.0     74.74     3.80    -9999
MAWSON     000714 60   034700-034800   00      71.73  984.0     68.62    -4.70    -9999
MAWSON     000714 60   034800-034900   00      74.67  984.0     71.43    -0.80    -9999
MAWSON     000714 60   034900-035000   00      77.07  984.1     73.78     2.50    -9999
MAWSON     000714 60   035000-035100   00      74.93  984.1     71.74    -0.30    -9999
MAWSON     000714 60   035100-035200   00      74.67  984.1     71.48    -0.70    -9999
MAWSON     000714 60   035200-035300   00      77.60  984.1     74.29     3.20    -9999
MAWSON     000714 60   035300-035400   00      77.33  984.1     74.03     2.80    -9999
MAWSON     000714 60   035400-035500   00      75.20  984.2     72.04     0.10    -9999
MAWSON     000714 60   035500-035600   00      72.00  984.2     68.98    -4.20    -9999
MAWSON     000714 60   035600-035700   00      75.20  984.2     72.04     0.10    -9999
MAWSON     000714 60   035700-035800   00      74.93  984.2     71.79    -0.30    -9999
MAWSON     000714 60   035800-035900   00      76.80  984.2     73.58     2.20    -9999
MAWSON     000714 60   035900-040000   00      75.20  984.3     72.10     0.20    -9999
MAWSON     000714 60   040000-040100   00      71.73  984.3     68.77    -4.50    -9999
MAWSON     000714 60   040100-040200   00      77.60  984.3     74.40     3.40    -9999
MAWSON     000714 60   040200-040300   00      74.67  984.3     71.59    -0.50    -9999
MAWSON     000714 60   040300-040400   00      71.20  984.3     68.26    -5.20    -9999
MAWSON     000714 60   040400-040500   00      73.87  984.3     70.82    -1.60    -9999
MAWSON     000714 60   040500-040600   00      77.33  984.4     74.20     3.10    -9999
MAWSON     000714 60   040600-040700   00      74.40  984.4     71.38    -0.80    -9999
MAWSON     000714 60   040700-040800   00      73.07  984.4     70.10    -2.60    -9999
MAWSON     000714 60   040800-040900   00      72.27  984.4     69.34    -3.70    -9999
MAWSON     000714 60   040900-041000   00      77.60  984.4     74.45     3.40    -9999
MAWSON     000714 60   041000-041100   00      75.47  984.5     72.46     0.70    -9999
MAWSON     000714 60   041100-041200   00      76.53  984.5     73.49     2.10    -9999
MAWSON     000714 60   041200-041300   00      72.53  984.5     69.64    -3.30    -9999
MAWSON     000714 60   041300-041400   00      73.07  984.5     70.16    -2.50    -9999
MAWSON     000714 60   041400-041500   00      75.20  984.5     72.20     0.30    -9999
MAWSON     000714 60   041500-041600   00      74.40  984.5     71.44    -0.80    -9999
MAWSON     000714 60   041600-041700   00      75.73  984.6     72.77     1.10    -9999
MAWSON     000714 60   041700-041800   00      73.60  984.6     70.72    -1.80    -9999
MAWSON     000714 60   041800-041900   00      74.93  984.6     72.00     0.00    -9999
MAWSON     000714 60   041900-042000   00      73.33  984.6     70.46    -2.10    -9999
MAWSON     000714 60   042000-042100   00      74.67  984.6     71.75    -0.30    -9999
MAWSON     000714 60   042100-042200   00      70.67  984.7     67.95    -5.60    -9999
MAWSON     000714 60   042200-042300   00      73.07  984.7     70.26    -2.40    -9999
MAWSON     000714 60   042300-042400   00      72.00  984.7     69.23    -3.80    -9999
MAWSON     000714 60   042400-042500   00      72.80  984.7     70.00    -2.80    -9999
MAWSON     000714 60   042500-042600   00      74.40  984.7     71.54    -0.60    -9999
MAWSON     000714 60   042600-042700   00      74.67  984.7     71.80    -0.30    -9999
MAWSON     000714 60   042700-042800   00      75.20  984.8     72.37     0.50    -9999
MAWSON     000714 60   042800-042900   00      72.27  984.8     69.54    -3.40    -9999
MAWSON     000714 60   042900-043000   00      75.20  984.8     72.37     0.50    -9999
MAWSON     000714 60   043000-043100   00      73.60  984.8     70.83    -1.60    -9999
MAWSON     000714 60   043100-043200   00      76.27  984.8     73.39     2.00    -9999
MAWSON     000714 60   043200-043300   00      73.07  984.8     70.31    -2.30    -9999
MAWSON     000714 60   043300-043400   00      76.27  984.9     73.45     2.00    -9999
MAWSON     000714 60   043400-043500   00      72.53  984.9     69.85    -3.00    -9999
MAWSON     000714 60   043500-043600   00      76.27  984.9     73.45     2.00    -9999
MAWSON     000714 60   043600-043700   00      73.60  984.9     70.88    -1.50    -9999
MAWSON     000714 60   043700-043800   00      74.13  984.9     71.39    -0.80    -9999
MAWSON     000714 60   043800-043900   00      75.20  984.9     72.42     0.60    -9999
MAWSON     000714 60   043900-044000   00      74.93  984.9     72.16     0.30    -9999
MAWSON     000714 60   044000-044100   00      76.00  984.9     73.19     1.70    -9999
MAWSON     000714 60   044100-044200   00      73.07  985.0     70.42    -2.20    -9999
MAWSON     000714 60   044200-044300   00      70.67  985.0     68.10    -5.40    -9999
MAWSON     000714 60   044300-044400   00      75.20  985.0     72.47     0.70    -9999
MAWSON     000714 60   044400-044500   00      72.80  985.0     70.16    -2.50    -9999
MAWSON     000714 60   044500-044600   00      74.67  985.0     71.96     0.00    -9999
MAWSON     000714 60   044600-044700   00      69.60  985.0     67.08    -6.80    -9999
MAWSON     000714 60   044700-044800   00      73.87  985.0     71.19    -1.10    -9999
MAWSON     000714 60   044800-044900   00      77.33  985.1     74.58     3.60    -9999
MAWSON     000714 60   044900-045000   00      73.07  985.1     70.47    -2.10    -9999
MAWSON     000714 60   045000-045100   00      74.40  985.1     71.75    -0.30    -9999
MAWSON     000714 60   045100-045200   00      71.20  985.1     68.67    -4.60    -9999
MAWSON     000714 60   045200-045300   00      75.73  985.1     73.04     1.50    -9999
MAWSON     000714 60   045300-045400   00      75.47  985.1     72.78     1.10    -9999
MAWSON     000714 60   045400-045500   00      72.00  985.1     69.44    -3.50    -9999
MAWSON     000714 60   045500-045600   00      75.20  985.1     72.53     0.80    -9999
MAWSON     000714 60   045600-045700   00      75.20  985.2     72.58     0.80    -9999
MAWSON     000714 60   045700-045800   00      75.47  985.2     72.84     1.20    -9999
MAWSON     000714 60   045800-045900   00      74.40  985.2     71.81    -0.20    -9999
MAWSON     000714 60   045900-050000   00      75.47  985.2     72.84     1.20    -9999
MAWSON     000714 60   050000-050100   00      72.80  985.2     70.26    -2.40    -9999
MAWSON     000714 60   050100-050200   00      74.67  985.2     72.06     0.10    -9999
