THULE      LATITUDE    76.6      LONGITUDE     -68.8     ALTITUDE    260 M
THULE      INSTRUMENT   9NM64    NEUTRON MONITOR     	
THULE      STANDARD PRESSURE    1013.6  mb     COEFFICIENT   -0.74     % / mb
THULE      PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE     98.85      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
THULE      010415 300  175000-175500   00     108.54 1015.4    110.03    11.30    10.08
THULE      010415 300  175500-180000   00     109.40 1015.5    110.92    12.20    10.97
THULE      010415 300  180000-180500   00     108.54 1015.5    110.08    11.30    10.05
THULE      010415 300  180500-181000   00     109.40 1015.5    110.97    12.30    11.03
THULE      010415 300  181000-181500   00     109.83 1015.5    111.42    12.70    11.42
THULE      010415 300  181500-182000   00     109.40 1015.6    111.00    12.30    11.00
THULE      010415 300  182000-182500   00     109.83 1015.6    111.45    12.70    11.38
THULE      010415 300  182500-183000   00     106.82 1015.6    108.41     9.70     8.37
THULE      010415 300  183000-183500   00     108.11 1015.6    109.73    11.00     9.65
THULE      010415 300  183500-184000   00     106.82 1015.6    108.43     9.70     8.33
THULE      010415 300  184000-184500   00     108.54 1015.6    110.18    11.40    10.02
THULE      010415 300  184500-185000   00     107.68 1015.6    109.31    10.50     9.10
THULE      010415 300  185000-185500   00     106.40 1015.6    108.01     9.20     7.78
THULE      010415 300  185500-190000   00     105.97 1015.6    107.58     8.80     7.37
THULE      010415 300  190000-190500   00     103.39 1015.6    104.97     6.10     4.65
THULE      010415 300  190500-191000   00     105.97 1015.6    107.58     8.80     7.33
THULE      010415 300  191000-191500   00     104.25 1015.6    105.83     7.00     5.52
THULE      010415 300  191500-192000   00     106.39 1015.6    108.01     9.20     7.70
THULE      010415 300  192000-192500   00     105.11 1015.6    106.69     7.90     6.39
THULE      010415 300  192500-193000   00     103.39 1015.6    104.94     6.10     4.57
THULE      010415 300  193000-193500   00     102.96 1015.6    104.50     5.70     4.15
THULE      010415 300  193500-194000   00     105.54 1015.6    107.11     8.30     6.74
THULE      010415 300  194000-194500   00     103.82 1015.6    105.35     6.60     5.02
THULE      010415 300  194500-195000   00     102.53 1015.6    104.04     5.30     3.70
THULE      010415 300  195000-195500   00     104.68 1015.5    106.19     7.50     5.89
THULE      010415 300  195500-200000   00     103.82 1015.5    105.31     6.50     4.87
THULE      010415 300  200000-200500   00     102.53 1015.4    103.94     5.20     3.56
THULE      010415 300  200500-201000   00     104.68 1015.4    106.10     7.40     5.74
THULE      010415 300  201000-201500   00     102.53 1015.4    103.91     5.10     3.42
THULE      010415 300  201500-202000   00     104.25 1015.4    105.63     6.80     5.11
THULE      010415 300  202000-202500   00     104.68 1015.4    106.05     7.30     5.59
THULE      010415 300  202500-203000   00     102.53 1015.3    103.87     5.10     3.38
THULE      010415 300  203000-203500   00     103.82 1015.3    105.17     6.40     4.66
THULE      010415 300  203500-204000   00     101.68 1015.3    102.99     4.20     2.44
THULE      010415 300  204000-204500   00     102.53 1015.3    103.85     5.10     3.33
THULE      010415 300  204500-205000   00     101.25 1015.3    102.54     3.70     1.91
THULE      010415 300  205000-205500   00     102.96 1015.3    104.27     5.50     3.70
THULE      010415 300  205500-210000   00     103.82 1015.3    105.14     6.40     4.58
THULE      010415 300  210000-210500   00     100.82 1015.3    102.14     3.30     1.46
THULE      010415 300  210500-211000   00     102.53 1015.3    103.88     5.10     3.25
THULE      010415 300  211000-211500   00     105.54 1015.3    106.91     8.10     6.23
THULE      010415 300  211500-212000   00     104.68 1015.3    106.04     7.30     5.42
THULE      010415 300  212000-212500   00     102.53 1015.3    103.87     5.10     3.20
THULE      010415 300  212500-213000   00     101.25 1015.3    102.56     3.70     1.78
THULE      010415 300  213000-213500   00     102.11 1015.3    103.43     4.60     2.67
THULE      010415 300  213500-214000   00     102.10 1015.3    103.42     4.60     2.65
THULE      010415 300  214000-214500   00     103.39 1015.3    104.72     5.90     3.94
THULE      010415 300  214500-215000   00     101.67 1015.3    102.97     4.20     2.22
THULE      010415 300  215000-215500   00     105.11 1015.3    106.45     7.70     5.71
THULE      010415 300  215500-220000   00     104.25 1015.3    105.56     6.80     4.79
THULE      010415 300  220000-220500   00      99.96 1015.3    101.22     2.40     0.37
THULE      010415 300  220500-221000   00     102.10 1015.3    103.38     4.60     2.56
THULE      010415 300  221000-221500   00     102.10 1015.3    103.37     4.60     2.54
THULE      010415 300  221500-222000   00     102.53 1015.2    103.79     5.00     2.93
THULE      010415 300  222000-222500   00     100.82 1015.2    102.05     3.20     1.11
THULE      010415 300  222500-223000   00     101.68 1015.2    102.90     4.10     2.00
THULE      010415 300  223000-223500   00     100.82 1015.2    102.02     3.20     1.08
THULE      010415 300  223500-224000   00     103.39 1015.2    104.61     5.80     3.67
THULE      010415 300  224000-224500   00     102.53 1015.2    103.73     5.00     2.85
THULE      010415 300  224500-225000   00     102.96 1015.1    104.15     5.40     3.24
THULE      010415 300  225000-225500   00     102.96 1015.1    104.13     5.30     3.12
THULE      010415 300  225500-230000   00     102.10 1015.1    103.25     4.40     2.20
THULE      010415 300  230000-230500   00     101.25 1015.0    102.29     3.50     1.29
THULE      010415 300  230500-231000   00     103.82 1015.0    104.88     6.10     3.87
THULE      010415 300  231000-231500   00     100.39 1014.9    101.40     2.60     0.36
THULE      010415 300  231500-232000   00     101.67 1014.9    102.69     3.90     1.64
THULE      010415 300  232000-232500   00     104.25 1014.9    105.28     6.50     4.23
THULE      010415 300  232500-233000   00     101.68 1014.9    102.68     3.90     1.61
THULE      010415 300  233000-233500   00     103.39 1014.9    104.42     5.60     3.30
THULE      010415 300  233500-234000   00     101.68 1014.9    102.69     3.90     1.58
THULE      010415 300  234000-234500   00     103.39 1015.0    104.43     5.60     3.27
THULE      010415 300  234500-235000   00     102.53 1015.0    103.58     4.80     2.45
THULE      010415 300  235000-235500   00     101.25 1015.0    102.30     3.50     1.14
THULE      010415 300  235500-240000   00     102.30 1015.0    103.39     4.60     2.22
THULE      010416 3600 000000-010000   00     101.22 1015.3    102.53     3.70     1.22
THULE      010416 3600 010000-020000   00     100.97 1015.6    102.48     3.70     1.04
THULE      010416 3600 020000-030000   00     100.61 1015.6    102.12     3.30     0.46
THULE      010416 3600 030000-040000   00     100.47 1015.3    101.77     3.00    -0.01
THULE      010416 3600 040000-050000   00     100.25 1015.6    101.75     2.90    -9999
THULE      010416 3600 050000-060000   00     100.92 1015.6    102.43     3.60    -9999
THULE      010416 3600 060000-070000   00     101.17 1015.6    102.68     3.90    -9999
THULE      010416 3600 070000-080000   00     100.64 1015.6    102.14     3.30    -9999
