APATITY  L LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY  L INSTRUMENT   18NM64    NEUTRON MONITOR	
APATITY  L STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
APATITY  L PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
APATITY  L PRE-INCREASE AVERAGE COUNTING RATE    173.69      COUNTS PER SECOND
APATITY  L TIME INTERVALS    300         3600     
APATITY  L SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
APATITY  L 120517 300  041500-042000   00     173.33 1001.5    175.16     0.80     0.37
APATITY  L 120517 300  042000-042500   00     174.01 1001.5    175.84     1.20     0.76
APATITY  L 120517 300  042500-043000   00     173.19 1001.5    175.04     0.80     0.35
APATITY  L 120517 300  043000-043500   00     173.93 1001.4    175.76     1.20     0.74
APATITY  L 120517 300  043500-044000   00     172.49 1001.4    174.25     0.30    -0.17
APATITY  L 120517 300  044000-044500   00     172.77 1001.4    174.51     0.50     0.02
APATITY  L 120517 300  044500-045000   00     173.17 1001.3    174.85     0.70     0.21
APATITY  L 120517 300  045000-045500   00     172.64 1001.3    174.30     0.40    -0.09
APATITY  L 120517 300  045500-050000   00     172.20 1001.3    173.86     0.10    -0.40
APATITY  L 120517 300  050000-050500   00     173.58 1001.3    175.15     0.80     0.29
APATITY  L 120517 300  050500-051000   00     173.79 1001.3    175.38     1.00     0.48
APATITY  L 120517 300  051000-051500   00     174.79 1001.2    176.34     1.50     0.97
APATITY  L 120517 300  051500-052000   00     174.18 1001.2    175.68     1.10     0.56
APATITY  L 120517 300  052000-052500   00     173.87 1001.2    175.40     1.00     0.45
APATITY  L 120517 300  052500-053000   00     170.78 1001.2    172.30    -0.80    -1.36
APATITY  L 120517 300  053000-053500   00     175.15 1001.2    176.70     1.70     1.13
APATITY  L 120517 300  053500-054000   00     173.05 1001.2    174.54     0.50    -0.07
APATITY  L 120517 300  054000-054500   00     173.85 1001.2    175.41     1.00     0.42
APATITY  L 120517 300  054500-055000   00     172.45 1001.3    174.10     0.20    -0.39
APATITY  L 120517 300  055000-055500   00     173.69 1001.2    175.26     0.90     0.30
APATITY  L 120517 300  055500-060000   00     173.30 1001.3    174.90     0.70     0.09
APATITY  L 120517 300  060000-060500   00     172.52 1001.3    174.15     0.30    -9999
APATITY  L 120517 300  060500-061000   00     173.61 1001.3    175.27     0.90    -9999
APATITY  L 120517 300  061000-061500   00     172.57 1001.3    174.19     0.30    -9999
APATITY  L 120517 300  061500-062000   00     174.57 1001.3    176.18     1.40    -9999
APATITY  L 120517 300  062000-062500   00     172.73 1001.2    174.29     0.30    -9999
APATITY  L 120517 300  062500-063000   00     171.60 1001.2    173.16    -0.30    -9999
APATITY  L 120517 300  063000-063500   00     173.56 1001.2    175.06     0.80    -9999
