KINGSTON   LATITUDE    -42.99    LONGITUDE     147.29    ALTITUDE    65 M
KINGSTON   INSTRUMENT   18NM64    NEUTRON MONITOR	
KINGSTON   STANDARD PRESSURE    1013    mb     COEFFICIENT   -0.71     % / mb
KINGSTON   PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
KINGSTON   PRE-INCREASE AVERAGE COUNTING RATE    207.41      COUNTS PER SECOND
KINGSTON   TIME INTERVALS    300         3600     
KINGSTON   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
KINGSTON   120517 300  041500-042000   00    -999.00 -999.0    209.80     1.20     0.80
KINGSTON   120517 300  042000-042500   00    -999.00 -999.0    208.43     0.50     0.11
KINGSTON   120517 300  042500-043000   00    -999.00 -999.0    208.62     0.60     0.21
KINGSTON   120517 300  043000-043500   00    -999.00 -999.0    208.15     0.40     0.01
KINGSTON   120517 300  043500-044000   00    -999.00 -999.0    208.95     0.70     0.31
KINGSTON   120517 300  044000-044500   00    -999.00 -999.0    208.03     0.30    -0.09
KINGSTON   120517 300  044500-045000   00    -999.00 -999.0    208.52     0.50     0.11
KINGSTON   120517 300  045000-045500   00    -999.00 -999.0    208.40     0.50     0.11
KINGSTON   120517 300  045500-050000   00    -999.00 -999.0    208.33     0.40     0.02
KINGSTON   120517 300  050000-050500   00    -999.00 -999.0    211.57     2.00     1.62
KINGSTON   120517 300  050500-051000   00    -999.00 -999.0    208.72     0.60     0.22
KINGSTON   120517 300  051000-051500   00    -999.00 -999.0    209.65     1.10     0.73
KINGSTON   120517 300  051500-052000   00    -999.00 -999.0    208.55     0.50     0.13
KINGSTON   120517 300  052000-052500   00    -999.00 -999.0    210.50     1.50     1.13
KINGSTON   120517 300  052500-053000   00    -999.00 -999.0    208.05     0.30    -0.06
KINGSTON   120517 300  053000-053500   00    -999.00 -999.0    208.20     0.40     0.04
KINGSTON   120517 300  053500-054000   00    -999.00 -999.0    207.73     0.20    -0.15
KINGSTON   120517 300  054000-054500   00    -999.00 -999.0    210.72     1.60     1.25
KINGSTON   120517 300  054500-055000   00    -999.00 -999.0    207.80     0.20    -0.14
KINGSTON   120517 300  055000-055500   00    -999.00 -999.0    210.05     1.30     0.96
KINGSTON   120517 300  055500-060000   00    -999.00 -999.0    211.42     1.90     1.57
KINGSTON   120517 300  060000-060500   00    -999.00 -999.0    211.40     1.90     1.58
KINGSTON   120517 300  060500-061000   00    -999.00 -999.0    208.42     0.50     0.18
KINGSTON   120517 300  061000-061500   00    -999.00 -999.0    207.83     0.20    -0.11
KINGSTON   120517 300  061500-062000   00    -999.00 -999.0    209.18     0.90     0.60
KINGSTON   120517 300  062000-062500   00    -999.00 -999.0    209.00     0.80     0.50
KINGSTON   120517 300  062500-063000   00    -999.00 -999.0    205.78    -0.80    -1.09
KINGSTON   120517 300  063000-063500   00    -999.00 -999.0    206.88    -0.30    -0.58
KINGSTON   120517 300  063500-064000   00    -999.00 -999.0    205.98    -0.70    -0.97
KINGSTON   120517 300  064000-064500   00    -999.00 -999.0    208.87     0.70     0.44
KINGSTON   120517 300  064500-065000   00    -999.00 -999.0    206.82    -0.30    -0.55
KINGSTON   120517 300  065000-065500   00    -999.00 -999.0    209.25     0.90     0.66
KINGSTON   120517 300  065500-070000   00    -999.00 -999.0    207.43     0.00    -0.24
KINGSTON   120517 300  070000-070500   00    -999.00 -999.0    207.88     0.20    -0.03
KINGSTON   120517 300  070500-071000   00    -999.00 -999.0    207.45     0.00    -0.22
KINGSTON   120517 300  071000-071500   00    -999.00 -999.0    208.03     0.30     0.10
KINGSTON   120517 300  071500-072000   00    -999.00 -999.0    208.93     0.70     0.51
KINGSTON   120517 300  072000-072500   00    -999.00 -999.0    205.62    -0.90    -1.08
KINGSTON   120517 300  072500-073000   00    -999.00 -999.0    208.80     0.70     0.53
KINGSTON   120517 300  073000-073500   00    -999.00 -999.0    210.58     1.50     1.34
KINGSTON   120517 300  073500-074000   00    -999.00 -999.0    208.28     0.40     0.25
KINGSTON   120517 300  074000-074500   00    -999.00 -999.0    206.37    -0.50    -0.63
KINGSTON   120517 300  074500-075000   00    -999.00 -999.0    205.27    -1.00    -1.12
KINGSTON   120517 300  075000-075500   00    -999.00 -999.0    207.78     0.20     0.09
KINGSTON   120517 300  075500-080000   00    -999.00 -999.0    208.35     0.50     0.40
