SANAE      LATITUDE    -71.67    LONGITUDE     357.15    ALTITUDE    856 M
SANAE      INSTRUMENT   4-NMD  NEUTRON MONITOR	
SANAE      STANDARD PRESSURE    660     MMHG   COEFFICIENT   1.01      % / MMHG
SANAE      PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
SANAE      PRE-INCREASE AVERAGE COUNTING RATE      8.54      COUNTS PER SECOND
SANAE      TIME INTERVALS    300         3600     
SANAE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
SANAE      061213 300  181500-182000   00       8.22  664.9      8.64     1.10    -9999
SANAE      061213 300  182000-182500   00       8.34  664.9      8.76     2.60    -9999
SANAE      061213 300  182500-183000   00       8.24  664.9      8.66     1.40    -9999
SANAE      061213 300  183000-183500   00       8.19  664.9      8.61     0.70    -9999
SANAE      061213 300  183500-184000   00       8.32  664.9      8.74     2.30    -9999
SANAE      061213 300  184000-184500   00       8.59  664.9      9.02     5.60    -9999
SANAE      061213 300  184500-185000   00       8.45  664.9      8.88     3.90    -9999
SANAE      061213 300  185000-185500   00       8.50  664.9      8.93     4.60    -9999
SANAE      061213 300  185500-190000   00       8.11  665.0      8.53    -0.20    -9999
SANAE      061213 300  190000-190500   00       8.26  665.0      8.69     1.70    -9999
SANAE      061213 300  190500-191000   00       8.43  665.0      8.87     3.80    -9999
SANAE      061213 300  191000-191500   00       8.31  665.0      8.74     2.30    -9999
SANAE      061213 300  191500-192000   00       8.12  665.1      8.54     0.00    -9999
SANAE      061213 300  192000-192500   00       8.61  665.1      9.06     6.10    -9999
SANAE      061213 300  192500-193000   00       8.32  665.1      8.76     2.50    -9999
SANAE      061213 300  193000-193500   00       8.30  665.2      8.75     2.40    -9999
SANAE      061213 300  193500-194000   00       8.27  665.2      8.72     2.00    -9999
SANAE      061213 300  194000-194500   00       8.29  665.2      8.74     2.30    -9999
SANAE      061213 300  194500-195000   00       8.42  665.2      8.88     3.90    -9999
SANAE      061213 300  195000-195500   00       8.25  665.2      8.70     1.80    -9999
SANAE      061213 300  195500-200000   00       8.14  665.3      8.59     0.50    -9999
SANAE      061213 300  200000-200500   00       8.32  665.3      8.77     2.70    -9999
SANAE      061213 300  200500-201000   00       8.42  665.3      8.89     4.00    -9999
SANAE      061213 300  201000-201500   00       8.64  665.3      9.12     6.70    -9999
SANAE      061213 300  201500-202000   00       8.09  665.3      8.53    -0.10    -9999
SANAE      061213 300  202000-202500   00       8.30  665.3      8.76     2.60    -9999
SANAE      061213 300  202500-203000   00       8.29  665.3      8.75     2.40    -9999
SANAE      061213 300  203000-203500   00       8.03  665.3      8.47    -0.90    -9999
SANAE      061213 300  203500-204000   00       8.10  665.3      8.54     0.00    -9999
SANAE      061213 300  204000-204500   00       8.32  665.3      8.77     2.70    -9999
SANAE      061213 300  204500-205000   00       8.02  665.3      8.46    -1.00    -9999
SANAE      061213 300  205000-205500   00       8.22  665.3      8.67     1.60    -9999
SANAE      061213 300  205500-210000   00       8.19  665.3      8.64     1.20    -9999
SANAE      061213 300  210000-210500   00       8.19  665.3      8.65     1.20    -9999
SANAE      061213 300  210500-211000   00       8.07  665.3      8.51    -0.30    -9999
SANAE      061213 300  211000-211500   00       8.24  665.3      8.69     1.80    -9999
SANAE      061213 300  211500-212000   00       7.99  665.3      8.43    -1.40    -9999
SANAE      061213 300  212000-212500   00       8.04  665.3      8.48    -0.80    -9999
SANAE      061213 300  212500-213000   00       8.04  665.3      8.48    -0.70    -9999
SANAE      061213 300  213000-213500   00       8.24  665.3      8.69     1.80    -9999
SANAE      061213 300  213500-214000   00       8.26  665.3      8.72     2.00    -9999
SANAE      061213 300  214000-214500   00       8.31  665.3      8.77     2.60    -9999
SANAE      061213 300  214500-215000   00       8.24  665.3      8.69     1.70    -9999
SANAE      061213 300  215000-215500   00       8.13  665.3      8.57     0.40    -9999
SANAE      061213 300  215500-220000   00       8.35  665.3      8.81     3.10    -9999
SANAE      061213 300  220000-220500   00       8.03  665.3      8.47    -0.90    -9999
SANAE      061213 300  220500-221000   00       8.05  665.3      8.49    -0.60    -9999
SANAE      061213 300  221000-221500   00       8.50  665.3      8.97     5.00    -9999
SANAE      061213 300  221500-222000   00       7.96  665.4      8.40    -1.60    -9999
SANAE      061213 300  222000-222500   00       8.26  665.4      8.73     2.10    -9999
SANAE      061213 300  222500-223000   00       8.13  665.4      8.58     0.50    -9999
SANAE      061213 300  223000-223500   00       8.16  665.4      8.61     0.80    -9999
SANAE      061213 300  223500-224000   00       8.32  665.4      8.79     2.90    -9999
SANAE      061213 300  224000-224500   00       8.34  665.4      8.80     3.10    -9999
SANAE      061213 300  224500-225000   00       7.99  665.4      8.43    -1.30    -9999
SANAE      061213 300  225000-225500   00       8.65  665.4      9.14     7.00    -9999
SANAE      061213 300  225500-230000   00       8.15  665.4      8.61     0.80    -9999
SANAE      061213 300  230000-230500   00       8.25  665.4      8.71     2.00    -9999
SANAE      061213 300  230500-231000   00       8.20  665.4      8.66     1.30    -9999
SANAE      061213 300  231000-231500   00       7.99  665.4      8.44    -1.20    -9999
SANAE      061213 300  231500-232000   00       8.13  665.5      8.60     0.60    -9999
SANAE      061213 300  232000-232500   00       8.15  665.5      8.62     0.90    -9999
SANAE      061213 300  232500-233000   00       8.06  665.4      8.51    -0.40    -9999
SANAE      061213 300  233000-233500   00       8.17  665.4      8.62     0.90    -9999
SANAE      061213 300  233500-234000   00       8.15  665.4      8.60     0.70    -9999
SANAE      061213 300  234000-234500   00       8.18  665.4      8.64     1.10    -9999
SANAE      061213 300  234500-235000   00       8.65  665.4      9.14     6.90    -9999
SANAE      061213 300  235000-235500   00       8.13  665.4      8.58     0.50    -9999
SANAE      061213 300  235500-240000   00       8.11  665.3      8.56     0.20    -9999
*
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-02-24 11:29:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE70/C070SNAD_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
