MEXICOCITY LATITUDE    19.33     LONGITUDE     260.82    ALTITUDE    2274 M
MEXICOCITY INSTRUMENT   6-NM-64  NEUTRON MONITOR
MEXICOCITY STANDARD PRESSURE    779     mb     COEFFICIENT   -0.71     % / mb
MEXICOCITY PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
MEXICOCITY PRE-INCREASE AVERAGE COUNTING RATE    228.19      COUNTS PER SECOND
MEXICOCITY TIME INTERVALS    300         3600     
MEXICOCITY SCALE FACTORS     10          10       
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MEXICOCITY 211028 300  192000-192500   00     236.93  774.4    229.83     0.72    -9999
MEXICOCITY 211028 300  192500-193000   00     234.93  774.4    227.90    -0.13    -9999
MEXICOCITY 211028 300  193000-193500   00     234.02  774.3    226.83    -0.60    -9999
MEXICOCITY 211028 300  193500-194000   00     238.16  774.2    230.63     1.07    -9999
MEXICOCITY 211028 300  194000-194500   00     236.74  774.1    229.16     0.43    -9999
MEXICOCITY 211028 300  194500-195000   00     235.84  774.1    228.29     0.05    -9999
MEXICOCITY 211028 300  195000-195500   00     233.65  774.1    226.14    -0.90    -9999
MEXICOCITY 211028 300  195500-200000   00     238.37  774.0    230.57     1.05    -9999
MEXICOCITY 211028 300  200000-200500   00     236.65  774.0    228.84     0.29    -9999
MEXICOCITY 211028 300  200500-201000   00     238.26  773.9    230.24     0.90    -9999
MEXICOCITY 211028 300  201000-201500   00     235.51  773.8    227.48    -0.31    -9999
MEXICOCITY 211028 300  201500-202000   00     237.11  773.8    228.96     0.34    -9999
MEXICOCITY 211028 300  202000-202500   00     234.21  773.7    226.06    -0.93    -9999
MEXICOCITY 211028 300  202500-203000   00     235.89  773.7    227.69    -0.22    -9999
MEXICOCITY 211028 300  203000-203500   00     236.15  773.7    227.88    -0.14    -9999
MEXICOCITY 211028 300  203500-204000   00     236.98  773.6    228.58     0.17    -9999
MEXICOCITY 211028 300  204000-204500   00     238.76  773.7    230.46     0.99    -9999
MEXICOCITY 211028 300  204500-205000   00     237.11  773.7    228.80     0.27    -9999
MEXICOCITY 211028 300  205000-205500   00     238.47  773.6    230.01     0.80    -9999
MEXICOCITY 211028 300  205500-210000   00     239.05  773.5    230.44     0.99    -9999
MEXICOCITY 211028 300  210000-210500   00     234.05  773.5    225.59    -1.14    -9999
MEXICOCITY 211028 300  210500-211000   00     238.39  773.5    229.78     0.70    -9999
MEXICOCITY 211028 300  211000-211500   00     236.45  773.5    227.90    -0.13    -9999
MEXICOCITY 211028 300  211500-212000   00     235.75  773.5    227.24    -0.42    -9999
MEXICOCITY 211028 300  212000-212500   00     235.55  773.5    227.03    -0.51    -9999
MEXICOCITY 211028 300  212500-213000   00     238.47  773.5    229.81     0.71    -9999
MEXICOCITY 211028 300  213000-213500   00     235.37  773.4    226.70    -0.65    -9999
MEXICOCITY 211028 300  213500-214000   00     237.27  773.2    228.27     0.04    -9999
MEXICOCITY 211028 300  214000-214500   00     237.92  773.1    228.70     0.22    -9999
MEXICOCITY 211028 300  214500-215000   00     237.07  773.1    227.85    -0.15    -9999
MEXICOCITY 211028 300  215000-215500   00     237.63  773.2    228.58     0.17    -9999
MEXICOCITY 211028 300  215500-220000   00     236.54  773.3    227.66    -0.23    -9999
MEXICOCITY 211028 300  220000-220500   00     237.18  773.4    228.44     0.11    -9999
MEXICOCITY 211028 300  220500-221000   00     237.89  773.4    229.17     0.43    -9999
MEXICOCITY 211028 300  221000-221500   00     237.85  773.6    229.36     0.51    -9999
MEXICOCITY 211028 300  221500-222000   00     237.34  773.7    229.12     0.41    -9999
MEXICOCITY 211028 300  222000-222500   00     234.95  773.8    226.95    -0.54    -9999
MEXICOCITY 211028 300  222500-223000   00     235.82  773.8    227.82    -0.16    -9999
MEXICOCITY 211028 300  223000-223500   00     236.35  774.0    228.59     0.18    -9999
MEXICOCITY 211028 300  223500-224000   00     236.95  774.1    229.33     0.50    -9999
MEXICOCITY 211028 300  224000-224500   00     235.38  774.1    227.84    -0.15    -9999
MEXICOCITY 211028 300  224500-225000   00     236.15  774.2    228.72     0.23    -9999
MEXICOCITY 211028 300  225000-225500   00     236.23  774.2    228.83     0.28    -9999
MEXICOCITY 211028 300  225500-230000   00     234.61  774.2    227.29    -0.39    -9999
MEXICOCITY 211028 300  230000-230500   00     236.60  774.3    229.35     0.51    -9999
MEXICOCITY 211028 300  230500-231000   00     237.59  774.2    230.18     0.87    -9999
MEXICOCITY 211028 300  231000-231500   00     233.95  774.1    226.49    -0.74    -9999
MEXICOCITY 211028 300  231500-232000   00     239.41  774.2    231.91     1.63    -9999
MEXICOCITY 211028 300  232000-232500   00     236.79  774.2    229.37     0.52    -9999
MEXICOCITY 211028 300  232500-233000   00     234.55  774.2    227.20    -0.43    -9999
MEXICOCITY 211028 300  233000-233500   00     232.84  774.3    225.70    -1.09    -9999
MEXICOCITY 211028 300  233500-234000   00     234.09  774.4    227.01    -0.52    -9999
MEXICOCITY 211028 300  234000-234500   00     232.55  774.4    225.62    -1.13    -9999
MEXICOCITY 211028 300  234500-235000   00     233.88  774.5    227.04    -0.50    -9999
MEXICOCITY 211028 300  235000-235500   00     236.17  774.5    229.26     0.47    -9999
MEXICOCITY 211028 300  235500-000000   00     234.48  774.5    227.62    -0.25    -9999
MEXICOCITY 211029 3600 000000-010000   00     233.64  775.2    227.91    -0.12    -9999
MEXICOCITY 211029 3600 010000-020000   00     230.52  776.7    227.25    -0.41    -9999
MEXICOCITY 211029 3600 020000-030000   00     229.08  777.8    227.66    -0.23    -9999
MEXICOCITY 211029 3600 030000-040000   00     228.59  778.0    227.43    -0.33    -9999
MEXICOCITY 211029 3600 040000-050000   00     229.57  777.5    227.61    -0.25    -9999
MEXICOCITY 211029 3600 050000-060000   00     231.35  776.8    228.33     0.06    -9999
MEXICOCITY 211029 3600 060000-070000   00     230.93  776.7    227.65    -0.24    -9999
MEXICOCITY 211029 3600 070000-080000   00     231.31  776.9    228.34     0.07    -9999
MEXICOCITY 211029 3600 080000-090000   00     231.69  776.9    228.77     0.26    -9999
MEXICOCITY 211029 3600 090000-100000   00     232.18  776.8    229.10     0.40    -9999
MEXICOCITY 211029 3600 100000-110000   00     232.14  776.8    229.00     0.36    -9999
MEXICOCITY 211029 3600 110000-120000   00     231.92  776.7    228.71     0.23    -9999
MEXICOCITY 211029 3600 120000-130000   00     231.25  777.1    228.70     0.23    -9999
MEXICOCITY 211029 3600 130000-140000   00     230.19  777.7    228.66     0.21    -9999
MEXICOCITY 211029 3600 140000-150000   00     229.28  778.1    228.42     0.10    -9999
MEXICOCITY 211029 3600 150000-160000   00     228.95  778.2    228.17    -0.01    -9999
MEXICOCITY 211029 3600 160000-170000   00     229.72  777.8    228.29     0.04    -9999
MEXICOCITY 211029 3600 170000-180000   00     231.67  777.0    228.88     0.30    -9999
MEXICOCITY 211029 3600 180000-190000   00     232.58  776.0    228.12    -0.03    -9999
MEXICOCITY 211029 3600 190000-200000   00     236.13  774.9    229.86     0.73    -9999
MEXICOCITY 211029 3600 200000-210000   00     236.30  774.1    228.71     0.23    -9999
MEXICOCITY 211029 3600 210000-220000   00     237.34  773.5    228.83     0.28    -9999
MEXICOCITY 211029 3600 220000-230000   00     237.26  773.6    228.76     0.25    -9999
MEXICOCITY 211029 3600 230000-000000   00     236.39  773.9    228.47     0.13    -9999
*
COMMENT  FILE COMPOSED BY ILYA USOSKIN OF THE UNIVERSITY OF OULU
COMMENT  DATA OBTAINED FROM NMDB (30.10.2021)
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-03-30 17:39:06 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE73/C073MXCO.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
