ALMA-ATA-B LATITUDE    43.14     LONGITUDE     76.6      ALTITUDE    3340 M
ALMA-ATA-B INSTRUMENT   18NM64    NEUTRON MONITOR     
ALMA-ATA-B STANDARD PRESSURE    675.7   MB     COEFFICIENT   -0.74     % / MB
ALMA-ATA-B PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
ALMA-ATA-B PRE-INCREASE AVERAGE COUNTING RATE    126.07      COUNTS PER SECOND
ALMA-ATA-B TIME INTERVALS    300         3600     
ALMA-ATA-B SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ALMA-ATA-B 061213 300  061500-062000   00     126.50  676.3    127.09     0.80    -9999
ALMA-ATA-B 061213 300  062000-062500   00     126.42  676.3    127.02     0.75    -9999
ALMA-ATA-B 061213 300  062500-063000   00     126.17  676.3    126.77     0.55    -9999
ALMA-ATA-B 061213 300  063000-063500   00     126.43  676.4    127.04     0.77    -9999
ALMA-ATA-B 061213 300  063500-064000   00     126.92  676.4    127.54     1.17    -9999
ALMA-ATA-B 061213 300  064000-064500   00     125.62  676.4    126.24     0.13    -9999
ALMA-ATA-B 061213 300  064500-065000   00     126.56  676.4    127.20     0.89    -9999
ALMA-ATA-B 061213 300  065000-065500   00     126.19  676.4    126.83     0.60    -9999
ALMA-ATA-B 061213 300  065500-070000   00     126.06  676.4    126.71     0.50    -9999
ALMA-ATA-B 061213 300  070000-070500   00     126.48  676.4    127.13     0.84    -9999
ALMA-ATA-B 061213 300  070500-071000   00     126.22  676.4    126.87     0.64    -9999
ALMA-ATA-B 061213 300  071000-071500   00     126.37  676.4    127.03     0.76    -9999
ALMA-ATA-B 061213 300  071500-072000   00     126.05  676.4    126.70     0.50    -9999
ALMA-ATA-B 061213 300  072000-072500   00     126.10  676.4    126.76     0.54    -9999
ALMA-ATA-B 061213 300  072500-073000   00     125.67  676.4    126.32     0.20    -9999
ALMA-ATA-B 061213 300  073000-073500   00     126.34  676.4    126.99     0.73    -9999
ALMA-ATA-B 061213 300  073500-074000   00     126.52  676.4    127.18     0.88    -9999
ALMA-ATA-B 061213 300  074000-074500   00     126.09  676.4    126.75     0.54    -9999
ALMA-ATA-B 061213 300  074500-075000   00     125.65  676.4    126.30     0.18    -9999
ALMA-ATA-B 061213 300  075000-075500   00     126.02  676.4    126.68     0.48    -9999
ALMA-ATA-B 061213 300  075500-080000   00     126.45  676.4    127.11     0.82    -9999
ALMA-ATA-B 061213 3600 080000-090000   00     125.83  676.6    126.67     0.47    -9999
ALMA-ATA-B 061213 3600 090000-100000   00     125.37  676.8    126.40     0.26    -9999
ALMA-ATA-B 061213 3600 100000-110000   00     124.60  677.1    125.89    -0.14    -9999
ALMA-ATA-B 061213 3600 110000-120000   00     124.23  677.2    125.62    -0.36    -9999
ALMA-ATA-B 061213 3600 120000-130000   00     123.85  677.5    125.51    -0.45    -9999
ALMA-ATA-B 061213 3600 130000-140000   00     123.28  677.8    125.21    -0.68    -9999
