NORILSK    LATITUDE    69.26     LONGITUDE     88.05     ALTITUDE    0 M
NORILSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
NORILSK    STANDARD PRESSURE    1005    mb     COEFFICIENT   -0.71     % / mb
NORILSK    PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
NORILSK    PRE-INCREASE AVERAGE COUNTING RATE    126.50      COUNTS PER SECOND
NORILSK    TIME INTERVALS    300         3600     
NORILSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
NORILSK    120517 300  163000-163500   00     125.00 1007.5    127.80     1.00    -9999
NORILSK    120517 300  163500-164000   00     125.60 1007.5    128.00     1.20    -9999
NORILSK    120517 300  164000-164500   00     124.20 1007.5    126.40    -0.10    -9999
NORILSK    120517 300  164500-165000   00     124.00 1007.4    126.00    -0.40    -9999
NORILSK    120517 300  165000-165500   00     124.20 1007.4    126.20    -0.20    -9999
NORILSK    120517 300  165500-170000   00     125.80 1007.4    128.20     1.30    -9999
NORILSK    120517 300  170000-170500   00     125.60 1007.3    127.80     1.00    -9999
NORILSK    120517 300  170500-171000   00     124.40 1007.4    126.40    -0.10    -9999
NORILSK    120517 300  171000-171500   00     125.20 1007.4    127.20     0.60    -9999
NORILSK    120517 300  171500-172000   00     125.20 1007.4    127.20     0.60    -9999
NORILSK    120517 300  172000-172500   00     125.20 1007.4    127.40     0.70    -9999
NORILSK    120517 300  172500-173000   00     125.00 1007.4    127.00     0.40    -9999
NORILSK    120517 300  173000-173500   00     124.20 1007.4    126.40    -0.10    -9999
NORILSK    120517 300  173500-174000   00     125.00 1007.3    127.00     0.40    -9999
NORILSK    120517 300  174000-174500   00     124.60 1007.3    126.60     0.10    -9999
NORILSK    120517 300  174500-175000   00     124.20 1007.3    126.20    -0.20    -9999
NORILSK    120517 300  175000-175500   00     124.40 1007.3    126.40    -0.10    -9999
NORILSK    120517 300  175500-180000   00     123.60 1007.3    125.60    -0.70    -9999
NORILSK    120517 300  180000-180500   00     123.00 1007.3    125.20    -1.00    -9999
NORILSK    120517 300  180500-181000   00     125.80 1007.3    127.80     1.00    -9999
NORILSK    120517 300  181000-181500   00     123.40 1007.3    125.60    -0.70    -9999
NORILSK    120517 300  181500-182000   00     123.20 1007.3    125.20    -1.00    -9999
NORILSK    120517 300  182000-182500   00     124.00 1007.3    126.20    -0.20    -9999
NORILSK    120517 300  182500-183000   00     125.00 1007.3    127.20     0.60    -9999
NORILSK    120517 300  183000-183500   00     124.20 1007.3    126.20    -0.20    -9999
NORILSK    120517 300  183500-184000   00     123.20 1007.3    125.60    -0.70    -9999
NORILSK    120517 300  184000-184500   00     123.60 1007.3    125.60    -0.70    -9999
NORILSK    120517 300  184500-185000   00     124.20 1007.3    126.20    -0.20    -9999
NORILSK    120517 300  185000-185500   00     125.20 1007.2    127.20     0.60    -9999
NORILSK    120517 300  185500-190000   00     123.00 1007.2    124.80    -1.30    -9999
NORILSK    120517 300  190000-190500   00     124.00 1007.2    126.00    -0.40    -9999
NORILSK    120517 300  190500-191000   00     124.20 1007.2    126.20    -0.20    -9999
NORILSK    120517 300  191000-191500   00     124.80 1007.2    126.80     0.20    -9999
NORILSK    120517 300  191500-192000   00     124.00 1007.3    126.00    -0.40    -9999
NORILSK    120517 300  192000-192500   00     124.40 1007.3    126.40    -0.10    -9999
NORILSK    120517 300  192500-193000   00     125.40 1007.2    127.40     0.70    -9999
NORILSK    120517 300  193000-193500   00     123.40 1007.2    125.40    -0.90    -9999
NORILSK    120517 300  193500-194000   00     125.60 1007.3    127.60     0.90    -9999
NORILSK    120517 300  194000-194500   00     123.00 1007.3    125.00    -1.20    -9999
NORILSK    120517 300  194500-195000   00     122.60 1007.3    124.60    -1.50    -9999
NORILSK    120517 300  195000-195500   00     124.00 1007.4    126.00    -0.40    -9999
NORILSK    120517 300  195500-200000   00     124.20 1007.4    126.20    -0.20    -9999
NORILSK    120517 300  200000-200500   00     124.00 1007.4    126.20    -0.20    -9999
NORILSK    120517 300  200500-201000   00     126.60 1007.4    128.80     1.80    -9999
NORILSK    120517 300  201000-201500   00     123.60 1007.4    125.60    -0.70    -9999
NORILSK    120517 300  201500-202000   00     125.00 1007.4    127.00     0.40    -9999
NORILSK    120517 300  202000-202500   00     124.20 1007.4    126.20    -0.20    -9999
NORILSK    120517 300  202500-203000   00     123.80 1007.5    126.40    -0.10    -9999
NORILSK    120517 300  203000-203500   00     125.60 1007.5    127.60     0.90    -9999
NORILSK    120517 300  203500-204000   00     122.80 1007.5    125.20    -1.00    -9999
NORILSK    120517 300  204000-204500   00     123.00 1007.5    125.60    -0.70    -9999
NORILSK    120517 300  204500-205000   00     123.60 1007.5    125.80    -0.60    -9999
NORILSK    120517 300  205000-205500   00     122.80 1007.5    125.20    -1.00    -9999
NORILSK    120517 300  205500-210000   00     122.80 1007.5    125.40    -0.90    -9999
NORILSK    120517 300  210000-210500   00     123.80 1007.5    125.80    -0.60    -9999
NORILSK    120517 300  210500-211000   00     123.40 1007.5    126.00    -0.40    -9999
NORILSK    120517 300  211000-211500   00     121.60 1007.5    123.80    -2.10    -9999
NORILSK    120517 300  211500-212000   00     123.80 1007.5    126.00    -0.40    -9999
NORILSK    120517 300  212000-212500   00     124.20 1007.6    126.40    -0.10    -9999
NORILSK    120517 300  212500-213000   00     123.00 1007.6    125.80    -0.60    -9999
NORILSK    120517 300  213000-213500   00     123.80 1007.6    126.80     0.20    -9999
NORILSK    120517 300  213500-214000   00     123.00 1007.6    125.00    -1.20    -9999
NORILSK    120517 300  214000-214500   00     125.60 1007.6    128.40     1.50    -9999
NORILSK    120517 300  214500-215000   00     123.40 1007.6    125.80    -0.60    -9999
NORILSK    120517 300  215000-215500   00     124.20 1007.6    126.20    -0.20    -9999
NORILSK    120517 300  215500-220000   00     124.20 1007.6    126.40    -0.10    -9999
