CAPE SHMID LATITUDE    68.92     LONGITUDE     -179.47   ALTITUDE    0 M
CAPE SHMID INSTRUMENT   12NM64    NEUTRON MONITOR
CAPE SHMID STANDARD PRESSURE    1009.7  MB     COEFFICIENT   -0.72     % / MB
CAPE SHMID PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
CAPE SHMID PRE-INCREASE AVERAGE COUNTING RATE     84.04      COUNTS PER SECOND
CAPE SHMID TIME INTERVALS    300         3600     
CAPE SHMID SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CAPE SHMID 010415 300  184000-184500   00      90.73 1009.2     90.42     7.60     5.73
CAPE SHMID 010415 300  184500-185000   00      92.01 1009.3     91.72     9.10     7.21
CAPE SHMID 010415 300  185000-185500   00      91.60 1009.3     91.32     8.70     6.79
CAPE SHMID 010415 300  185500-190000   00      91.67 1009.3     91.41     8.80     6.87
CAPE SHMID 010415 300  190000-190500   00      93.10 1009.4     92.87    10.50     8.55
CAPE SHMID 010415 300  190500-191000   00      90.39 1009.4     90.18     7.30     5.33
CAPE SHMID 010415 300  191000-191500   00      91.30 1009.4     91.10     8.40     6.41
CAPE SHMID 010415 300  191500-192000   00      90.74 1009.4     90.56     7.80     5.79
CAPE SHMID 010415 300  192000-192500   00      92.17 1009.5     92.00     9.50     7.47
CAPE SHMID 010415 300  192500-193000   00      90.53 1009.5     90.38     7.50     5.46
CAPE SHMID 010415 300  193000-193500   00      91.41 1009.5     91.28     8.60     6.54
CAPE SHMID 010415 300  193500-194000   00      92.04 1009.5     91.93     9.40     7.32
CAPE SHMID 010415 300  194000-194500   00      90.85 1009.6     90.75     8.00     5.90
CAPE SHMID 010415 300  194500-195000   00      89.08 1009.6     89.00     5.90     3.78
CAPE SHMID 010415 300  195000-195500   00      90.02 1009.6     89.96     7.00     4.86
CAPE SHMID 010415 300  195500-200000   00      90.86 1009.6     90.81     8.10     5.94
CAPE SHMID 010415 300  200000-200500   00      89.17 1009.6     89.13     6.10     3.92
CAPE SHMID 010415 300  200500-201000   00      90.17 1009.7     90.15     7.30     5.10
CAPE SHMID 010415 300  201000-201500   00      89.73 1009.7     89.72     6.80     4.59
CAPE SHMID 010415 300  201500-202000   00      90.27 1009.7     90.28     7.40     5.17
CAPE SHMID 010415 300  202000-202500   00      89.33 1009.7     89.35     6.30     4.05
CAPE SHMID 010415 300  202500-203000   00      90.88 1009.8     90.93     8.20     5.93
CAPE SHMID 010415 300  203000-203500   00      90.26 1009.8     90.33     7.50     5.21
CAPE SHMID 010415 300  203500-204000   00      88.69 1009.8     88.77     5.60     3.29
CAPE SHMID 010415 300  204000-204500   00      89.31 1009.9     89.42     6.40     4.08
CAPE SHMID 010415 300  204500-205000   00      87.95 1009.9     88.07     4.80     2.46
CAPE SHMID 010415 300  205000-205500   00      88.53 1009.9     88.67     5.50     3.14
CAPE SHMID 010415 300  205500-210000   00      88.67 1010.0     88.84     5.70     3.32
CAPE SHMID 010415 300  210000-210500   00      89.29 1010.0     89.49     6.50     4.11
CAPE SHMID 010415 300  210500-211000   00      89.47 1010.0     89.69     6.70     4.29
CAPE SHMID 010415 300  211000-211500   00      87.72 1010.1     87.96     4.60     2.17
CAPE SHMID 010415 300  211500-212000   00      88.10 1010.1     88.36     5.10     2.65
CAPE SHMID 010415 300  212000-212500   00      87.81 1010.1     88.09     4.80     2.34
