JUNGFRAU1  LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3570 M
JUNGFRAU1  INSTRUMENT   IGY     NEUTRON MONITOR
JUNGFRAU1  STANDARD PRESSURE    641.06  MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU1  PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
JUNGFRAU1  PRE-INCREASE AVERAGE COUNTING RATE    352.70      COUNTS PER SECOND
JUNGFRAU1  TIME INTERVALS    300         3600     
JUNGFRAU1  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU1  120517 300  021500-022000   00     301.74  662.8    348.05    -1.30    -9999
JUNGFRAU1  120517 300  022000-022500   00     307.02  662.8    354.13     0.40    -9999
JUNGFRAU1  120517 300  022500-023000   00     305.76  662.8    352.76     0.00    -9999
JUNGFRAU1  120517 300  023000-023500   00     303.10  662.8    349.80    -0.80    -9999
JUNGFRAU1  120517 300  023500-024000   00     306.77  662.7    353.79     0.30    -9999
JUNGFRAU1  120517 300  024000-024500   00     306.68  662.7    353.64     0.30    -9999
JUNGFRAU1  120517 300  024500-025000   00     307.53  662.8    354.89     0.60    -9999
JUNGFRAU1  120517 300  025000-025500   00     303.94  662.7    350.48    -0.60    -9999
JUNGFRAU1  120517 300  025500-030000   00     305.11  662.7    351.84    -0.20    -9999
JUNGFRAU1  120517 300  030000-030500   00     302.77  662.8    349.37    -0.90    -9999
JUNGFRAU1  120517 300  030500-031000   00     305.36  662.8    352.25    -0.10    -9999
JUNGFRAU1  120517 300  031000-031500   00     306.16  662.8    353.15     0.10    -9999
JUNGFRAU1  120517 300  031500-032000   00     302.99  662.7    349.34    -1.00    -9999
JUNGFRAU1  120517 300  032000-032500   00     307.15  662.8    354.43     0.50    -9999
JUNGFRAU1  120517 300  032500-033000   00     306.67  662.9    354.15     0.40    -9999
JUNGFRAU1  120517 300  033000-033500   00     309.55  662.8    357.26     1.30    -9999
JUNGFRAU1  120517 300  033500-034000   00     302.37  662.7    348.71    -1.10    -9999
JUNGFRAU1  120517 300  034000-034500   00     304.77  662.7    351.43    -0.40    -9999
JUNGFRAU1  120517 300  034500-035000   00     305.42  662.6    352.02    -0.20    -9999
JUNGFRAU1  120517 300  035000-035500   00     305.15  662.7    351.86    -0.20    -9999
JUNGFRAU1  120517 300  035500-040000   00     309.75  662.7    357.08     1.20    -9999
JUNGFRAU1  120517 300  040000-040500   00     308.19  662.7    355.44     0.80    -9999
JUNGFRAU1  120517 300  040500-041000   00     307.38  662.6    354.26     0.40    -9999
JUNGFRAU1  120517 300  041000-041500   00     304.83  662.7    351.38    -0.40    -9999
JUNGFRAU1  120517 300  041500-042000   00     305.75  662.7    352.53     0.00    -9999
JUNGFRAU1  120517 300  042000-042500   00     305.11  662.7    351.79    -0.30    -9999
JUNGFRAU1  120517 300  042500-043000   00     302.26  662.8    348.68    -1.10    -9999
JUNGFRAU1  120517 300  043000-043500   00     304.82  662.8    351.62    -0.30    -9999
JUNGFRAU1  120517 300  043500-044000   00     308.55  662.7    355.89     0.90    -9999
JUNGFRAU1  120517 300  044000-044500   00     306.77  662.7    353.76     0.30    -9999
JUNGFRAU1  120517 300  044500-045000   00     306.19  662.8    353.36     0.20    -9999
JUNGFRAU1  120517 300  045000-045500   00     308.45  662.8    355.93     0.90    -9999
JUNGFRAU1  120517 300  045500-050000   00     306.36  662.9    353.66     0.30    -9999
JUNGFRAU1  120517 300  050000-050500   00     304.67  663.1    352.23    -0.10    -9999
JUNGFRAU1  120517 300  050500-051000   00     304.16  663.0    351.55    -0.30    -9999
JUNGFRAU1  120517 300  051000-051500   00     305.00  663.1    352.62     0.00    -9999
JUNGFRAU1  120517 300  051500-052000   00     309.90  663.1    358.23     1.60    -9999
JUNGFRAU1  120517 300  052000-052500   00     306.22  663.0    353.88     0.30    -9999
JUNGFRAU1  120517 300  052500-053000   00     304.75  663.0    352.17    -0.20    -9999
JUNGFRAU1  120517 300  053000-053500   00     303.00  663.1    350.39    -0.70    -9999
JUNGFRAU1  120517 300  053500-054000   00     305.21  663.0    352.69     0.00    -9999
JUNGFRAU1  120517 300  054000-054500   00     306.19  663.2    354.23     0.40    -9999
JUNGFRAU1  120517 300  054500-055000   00     308.11  663.2    356.61     1.10    -9999
JUNGFRAU1  120517 300  055000-055500   00     306.61  663.3    355.03     0.70    -9999
JUNGFRAU1  120517 300  055500-060000   00     304.28  663.3    352.49    -0.10    -9999
JUNGFRAU1  120517 300  060000-060500   00     307.30  663.4    356.05     0.90    -9999
JUNGFRAU1  120517 300  060500-061000   00     308.75  663.4    357.85     1.50    -9999
JUNGFRAU1  120517 300  061000-061500   00     302.10  663.4    350.11    -0.70    -9999
JUNGFRAU1  120517 300  061500-062000   00     302.32  663.4    350.27    -0.70    -9999
JUNGFRAU1  120517 300  062000-062500   00     303.75  663.5    352.30    -0.10    -9999
JUNGFRAU1  120517 300  062500-063000   00     303.61  663.6    352.26    -0.10    -9999
JUNGFRAU1  120517 300  063000-063500   00     304.74  663.5    353.46     0.20    -9999
JUNGFRAU1  120517 300  063500-064000   00     307.13  663.6    356.38     1.00    -9999
JUNGFRAU1  120517 300  064000-064500   00     307.12  663.5    356.21     1.00    -9999
JUNGFRAU1  120517 300  064500-065000   00     306.27  663.5    355.25     0.70    -9999
JUNGFRAU1  120517 300  065000-065500   00     307.14  663.5    356.27     1.00    -9999
JUNGFRAU1  120517 300  065500-070000   00     305.34  663.5    354.17     0.40    -9999
JUNGFRAU1  120517 300  070000-070500   00     304.08  663.6    352.89     0.10    -9999
JUNGFRAU1  120517 300  070500-071000   00     306.64  663.6    355.96     0.90    -9999
JUNGFRAU1  120517 300  071000-071500   00     310.22  663.7    360.28     2.10    -9999
JUNGFRAU1  120517 300  071500-072000   00     307.88  663.7    357.51     1.40    -9999
JUNGFRAU1  120517 300  072000-072500   00     309.25  663.7    359.27     1.90    -9999
JUNGFRAU1  120517 300  072500-073000   00     310.89  663.9    361.52     2.50    -9999
JUNGFRAU1  120517 300  073000-073500   00     309.10  663.9    359.53     1.90    -9999
JUNGFRAU1  120517 300  073500-074000   00     312.84  663.9    363.82     3.20    -9999
JUNGFRAU1  120517 300  074000-074500   00     305.96  663.9    355.74     0.90    -9999
JUNGFRAU1  120517 300  074500-075000   00     310.41  664.0    361.19     2.40    -9999
JUNGFRAU1  120517 300  075000-075500   00     307.34  664.0    357.67     1.40    -9999
JUNGFRAU1  120517 300  075500-080000   00     308.42  664.1    359.14     1.80    -9999
JUNGFRAU1  120517 300  080000-080500   00     308.83  664.0    359.42     1.90    -9999
JUNGFRAU1  120517 300  080500-081000   00     305.26  664.1    355.55     0.80    -9999
