MOSCOW     LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSCOW     INSTRUMENT   12-NM-64  NEUTRON MONITOR	
MOSCOW     STANDARD PRESSURE    985.3   MB     COEFFICIENT   -0.71     % / MB
MOSCOW     PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
MOSCOW     PRE-INCREASE AVERAGE COUNTING RATE    210.79      COUNTS PER SECOND
MOSCOW     TIME INTERVALS    300         3600     
MOSCOW     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MOSCOW     000715 3600 020000-030000   00     217.82  980.1    209.87    -0.40    -9999
MOSCOW     000715 3600 030000-040000   00     217.58  980.3    209.94    -0.40    -9999
MOSCOW     000715 3600 040000-050000   00     219.50  980.1    211.49     0.30    -9999
MOSCOW     000715 3600 050000-060000   00     218.53  980.4    211.01     0.10    -9999
MOSCOW     000715 3600 060000-070000   00     217.60  981.2    211.31     0.30    -9999
MOSCOW     000715 3600 070000-080000   00     217.31  981.6    211.63     0.40    -9999
MOSCOW     000715 3600 080000-090000   00     217.02  981.9    211.81     0.50    -9999
MOSCOW     000715 3600 090000-100000   00     216.39  982.1    211.50     0.30    -9999
MOSCOW     000715 3600 100000-110000   00     215.37  982.9    211.70     0.40    -9999
MOSCOW     000715 3600 110000-120000   00     211.17  983.9    209.07    -0.80    -9999
MOSCOW     000715 3600 120000-130000   00     209.29  985.1    208.99    -0.80    -9999
MOSCOW     000715 3600 130000-140000   00     208.14  985.9    209.04    -0.80    -9999
MOSCOW     000715 3600 140000-150000   00     205.94  987.0    208.46    -1.10    -9999
MOSCOW     000715 3600 150000-160000   00     204.81  987.5    208.06    -1.30    -9999
MOSCOW     000715 3600 160000-170000   00     204.64  987.5    207.89    -1.40    -9999
MOSCOW     000715 3600 170000-180000   00     202.43  987.7    205.94    -2.30    -9999
MOSCOW     000715 3600 180000-190000   00     200.18  988.7    205.11    -2.70    -9999
MOSCOW     000715 3600 190000-200000   00     193.30  989.7    199.48    -5.40    -9999
MOSCOW     000715 3600 200000-210000   00     190.03  990.7    197.51    -6.30    -9999
MOSCOW     000715 3600 210000-220000   00     186.05  991.3    194.20    -7.90    -9999
MOSCOW     000715 3600 220000-230000   00     186.22  991.6    194.80    -7.60    -9999
MOSCOW     000715 3600 230000-240000   00    -999.00 -999.0   -999.00    -9999    -9999
*
*	
*COMMENT    DATA VERIFIED0BY E.A.EROSHENKO	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2022-05-13 14:50:50 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE59/C059MOSC_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
