SOUTH POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH POLE STANDARD PRESSURE    680     mb     COEFFICIENT   -0.69     % / mb
SOUTH POLE PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
SOUTH POLE PRE-INCREASE AVERAGE COUNTING RATE    301.39      COUNTS PER SECOND
SOUTH POLE TIME INTERVALS    300         3600     
SOUTH POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
SOUTH POLE 120517 300  025500-030000   00     311.36  683.6    319.99     6.20     6.14
SOUTH POLE 120517 300  030000-030500   00     310.46  683.6    319.00     5.80     5.73
SOUTH POLE 120517 300  030500-031000   00     309.89  683.6    318.35     5.60     5.53
SOUTH POLE 120517 300  031000-031500   00     308.46  683.6    316.94     5.20     5.13
SOUTH POLE 120517 300  031500-032000   00     309.87  683.6    318.29     5.60     5.53
SOUTH POLE 120517 300  032000-032500   00     306.00  683.5    314.17     4.20     4.12
SOUTH POLE 120517 300  032500-033000   00     306.97  683.5    315.11     4.60     4.52
SOUTH POLE 120517 300  033000-033500   00     310.06  683.5    318.22     5.60     5.52
SOUTH POLE 120517 300  033500-034000   00     305.40  683.4    313.24     3.90     3.82
SOUTH POLE 120517 300  034000-034500   00     305.80  683.3    313.53     4.00     3.91
SOUTH POLE 120517 300  034500-035000   00     303.51  683.2    310.97     3.20     3.11
SOUTH POLE 120517 300  035000-035500   00     303.00  683.1    310.22     2.90     2.81
SOUTH POLE 120517 300  035500-040000   00     304.72  683.1    311.83     3.50     3.41
SOUTH POLE 120517 300  040000-040500   00     306.22  683.0    313.29     3.90     3.80
SOUTH POLE 120517 300  040500-041000   00     302.21  683.0    309.10     2.60     2.50
SOUTH POLE 120517 300  041000-041500   00     302.15  682.9    308.92     2.50     2.40
SOUTH POLE 120517 300  041500-042000   00     302.71  682.9    309.33     2.60     2.50
SOUTH POLE 120517 300  042000-042500   00     302.61  682.9    309.21     2.60     2.49
SOUTH POLE 120517 300  042500-043000   00     303.09  682.9    309.71     2.80     2.69
SOUTH POLE 120517 300  043000-043500   00     299.28  682.8    305.75     1.40     1.29
