TIXIE BAY  LATITUDE    71.6      LONGITUDE     128.9     ALTITUDE    0 M
TIXIE BAY  INSTRUMENT   18NM64    NEUTRON MONITOR     	
TIXIE BAY  STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.72     % / mb
TIXIE BAY  PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
TIXIE BAY  PRE-INCREASE AVERAGE COUNTING RATE     99.34      COUNTS PER SECOND
TIXIE BAY  TIME INTERVALS    300         3600     
TIXIE BAY  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
TIXIE BAY  120517 300  050500-051000   00     113.07  992.6     98.99    -0.40    -0.40
TIXIE BAY  120517 300  051000-051500   00     113.47  992.7     99.36     0.00     0.00
TIXIE BAY  120517 300  051500-052000   00     114.11  992.7     99.95     0.60     0.60
TIXIE BAY  120517 300  052000-052500   00     113.87  992.8     99.84     0.50     0.50
TIXIE BAY  120517 300  052500-053000   00     114.29  992.9    100.27     0.90     0.90
TIXIE BAY  120517 300  053000-053500   00     115.12  993.0    101.07     1.70     1.70
TIXIE BAY  120517 300  053500-054000   00     113.09  993.1     99.33     0.00     0.00
TIXIE BAY  120517 300  054000-054500   00     112.67  993.1     98.99    -0.40    -0.40
TIXIE BAY  120517 300  054500-055000   00     113.23  993.1     99.49     0.20     0.20
TIXIE BAY  120517 300  055000-055500   00     112.88  993.2     99.23    -0.10    -0.10
TIXIE BAY  120517 300  055500-060000   00     113.81  993.3    100.11     0.80     0.80
TIXIE BAY  120517 300  060000-060500   00     113.87  993.3    100.16     0.80     0.80
TIXIE BAY  120517 300  060500-061000   00     112.56  993.3     99.04    -0.30    -0.30
TIXIE BAY  120517 300  061000-061500   00     113.55  993.4     99.97     0.60     0.60
TIXIE BAY  120517 300  061500-062000   00     114.05  993.5    100.48     1.10     1.10
TIXIE BAY  120517 300  062000-062500   00     113.36  993.5     99.87     0.50     0.50
TIXIE BAY  120517 300  062500-063000   00     113.28  993.5     99.84     0.50     0.50
TIXIE BAY  120517 300  063000-063500   00     113.07  993.6     99.68     0.30     0.30
TIXIE BAY  120517 300  063500-064000   00     113.84  993.7    100.40     1.10     1.10
TIXIE BAY  120517 300  064000-064500   00     113.52  993.7    100.13     0.80     0.80
TIXIE BAY  120517 300  064500-065000   00     113.36  993.8    100.13     0.80     0.80
TIXIE BAY  120517 300  065000-065500   00     112.83  993.9     99.73     0.40     0.40
