JUNGFRAU1  LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3570 M
JUNGFRAU1  INSTRUMENT   IGY     NEUTRON MONITOR
JUNGFRAU1  STANDARD PRESSURE    642.5   MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU1  PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
JUNGFRAU1  PRE-INCREASE AVERAGE COUNTING RATE    399.54      COUNTS PER SECOND
JUNGFRAU1  TIME INTERVALS    300         3600     
JUNGFRAU1  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU1  211028 300  215000-215500   00     323.47  667.3    396.47    -0.77    -9999
JUNGFRAU1  211028 300  215500-220000   00     325.31  667.3    398.72    -0.20    -9999
JUNGFRAU1  211028 300  220000-220500   00     324.03  667.2    396.90    -0.66    -9999
JUNGFRAU1  211028 300  220500-221000   00     324.70  667.2    397.58    -0.49    -9999
JUNGFRAU1  211028 300  221000-221500   00     325.01  667.2    398.07    -0.37    -9999
JUNGFRAU1  211028 300  221500-222000   00     324.47  667.1    397.10    -0.61    -9999
JUNGFRAU1  211028 300  222000-222500   00     323.22  667.2    395.87    -0.92    -9999
JUNGFRAU1  211028 300  222500-223000   00     322.94  667.1    395.34    -1.05    -9999
JUNGFRAU1  211028 300  223000-223500   00     323.13  667.1    395.45    -1.02    -9999
JUNGFRAU1  211028 300  223500-224000   00     323.11  667.0    395.25    -1.07    -9999
JUNGFRAU1  211028 300  224000-224500   00     323.92  667.0    396.10    -0.86    -9999
JUNGFRAU1  211028 300  224500-225000   00     322.47  666.9    394.10    -1.36    -9999
JUNGFRAU1  211028 300  225000-225500   00     320.78  666.9    392.02    -1.88    -9999
JUNGFRAU1  211028 300  225500-230000   00     320.44  666.8    391.26    -2.07    -9999
JUNGFRAU1  211028 300  230000-230500   00     324.79  666.8    396.49    -0.76    -9999
JUNGFRAU1  211028 300  230500-231000   00     323.19  666.8    394.66    -1.22    -9999
JUNGFRAU1  211028 300  231000-231500   00     325.96  666.7    397.77    -0.44    -9999
JUNGFRAU1  211028 300  231500-232000   00     322.05  666.8    393.12    -1.61    -9999
JUNGFRAU1  211028 300  232000-232500   00     323.25  666.8    394.59    -1.24    -9999
JUNGFRAU1  211028 300  232500-233000   00     327.13  666.8    399.47    -0.02    -9999
JUNGFRAU1  211028 300  233000-233500   00     323.53  666.8    395.16    -1.09    -9999
JUNGFRAU1  211028 300  233500-234000   00     325.10  666.7    396.77    -0.69    -9999
JUNGFRAU1  211028 300  234000-234500   00     323.29  666.7    394.39    -1.29    -9999
JUNGFRAU1  211028 300  234500-235000   00     325.24  666.6    396.59    -0.74    -9999
JUNGFRAU1  211028 300  235000-235500   00     324.72  666.5    395.78    -0.94    -9999
JUNGFRAU1  211028 300  235500-000000   00     326.89  666.4    398.02    -0.38    -9999
JUNGFRAU1  211029 3600 000000-010000   00     325.11  666.4    395.91    -0.91    -9999
JUNGFRAU1  211029 3600 010000-020000   00     326.21  666.2    396.72    -0.71    -9999
JUNGFRAU1  211029 3600 020000-030000   00     328.11  665.8    397.78    -0.44    -9999
JUNGFRAU1  211029 3600 030000-040000   00     331.61  665.6    401.45     0.48    -9999
JUNGFRAU1  211029 3600 040000-050000   00     331.05  665.4    400.17     0.16    -9999
JUNGFRAU1  211029 3600 050000-060000   00     331.62  665.0    399.81     0.07    -9999
JUNGFRAU1  211029 3600 060000-070000   00     332.89  664.9    400.92     0.35    -9999
JUNGFRAU1  211029 3600 070000-080000   00     332.96  665.1    401.48     0.49    -9999
JUNGFRAU1  211029 3600 080000-090000   00     331.66  665.1    400.12     0.15    -9999
JUNGFRAU1  211029 3600 090000-100000   00     331.68  665.1    400.24     0.18    -9999
JUNGFRAU1  211029 3600 100000-110000   00     331.52  665.1    399.89     0.09    -9999
JUNGFRAU1  211029 3600 110000-120000   00     332.85  664.5    399.73     0.05    -9999
JUNGFRAU1  211029 3600 120000-130000   00     333.31  664.2    399.40    -0.04    -9999
JUNGFRAU1  211029 3600 130000-140000   00     334.63  664.0    400.35     0.20    -9999
JUNGFRAU1  211029 3600 140000-150000   00     332.32  664.1    397.89    -0.41    -9999
JUNGFRAU1  211029 3600 150000-160000   00     334.77  664.1    400.83     0.32    -9999
JUNGFRAU1  211029 3600 160000-170000   00     334.64  663.9    400.07     0.13    -9999
JUNGFRAU1  211029 3600 170000-180000   00     334.02  663.9    399.54     0.00    -9999
JUNGFRAU1  211029 3600 180000-190000   00     331.77  664.2    397.68    -0.47    -9999
JUNGFRAU1  211029 3600 190000-200000   00     332.32  664.1    397.98    -0.39    -9999
JUNGFRAU1  211029 3600 200000-210000   00     332.41  664.2    398.27    -0.32    -9999
JUNGFRAU1  211029 3600 210000-220000   00     332.07  664.0    397.24    -0.57    -9999
