NORILSK    LATITUDE    69.26     LONGITUDE     88.05     ALTITUDE    0 M
NORILSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
NORILSK    STANDARD PRESSURE    1017.1  MB     COEFFICIENT   -0.71     % / MB
NORILSK    PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
NORILSK    PRE-INCREASE AVERAGE COUNTING RATE     97.66      COUNTS PER SECOND
NORILSK    TIME INTERVALS    300         3600     
NORILSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NORILSK    010415 300  184000-184500   00     106.51 1013.4    103.72     6.20     4.86
NORILSK    010415 300  184500-185000   00     108.96 1013.3    106.06     8.60     7.24
NORILSK    010415 300  185000-185500   00     105.66 1013.3    102.81     5.30     3.93
NORILSK    010415 300  185500-190000   00     104.89 1013.2    102.02     4.50     3.11
NORILSK    010415 300  190000-190500   00     105.73 1013.2    102.84     5.30     3.90
NORILSK    010415 300  190500-191000   00     106.00 1013.1    103.06     5.50     4.08
NORILSK    010415 300  191000-191500   00     104.77 1013.1    101.83     4.30     2.87
NORILSK    010415 300  191500-192000   00     104.56 1013.0    101.59     4.00     2.55
NORILSK    010415 300  192000-192500   00     104.80 1013.0    101.79     4.20     2.74
NORILSK    010415 300  192500-193000   00     104.07 1012.9    101.05     3.50     2.02
NORILSK    010415 300  193000-193500   00     104.45 1012.9    101.38     3.80     2.31
NORILSK    010415 300  193500-194000   00     104.06 1012.8    100.96     3.40     1.89
NORILSK    010415 300  194000-194500   00     105.39 1012.8    102.22     4.70     3.18
NORILSK    010415 300  194500-195000   00     106.49 1012.7    103.24     5.70     4.16
NORILSK    010415 300  195000-195500   00     105.32 1012.7    102.08     4.50     2.95
NORILSK    010415 300  195500-200000   00     105.58 1012.6    102.29     4.80     3.24
NORILSK    010415 300  200000-200500   00     105.05 1012.6    101.75     4.20     2.62
NORILSK    010415 300  200500-201000   00     103.88 1012.6    100.58     3.00     1.41
NORILSK    010415 300  201000-201500   00     107.00 1012.5    103.56     6.00     4.39
