NOVOSIBIRS LATITUDE    54.8      LONGITUDE     83        ALTITUDE    0 M
NOVOSIBIRS INSTRUMENT   12-NM-64  NEUTRON MONITOR
NOVOSIBIRS STANDARD PRESSURE    985.5   MB     COEFFICIENT   -0.72     % / MB
NOVOSIBIRS PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
NOVOSIBIRS PRE-INCREASE AVERAGE COUNTING RATE    163.77      COUNTS PER SECOND
NOVOSIBIRS TIME INTERVALS    300         3600     
NOVOSIBIRS SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NOVOSIBIRS 000714 300  045000-045500   00     164.27  985.9    164.80     0.60    -9999
NOVOSIBIRS 000714 300  045500-050000   00     162.56  985.9    163.06    -0.40    -9999
NOVOSIBIRS 000714 300  050000-050500   00     163.41  985.8    163.75     0.00    -9999
NOVOSIBIRS 000714 300  050500-051000   00     163.41  985.8    163.73     0.00    -9999
NOVOSIBIRS 000714 300  051000-051500   00     163.41  985.7    163.70     0.00    -9999
NOVOSIBIRS 000714 300  051500-052000   00     164.27  985.7    164.54     0.50    -9999
NOVOSIBIRS 000714 300  052000-052500   00     163.41  985.7    163.67    -0.10    -9999
NOVOSIBIRS 000714 300  052500-053000   00     161.71  985.7    161.94    -1.10    -9999
NOVOSIBIRS 000714 300  053000-053500   00     162.13  985.7    162.36    -0.90    -9999
NOVOSIBIRS 000714 300  053500-054000   00     160.43  985.7    160.65    -1.90    -9999
NOVOSIBIRS 000714 300  054000-054500   00     163.84  985.7    164.06     0.20    -9999
NOVOSIBIRS 000714 300  054500-055000   00     163.41  985.7    163.63    -0.10    -9999
NOVOSIBIRS 000714 300  055000-055500   00     160.85  985.7    161.07    -1.60    -9999
NOVOSIBIRS 000714 300  055500-060000   00     163.84  985.7    164.07     0.20    -9999
NOVOSIBIRS 000714 300  060000-060500   00     162.99  985.8    163.33    -0.30    -9999
NOVOSIBIRS 000714 300  060500-061000   00     163.84  985.8    164.19     0.30    -9999
NOVOSIBIRS 000714 300  061000-061500   00     164.27  985.8    164.62     0.50    -9999
NOVOSIBIRS 000714 300  061500-062000   00     164.27  985.8    164.63     0.50    -9999
NOVOSIBIRS 000714 300  062000-062500   00     162.99  985.8    163.34    -0.30    -9999
NOVOSIBIRS 000714 300  062500-063000   00     163.84  985.8    164.20     0.30    -9999
NOVOSIBIRS 000714 300  063000-063500   00     164.27  985.8    164.62     0.50    -9999
NOVOSIBIRS 000714 300  063500-064000   00     163.41  985.8    163.76     0.00    -9999
NOVOSIBIRS 000714 300  064000-064500   00     162.99  985.8    163.32    -0.30    -9999
NOVOSIBIRS 000714 300  064500-065000   00     162.99  985.8    163.31    -0.30    -9999
NOVOSIBIRS 000714 300  065000-065500   00     164.27  985.8    164.57     0.50    -9999
NOVOSIBIRS 000714 300  065500-070000   00     162.99  985.7    163.28    -0.30    -9999
NOVOSIBIRS 000714 300  070000-070500   00     164.69  985.7    164.94     0.70    -9999
NOVOSIBIRS 000714 300  070500-071000   00     164.27  985.7    164.49     0.40    -9999
NOVOSIBIRS 000714 300  071000-071500   00     164.27  985.7    164.47     0.40    -9999
NOVOSIBIRS 000714 300  071500-072000   00     165.12  985.6    165.30     0.90    -9999
NOVOSIBIRS 000714 300  072000-072500   00     166.40  985.6    166.56     1.70    -9999
NOVOSIBIRS 000714 300  072500-073000   00     164.27  985.6    164.40     0.40    -9999
NOVOSIBIRS 000714 300  073000-073500   00     164.69  985.6    164.80     0.60    -9999
NOVOSIBIRS 000714 300  073500-074000   00     164.69  985.6    164.77     0.60    -9999
NOVOSIBIRS 000714 300  074000-074500   00     165.12  985.5    165.17     0.90    -9999
NOVOSIBIRS 000714 300  074500-075000   00     162.99  985.5    163.01    -0.50    -9999
NOVOSIBIRS 000714 300  075000-075500   00     166.40  985.5    166.40     1.60    -9999
NOVOSIBIRS 000714 300  075500-080000   00     164.69  985.5    164.66     0.50    -9999
NOVOSIBIRS 000714 300  080000-080500   00     164.69  985.4    164.55     0.50    -9999
NOVOSIBIRS 000714 300  080500-081000   00     167.25  985.4    167.08     2.00    -9999
NOVOSIBIRS 000714 300  081000-081500   00     163.84  985.3    163.65    -0.10    -9999
NOVOSIBIRS 000714 300  081500-082000   00     164.27  985.3    164.06     0.20    -9999
NOVOSIBIRS 000714 300  082000-082500   00     164.69  985.3    164.47     0.40    -9999
NOVOSIBIRS 000714 300  082500-083000   00     162.99  985.3    162.76    -0.60    -9999
NOVOSIBIRS 000714 300  083000-083500   00     164.27  985.3    164.03     0.20    -9999
NOVOSIBIRS 000714 300  083500-084000   00     164.27  985.3    164.03     0.20    -9999
NOVOSIBIRS 000714 300  084000-084500   00     166.40  985.3    166.16     1.50    -9999
NOVOSIBIRS 000714 300  084500-085000   00     165.12  985.3    164.89     0.70    -9999
NOVOSIBIRS 000714 300  085000-085500   00     162.99  985.3    162.77    -0.60    -9999
NOVOSIBIRS 000714 300  085500-090000   00     163.84  985.3    163.64    -0.10    -9999
NOVOSIBIRS 000714 300  090000-090500   00     164.69  985.5    164.64     0.50    -9999
NOVOSIBIRS 000714 300  090500-091000   00     164.69  985.5    164.66     0.50    -9999
NOVOSIBIRS 000714 300  091000-091500   00     164.69  985.5    164.67     0.60    -9999
NOVOSIBIRS 000714 300  091500-092000   00     161.71  985.5    161.70    -1.30    -9999
NOVOSIBIRS 000714 300  092000-092500   00     164.69  985.5    164.69     0.60    -9999
NOVOSIBIRS 000714 300  092500-093000   00     162.99  985.5    162.99    -0.50    -9999
NOVOSIBIRS 000714 300  093000-093500   00     162.99  985.5    162.99    -0.50    -9999
NOVOSIBIRS 000714 300  093500-094000   00     163.41  985.5    163.41    -0.20    -9999
NOVOSIBIRS 000714 300  094000-094500   00     163.84  985.5    163.83     0.00    -9999
NOVOSIBIRS 000714 300  094500-095000   00     163.84  985.5    163.82     0.00    -9999
NOVOSIBIRS 000714 300  095000-095500   00     162.13  985.5    162.10    -1.00    -9999
NOVOSIBIRS 000714 300  095500-100000   00     165.55  985.5    165.50     1.10    -9999
NOVOSIBIRS 000714 300  100000-100500   00     165.55  985.3    165.36     1.00     1.50
NOVOSIBIRS 000714 300  100500-101000   00     162.13  985.3    161.93    -1.10    -0.60
NOVOSIBIRS 000714 300  101000-101500   00     162.13  985.3    161.92    -1.10    -0.60
NOVOSIBIRS 000714 300  101500-102000   00     162.56  985.3    162.34    -0.90    -0.40
NOVOSIBIRS 000714 300  102000-102500   00     161.28  985.3    161.05    -1.70    -1.20
NOVOSIBIRS 000714 300  102500-103000   00     161.71  985.3    161.47    -1.40    -0.90
NOVOSIBIRS 000714 300  103000-103500   00     162.99  985.3    162.75    -0.60    -0.10
NOVOSIBIRS 000714 300  103500-104000   00     169.39  985.3    169.15     3.30     3.80
NOVOSIBIRS 000714 300  104000-104500   00     170.67  985.3    170.43     4.10     4.60
NOVOSIBIRS 000714 300  104500-105000   00     172.37  985.3    172.15     5.10     5.60
NOVOSIBIRS 000714 300  105000-105500   00     169.81  985.3    169.60     3.60     4.10
NOVOSIBIRS 000714 300  105500-110000   00     170.24  985.3    170.05     3.80     4.30
NOVOSIBIRS 000714 300  110000-110500   00     166.83  985.4    166.70     1.80     2.30
NOVOSIBIRS 000714 300  110500-111000   00     168.53  985.4    168.43     2.80     3.30
NOVOSIBIRS 000714 300  111000-111500   00     171.52  985.4    171.44     4.70     5.20
NOVOSIBIRS 000714 300  111500-112000   00     167.25  985.5    167.19     2.10     2.60
NOVOSIBIRS 000714 300  112000-112500   00     168.53  985.5    168.50     2.90     3.40
NOVOSIBIRS 000714 300  112500-113000   00     165.55  985.5    165.53     1.10     1.60
NOVOSIBIRS 000714 300  113000-113500   00     166.83  985.5    166.84     1.90     2.40
NOVOSIBIRS 000714 300  113500-114000   00     163.84  985.5    163.88     0.10     0.60
NOVOSIBIRS 000714 300  114000-114500   00     165.97  985.6    166.04     1.40     1.90
NOVOSIBIRS 000714 300  114500-115000   00     165.97  985.6    166.07     1.40     1.90
NOVOSIBIRS 000714 300  115000-115500   00     164.27  985.6    164.39     0.40     0.90
NOVOSIBIRS 000714 300  115500-120000   00     165.12  985.6    165.27     0.90     1.40
NOVOSIBIRS 000714 300  120000-120500   00     163.84  985.7    164.05     0.20     0.70
NOVOSIBIRS 000714 300  120500-121000   00     163.84  985.7    164.08     0.20     0.70
NOVOSIBIRS 000714 300  121000-121500   00     165.55  985.7    165.81     1.20     1.70
NOVOSIBIRS 000714 300  121500-122000   00     163.41  985.7    163.70     0.00     0.50
NOVOSIBIRS 000714 300  122000-122500   00     163.41  985.8    163.73     0.00     0.50
NOVOSIBIRS 000714 300  122500-123000   00     165.12  985.8    165.46     1.00     1.50
NOVOSIBIRS 000714 300  123000-123500   00     163.84  985.8    164.21     0.30     0.80
NOVOSIBIRS 000714 300  123500-124000   00     163.84  985.8    164.23     0.30     0.80
NOVOSIBIRS 000714 300  124000-124500   00     164.27  985.8    164.68     0.60     1.10
NOVOSIBIRS 000714 300  124500-125000   00     163.84  985.9    164.28     0.30     0.80
NOVOSIBIRS 000714 300  125000-125500   00     165.55  985.9    166.01     1.40     1.90
NOVOSIBIRS 000714 300  125500-130000   00     163.84  985.9    164.32     0.30     0.80
NOVOSIBIRS 000714 300  130000-130500   00     165.12  986.0    165.67     1.20     1.70
NOVOSIBIRS 000714 300  130500-131000   00     163.84  986.0    164.40     0.40     0.90
NOVOSIBIRS 000714 300  131000-131500   00     162.99  986.0    163.55    -0.10     0.40
NOVOSIBIRS 000714 300  131500-132000   00     162.13  986.0    162.71    -0.60    -0.10
NOVOSIBIRS 000714 300  132000-132500   00     162.99  986.0    163.57    -0.10     0.40
NOVOSIBIRS 000714 300  132500-133000   00     163.41  986.0    164.00     0.10     0.60
NOVOSIBIRS 000714 300  133000-133500   00     165.12  986.0    165.72     1.20     1.70
NOVOSIBIRS 000714 300  133500-134000   00     163.41  986.0    164.00     0.10     0.60
NOVOSIBIRS 000714 300  134000-134500   00     162.99  986.0    163.56    -0.10     0.40
NOVOSIBIRS 000714 300  134500-135000   00     163.84  986.0    164.41     0.40     0.90
NOVOSIBIRS 000714 300  135000-135500   00     163.41  986.0    163.97     0.10     0.60
NOVOSIBIRS 000714 300  135500-140000   00     161.28  986.0    161.81    -1.20    -0.70
NOVOSIBIRS 000714 300  140000-140500   00     160.85  985.9    161.34    -1.50    -1.00
NOVOSIBIRS 000714 300  140500-141000   00     163.41  985.9    163.88     0.10     0.60
NOVOSIBIRS 000714 300  141000-141500   00     163.41  985.9    163.86     0.10     0.60
NOVOSIBIRS 000714 300  141500-142000   00     163.41  985.9    163.84     0.00     0.50
NOVOSIBIRS 000714 300  142000-142500   00     162.13  985.8    162.53    -0.80    -0.30
NOVOSIBIRS 000714 300  142500-143000   00     163.84  985.8    164.21     0.30     0.80
NOVOSIBIRS 000714 300  143000-143500   00     163.41  985.8    163.75     0.00     0.50
NOVOSIBIRS 000714 300  143500-144000   00     163.41  985.8    163.72     0.00     0.50
NOVOSIBIRS 000714 300  144000-144500   00     161.71  985.7    161.98    -1.10    -0.60
NOVOSIBIRS 000714 300  144500-145000   00     163.41  985.7    163.65    -0.10     0.40
NOVOSIBIRS 000714 300  145000-145500   00     164.69  985.7    164.90     0.70     1.20
NOVOSIBIRS 000714 300  145500-150000   00     162.13  985.6    162.30    -0.90    -0.40
NOVOSIBIRS 000714 300  150000-150500   00     165.55  985.5    165.50     1.10     1.60
NOVOSIBIRS 000714 300  150500-151000   00     162.99  985.4    162.91    -0.50     0.00
NOVOSIBIRS 000714 300  151000-151500   00     162.56  985.4    162.46    -0.80    -0.30
NOVOSIBIRS 000714 300  151500-152000   00     161.28  985.4    161.16    -1.60    -1.10
NOVOSIBIRS 000714 300  152000-152500   00     163.41  985.4    163.29    -0.30     0.20
NOVOSIBIRS 000714 300  152500-153000   00     163.84  985.4    163.72     0.00     0.50
NOVOSIBIRS 000714 300  153000-153500   00     164.69  985.4    164.58     0.50     1.00
NOVOSIBIRS 000714 300  153500-154000   00     162.56  985.4    162.47    -0.80    -0.30
NOVOSIBIRS 000714 300  154000-154500   00     163.41  985.4    163.35    -0.30     0.20
NOVOSIBIRS 000714 300  154500-155000   00     161.71  985.5    161.67    -1.30    -0.80
NOVOSIBIRS 000714 300  155000-155500   00     162.56  985.5    162.57    -0.70    -0.20
NOVOSIBIRS 000714 300  155500-160000   00     161.28  985.6    161.34    -1.50    -1.00
NOVOSIBIRS 000714 300  160000-160500   00     162.56  985.9    162.98    -0.50     0.00
NOVOSIBIRS 000714 300  160500-161000   00     164.69  985.9    165.17     0.90     1.40
NOVOSIBIRS 000714 300  161000-161500   00     163.84  985.9    164.36     0.40     0.90
NOVOSIBIRS 000714 300  161500-162000   00     162.56  986.0    163.11    -0.40     0.10
NOVOSIBIRS 000714 300  162000-162500   00     162.56  986.0    163.13    -0.40     0.10
NOVOSIBIRS 000714 300  162500-163000   00     162.13  986.0    162.71    -0.60    -0.10
NOVOSIBIRS 000714 300  163000-163500   00     161.28  986.0    161.86    -1.20    -0.70
NOVOSIBIRS 000714 300  163500-164000   00     161.28  986.0    161.86    -1.20    -0.70
NOVOSIBIRS 000714 300  164000-164500   00     161.28  986.0    161.85    -1.20    -0.70
NOVOSIBIRS 000714 300  164500-165000   00     162.56  986.0    163.11    -0.40     0.10
NOVOSIBIRS 000714 300  165000-165500   00     162.99  985.9    163.51    -0.20     0.30
NOVOSIBIRS 000714 300  165500-170000   00     164.69  985.9    165.18     0.90     1.40
NOVOSIBIRS 000714 300  170000-170500   00     162.56  985.7    162.76    -0.60    -0.10
NOVOSIBIRS 000714 300  170500-171000   00     161.28  985.6    161.43    -1.40    -0.90
NOVOSIBIRS 000714 300  171000-171500   00     163.84  985.6    163.95     0.10     0.60
NOVOSIBIRS 000714 300  171500-172000   00     161.71  985.6    161.78    -1.20    -0.70
NOVOSIBIRS 000714 300  172000-172500   00     165.97  985.5    166.02     1.40     1.90
NOVOSIBIRS 000714 300  172500-173000   00     161.71  985.5    161.72    -1.30    -0.80
NOVOSIBIRS 000714 300  173000-173500   00     162.99  985.5    162.97    -0.50     0.00
NOVOSIBIRS 000714 300  173500-174000   00     164.69  985.5    164.66     0.50     1.00
NOVOSIBIRS 000714 300  174000-174500   00     162.99  985.5    162.94    -0.50     0.00
NOVOSIBIRS 000714 300  174500-175000   00     161.71  985.4    161.65    -1.30    -0.80
NOVOSIBIRS 000714 300  175000-175500   00     159.57  985.4    159.51    -2.60    -2.10
NOVOSIBIRS 000714 300  175500-180000   00     163.84  985.4    163.77     0.00     0.50
NOVOSIBIRS 000714 300  180000-180500   00     162.99  985.5    163.00    -0.50    -9999
NOVOSIBIRS 000714 300  180500-181000   00     160.00  985.5    160.01    -2.30    -9999
NOVOSIBIRS 000714 300  181000-181500   00     162.56  985.5    162.57    -0.70    -9999
