SANAE8     LATITUDE    -71.67    LONGITUDE     -2.85     ALTITUDE    856 M
SANAE8     INSTRUMENT   4NM80    NEUTRON MONITOR	
SANAE8     STANDARD PRESSURE    892     mb     COEFFICIENT   -0.757    % / mb
SANAE8     PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
SANAE8     PRE-INCREASE AVERAGE COUNTING RATE      5.98      COUNTS PER SECOND
SANAE8     TIME INTERVALS    300         3600     
SANAE8     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
SANAE8     031029 300  011000-011500   00       6.65  890.4      6.57     9.70     7.62
SANAE8     031029 300  011500-012000   00       6.65  890.4      6.57     9.80     7.71
SANAE8     031029 300  012000-012500   00       6.65  890.4      6.57     9.80     7.70
SANAE8     031029 300  012500-013000   00       6.66  890.4      6.59    10.00     7.89
SANAE8     031029 300  013000-013500   00       6.68  890.4      6.60    10.40     8.28
SANAE8     031029 300  013500-014000   00       6.51  890.4      6.43     7.50     5.37
SANAE8     031029 300  014000-014500   00       6.49  890.4      6.42     7.20     5.06
SANAE8     031029 300  014500-015000   00       6.70  890.4      6.62    10.60     8.45
SANAE8     031029 300  015000-015500   00       6.57  890.4      6.49     8.50     6.34
SANAE8     031029 300  015500-020000   00       6.66  890.4      6.58     9.90     7.73
SANAE8     031029 300  020000-020500   00       6.82  890.4      6.73    12.50    10.32
SANAE8     031029 300  020500-021000   00       6.58  890.4      6.50     8.70     6.51
SANAE8     031029 300  021000-021500   00       6.50  890.4      6.41     7.20     5.00
SANAE8     031029 300  021500-022000   00       6.61  890.3      6.52     9.00     6.79
SANAE8     031029 300  022000-022500   00       6.74  890.3      6.66    11.20     8.98
SANAE8     031029 300  022500-023000   00       6.66  890.3      6.57     9.80     7.57
SANAE8     031029 300  023000-023500   00       6.39  890.3      6.31     5.50     3.26
SANAE8     031029 300  023500-024000   00       6.41  890.3      6.32     5.70     3.45
SANAE8     031029 300  024000-024500   00       6.40  890.3      6.31     5.50     3.24
