JUNGFRAU   LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU   INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU   STANDARD PRESSURE    642.5   MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU   PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
JUNGFRAU   PRE-INCREASE AVERAGE COUNTING RATE    165.13      COUNTS PER SECOND
JUNGFRAU   TIME INTERVALS    300         3600     
JUNGFRAU   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU   211028 300  171000-171500   00     170.82  659.0    165.26     0.08     0.50
JUNGFRAU   211028 300  171500-172000   00     172.00  659.1    166.53     0.85     1.28
JUNGFRAU   211028 300  172000-172500   00     172.21  659.0    166.53     0.85     1.29
JUNGFRAU   211028 300  172500-173000   00     170.64  659.0    165.00    -0.08     0.37
JUNGFRAU   211028 300  173000-173500   00     168.44  659.0    162.99    -1.29    -0.83
JUNGFRAU   211028 300  173500-174000   00     171.00  659.0    165.32     0.11     0.58
JUNGFRAU   211028 300  174000-174500   00     169.42  659.0    163.82    -0.80    -0.32
JUNGFRAU   211028 300  174500-175000   00     171.56  659.0    165.97     0.51     1.01
JUNGFRAU   211028 300  175000-175500   00     170.36  658.9    164.73    -0.25     0.26
JUNGFRAU   211028 300  175500-180000   00     171.87  658.9    166.18     0.63     1.15
JUNGFRAU   211028 300  180000-180500   00     171.49  658.9    165.82     0.42     0.95
JUNGFRAU   211028 300  180500-181000   00     171.79  658.9    166.08     0.58     1.12
JUNGFRAU   211028 300  181000-181500   00     171.72  658.9    166.05     0.56     1.11
JUNGFRAU   211028 300  181500-182000   00     171.93  659.0    166.32     0.72     1.28
JUNGFRAU   211028 300  182000-182500   00     169.90  659.0    164.32    -0.49     0.08
JUNGFRAU   211028 300  182500-183000   00     172.11  658.9    166.31     0.71     1.29
JUNGFRAU   211028 300  183000-183500   00     170.39  659.0    164.75    -0.23     0.36
JUNGFRAU   211028 300  183500-184000   00     170.44  658.9    164.68    -0.28     0.33
JUNGFRAU   211028 300  184000-184500   00     170.61  658.8    164.76    -0.22     0.40
JUNGFRAU   211028 300  184500-185000   00     170.83  658.7    164.86    -0.16     0.47
JUNGFRAU   211028 300  185000-185500   00     170.32  658.7    164.34    -0.48     0.16
JUNGFRAU   211028 300  185500-190000   00     169.54  658.7    163.62    -0.91    -0.26
JUNGFRAU   211028 300  190000-190500   00     173.43  658.7    167.43     1.39     2.05
JUNGFRAU   211028 300  190500-191000   00     168.88  658.6    162.83    -1.39    -0.72
JUNGFRAU   211028 300  191000-191500   00     170.45  658.6    164.38    -0.46     0.22
JUNGFRAU   211028 300  191500-192000   00     169.68  658.7    163.79    -0.81    -0.12
JUNGFRAU   211028 300  192000-192500   00     172.21  658.6    166.06     0.57     1.27
JUNGFRAU   211028 300  192500-193000   00     169.69  658.5    163.66    -0.89    -0.18
JUNGFRAU   211028 300  193000-193500   00     171.76  658.6    165.55     0.25     0.98
JUNGFRAU   211028 300  193500-194000   00     171.14  658.4    164.81    -0.20     0.54
JUNGFRAU   211028 300  194000-194500   00     170.77  658.4    164.57    -0.34     0.41
JUNGFRAU   211028 300  194500-195000   00     169.65  658.4    163.44    -1.02    -0.26
JUNGFRAU   211028 300  195000-195500   00     168.82  658.4    162.46    -1.62    -0.85
JUNGFRAU   211028 300  195500-200000   00     168.12  658.3    161.76    -2.04    -1.26
JUNGFRAU   211028 300  200000-200500   00     170.89  658.3    164.49    -0.39    -9999
JUNGFRAU   211028 300  200500-201000   00     170.34  658.2    163.70    -0.87    -9999
JUNGFRAU   211028 300  201000-201500   00     169.15  658.1    162.49    -1.60    -9999
JUNGFRAU   211028 300  201500-202000   00     169.09  658.2    162.62    -1.52    -9999
JUNGFRAU   211028 300  202000-202500   00     170.76  658.2    164.28    -0.52    -9999
JUNGFRAU   211028 300  202500-203000   00     170.02  658.0    163.21    -1.16    -9999
JUNGFRAU   211028 300  203000-203500   00     170.21  658.0    163.45    -1.02    -9999
JUNGFRAU   211028 300  203500-204000   00     170.41  658.0    163.66    -0.89    -9999
JUNGFRAU   211028 300  204000-204500   00     171.40  658.0    164.73    -0.24    -9999
JUNGFRAU   211028 300  204500-205000   00     169.74  658.1    163.08    -1.24    -9999
