TSUMEB     LATITUDE    -19.2     LONGITUDE     17.6      ALTITUDE    1240 M
TSUMEB     INSTRUMENT   18NM64    NEUTRON MONITOR     
TSUMEB     STANDARD PRESSURE    660     MMHG   COEFFICIENT   0.935     % / MMHG
TSUMEB     PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
TSUMEB     PRE-INCREASE AVERAGE COUNTING RATE    348.81      COUNTS PER SECOND
TSUMEB     TIME INTERVALS    300         3600     
TSUMEB     SCALE FACTORS     1.066       1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
TSUMEB     061213 300  062000-062500   00     345.74  660.4    347.03    -0.50    -9999
TSUMEB     061213 300  062500-063000   00     346.54  660.4    347.97    -0.20    -9999
TSUMEB     061213 300  063000-063500   00     350.66  660.5    352.24     1.00    -9999
TSUMEB     061213 300  063500-064000   00     350.74  660.4    352.05     0.90    -9999
TSUMEB     061213 300  064000-064500   00     347.49  660.4    348.80     0.00    -9999
TSUMEB     061213 300  064500-065000   00     349.08  660.3    350.06     0.40    -9999
TSUMEB     061213 300  065000-065500   00     349.36  660.4    350.54     0.50    -9999
TSUMEB     061213 300  065500-070000   00     346.53  660.4    347.70    -0.30    -9999
TSUMEB     061213 300  070000-070500   00     348.86  660.3    349.90     0.30    -9999
TSUMEB     061213 300  070500-071000   00     350.60  660.4    351.85     0.90    -9999
TSUMEB     061213 300  071000-071500   00     350.18  660.4    351.37     0.70    -9999
TSUMEB     061213 300  071500-072000   00     350.20  660.4    351.44     0.80    -9999
TSUMEB     061213 300  072000-072500   00     347.01  660.4    348.31    -0.10    -9999
TSUMEB     061213 300  072500-073000   00     350.48  660.3    351.60     0.80    -9999
TSUMEB     061213 300  073000-073500   00     350.26  660.3    351.38     0.70    -9999
TSUMEB     061213 300  073500-074000   00     348.67  660.3    349.65     0.20    -9999
TSUMEB     061213 300  074000-074500   00     348.20  660.3    349.18     0.10    -9999
TSUMEB     061213 300  074500-075000   00     349.98  660.2    350.63     0.50    -9999
TSUMEB     061213 300  075000-075500   00     347.79  660.2    348.50    -0.10    -9999
TSUMEB     061213 300  075500-080000   00     350.39  660.2    351.05     0.60    -9999
