SOUTH POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH POLE INSTRUMENT   IGY     NEUTRON MONITOR	
SOUTH POLE STANDARD PRESSURE    510     MMHG   COEFFICIENT   -1        % / MMHG
SOUTH POLE PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
SOUTH POLE PRE-INCREASE AVERAGE COUNTING RATE    236.96      COUNTS PER SECOND
SOUTH POLE TIME INTERVALS    300         3600     
SOUTH POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
SOUTH POLE 000714 300  151000-151500   00     265.00  514.6    277.47    17.00    16.99
SOUTH POLE 000714 300  151500-152000   00     265.33  514.6    277.82    17.20    17.19
SOUTH POLE 000714 300  152000-152500   00     263.32  514.6    275.72    16.30    16.28
SOUTH POLE 000714 300  152500-153000   00     260.64  514.6    273.01    15.10    15.08
SOUTH POLE 000714 300  153000-153500   00     259.96  514.7    272.37    14.90    14.88
SOUTH POLE 000714 300  153500-154000   00     261.64  514.6    274.00    15.60    15.57
SOUTH POLE 000714 300  154000-154500   00     258.28  514.6    270.44    14.00    13.97
SOUTH POLE 000714 300  154500-155000   00     258.28  514.7    270.66    14.10    14.07
SOUTH POLE 000714 300  155000-155500   00     258.28  514.6    270.54    14.10    14.06
SOUTH POLE 000714 300  155500-160000   00     255.60  514.7    267.96    13.00    12.96
SOUTH POLE 000714 300  160000-160500   00     254.92  514.7    267.19    12.70    12.66
SOUTH POLE 000714 300  160500-161000   00     255.26  514.7    267.66    12.90    12.85
SOUTH POLE 000714 300  161000-161500   00     254.25  514.9    266.92    12.60    12.55
SOUTH POLE 000714 300  161500-162000   00     253.24  515.0    266.19    12.30    12.25
SOUTH POLE 000714 300  162000-162500   00     252.91  515.0    265.88    12.10    12.05
SOUTH POLE 000714 300  162500-163000   00     251.23  515.0    264.22    11.40    11.34
SOUTH POLE 000714 300  163000-163500   00     254.59  515.2    268.08    13.10    13.04
SOUTH POLE 000714 300  163500-164000   00     252.91  515.3    266.63    12.40    12.34
SOUTH POLE 000714 300  164000-164500   00     250.56  515.4    264.36    11.50    11.43
SOUTH POLE 000714 300  164500-165000   00     248.88  515.4    262.69    10.80    10.73
SOUTH POLE 000714 300  165000-165500   00     246.52  515.4    260.21     9.70     9.63
SOUTH POLE 000714 300  165500-170000   00     248.88  515.3    262.47    10.70    10.62
SOUTH POLE 000714 300  170000-170500   00     249.88  515.4    263.65    11.20    11.12
SOUTH POLE 000714 300  170500-171000   00     250.89  515.4    264.93    11.70    11.62
SOUTH POLE 000714 300  171000-171500   00     249.55  515.5    263.66    11.20    11.12
SOUTH POLE 000714 300  171500-172000   00     249.55  515.6    263.99    11.30    11.21
SOUTH POLE 000714 300  172000-172500   00     247.20  515.7    261.70    10.40    10.31
SOUTH POLE 000714 300  172500-173000   00     247.20  515.7    261.80    10.40    10.31
SOUTH POLE 000714 300  173000-173500   00     246.19  515.7    260.73    10.00     9.90
SOUTH POLE 000714 300  173500-174000   00     247.87  515.8    262.63    10.80    10.70
SOUTH POLE 000714 300  174000-174500   00     246.86  515.8    261.60    10.30    10.20
SOUTH POLE 000714 300  174500-175000   00     245.85  515.8    260.52     9.90     9.79
SOUTH POLE 000714 300  175000-175500   00     245.52  515.7    259.92     9.60     9.49
SOUTH POLE 000714 300  175500-180000   00     247.20  515.7    261.81    10.40    10.29
SOUTH POLE 000714 300  180000-180500   00     246.52  515.8    261.18    10.10     9.98
SOUTH POLE 000714 300  180500-181000   00     243.84  515.8    258.36     9.00     8.88
SOUTH POLE 000714 300  181000-181500   00     242.83  515.8    257.33     8.50     8.38
SOUTH POLE 000714 300  181500-182000   00     242.83  515.8    257.44     8.60     8.48
SOUTH POLE 000714 300  182000-182500   00     243.50  515.9    258.30     8.90     8.77
SOUTH POLE 000714 300  182500-183000   00     240.48  516.0    255.31     7.70     7.57
SOUTH POLE 000714 300  183000-183500   00     239.81  516.0    254.64     7.40     7.27
SOUTH POLE 000714 300  183500-184000   00     241.48  516.0    256.42     8.10     7.96
SOUTH POLE 000714 300  184000-184500   00     240.48  516.1    255.51     7.80     7.66
SOUTH POLE 000714 300  184500-185000   00     238.13  516.1    253.01     6.70     6.56
SOUTH POLE 000714 300  185000-185500   00     239.14  516.1    254.18     7.20     7.05
SOUTH POLE 000714 300  185500-190000   00     238.13  516.1    253.22     6.80     6.65
SOUTH POLE 000714 300  190000-190500   00     238.13  516.2    253.36     6.90     6.75
SOUTH POLE 000714 300  190500-191000   00     237.79  516.2    253.00     6.70     6.54
SOUTH POLE 000714 300  191000-191500   00     237.80  516.2    253.00     6.70     6.54
SOUTH POLE 000714 300  191500-192000   00     235.78  516.2    250.87     5.80     5.64
SOUTH POLE 000714 300  192000-192500   00     237.12  516.3    252.54     6.50     6.34
SOUTH POLE 000714 300  192500-193000   00     236.11  516.3    251.58     6.10     5.93
SOUTH POLE 000714 300  193000-193500   00     237.79  516.5    253.67     7.00     6.83
SOUTH POLE 000714 300  193500-194000   00     234.77  516.5    250.55     5.70     5.53
SOUTH POLE 000714 300  194000-194500   00     235.78  516.6    251.86     6.20     6.02
SOUTH POLE 000714 300  194500-195000   00     234.10  516.6    250.08     5.50     5.32
SOUTH POLE 000714 300  195000-195500   00     235.11  516.7    251.46     6.00     5.82
SOUTH POLE 000714 300  195500-200000   00     233.43  516.8    249.85     5.40     5.21
SOUTH POLE 000714 300  200000-200500   00     232.09  516.7    248.17     4.70     4.51
SOUTH POLE 000714 300  200500-201000   00     231.41  516.7    247.56     4.40     4.21
SOUTH POLE 000714 300  201000-201500   00     232.42  516.8    248.77     4.90     4.71
SOUTH POLE 000714 300  201500-202000   00     231.08  516.9    247.54     4.40     4.20
SOUTH POLE 000714 300  202000-202500   00     234.44  516.9    251.18     5.90     5.70
SOUTH POLE 000714 300  202500-203000   00     230.74  516.9    247.22     4.30     4.10
SOUTH POLE 000714 300  203000-203500   00     230.74  516.9    247.22     4.30     4.09
SOUTH POLE 000714 300  203500-204000   00     231.41  516.9    248.05     4.60     4.39
SOUTH POLE 000714 300  204000-204500   00     228.73  517.1    245.47     3.50     3.29
SOUTH POLE 000714 300  204500-205000   00     228.39  517.1    245.19     3.40     3.18
SOUTH POLE 000714 300  205000-205500   00     230.41  517.1    247.36     4.30     4.08
SOUTH POLE 000714 300  205500-210000   00     228.73  517.1    245.55     3.50     3.28
SOUTH POLE 000714 300  210000-210500   00     227.38  517.1    244.11     2.90     2.67
SOUTH POLE 000714 300  210500-211000   00     227.72  517.1    244.47     3.10     2.87
SOUTH POLE 000714 300  211000-211500   00     229.40  517.1    246.33     3.90     3.67
SOUTH POLE 000714 300  211500-212000   00     228.73  517.2    245.81     3.70     3.47
SOUTH POLE 000714 300  212000-212500   00     227.05  517.3    244.30     3.00     2.76
SOUTH POLE 000714 300  212500-213000   00     226.37  517.4    243.66     2.80     2.56
SOUTH POLE 000714 300  213000-213500   00     227.38  517.4    244.85     3.30     3.06
SOUTH POLE 000714 300  213500-214000   00     226.04  517.4    243.50     2.70     2.45
SOUTH POLE 000714 300  214000-214500   00     227.72  517.5    245.46     3.50     3.25
SOUTH POLE 000714 300  214500-215000   00     226.71  517.6    244.68     3.20     2.95
SOUTH POLE 000714 300  215000-215500   00     224.02  517.8    242.11     2.10     1.84
SOUTH POLE 000714 300  215500-220000   00     225.37  517.8    243.65     2.80     2.54
SOUTH POLE 000714 300  220000-220500   00     227.72  517.7    246.04     3.80     3.54
SOUTH POLE 000714 300  220500-221000   00     223.01  517.7    240.87     1.60     1.33
SOUTH POLE 000714 300  221000-221500   00     225.37  517.8    243.65     2.70     2.43
SOUTH POLE 000714 300  221500-222000   00     225.37  517.8    243.65     2.70     2.43
SOUTH POLE 000714 300  222000-222500   00     224.69  517.7    242.77     2.40     2.13
SOUTH POLE 000714 300  222500-223000   00     226.37  517.7    244.49     3.10     2.82
SOUTH POLE 000714 300  223000-223500   00     222.34  517.7    240.14     1.30     1.02
SOUTH POLE 000714 300  223500-224000   00     224.69  517.7    242.68     2.40     2.12
SOUTH POLE 000714 300  224000-224500   00     224.02  517.8    242.16     2.10     1.81
SOUTH POLE 000714 300  224500-225000   00     224.36  518.0    243.00     2.50     2.21
SOUTH POLE 000714 300  225000-225500   00     226.37  517.9    244.98     3.30     3.01
SOUTH POLE 000714 300  225500-230000   00     225.03  517.9    243.63     2.70     2.40
SOUTH POLE 000714 300  230000-230500   00     222.68  517.9    241.07     1.70     1.40
SOUTH POLE 000714 300  230500-231000   00     225.37  517.9    243.89     2.90     2.60
SOUTH POLE 000714 300  231000-231500   00     222.68  517.9    241.04     1.60     1.29
SOUTH POLE 000714 300  231500-232000   00     221.67  517.9    239.93     1.20     0.89
SOUTH POLE 000714 300  232000-232500   00     222.68  518.0    241.14     1.70     1.39
SOUTH POLE 000714 300  232500-233000   00     221.67  518.0    240.14     1.30     0.99
SOUTH POLE 000714 300  233000-233500   00     223.35  518.2    242.41     2.20     1.88
SOUTH POLE 000714 300  233500-234000   00     224.36  518.3    243.78     2.80     2.48
SOUTH POLE 000714 300  234000-234500   00     222.01  518.3    241.17     1.70     1.38
SOUTH POLE 000714 300  234500-235000   00     225.03  518.2    244.26     3.00     2.67
