YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    991.6   mb     COEFFICIENT   -0.72     % / mb
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE     10.97      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
YAKUTSK    031028 300  140500-141000   00      11.27  993.4     11.41     4.10     4.10
YAKUTSK    031028 300  141000-141500   00      11.05  993.4     11.20     2.10     2.10
YAKUTSK    031028 300  141500-142000   00      11.20  993.5     11.35     3.50     3.50
YAKUTSK    031028 300  142000-142500   00      11.37  993.5     11.52     5.10     5.10
YAKUTSK    031028 300  142500-143000   00      11.33  993.6     11.50     4.80     4.80
YAKUTSK    031028 300  143000-143500   00      11.03  993.6     11.19     2.10     2.10
YAKUTSK    031028 300  143500-144000   00      11.35  993.7     11.52     5.00     5.00
YAKUTSK    031028 300  144000-144500   00      11.23  993.7     11.41     4.00     4.00
YAKUTSK    031028 300  144500-145000   00      11.15  993.8     11.33     3.30     3.30
YAKUTSK    031028 300  145000-145500   00      11.08  993.8     11.26     2.70     2.70
YAKUTSK    031028 300  145500-150000   00      11.25  993.9     11.44     4.30     4.30
YAKUTSK    031028 300  150000-150500   00      11.27  993.9     11.46     4.50     4.50
YAKUTSK    031028 300  150500-151000   00      11.28  994.0     11.48     4.70     4.70
YAKUTSK    031028 300  151000-151500   00      11.22  994.0     11.41     4.10     4.10
YAKUTSK    031028 300  151500-152000   00      11.10  994.1     11.30     3.00     3.00
YAKUTSK    031028 300  152000-152500   00      11.27  994.1     11.47     4.60     4.60
YAKUTSK    031028 300  152500-153000   00      11.20  994.2     11.41     4.00     4.00
YAKUTSK    031028 300  153000-153500   00      11.32  994.2     11.53     5.20     5.20
YAKUTSK    031028 300  153500-154000   00      11.22  994.3     11.43     4.30     4.30
YAKUTSK    031028 300  154000-154500   00      11.25  994.3     11.47     4.60     4.60
YAKUTSK    031028 300  154500-155000   00      11.03  994.4     11.26     2.60     2.60
YAKUTSK    031028 300  155000-155500   00      11.13  994.4     11.36     3.60     3.60
YAKUTSK    031028 300  155500-160000   00      11.37  994.5     11.60     5.80     5.80
YAKUTSK    031028 300  160000-160500   00      11.07  994.5     11.30     3.00     3.00
YAKUTSK    031028 300  160500-161000   00      11.32  994.5     11.56     5.40     5.40
YAKUTSK    031028 300  161000-161500   00      11.23  994.6     11.48     4.60     4.60
YAKUTSK    031028 300  161500-162000   00      11.50  994.6     11.75     7.10     7.10
YAKUTSK    031028 300  162000-162500   00      11.22  994.6     11.46     4.50     4.50
YAKUTSK    031028 300  162500-163000   00      11.10  994.6     11.35     3.50     3.50
YAKUTSK    031028 300  163000-163500   00      11.08  994.7     11.33     3.30     3.30
YAKUTSK    031028 300  163500-164000   00      11.25  994.7     11.50     4.90     4.90
YAKUTSK    031028 300  164000-164500   00      11.17  994.7     11.42     4.10     4.10
YAKUTSK    031028 300  164500-165000   00      11.00  994.7     11.25     2.60     2.60
YAKUTSK    031028 300  165000-165500   00      11.18  994.8     11.44     4.30     4.30
YAKUTSK    031028 300  165500-170000   00      11.02  994.8     11.27     2.80     2.80
YAKUTSK    031028 300  170000-170500   00      11.27  994.8     11.53     5.10     5.10
YAKUTSK    031028 300  170500-171000   00      11.17  994.8     11.43     4.20     4.20
YAKUTSK    031028 300  171000-171500   00      11.05  994.9     11.31     3.20     3.20
YAKUTSK    031028 300  171500-172000   00      11.35  994.9     11.62     6.00     6.00
YAKUTSK    031028 300  172000-172500   00      11.27  994.9     11.54     5.20     5.20
YAKUTSK    031028 300  172500-173000   00      11.25  995.0     11.53     5.10     5.10
YAKUTSK    031028 300  173000-173500   00      11.33  995.0     11.62     5.90     5.90
YAKUTSK    031028 300  173500-174000   00      11.28  995.0     11.57     5.50     5.50
YAKUTSK    031028 300  174000-174500   00      11.33  995.1     11.62     6.00     6.00
YAKUTSK    031028 300  174500-175000   00      11.20  995.1     11.49     4.70     4.70
YAKUTSK    031028 300  175000-175500   00      11.02  995.1     11.30     3.10     3.10
YAKUTSK    031028 300  175500-180000   00      11.22  995.2     11.51     5.00     5.00
YAKUTSK    031028 300  180000-180500   00      11.18  995.2     11.48     4.70     4.70
YAKUTSK    031028 300  180500-181000   00      11.22  995.3     11.52     5.00     5.00
YAKUTSK    031028 300  181000-181500   00      11.03  995.3     11.33     3.30     3.30
YAKUTSK    031028 300  181500-182000   00      11.27  995.3     11.57     5.50     5.50
YAKUTSK    031028 300  182000-182500   00      11.20  995.4     11.51     4.90     4.90
YAKUTSK    031028 300  182500-183000   00      11.18  995.4     11.50     4.80     4.80
YAKUTSK    031028 300  183000-183500   00      11.08  995.5     11.40     3.90     3.90
YAKUTSK    031028 300  183500-184000   00      10.92  995.5     11.23     2.40     2.40
YAKUTSK    031028 300  184000-184500   00      11.08  995.5     11.40     4.00     4.00
YAKUTSK    031028 300  184500-185000   00      11.12  995.6     11.44     4.30     4.30
YAKUTSK    031028 300  185000-185500   00      10.97  995.6     11.29     2.90     2.90
YAKUTSK    031028 300  185500-190000   00      11.12  995.7     11.45     4.40     4.40
YAKUTSK    031028 300  190000-190500   00      11.03  995.7     11.36     3.60     3.60
YAKUTSK    031028 300  190500-191000   00      11.22  995.7     11.55     5.40     5.40
YAKUTSK    031028 300  191000-191500   00      10.95  995.7     11.28     2.90     2.90
YAKUTSK    031028 300  191500-192000   00      11.12  995.7     11.45     4.40     4.40
YAKUTSK    031028 300  192000-192500   00      11.10  995.7     11.44     4.30     4.30
YAKUTSK    031028 300  192500-193000   00      11.25  995.7     11.59     5.70     5.70
YAKUTSK    031028 300  193000-193500   00      11.32  995.8     11.66     6.30     6.30
YAKUTSK    031028 300  193500-194000   00      10.97  995.8     11.30     3.00     3.00
YAKUTSK    031028 300  194000-194500   00      11.05  995.8     11.39     3.80     3.80
YAKUTSK    031028 300  194500-195000   00      11.13  995.8     11.47     4.60     4.60
YAKUTSK    031028 300  195000-195500   00      11.00  995.8     11.34     3.40     3.40
YAKUTSK    031028 300  195500-200000   00      11.13  995.8     11.47     4.60     4.60
YAKUTSK    031028 300  200000-200500   00      11.18  995.8     11.53     5.10     5.10
YAKUTSK    031028 300  200500-201000   00      10.90  995.8     11.24     2.50     2.50
YAKUTSK    031028 300  201000-201500   00      10.98  995.8     11.32     3.20     3.20
YAKUTSK    031028 300  201500-202000   00      11.10  995.8     11.44     4.30     4.30
YAKUTSK    031028 300  202000-202500   00      11.15  995.8     11.50     4.80     4.80
YAKUTSK    031028 300  202500-203000   00      11.20  995.8     11.55     5.30     5.30
YAKUTSK    031028 300  203000-203500   00      11.18  995.9     11.53     5.10     5.10
