MAGADAN    LATITUDE    60.1      LONGITUDE     151       ALTITUDE    0 M
MAGADAN    INSTRUMENT   18NM64    NEUTRON MONITOR     	
MAGADAN    STANDARD PRESSURE    972.7   mb     COEFFICIENT   -0.74     % / mb
MAGADAN    PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
MAGADAN    PRE-INCREASE AVERAGE COUNTING RATE    141.33      COUNTS PER SECOND
MAGADAN    TIME INTERVALS    300         3600     
MAGADAN    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MAGADAN    010415 300  144500-145000   00     203.73  975.7    208.37    47.40    46.64
MAGADAN    010415 300  145000-145500   00     198.72  975.9    203.42    43.90    43.12
MAGADAN    010415 300  145500-150000   00     194.24  976.0    199.00    40.80    39.99
MAGADAN    010415 300  150000-150500   00     189.28  976.2    194.23    37.40    36.57
MAGADAN    010415 300  150500-151000   00     186.61  976.3    191.65    35.60    34.74
MAGADAN    010415 300  151000-151500   00     182.56  976.4    187.64    32.80    31.92
MAGADAN    010415 300  151500-152000   00     179.95  976.5    185.10    31.00    30.09
MAGADAN    010415 300  152000-152500   00     176.59  976.6    181.78    28.60    27.67
MAGADAN    010415 300  152500-153000   00     171.95  976.7    177.13    25.40    24.44
MAGADAN    010415 300  153000-153500   00     170.56  976.8    175.82    24.40    23.42
MAGADAN    010415 300  153500-154000   00     166.88  976.9    172.15    21.80    20.80
MAGADAN    010415 300  154000-154500   00     166.72  977.0    172.09    21.80    20.77
MAGADAN    010415 300  154500-155000   00     163.57  977.1    168.94    19.50    18.45
MAGADAN    010415 300  155000-155500   00     161.33  977.1    166.72    18.00    16.92
MAGADAN    010415 300  155500-160000   00     161.60  977.2    167.09    18.20    17.10
MAGADAN    010415 300  160000-160500   00     157.12  977.1    162.36    14.90    13.77
MAGADAN    010415 300  160500-161000   00     155.68  977.2    160.95    13.90    12.75
