MOSCOW     LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSCOW     INSTRUMENT   24NM64    NEUTRON MONITOR	
MOSCOW     STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.71     % / mb
MOSCOW     PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
MOSCOW     PRE-INCREASE AVERAGE COUNTING RATE    248.26      COUNTS PER SECOND
MOSCOW     TIME INTERVALS    300         3600     
MOSCOW     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MOSCOW     120517 300  042500-043000   00     256.66  994.8    247.23    -0.40    -9999
MOSCOW     120517 300  043000-043500   00     255.23  994.8    245.85    -1.00    -9999
MOSCOW     120517 300  043500-044000   00     256.29  994.8    246.87    -0.60    -9999
MOSCOW     120517 300  044000-044500   00     259.49  994.8    249.95     0.70    -9999
MOSCOW     120517 300  044500-045000   00     256.82  994.8    247.38    -0.40    -9999
MOSCOW     120517 300  045000-045500   00     260.21  994.8    250.65     1.00    -9999
MOSCOW     120517 300  045500-050000   00     260.06  994.8    250.51     0.90    -9999
MOSCOW     120517 300  050000-050500   00     258.06  994.8    248.58     0.10    -9999
MOSCOW     120517 300  050500-051000   00     255.90  994.7    246.39    -0.80    -9999
MOSCOW     120517 300  051000-051500   00     258.83  994.7    249.14     0.40    -9999
MOSCOW     120517 300  051500-052000   00     257.39  994.8    247.90    -0.10    -9999
MOSCOW     120517 300  052000-052500   00     259.10  994.8    249.51     0.50    -9999
MOSCOW     120517 300  052500-053000   00     260.94  994.7    251.17     1.20    -9999
MOSCOW     120517 300  053000-053500   00     258.97  994.6    249.13     0.40    -9999
MOSCOW     120517 300  053500-054000   00     259.10  994.6    249.19     0.40    -9999
MOSCOW     120517 300  054000-054500   00     259.82  994.5    249.79     0.60    -9999
MOSCOW     120517 300  054500-055000   00     256.69  994.6    246.86    -0.60    -9999
MOSCOW     120517 300  055000-055500   00     259.17  994.6    249.30     0.40    -9999
MOSCOW     120517 300  055500-060000   00     259.11  994.6    249.23     0.40    -9999
MOSCOW     120517 300  060000-060500   00     259.69  994.6    249.78     0.60    -9999
MOSCOW     120517 300  060500-061000   00     260.09  994.6    250.17     0.80    -9999
MOSCOW     120517 300  061000-061500   00     257.36  994.5    247.36    -0.40    -9999
MOSCOW     120517 300  061500-062000   00     260.23  994.4    249.99     0.70    -9999
MOSCOW     120517 300  062000-062500   00     259.26  994.4    249.04     0.30    -9999
MOSCOW     120517 300  062500-063000   00     259.55  994.5    249.47     0.50    -9999
MOSCOW     120517 300  063000-063500   00     259.26  994.5    249.20     0.40    -9999
MOSCOW     120517 300  063500-064000   00     261.53  994.5    251.34     1.20    -9999
MOSCOW     120517 300  064000-064500   00     260.53  994.4    250.24     0.80    -9999
MOSCOW     120517 300  064500-065000   00     260.22  994.4    249.94     0.70    -9999
MOSCOW     120517 300  065000-065500   00     263.64  994.5    253.40     2.10    -9999
MOSCOW     120517 300  065500-070000   00     261.68  994.5    251.52     1.30    -9999
MOSCOW     120517 300  070000-070500   00     260.60  994.4    250.34     0.80    -9999
MOSCOW     120517 300  070500-071000   00     259.47  994.4    249.15     0.40    -9999
MOSCOW     120517 300  071000-071500   00     260.06  994.4    249.75     0.60    -9999
MOSCOW     120517 300  071500-072000   00     257.98  994.3    247.63    -0.30    -9999
MOSCOW     120517 300  072000-072500   00     261.19  994.3    250.69     1.00    -9999
MOSCOW     120517 300  072500-073000   00     261.75  994.3    251.30     1.20    -9999
MOSCOW     120517 300  073000-073500   00     261.33  994.3    250.82     1.00    -9999
MOSCOW     120517 300  073500-074000   00     263.63  994.3    253.03     1.90    -9999
MOSCOW     120517 300  074000-074500   00     259.83  994.3    249.42     0.50    -9999
MOSCOW     120517 300  074500-075000   00     260.70  994.3    250.21     0.80    -9999
MOSCOW     120517 300  075000-075500   00     259.39  994.4    249.07     0.30    -9999
MOSCOW     120517 300  075500-080000   00     258.91  994.4    248.68     0.20    -9999
MOSCOW     120517 300  080000-080500   00     261.74  994.4    251.31     1.20    -9999
MOSCOW     120517 300  080500-081000   00     264.21  994.3    253.66     2.20    -9999
MOSCOW     120517 300  081000-081500   00     260.79  994.3    250.35     0.80    -9999
MOSCOW     120517 300  081500-082000   00     263.21  994.3    252.63     1.80    -9999
MOSCOW     120517 300  082000-082500   00     260.77  994.3    250.29     0.80    -9999
MOSCOW     120517 300  082500-083000   00     261.92  994.3    251.39     1.30    -9999
MOSCOW     120517 300  083000-083500   00     259.63  994.3    249.20     0.40    -9999
MOSCOW     120517 300  083500-084000   00     260.20  994.3    249.66     0.60    -9999
MOSCOW     120517 300  084000-084500   00     263.86  994.3    253.18     2.00    -9999
MOSCOW     120517 300  084500-085000   00     260.10  994.2    249.54     0.50    -9999
MOSCOW     120517 300  085000-085500   00     259.31  994.3    248.81     0.20    -9999
MOSCOW     120517 300  085500-090000   00     264.42  994.2    253.68     2.20    -9999
MOSCOW     120517 300  090000-090500   00     261.54  994.3    250.95     1.10    -9999
MOSCOW     120517 300  090500-091000   00     262.93  994.3    252.28     1.60    -9999
MOSCOW     120517 300  091000-091500   00     263.49  994.3    252.82     1.80    -9999
MOSCOW     120517 300  091500-092000   00     259.70  994.2    249.12     0.30    -9999
MOSCOW     120517 300  092000-092500   00     261.13  994.2    250.48     0.90    -9999
MOSCOW     120517 300  092500-093000   00     264.49  994.2    253.63     2.20    -9999
MOSCOW     120517 300  093000-093500   00     262.51  994.1    251.67     1.40    -9999
MOSCOW     120517 300  093500-094000   00     262.88  994.1    251.94     1.50    -9999
MOSCOW     120517 300  094000-094500   00     261.75  994.1    250.89     1.10    -9999
MOSCOW     120517 300  094500-095000   00     262.52  994.1    251.67     1.40    -9999
MOSCOW     120517 300  095000-095500   00     259.38  994.1    248.62     0.10    -9999
MOSCOW     120517 300  095500-100000   00     262.21  994.0    251.20     1.20    -9999
MOSCOW     120517 300  100000-100500   00     260.74  994.0    249.71     0.60    -9999
MOSCOW     120517 300  100500-101000   00     261.02  994.0    250.01     0.70    -9999
MOSCOW     120517 300  101000-101500   00     261.80  994.0    250.80     1.00    -9999
MOSCOW     120517 300  101500-102000   00     261.12  994.1    250.19     0.80    -9999
MOSCOW     120517 300  102000-102500   00     262.63  994.1    251.67     1.40    -9999
MOSCOW     120517 300  102500-103000   00     260.61  994.0    249.63     0.60    -9999
MOSCOW     120517 300  103000-103500   00     261.19  994.0    250.22     0.80    -9999
MOSCOW     120517 300  103500-104000   00     261.72  994.0    250.73     1.00    -9999
MOSCOW     120517 300  104000-104500   00     260.52  994.1    249.61     0.50    -9999
MOSCOW     120517 300  104500-105000   00     261.15  994.1    250.23     0.80    -9999
MOSCOW     120517 300  105000-105500   00     262.48  994.1    251.63     1.40    -9999
MOSCOW     120517 300  105500-110000   00     261.75  994.0    250.71     1.00    -9999
MOSCOW     120517 300  110000-110500   00     261.86  994.0    250.78     1.00    -9999
MOSCOW     120517 300  110500-111000   00     258.64  993.9    247.55    -0.30    -9999
MOSCOW     120517 300  111000-111500   00     261.91  993.9    250.65     1.00    -9999
MOSCOW     120517 300  111500-112000   00     264.14  993.9    252.79     1.80    -9999
MOSCOW     120517 300  112000-112500   00     260.47  993.9    249.28     0.40    -9999
MOSCOW     120517 300  112500-113000   00     261.78  993.9    250.56     0.90    -9999
MOSCOW     120517 300  113000-113500   00     262.64  993.8    251.20     1.20    -9999
MOSCOW     120517 300  113500-114000   00     259.21  993.8    247.94    -0.10    -9999
MOSCOW     120517 300  114000-114500   00     261.51  993.8    250.16     0.80    -9999
MOSCOW     120517 300  114500-115000   00     264.12  993.9    252.75     1.80    -9999
MOSCOW     120517 300  115000-115500   00     261.51  993.8    250.16     0.80    -9999
MOSCOW     120517 300  115500-120000   00     260.93  993.7    249.42     0.50    -9999
MOSCOW     120517 300  120000-120500   00     261.05  993.7    249.47     0.50    -9999
MOSCOW     120517 300  120500-121000   00     259.23  993.8    247.84    -0.20    -9999
MOSCOW     120517 300  121000-121500   00     259.31  993.6    247.71    -0.20    -9999
MOSCOW     120517 300  121500-122000   00     260.74  993.6    248.93     0.30    -9999
MOSCOW     120517 300  122000-122500   00     260.87  993.6    249.13     0.40    -9999
MOSCOW     120517 300  122500-123000   00     260.60  993.5    248.69     0.20    -9999
MOSCOW     120517 300  123000-123500   00     264.12  993.5    252.01     1.50    -9999
MOSCOW     120517 300  123500-124000   00     263.43  993.4    251.21     1.20    -9999
MOSCOW     120517 300  124000-124500   00     260.17  993.3    247.83    -0.20    -9999
MOSCOW     120517 300  124500-125000   00     260.26  993.3    247.96    -0.10    -9999
MOSCOW     120517 300  125000-125500   00     261.99  993.2    249.47     0.50    -9999
MOSCOW     120517 300  125500-130000   00     259.96  993.2    247.54    -0.30    -9999
MOSCOW     120517 300  130000-130500   00     258.83  993.2    246.46    -0.70    -9999
MOSCOW     120517 300  130500-131000   00     262.12  993.2    249.53     0.50    -9999
MOSCOW     120517 300  131000-131500   00     260.59  993.1    247.90    -0.10    -9999
MOSCOW     120517 300  131500-132000   00     260.42  993.1    247.76    -0.20    -9999
MOSCOW     120517 300  132000-132500   00     263.05  993.2    250.41     0.90    -9999
MOSCOW     120517 300  132500-133000   00     260.74  993.2    248.22     0.00    -9999
MOSCOW     120517 300  133000-133500   00     259.54  993.1    246.97    -0.50    -9999
MOSCOW     120517 300  133500-134000   00     263.44  993.1    250.71     1.00    -9999
MOSCOW     120517 300  134000-134500   00     260.61  993.2    248.13    -0.10    -9999
MOSCOW     120517 300  134500-135000   00     261.20  993.3    248.89     0.30    -9999
MOSCOW     120517 300  135000-135500   00     261.15  993.3    248.83     0.20    -9999
MOSCOW     120517 300  135500-140000   00     259.78  993.2    247.41    -0.30    -9999
MOSCOW     120517 300  140000-140500   00     261.89  993.2    249.41     0.50    -9999
MOSCOW     120517 300  140500-141000   00     260.45  993.3    248.11    -0.10    -9999
MOSCOW     120517 300  141000-141500   00     259.44  993.2    247.04    -0.50    -9999
MOSCOW     120517 300  141500-142000   00     261.18  993.1    248.56     0.10    -9999
MOSCOW     120517 300  142000-142500   00     259.07  993.0    246.41    -0.70    -9999
MOSCOW     120517 300  142500-143000   00     258.24  993.1    245.68    -1.00    -9999
MOSCOW     120517 300  143000-143500   00     257.26  993.1    244.81    -1.40    -9999
MOSCOW     120517 300  143500-144000   00     256.98  993.0    244.41    -1.60    -9999
MOSCOW     120517 300  144000-144500   00     256.00  993.0    243.46    -1.90    -9999
MOSCOW     120517 300  144500-145000   00     261.92  993.0    249.08     0.30    -9999
MOSCOW     120517 300  145000-145500   00     258.98  993.0    246.25    -0.80    -9999
MOSCOW     120517 300  145500-150000   00     259.59  993.0    246.83    -0.60    -9999
MOSCOW     120517 300  150000-150500   00     259.88  993.0    247.13    -0.50    -9999
MOSCOW     120517 300  150500-151000   00     260.58  993.0    247.77    -0.20    -9999
MOSCOW     120517 300  151000-151500   00     261.00  993.0    248.17     0.00    -9999
MOSCOW     120517 300  151500-152000   00     259.19  993.1    246.55    -0.70    -9999
MOSCOW     120517 300  152000-152500   00     259.39  993.1    246.78    -0.60    -9999
MOSCOW     120517 300  152500-153000   00     260.78  993.1    248.15     0.00    -9999
MOSCOW     120517 300  153000-153500   00     260.16  993.1    247.55    -0.30    -9999
MOSCOW     120517 300  153500-154000   00     259.96  993.1    247.44    -0.30    -9999
MOSCOW     120517 300  154000-154500   00     260.60  993.2    248.07    -0.10    -9999
MOSCOW     120517 300  154500-155000   00     258.09  993.2    245.75    -1.00    -9999
MOSCOW     120517 300  155000-155500   00     257.73  993.2    245.41    -1.10    -9999
MOSCOW     120517 300  155500-160000   00     259.90  993.2    247.49    -0.30    -9999
MOSCOW     120517 300  160000-160500   00     258.79  993.3    246.57    -0.70    -9999
MOSCOW     120517 300  160500-161000   00     259.58  993.3    247.40    -0.30    -9999
MOSCOW     120517 300  161000-161500   00     259.40  993.4    247.29    -0.40    -9999
MOSCOW     120517 300  161500-162000   00     257.99  993.4    246.02    -0.90    -9999
MOSCOW     120517 300  162000-162500   00     258.20  993.4    246.29    -0.80    -9999
MOSCOW     120517 300  162500-163000   00     257.28  993.5    245.52    -1.10    -9999
MOSCOW     120517 300  163000-163500   00     258.48  993.5    246.66    -0.60    -9999
MOSCOW     120517 300  163500-164000   00     258.27  993.4    246.35    -0.80    -9999
MOSCOW     120517 300  164000-164500   00     260.71  993.4    248.69     0.20    -9999
MOSCOW     120517 300  164500-165000   00     257.51  993.4    245.63    -1.10    -9999
MOSCOW     120517 300  165000-165500   00     260.43  993.4    248.34     0.00    -9999
MOSCOW     120517 300  165500-170000   00     260.07  993.4    248.00    -0.10    -9999
MOSCOW     120517 300  170000-170500   00     260.80  993.4    248.70     0.20    -9999
MOSCOW     120517 300  170500-171000   00     259.86  993.5    247.92    -0.10    -9999
MOSCOW     120517 300  171000-171500   00     257.82  993.5    246.03    -0.90    -9999
MOSCOW     120517 300  171500-172000   00     259.17  993.4    247.21    -0.40    -9999
MOSCOW     120517 300  172000-172500   00     256.35  993.4    244.45    -1.50    -9999
MOSCOW     120517 300  172500-173000   00     259.16  993.4    247.13    -0.50    -9999
MOSCOW     120517 300  173000-173500   00     261.32  993.4    249.26     0.40    -9999
MOSCOW     120517 300  173500-174000   00     258.79  993.5    246.96    -0.50    -9999
MOSCOW     120517 300  174000-174500   00     259.05  993.5    247.21    -0.40    -9999
MOSCOW     120517 300  174500-175000   00     260.29  993.5    248.39     0.10    -9999
MOSCOW     120517 300  175000-175500   00     255.85  993.5    244.15    -1.70    -9999
MOSCOW     120517 300  175500-180000   00     256.29  993.5    244.61    -1.50    -9999
MOSCOW     120517 300  180000-180500   00     257.51  993.5    245.77    -1.00    -9999
MOSCOW     120517 300  180500-181000   00     261.23  993.5    249.29     0.40    -9999
MOSCOW     120517 300  181000-181500   00     260.33  993.5    248.45     0.10    -9999
MOSCOW     120517 300  181500-182000   00     258.42  993.6    246.71    -0.60    -9999
MOSCOW     120517 300  182000-182500   00     257.80  993.5    246.01    -0.90    -9999
MOSCOW     120517 300  182500-183000   00     258.73  993.6    247.00    -0.50    -9999
MOSCOW     120517 300  183000-183500   00     259.26  993.6    247.58    -0.30    -9999
MOSCOW     120517 300  183500-184000   00     260.80  993.6    249.05     0.30    -9999
MOSCOW     120517 300  184000-184500   00     257.57  993.6    245.97    -0.90    -9999
MOSCOW     120517 300  184500-185000   00     257.58  993.5    245.83    -1.00    -9999
MOSCOW     120517 300  185000-185500   00     258.33  993.6    246.66    -0.60    -9999
MOSCOW     120517 300  185500-190000   00     257.46  993.6    245.86    -1.00    -9999
MOSCOW     120517 300  190000-190500   00     257.28  993.6    245.69    -1.00    -9999
MOSCOW     120517 300  190500-191000   00     256.60  993.6    245.05    -1.30    -9999
MOSCOW     120517 300  191000-191500   00     254.00  993.6    242.64    -2.30    -9999
MOSCOW     120517 300  191500-192000   00     258.79  993.6    247.21    -0.40    -9999
MOSCOW     120517 300  192000-192500   00     260.27  993.6    248.56     0.10    -9999
MOSCOW     120517 300  192500-193000   00     255.23  993.6    243.67    -1.80    -9999
MOSCOW     120517 300  193000-193500   00     256.97  993.6    245.37    -1.20    -9999
MOSCOW     120517 300  193500-194000   00     257.00  993.6    245.39    -1.20    -9999
MOSCOW     120517 300  194000-194500   00     256.70  993.6    245.08    -1.30    -9999
MOSCOW     120517 300  194500-195000   00     258.26  993.5    246.46    -0.70    -9999
MOSCOW     120517 300  195000-195500   00     259.23  993.5    247.46    -0.30    -9999
MOSCOW     120517 300  195500-200000   00     255.64  993.5    243.95    -1.70    -9999
MOSCOW     120517 300  200000-200500   00     257.23  993.5    245.46    -1.10    -9999
MOSCOW     120517 300  200500-201000   00     260.91  993.5    248.98     0.30    -9999
MOSCOW     120517 300  201000-201500   00     254.58  993.5    242.94    -2.10    -9999
MOSCOW     120517 300  201500-202000   00     256.11  993.5    244.39    -1.60    -9999
MOSCOW     120517 300  202000-202500   00     255.65  993.6    244.07    -1.70    -9999
MOSCOW     120517 300  202500-203000   00     257.51  993.5    245.73    -1.00    -9999
MOSCOW     120517 300  203000-203500   00     255.57  993.5    243.89    -1.80    -9999
MOSCOW     120517 300  203500-204000   00     257.36  993.5    245.60    -1.10    -9999
MOSCOW     120517 300  204000-204500   00     255.04  993.5    243.38    -2.00    -9999
MOSCOW     120517 300  204500-205000   00     258.04  993.5    246.24    -0.80    -9999
MOSCOW     120517 300  205000-205500   00     258.02  993.5    246.21    -0.80    -9999
MOSCOW     120517 300  205500-210000   00     257.32  993.5    245.56    -1.10    -9999
MOSCOW     120517 300  210000-210500   00     256.42  993.5    244.70    -1.40    -9999
MOSCOW     120517 300  210500-211000   00     258.61  993.5    246.79    -0.60    -9999
MOSCOW     120517 300  211000-211500   00     257.60  993.5    245.82    -1.00    -9999
MOSCOW     120517 300  211500-212000   00     256.65  993.5    244.92    -1.30    -9999
MOSCOW     120517 300  212000-212500   00     254.82  993.4    243.07    -2.10    -9999
MOSCOW     120517 300  212500-213000   00     255.67  993.4    243.81    -1.80    -9999
MOSCOW     120517 300  213000-213500   00     260.44  993.4    248.36     0.00    -9999
MOSCOW     120517 300  213500-214000   00     258.29  993.4    246.33    -0.80    -9999
MOSCOW     120517 300  214000-214500   00     256.72  993.4    244.80    -1.40    -9999
MOSCOW     120517 300  214500-215000   00     257.20  993.4    245.23    -1.20    -9999
MOSCOW     120517 300  215000-215500   00     257.24  993.3    245.15    -1.30    -9999
