EREVAN3    LATITUDE    40.5      LONGITUDE     44.17     ALTITUDE    3200 M
EREVAN3    INSTRUMENT   18NM64    NEUTRON MONITOR     
EREVAN3    STANDARD PRESSURE    684.9   mb     COEFFICIENT   -0.73     % / mb
EREVAN3    PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
EREVAN3    PRE-INCREASE AVERAGE COUNTING RATE     52.91      COUNTS PER SECOND
EREVAN3    TIME INTERVALS    300         3600     
EREVAN3    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
EREVAN3    031028 300  193000-193500   00      53.52  682.2     52.49    -0.80    -9999
EREVAN3    031028 300  193500-194000   00      53.67  682.2     52.62    -0.60    -9999
EREVAN3    031028 300  194000-194500   00      53.74  682.2     52.67    -0.50    -9999
EREVAN3    031028 300  194500-195000   00      53.68  682.1     52.60    -0.60    -9999
EREVAN3    031028 300  195000-195500   00      53.83  682.1     52.73    -0.30    -9999
EREVAN3    031028 300  195500-200000   00      53.61  682.0     52.49    -0.80    -9999
EREVAN3    031028 300  200000-200500   00      53.98  682.0     52.85    -0.10    -9999
EREVAN3    031028 300  200500-201000   00      53.77  682.0     52.66    -0.50    -9999
EREVAN3    031028 300  201000-201500   00      53.86  682.1     52.76    -0.30    -9999
EREVAN3    031028 300  201500-202000   00      53.58  682.1     52.49    -0.80    -9999
EREVAN3    031028 300  202000-202500   00      53.49  682.1     52.42    -1.00    -9999
EREVAN3    031028 300  202500-203000   00      53.93  682.1     52.86    -0.10    -9999
EREVAN3    031028 300  203000-203500   00      54.08  682.2     53.01     0.20    -9999
EREVAN3    031028 300  203500-204000   00      53.61  682.2     52.56    -0.70    -9999
EREVAN3    031028 300  204000-204500   00      53.83  682.2     52.78    -0.20    -9999
EREVAN3    031028 300  204500-205000   00      53.56  682.2     52.53    -0.70    -9999
EREVAN3    031028 300  205000-205500   00      53.47  682.3     52.45    -0.90    -9999
EREVAN3    031028 300  205500-210000   00      53.76  682.3     52.74    -0.30    -9999
EREVAN3    031028 300  210000-210500   00      53.99  682.3     52.98     0.10    -9999
EREVAN3    031028 300  210500-211000   00      53.86  682.3     52.85    -0.10    -9999
EREVAN3    031028 300  211000-211500   00      53.91  682.3     52.91     0.00    -9999
EREVAN3    031028 300  211500-212000   00      53.67  682.4     52.68    -0.40    -9999
EREVAN3    031028 300  212000-212500   00      53.55  682.4     52.57    -0.60    -9999
EREVAN3    031028 300  212500-213000   00      53.71  682.4     52.73    -0.30    -9999
EREVAN3    031028 300  213000-213500   00      53.67  682.4     52.70    -0.40    -9999
EREVAN3    031028 300  213500-214000   00      53.59  682.4     52.63    -0.50    -9999
EREVAN3    031028 300  214000-214500   00      53.57  682.4     52.62    -0.60    -9999
EREVAN3    031028 300  214500-215000   00      53.61  682.5     52.66    -0.50    -9999
EREVAN3    031028 300  215000-215500   00      53.39  682.5     52.45    -0.90    -9999
EREVAN3    031028 300  215500-220000   00      53.80  682.5     52.86    -0.10    -9999
EREVAN3    031028 300  220000-220500   00      53.72  682.5     52.79    -0.20    -9999
EREVAN3    031028 300  220500-221000   00      53.59  682.5     52.67    -0.50    -9999
EREVAN3    031028 300  221000-221500   00      53.50  682.5     52.59    -0.60    -9999
EREVAN3    031028 300  221500-222000   00      53.71  682.6     52.79    -0.20    -9999
EREVAN3    031028 300  222000-222500   00      53.46  682.6     52.56    -0.70    -9999
EREVAN3    031028 300  222500-223000   00      53.78  682.6     52.88    -0.10    -9999
EREVAN3    031028 300  223000-223500   00      53.27  682.6     52.39    -1.00    -9999
EREVAN3    031028 300  223500-224000   00      53.47  682.6     52.59    -0.60    -9999
EREVAN3    031028 300  224000-224500   00      53.24  682.6     52.37    -1.00    -9999
EREVAN3    031028 300  224500-225000   00      53.39  682.7     52.52    -0.70    -9999
EREVAN3    031028 300  225000-225500   00      53.59  682.7     52.73    -0.40    -9999
EREVAN3    031028 300  225500-230000   00      53.41  682.7     52.56    -0.70    -9999
EREVAN3    031028 300  230000-230500   00      53.47  682.7     52.62    -0.50    -9999
EREVAN3    031028 300  230500-231000   00      53.60  682.7     52.75    -0.30    -9999
EREVAN3    031028 300  231000-231500   00      53.75  682.7     52.91     0.00    -9999
EREVAN3    031028 300  231500-232000   00      53.39  682.7     52.55    -0.70    -9999
EREVAN3    031028 300  232000-232500   00      53.20  682.7     52.36    -1.00    -9999
EREVAN3    031028 300  232500-233000   00      53.55  682.7     52.71    -0.40    -9999
EREVAN3    031028 300  233000-233500   00      53.41  682.8     52.58    -0.60    -9999
EREVAN3    031028 300  233500-234000   00      53.07  682.8     52.25    -1.30    -9999
EREVAN3    031028 300  234000-234500   00      53.49  682.8     52.66    -0.40    -9999
EREVAN3    031028 300  234500-235000   00      53.78  682.8     52.95     0.10    -9999
EREVAN3    031028 300  235000-235500   00      53.74  682.8     52.92     0.00    -9999
EREVAN3    031028 300  235500-240000   00      53.58  682.8     52.76    -0.30    -9999
EREVAN3    031029 300  000000-000500   00      53.33  682.8     52.53    -0.70    -9999
EREVAN3    031029 300  000500-001000   00      53.67  682.8     52.87    -0.10    -9999
EREVAN3    031029 300  001000-001500   00      53.50  682.9     52.71    -0.40    -9999
EREVAN3    031029 300  001500-002000   00      53.45  682.9     52.67    -0.50    -9999
EREVAN3    031029 300  002000-002500   00      53.43  682.9     52.66    -0.50    -9999
EREVAN3    031029 300  002500-003000   00      53.57  682.9     52.81    -0.20    -9999
EREVAN3    031029 300  003000-003500   00      53.50  683.0     52.74    -0.30    -9999
EREVAN3    031029 300  003500-004000   00      53.65  683.0     52.90     0.00    -9999
EREVAN3    031029 300  004000-004500   00      53.80  683.0     53.07     0.30    -9999
EREVAN3    031029 300  004500-005000   00      53.53  683.0     52.81    -0.20    -9999
EREVAN3    031029 300  005000-005500   00      53.59  683.1     52.87    -0.10    -9999
EREVAN3    031029 300  005500-010000   00      53.87  683.1     53.16     0.50    -9999
